Heavy ^jj+atrb+++=Heavy
clouds ^nns++++=clouds
drift ^nn++++=drift
slowly ^rb++++=slowly
across ^in+pl+++=across
the ^ati++++=the
sleepy ^jj+atrb+++=sleepy
river ^nn++++=river
and ^cc++++=and
hang ^vb++++=hang
every ^at++++=every
moment ^nn++++=moment
lower ^jjr++++=lower
and ^cc+phrs+++=and
thicker ^jjr++++=thicker.
. ^zz++++=EXTRAWORD
In ^in++++=In
the ^ati++++=the
distance ^nn+nom+++=distance
their ^pp$+pp3+++=their
ragged ^jj+atrb+++=ragged
gray ^np++++=gray
edges ^nns++++=edges
seem ^vb+seem+++=seem
almost ^rb+hdg+++=almost
to ^in++++=to
touch ^nn++++=touch
the ^ati++++=the
surface ^nn++++=surface
of ^in++++=of
the ^ati++++=the
rapid ^jj+atrb+++=rapid
and ^cc+phrs+++=and
muddy ^jj+atrb+++=muddy
waters ^nns++++=waters,
, ^zz++++=EXTRAWORD
swollen ^jj++++=swollen
by ^in++++=by
the ^ati++++=the
floods ^nns++++=floods
of ^in++++=of
spring ^nn++++=spring,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
there ^rn+pl+++=there,
, ^zz++++=EXTRAWORD
where ^wrb+who+++=where
they ^pp3a+pp3+++=they
touch ^vb++++=touch,
, ^zz++++=EXTRAWORD
an ^at++++=an
impenetrable ^jj+atrb+++=impenetrable
wall ^nn++++=wall
rises ^vbz++++=rises
to ^in++++=to
the ^ati++++=the
skies ^nns++++=skies,
, ^zz++++=EXTRAWORD
barring ^vbg+++xvbg+=barring
the ^ati++++=the
flow ^nn++++=flow
of ^in++++=of
the ^ati++++=the
river ^nn++++=river
and ^cc++++=and
the ^ati++++=the
passage ^nn+nom+++=passage
of ^in++++=of
the ^ati++++=the
raft ^nn++++=raft.
. ^zz++++=EXTRAWORD
The ^ati++++=The
stream ^nn++++=stream,
, ^zz++++=EXTRAWORD
swirling ^jj++++=swirling
against ^in++++=against
this ^dt+dem+++=this
wall ^nn++++=wall
washing ^vwbg+++xvbg+=washing
vainly ^rb++++=vainly
against ^in++++=against
it ^pp3+it+++=it
with ^in++++=with
a ^at++++=a
wistful ^nn++++=wistful
wailing ^vwbg+++xvbg+=wailing
swish ^nn++++=swish
seems ^vbz+seem+++=seems
to ^to+vcmp+++=to
be ^vbi+vbi+aux++=be
thrown ^vpsv++agls+xvbnx+=thrown
back ^jjb++++=back
on ^in++++=on
itself ^ppl++++=itself,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
then ^rn+tm+++=then
to ^to++++=to
hasten ^vbi++++=hasten
away ^rp+pl+++=away
on ^in++++=on
either ^dtx++++=either
side ^nn++++=side,
, ^zz++++=EXTRAWORD
where ^wrb+who+++=where
lies ^nns++++=lies
the ^ati++++=the
moist ^jj+atrb+++=moist
fog ^nn++++=fog
of ^in++++=of
a ^at++++=a
dark ^nn++++=dark
spring ^vb++++=spring
night ^nn++++=night.
. ^zz++++=EXTRAWORD
The ^ati++++=The
raft ^nn++++=raft
floats ^vbz++++=floats
onward ^jjb++++=onward,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
distance ^nn+nom+++=distance
opens ^vbz++++=opens
out ^rp+pl+++=out
before ^in++++=before
it ^pp3+it+++=it
into ^in++++=into
heavy ^jj+atrb+++=heavy
cloud ^nn++++=cloud
massed ^jj+atrb+++=massed
space ^nn++++=space.
. ^zz++++=EXTRAWORD
The ^ati++++=The
banks ^nns++++=banks
of ^in++++=of
the ^ati++++=the
rivers ^nns++++=rivers
are ^vb+ber+vrb++=are
invisible ^jj+pred+++=invisible;
; ^zz++++=EXTRAWORD
darkness ^nns+nom+++=darkness
covers ^nns++++=covers
them ^pp3o+pp3+++=them,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
lapping ^jj+atrb++xvbg+=lapping
waves ^nns++++=waves
of ^in++++=of
a ^at++++=a
spring ^vb++++=spring
flood ^nn++++=flood
seem ^vb+seem+++=seem
to ^to+vcmp+++=to
have ^vbi++++=have
washed ^vbd+++xvbn+=washed
them ^pp3o+pp3+++=them
into ^in++++=into
space ^nn++++=space.
. ^zz++++=EXTRAWORD
The ^ati++++=The
river ^nn++++=river
below ^rb++++=below
has ^vbz+hvz+aux++=has
spread ^vprf+++xvbnx+=spread
into ^in++++=into
a ^at++++=a
sea ^nn++++=sea;
; ^zz++++=EXTRAWORD
while ^cs+sub+++=while
the ^ati++++=the
heavens ^nns++++=heavens
above ^jjb++++=above,
, ^zz++++=EXTRAWORD
swatched ^j+++xvbn+=swatched
in ^in++++=in
cloud ^nn++++=cloud
masses ^nns++++=masses,
, ^zz++++=EXTRAWORD
hang ^nn++++=hang
heavy ^jj++++=heavy,
, ^zz++++=EXTRAWORD
humid ^jj++++=humid,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
leaden.* ^nn+++??+=leaden.*
There ^ex+pex+++=There
is ^vbz+bez+vrb++=is
no ^at++++=no
atmosphere ^nn++++=atmosphere,
, ^zz++++=EXTRAWORD
no ^at++++=no
color ^nn++++=color
in ^in++++=in
this ^dt+dem+++=this
gray ^np++++=gray
blurred ^vbd+++xvbn+=blurred
picture ^nn++++=picture.
. ^zz++++=EXTRAWORD
The ^ati++++=The
raft ^nn++++=raft
glides ^nns+++??+=glides
down ^rp++++=down
swiftly ^rb++++=swiftly
and ^cc+phrs+++=and
noiselessly ^rb+cnj+++=noiselessly,
, ^zz++++=EXTRAWORD
while ^cs+sub+++=while
out ^rp+pl+++=out
of ^in++++=of
the ^ati++++=the
darkness ^nns+nom+++=darkness
appears ^vbz+seem+++=appears,
, ^zz++++=EXTRAWORD
suddenly ^rb++++=suddenly
bearing ^vbg+++xvbg+=bearing
down ^rb+phrv+++=down
on ^in+ppvb+++=on
it ^pp3+it+++=it,
, ^zz++++=EXTRAWORD
a ^at++++=a
steamer ^nn++++=steamer,
, ^zz++++=EXTRAWORD
pouring ^vbg+++xvbg+=pouring
from ^in++++=from
its ^pp$+it+++=its
funnels ^nns+++??+=funnels
a ^at++++=a
merry ^jj+atrb+++=merry
crowd ^nn++++=crowd
of ^in++++=of
sparks ^nns++++=sparks,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
churning ^nvbg+++xvbg+=churning
up ^rp++++=up
the ^ati++++=the
water ^nn++++=water
with ^in++++=with
the ^ati++++=the
paddles ^nns++++=paddles
of ^in++++=of
its ^pp$+it+++=its
great ^jj+atrb+++=great
revolving ^jj+atrb++xvbg+=revolving
wheels ^nns++++=wheels.
. ^zz++++=EXTRAWORD
The ^ati++++=The
two ^cd++++=two
red ^jj++++=red
forward ^rb++++=forward
lights ^nns++++=lights
gleam ^nn++++=gleam
every ^at++++=every
moment ^nn++++=moment
larger ^jjr++++=larger
and ^cc+phrs+++=and
brighter ^jjr++++=brighter,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
mast ^nn++++=mast-head
- ^zz++++=EXTRAWORD
head ^jjb+atrb+++=EXTRAWORD
lantern ^nn++++=lantern
sways ^rb++++=sways
slowly ^rb++++=slowly
from ^in++++=from
side ^nn++++=side
to ^in++++=to
side ^nn++++=side,
, ^zz++++=EXTRAWORD
as ^cs+sub+++=as
if ^cs+cnd+++=if
winking ^vbg+++xvbg+=winking
mysteriously ^rb++++=mysteriously
at ^in++++=at
the ^ati++++=the
night ^nn++++=night.
. ^zz++++=EXTRAWORD
The ^ati++++=The
distance ^nn+nom+++=distance
is ^vbz+bez+aux++=is
filled ^vpsv++agls+xvbnx+=filled
with ^in++++=with
the ^ati++++=the
noise ^nn++++=noise
of ^in++++=of
the ^ati++++=the
troubled ^jj+atrb++xvbn+=troubled
water ^nn++++=water,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
heavy ^jj+atrb+++=heavy
thud ^nn++++=thud-thud
- ^zz++++=EXTRAWORD
thud ^vb++++=EXTRAWORD
of ^in++++=of
the ^ati++++=the
engines ^nns++++=engines.
. ^zz++++=EXTRAWORD
" ^zz++++="Look
look ^vb++++=EXTRAWORD
ahead ^rb+pl+++=ahead!"
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
is ^vbz+bez+aux++=is
heard ^vpsv++agls+xvbnx+=heard
from ^in++++=from
the ^ati++++=the
raft ^nn++++=raft.
. ^zz++++=EXTRAWORD
The ^ati++++=The
voice ^nn++++=voice
is ^vbz+bez+vrb++=is
that ^dt+dem+++=that
of ^in++++=of
a ^at++++=a
deep ^jj++++=deep-chested
- ^zz++++=EXTRAWORD
chested ^jj+atrb++xvbn+=EXTRAWORD
man ^nn++++=man.
. ^zz++++=EXTRAWORD
* ^zz++++=*
The ^ati++++=The
river ^nn++++=river
is ^vbz+bez+vrb++=is
the ^ati++++=the
volga ^nn+++??+=volga,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
passage ^nn+nom+++=passage
of ^in++++=of
strings ^nns++++=strings
of ^in++++=of
rafts ^nns++++=rafts
down ^in++++=down
its ^pp$+it+++=its
stream ^nn++++=stream
in ^in++++=in
early ^nn++++=early
spring ^vb++++=spring
is ^vbz+bez+aux++=is
being ^vbg+beg+aux+xvbg+=being
described ^vpsv++by+xvbn+=described
by ^in++++=by
the ^ati++++=the
author ^nn++++=author.
. ^zz++++=EXTRAWORD
The ^ati++++=The
allusion ^nn++++=allusion
later ^rbr+tm+++=later
on ^in+cmpx+++=on
to ^in"++++=to
the ^ati++++=the
Brotherhood ^nn+nom+++=Brotherhood
living ^vwbg+++xvbg+=living
in ^in++++=in
the ^ati++++=the
Caucasus ^np+++??+=Caucasus,
, ^zz++++=EXTRAWORD
refers ^vbz++++=refers
to ^in++++=to
the ^ati++++=the
persecuted ^jj+++xvbn+=persecuted
Doukhobori ^np+++??+=Doukhobori,
, ^zz++++=EXTRAWORD
who ^whp+rel+subj++=who
have ^vb+hv+vrb++=have
since ^cs+sub+++=since
been ^nn+ben+++=been
driven ^vpsv++agls+xvbnx+=driven
from ^in++++=from
their ^pp$+pp3+++=their
homes ^nrs++++=homes
by ^in++++=by
the ^ati++++=the
Russian ^jj+atrb+++=Russian
authorities ^nns+nom+++=authorities
and ^cc++++=and
have ^vb+hv+aux++=have
taken ^vprf+++xvbnx+=taken
refuge ^nn++++=refuge
in ^in++++=in
Canada ^np++++=Canada.
. ^zz++++=EXTRAWORD
In ^to++++=In
order ^vb++++=order
to ^to+vcmp+++=to
enter ^vb++++=enter
into ^in+ppvb+++=into
the ^ati++++=the
sociology ^nn++++=sociology
of ^in++++=of
this ^dt+dem+++=this
