It ^pp3+it+++=It
was ^vbd+bedz+vrb++=was
the ^ati++++=the
night ^nn++++=night
before ^cs+sub+++=before
the ^ati++++=the
day ^nn++++=day
fixed ^vbd+++xvbn+=fixed
for ^in++++=for
his ^pp$+pp3+++=his
coronation ^nn+nom+++=coronation,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
young ^jj+atrb+++=young
King ^nn++++=King
was ^vbd+bedz+aux++=was
sitting ^vbg+++xvbgx+=sitting
alone ^rb++++=alone
in ^in++++=in
his ^pp$+pp3+++=his
beautiful ^jj+atrb+++=beautiful
chamber ^nn++++=chamber.
. ^zz++++=EXTRAWORD
His ^pp$+pp3+++=His
courtiers ^nns+nom+++=courtiers
had ^vb+hv+vrb++=had
all ^abn++++=all
taken ^jj+++xvbn+=taken
their ^pp$+pp3+++=their
leave ^nn++++=leave
of ^in++++=of
him ^pp3o+pp3+++=him,
, ^zz++++=EXTRAWORD
bowing ^vbg+++xvbg+=bowing
their ^pp$+pp3+++=their
heads ^nns++++=heads
to ^in++++=to
the ^ati++++=the
ground ^nn++++=ground,
, ^zz++++=EXTRAWORD
according ^in+cmpx+++=according
to ^in"++++=to
the ^ati++++=the
ceremonious ^jj+atrb+++=ceremonious
usage ^nn++++=usage
of ^in++++=of
the ^ati++++=the
day ^nn++++=day,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
had ^vbd+hvd+aux++=had
retired ^vprf+++xvbnx+=retired
to ^in++++=to
the ^ati++++=the
Great ^jj+atrb+++=Great
Hall ^npl++++=Hall
of ^in++++=of
the ^ati++++=the
Palace ^nn++++=Palace,
, ^zz++++=EXTRAWORD
to ^to++++=to
receive ^vbi++++=receive
a ^ap++++=a
few ^ap"++++=few
last ^jj+atrb+++=last
lessons ^nns++++=lessons
from ^in++++=from
the ^ati++++=the
Professor ^nn++++=Professor
of ^in++++=of
Etiquette ^nn+nom+++=Etiquette;
; ^zz++++=EXTRAWORD
there ^ex+pex+++=there
being ^vbg+beg++xvbg+=being
some ^dti++++=some
of ^in++++=of
them ^pp3o+pp3+++=them
who ^whp+who+++=who
had ^vb+hv+vrb++=had
still ^rb++++=still
quite ^rb++++=quite
natural ^jj+atrb+++=natural
manners ^nns+nom+++=manners,
, ^zz++++=EXTRAWORD
which ^whp+rel+obj++=which
in ^in++++=in
a ^at++++=a
courtier ^jjr++++=courtier
