According ^in+cmpx+++=According
to ^in"++++=to
his ^pp$+pp3+++=his
passport ^nn++++=passport,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
was ^vbd+bedz+aux++=was
called ^vpsv++agls+xvbnx+=called
Max ^np++++=Max
Z ^zz++++=Z.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
as ^ql++++=as
it ^pp3+it+++=it
was ^vbd+bedz+aux++=was
stated ^vpsv++agls+xvbnx+=stated
in ^in++++=in
the ^ati++++=the
same ^ap++++=same
passport ^nn++++=passport
that ^tht+rel+obj++=that
he ^pp3a+pp3+++=he
had ^vb+hv+vrb++=had
no ^at++++=no
special ^jj+atrb+++=special
peculiarities ^nns+nom+++=peculiarities
about ^in++++=about
his ^pp$+pp3+++=his
features ^nns++++=features,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
prefer ^vb+vprv+++=prefer
to ^to+vcmp+++=to
call ^vbi++++=call
him ^pp3o+pp3+++=him
Mr ^npt++++=Mr.
. ^zz++++=EXTRAWORD
N+1 ^np++++=N+1.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
represented ^vbd+++xvbnx+=represented
a ^at++++=a
long ^jj+atrb+++=long
line ^nn++++=line
of ^in++++=of
young ^jj+atrb+++=young
men ^nns++++=men
who ^whp+rel+subj++=who
possess ^nns+nom+++=possess
wavy ^jj+atrb+++=wavy,
, ^zz++++=EXTRAWORD
dishevelled ^jj+atrb+++=dishevelled
locks ^nns++++=locks,
, ^zz++++=EXTRAWORD
straight ^jj++++=straight,
, ^zz++++=EXTRAWORD
bold ^jj++++=bold,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
open ^jj+atrb+++=open
looks ^nns++++=looks,
, ^zz++++=EXTRAWORD
well ^rb+dspt+++=well-formed
- ^zz++++=EXTRAWORD
formed ^vprf+++xvbn+=EXTRAWORD
and ^cc++++=and
strong ^jj+atrb+++=strong
bodies ^nns++++=bodies,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
very ^ql+amp+++=very
large ^jj+atrb+++=large
and ^cc+phrs+++=and
powerful ^jj+atrb+++=powerful
hearts ^nns++++=hearts.
. ^zz++++=EXTRAWORD
All ^abn++++=All
these ^dt+dem+++=these
youths ^nns++++=youths
have ^vb+hv+aux++=have
loved ^vprf+++xvbnx+=loved
and ^cc+phrs+++=and
perpetuated ^vbd+++xvbn+=perpetuated
their ^pp$+pp3+++=their
love ^nn++++=love.
. ^zz++++=EXTRAWORD
Some ^dti++++=Some
of ^in++++=of
them ^pp3o+pp3+++=them
have ^vb+hv+aux++=have
succeeded ^vprf+++xvbnx+=succeeded
in ^in++++=in
engraving ^nn++++=engraving
it ^pp3+it+++=it
on ^in++++=on
the ^ati++++=the
tablets ^nns+nom+++=tablets
of ^in++++=of
history ^nn++++=history,
, ^zz++++=EXTRAWORD
like ^in++++=like
Henry ^np++++=Henry
Iv ^np+++??+=IV;
; ^zz++++=EXTRAWORD
others ^aps++++=others,
, ^zz++++=EXTRAWORD
like ^in++++=like
Petrarch ^np+++??+=Petrarch,
, ^zz++++=EXTRAWORD
have ^vb+hv+aux++=have
made ^vprf+++xvbnx+=made
literary ^jj+atrb+++=literary
preserves ^nns++++=preserves
of ^in++++=of
it ^pp3+it+++=it;
; ^zz++++=EXTRAWORD
some ^dti++++=some
have ^vb+hv+aux++=have
availed ^vprf+++xvbnx+=availed
themselves ^ppls+pp3+++=themselves
for ^in++++=for
that ^dt+dem+++=that
purpose ^nn++++=purpose
of ^in++++=of
the ^ati++++=the
newspapers ^nns+nom+++=newspapers,
, ^zz++++=EXTRAWORD
wherein ^wrb+who+++=wherein
the ^ati++++=the
happenings ^nns++++=happenings
of ^in++++=of
the ^ati++++=the
day ^nn++++=day
are ^vb+ber+aux++=are
recorded ^vpsv++agls+xvbnx+=recorded,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
where ^wrb+who+++=where
they ^pp3a+pp3+++=they
figured ^vbd+++xvbnx+=figured
among ^in++++=among
those ^dt+pdem+++=those
who ^whp+rel+subj++=who
had ^vbd+hvd+aux++=had
strangled ^vprf+++xvbnx+=strangled
themselves ^ppls+pp3+++=themselves,
, ^zz++++=EXTRAWORD
shot ^j+++xvbn+=shot
themselves ^ppls+pp3+++=themselves,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
who ^whp+who+whq++=who
had ^vbd+hvd+aux++=had
been ^vprf+ben+aux+xvbnx+=been
shot ^vpsv++by+xvbnx+=shot
by ^in++++=by
others ^aps++++=others;
; ^zz++++=EXTRAWORD
still ^rb++++=still
others ^aps++++=others,
, ^zz++++=EXTRAWORD
the ^ati++++=the
happiest ^jjt++++=happiest
and ^cc++++=and
most ^ql+emph+++=most
modest ^jj++++=modest
of ^in++++=of
all ^rb+cnj+++=all,
, ^zz++++=EXTRAWORD
perpetuated ^xvbn+++xvbn+=perpetuated
their ^pp$+pp3+++=their
love ^nn++++=love
by ^in++++=by
entering ^xvbg+++xvbg+=entering
it ^pp3+it+++=it
in ^in++++=in
the ^ati++++=the
birth ^nn++++=birth
records ^nns++++=records--by
-- ^--+clp+++=EXTRAWORD
by ^in++++=EXTRAWORD
creating ^xvbg+++xvbg+=creating
posterity ^nn+nom+++=posterity.
. ^zz++++=EXTRAWORD
The ^ati++++=The
love ^nn++++=love
of ^in++++=of
N+1 ^np+++??+=N+1
was ^vbd+bedz+vrb++=was
as ^ql++++=as
strong ^jj++++=strong
as ^in++++=as
death ^nn++++=death,
, ^zz++++=EXTRAWORD
as ^in++++=as
a ^at++++=a
certain ^jj+atrb+++=certain
writer ^nn++++=writer
put ^vbd+++xvbn+=put
it ^pp3+it+++=it;
; ^zz++++=EXTRAWORD
