We ^pp1a+pp1+++=We
were ^vbd+bed+aux++=were
coming ^vbg+++xvbgx+=coming
back ^jjb++++=back
from ^in++++=from
West ^np+pl+++=West
Australia ^np++++=Australia,
, ^zz++++=EXTRAWORD
steerage ^nn+nom+++=steerage
- ^zz++++=-Mitchell,
mitchell ^np++++=EXTRAWORD
, ^zz++++=EXTRAWORD
the ^ati++++=the
Oracle ^np+++??+=Oracle,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
I ^pp1a+pp1+++=I.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
had ^vbd+hvd+aux++=had
gone ^vprf+++xvbnx+=gone
over ^in++++=over
saloon ^nn++++=saloon,
, ^zz++++=EXTRAWORD
with ^in++++=with
a ^ap++++=a
few ^ap"++++=few
pounds ^nns++++=pounds
in ^in++++=in
my ^pp$+pp1+++=my
pocket ^nn++++=pocket.
. ^zz++++=EXTRAWORD
Mitchell ^np++++=Mitchell
said ^vbd+vpub+tht0+xvbn+=said
this ^dt+pdem+++=this
was ^vbd+bedz+vrb++=was
a ^at++++=a
great ^jj+atrb+++=great
mistake ^nn++++=mistake
- ^zz++++=-I
i ^pp1a+pp1+++=EXTRAWORD
should ^md+nec+++=should
have ^vb+hv+aux++=have
gone ^vprf+++xvbnx+=gone
over ^in++++=over
steerage ^nn+nom+++=steerage
with ^in++++=with
nothing ^pn++++=nothing
but ^cc++++=but
the ^ati++++=the
clothes ^nns++++=clothes
I ^pp1a+pp1+++=I
stood ^vbd+++xvbnx+=stood
upright ^jj++++=upright
in ^in+strn+++=in,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
come ^vb++++=come
back ^jjb+atrb+++=back
saloon ^nn++++=saloon
with ^in++++=with
a ^at++++=a
pile ^nn++++=pile.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
said ^vbd+vpub+tht0+xvbnx+=said
it ^pp3+it+++=it
was ^vbd+bedz+vrb++=was
a ^at++++=a
very ^ql+amp+++=very
common ^jj+atrb+++=common
mistake ^nn++++=mistake
that ^tht+rel+obj++=that
men ^nns++++=men
made ^vbd+++xvbn+=made,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but,
, ^zz++++=EXTRAWORD
as ^in++++=as
far ^in"+pl+++=far
as ^in"++++=as
his ^pp$+pp3+++=his
experience ^nn+nom+++=experience
went ^vbd+++xvbn+=went,
, ^zz++++=EXTRAWORD
there ^rn+pl+++=there
always ^rb++++=always
seemed ^vbd+seem++xvbn+=seemed
to ^to+vcmp+++=to
be ^vbi++vrb++=be
a ^at++++=a
deep ^jj++++=deep-rooted
- ^zz++++=EXTRAWORD
rooted ^xvbn+++xvbn+=EXTRAWORD
popular ^jj+atrb+++=popular
prejudice ^nn++++=prejudice
in ^in++++=in
favour ^in"++++=favour
of ^in"++++=of
going ^vbg+++xvbg+=going
away ^in+pl+++=away
from ^in"++++=from
home ^nr++++=home
with ^in++++=with
a ^ap++++=a
few ^ap"++++=few
pounds ^nns++++=pounds
in ^in++++=in
one ^cd1++++=one's
's ^vbz+bez+vrb++0=EXTRAWORD
pocket ^nn++++=pocket
and ^cc++++=and
coming ^vbg+++xvbg+=coming
back ^jjb++++=back
stumped ^jj+++xvbn+=stumped;
; ^zz++++=EXTRAWORD
at ^rb++++=at
least ^rb"++++=least
amongst ^in++++=amongst
rovers ^nps++++=rovers
and ^cc++++=and
vagabonds ^nns+++??+=vagabonds
like ^in++++=like
ourselves ^ppls+pp1+++=ourselves
- ^zz++++=-it
it ^pp3+it+++=EXTRAWORD
was ^vbd+bedz+vrb++=wasn't
n't ^xnot++not++0=EXTRAWORD
so ^rb++++=so
generally ^rb+down+++=generally
popular ^jj++++=popular
or ^cc+phrs+++=or
admired ^jj+++xvbn+=admired
at ^rb++++=at
home ^nr++++=home,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
in ^in++++=in
the ^ati++++=the
places ^nns++++=places
we ^pp1a+pp1+++=we
came ^vbd+++xvbn+=came
back ^jjb++++=back
to ^in+strn+++=to,
, ^zz++++=EXTRAWORD
as ^ql++++=as
it ^pp3+it+++=it
was ^vbd+bedz+vrb++=was
in ^in++++=in
the ^ati++++=the
places ^nns++++=places
we ^pp1a+pp1+++=we
went ^vbd+++xvbn+=went
to ^in+strn+++=to.
. ^zz++++=EXTRAWORD
Anyway ^rb+dspt+++=Anyway
it ^pp3+it+++=it
went ^vbd+++xvbn+=went,
, ^zz++++=EXTRAWORD
there ^ex+pex+++=there
was ^vbd+bedz+vrb++=wasn't
n't ^xnot++not++0=EXTRAWORD
the ^ati++++=the
slightest ^jjt+atrb+++=slightest
doubt ^vb++++=doubt
that ^tht+vcmp+++=that
our ^pp$+pp1+++=our
nearest ^jjt+atrb+++=nearest
and ^cc+phrs+++=and
dearest ^jjt+atrb+++=dearest
friends ^nns++++=friends
were ^vbd+bed+vrb++=were,
, ^zz++++=EXTRAWORD
as ^in++++=as
a ^at++++=a
rule ^nn++++=rule,
, ^zz++++=EXTRAWORD
in ^in++++=in
favour ^in"++++=favour
of ^in"++++=of
our ^pp$+pp1+++=our
taking ^vbg+++xvbg+=taking
away ^rb+phrv+++=away
as ^ql++++=as
little ^ap++++=little
as ^ql++++=as
we ^pp1a+pp1+++=we
could ^md+pos+++=could
possibly ^rb++splt++=possibly
manage ^vb++++=manage
with ^in+strn+++=with,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
coming ^vbg+++xvbg+=coming
back ^jjb++++=back
with ^in++++=with
a ^at++++=a
pile ^nn++++=pile,
, ^zz++++=EXTRAWORD
whether ^cs+who+++=whether
we ^pp1a+pp1+++=we
came ^vbd+++xvbn+=came
back ^jjb+atrb+++=back
saloon ^nn++++=saloon
or ^cc++++=or
not ^xnot++not++=not;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
that ^dt+pdem+++=that
ought ^md"+nec+pmd"++=ought
