We ^pp1a+pp1+++=We
had ^vb+hv+aux++=had
our ^pp$+pp1+++=our
swim ^vb++++=swim
before ^in++++=before
sundown ^nn++++=sundown,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
while ^cs+sub+++=while
we ^pp1a+pp1+++=we
were ^vbd+bed+aux++=were
cooking ^vbg+++xvbgx+=cooking
our ^pp$+pp1+++=our
supper ^nn++++=supper
the ^ati++++=the
oblique ^jj+atrb+++=oblique
rays ^nns++++=rays
of ^in++++=of
light ^nn++++=light
made ^vbd+++xvbn+=made
a ^at++++=a
dazzling ^jj+atrb++xvbg+=dazzling
glare ^nn++++=glare
on ^in++++=on
the ^ati++++=the
white ^jj+atrb+++=white
sand ^nn++++=sand
about ^rb++++=about
us ^pp1o+pp1+++=us.
. ^zz++++=EXTRAWORD
The ^ati++++=The
translucent ^jj+atrb+++=translucent
red ^jj+atrb+++=red
ball ^nn++++=ball
itself ^ppl++++=itself
sank ^vbd+++xvbn+=sank
behind ^in+pl+++=behind
the ^ati++++=the
brown ^np++++=brown
stretches ^vbz++++=stretches
of ^in++++=of
cornfield ^nn+++??+=cornfield
as ^ql++++=as
we ^pp1a+pp1+++=we
sat ^vbd+++xvbn+=sat
down ^rb+phrv+++=down
to ^to++++=to
eat ^vbi++++=eat,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
warm ^jj+atrb+++=warm
layer ^nn++++=layer
of ^in++++=of
air ^nn++++=air
that ^tht+rel+subj++=that
had ^vbd+hvd+aux++=had
rested ^vprf+++xvbnx+=rested
over ^in++++=over
the ^ati++++=the
water ^nn++++=water
and ^cc++++=and
our ^pp$+pp1+++=our
clean ^jj+atrb+++=clean
sand ^nn++++=sand
bar ^nn++++=bar
grew ^vbd+++xvbn+=grew
fresher ^jjr++++=fresher
and ^cc+phrs+++=and
smelled ^jj+++xvbn+=smelled
of ^in++++=of
the ^ati++++=the
rank ^nn++++=rank
ironweed ^vbd+++xvbn+=ironweed
