Solomon ^np++++=SOLOMON
Singlewitz ^np+++??+=SINGLEWITZ:
: ^zz++++=EXTRAWORD
The ^ati++++=The
Life ^nn++++=Life
of ^in++++=of
Adam ^np++++=Adam.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
It ^pp3+it+++=It
was ^vbd+bedz+vrb++=was
not ^xnot++not++=not
all ^abn++++=all
unadulterated ^jj+atrb++xvbn+=unadulterated
sweetness ^nns+nom+++=sweetness,
, ^zz++++=EXTRAWORD
of ^in+emph+++=of
course ^nn+emph"+++=course.
. ^zz++++=EXTRAWORD
There ^ex+pex+++=There
were ^vbd+bed+vrb++=were
enough ^qlp++++=enough
difficulties ^nns++++=difficulties
in ^in++++=in
the ^ati++++=the
way ^nn++++=way
to ^to++++=to
make ^vbi++++=make
it ^pp3+it+++=it
seem ^vb+seem+++=seem
desirable ^jj++++=desirable;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
a ^ap++++=a
few ^ap"++++=few
stings ^nns+++??+=stings
of ^in++++=of
annoyance ^nn+nom+++=annoyance,
, ^zz++++=EXTRAWORD
now ^rn+dspt+++=now
and ^cc+phrs+++=and
then ^rn+tm+++=then,
, ^zz++++=EXTRAWORD
lent ^jj+atrb++xvbn+=lent
piquancy ^nn+++??+=piquancy
to ^in++++=to
the ^ati++++=the
adventure ^nn++++=adventure.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
a ^at++++=a
good ^jj+atrb+++=good
memory ^nn++++=memory,
, ^zz++++=EXTRAWORD
in ^in++++=in
dealing ^nn++++=dealing
with ^in++++=with
the ^ati++++=the
past ^jjb++++=past,
, ^zz++++=EXTRAWORD
has ^vbz+hvz+vrb++=has
the ^ati++++=the
art ^nn++++=art
of ^in++++=of
straining ^xvbg+++xvbg+=straining
out ^rp+pl+++=out
all ^rb++++=all
the ^ati++++=the
beeswax ^nn+++??+=beeswax
of ^in++++=of
discomfort ^nn++++=discomfort,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
storing ^vbg+++xvbg+=storing
up ^rp++++=up
little ^jj+atrb+++=little
jars ^nns++++=jars
of ^in++++=of
pure ^jj+atrb+++=pure
hydromel ^nn+++??+=hydromel.
. ^zz++++=EXTRAWORD
As ^ql++++=As
we ^pp1a+pp1+++=we
look ^vb++++=look
back ^jjb++++=back
at ^in++++=at
our ^pp$+pp1+++=our
six ^cd++++=six
weeks ^nns++++=weeks
in ^in++++=in
Norway ^np++++=Norway,
, ^zz++++=EXTRAWORD
we ^pp1a+pp1+++=we
agree ^vb+vpub+++=agree
that ^tht+vcmp+++=that
no ^at++++=no
period ^nn++++=period
of ^in++++=of
our ^pp$+pp1+++=our
partnership ^nn+nom+++=partnership
in ^in++++=in
experimental ^jj++++=experimental
honeymooning ^jj+++xvbg+=honeymooning
has ^vbz+hvz+aux++=has
yielded ^vprf+++xvbnx+=yielded
more ^rbr++++=more
honey ^nn++++=honey
to ^in++++=to
the ^ati++++=the
same ^ap++++=same
amount ^nn++++=amount
of ^in++++=of
comb ^nn++++=comb.
. ^zz++++=EXTRAWORD
Several ^ap++++=Several
considerations ^nns+nom+++=considerations
led ^vbd+++xvbn+=led
us ^pp1o+pp1+++=us
to ^in++++=to
the ^ati++++=the
resolve ^nn++++=resolve
of ^in++++=of
taking ^xvbg+++xvbg+=taking
our ^pp$+pp1+++=our
honeymoon ^nn++++=honeymoon
experimentally ^rb++++=experimentally
rather ^rb++++=rather
than ^in++++=than
chronologically ^rb++++=chronologically.
. ^zz++++=EXTRAWORD
We ^pp1a+pp1+++=We
started ^vbd+++xvbn+=started
from ^in++++=from
the ^ati++++=the
self ^nn++++=self-evident
- ^zz++++=EXTRAWORD
evident ^jj+atrb+++=EXTRAWORD
proposition ^nn+nom+++=proposition
that ^tht+ncmp+++=that
it ^pp3+it+++=it
ought ^md"+nec+pmd"++=ought
to ^md+nec+++=to
be ^vbi++vrb++=be
the ^ati++++=the
happiest ^jjt+atrb+++=happiest
time ^nn++++=time
in ^in++++=in
married ^jj+atrb++xvbn+=married
life ^nn++++=life.
. ^zz++++=EXTRAWORD
" ^zz++++="It
it ^pp3+it+++=EXTRAWORD
is ^vbz+bez+vrb++=is
perfectly ^rb+amp+++=perfectly
ridiculous ^jj+pred+++=ridiculous,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
my ^pp$+pp1+++=my
lady ^nn++++=lady
Graygown ^np+++??+=Graygown,
, ^zz++++=EXTRAWORD
" ^zz++++="to
to ^to++++=EXTRAWORD
suppose ^vbi+vprv+++=suppose
that ^tht+vcmp+++=that
a ^at++++=a
thing ^nn++++=thing
like ^in++++=like
that ^dt+pdem+++=that
can ^md+pos+++=can
be ^vb+be+aux++=be
fixed ^vpsv++by+xvbnx+=fixed
by ^in++++=by
the ^ati++++=the
calendar ^nn++++=calendar.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
may ^md+pos+++=may
possibly ^rb++++=possibly
fall ^nn++++=fall
in ^in++++=in
the ^ati++++=the
first ^od++++=first
month ^nn++++=month
after ^in++++=after
the ^ati++++=the
wedding ^nn++++=wedding,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
it ^pp3+it+++=it
is ^vbz+bez+vrb++=is
not ^xnot++not++=not
likely ^jj++++=likely.
. ^zz++++=EXTRAWORD
Just ^rb+emph+++=Just
think ^vb+vprv+++=think
how ^wrb+who+whcl++=how
slightly ^rb+down+++=slightly
two ^cd++++=two
people ^nns++++=people
know ^vb+vprv+++=know
each ^dt++++=each
other ^ap++++=other
when ^wrb+who+++=when
they ^pp3a+pp3+++=they
get ^vb++++=get
married ^jj+++xvbn+=married.
. ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They
are ^vb+ber+vrb++=are
in ^in++++=in
love ^nn++++=love,
, ^zz++++=EXTRAWORD
of ^in+emph+++=of
course ^nn+emph"+++=course,
, ^zz++++=EXTRAWORD
but ^cs+sub+++=but
that ^cs"++++=that
is ^vbz+bez+vrb++=is
not ^xnot++not++=not
at ^rb++++=at
all ^abn++++=all
the ^ati++++=the
same ^ap++++=same
as ^ql++++=as
being ^jj+++xvbg+=being
well ^rb++++=well
acquainted ^vpsv++agls+xvbn+=acquainted.
. ^zz++++=EXTRAWORD
Sometimes ^rb++++=Sometimes
the ^ati++++=the
more ^rbr++++=more
love ^nn++++=love,
, ^zz++++=EXTRAWORD
the ^ati++++=the
less ^rbr++++=less
acquaintance ^nn+nom+++=acquaintance!
! ^zz++++=EXTRAWORD
And ^cc+cls+++=And
sometimes ^rb++++=sometimes
the ^ati++++=the
more ^rbr++++=more
acquaintance ^nn+nom+++=acquaintance,
, ^zz++++=EXTRAWORD
the ^ati++++=the
less ^rbr++++=less
love ^nn++++=love!
! ^zz++++=EXTRAWORD
Besides ^rb++++=Besides,
, ^zz++++=EXTRAWORD
at ^rb++++=at
first ^rb"++++=first
there ^ex+pex+++=there
are ^vb+ber+vrb++=are
always ^rb++++=always
the ^ati++++=the
notes ^nns++++=notes
of ^in++++=of
thanks ^rb+dspt+++=thanks
for ^in++++=for
the ^ati++++=the
wedding ^nn++++=wedding-presents
- ^zz++++=EXTRAWORD
presents ^vbz++++=EXTRAWORD
to ^to++++=to
be ^vbi+vbi+aux++=be
written ^vpsv++agls+xvbnx+=written,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
letters ^nns+nom+++=letters
of ^in++++=of
congratulation ^nn+nom+++=congratulation
to ^to++++=to
be ^vbi+vbi+aux++=be
answered ^vpsv++agls+xvbnx+=answered,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
it ^pp3+it+++=it
is ^vbz+bez+vrb++=is
awfully ^ql++++=awfully
hard ^jj++++=hard
to ^to+jcmp+++=to
make ^vbi++++=make
each ^dt++++=each
one ^cd1++++=one
sound ^nn++++=sound
a ^rb++++=a
little ^rb"++++=little
different ^jj++++=different
from ^in++++=from
the ^ati++++=the
others ^aps++++=others
and ^cc++++=and
perfectly ^rb+amp+++=perfectly
natural ^jj++++=natural.
. ^zz++++=EXTRAWORD
Then ^rn+tm+++=Then,
, ^zz++++=EXTRAWORD
you ^pp2+pp2+++=you
know ^vb+vprv+++=know,
, ^zz++++=EXTRAWORD
everybody ^pn++++=everybody
seems ^vbz+seem+++=seems
to ^to+vcmp+++=to
suspect ^vbi+vprv+++=suspect
you ^pp2+pp2+++=you
of ^in++++=of
the ^ati++++=the
folly ^nn++++=folly
of ^in++++=of
being ^xvbg+++xvbg+=being
newly ^rb++++=newly
married ^jj+++xvbn+=married.
. ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You
run ^vbd+++xvbn+=run
across ^in+ppvb+++=across
your ^pp$+pp2+++=your
friends ^nns++++=friends
everywhere ^rb+cnj+++=everywhere,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
they ^pp3a+pp3+++=they
grin ^nn++++=grin
when ^wrb+who+++=when
they ^pp3a+pp3+++=they
see ^vb+vprv+tht0++=see
you ^pp2+pp2+++=you.
. ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You
can ^md+pos+++=can't
n't ^xnot++not++0=EXTRAWORD
help ^vb++++=help
feeling ^nvbg+++xvbg+=feeling
as ^cs+sub+++=as
if ^cs+cnd+++=if
a ^at++++=a
lot ^nn++++=lot
of ^in++++=of
people ^nns++++=people
were ^vbd+bed+aux++=were
watching ^vbg+++xvbgx+=watching
you ^pp2+pp2+++=you
through ^in++++=through
opera ^nn++++=opera-glasses,
- ^zz++++=EXTRAWORD
glasses ^nns++++=EXTRAWORD
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
taking ^vbg+++xvbg+=taking
snap ^nn++++=snap-shots
- ^zz++++=EXTRAWORD
shots ^nns++++=EXTRAWORD
at ^in++++=at
you ^pp2+pp2+++=you
with ^in++++=with
a ^at++++=a
kodak ^nn+++??+=kodak.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
is ^vbz+bez+vrb++=is
absurd ^jj+pred+++=absurd
to ^to++++=to
imagine ^vbi+vprv+++=imagine
that ^tht+vcmp+++=that
the ^ati++++=the
first ^od++++=first
month ^nn++++=month
must ^md+nec+++=must
be ^vb+be+vrb++=be
the ^ati++++=the
real ^jj+atrb+++=real
honeymoon ^nn++++=honeymoon.
. ^zz++++=EXTRAWORD
And ^cc+cls+++=And
just ^rb+emph+++=just
suppose ^vb+vprv+tht0++=suppose
it ^pp3+it+++=it
were ^vbd+bed+vrb++=were,
, ^zz++++=EXTRAWORD
what ^wdt+who+++=what
