Before ^cs+sub+++=Before
she ^pp3a+pp3+++=she
tried ^vbd+++xvbnx+=tried
to ^to+vcmp+++=to
be ^vbi++vrb++=be
a ^at++++=a
good ^jj+atrb+++=good
woman ^nn++++=woman
she ^pp3a+pp3+++=she
had ^vbd+hvd+aux++=had
been ^vprf+ben+vrb+xvbnx+=been
a ^at++++=a
very ^ql+amp+++=very
bad ^jj+atrb+++=bad
woman ^nn++++=woman--so
-- ^--+clp+++=EXTRAWORD
so ^ql+emph+++=EXTRAWORD
bad ^jj++++=bad
that ^tht+jcmp+++=that
she ^pp3a+pp3+++=she
could ^md+pos+++=could
trail ^vb++++=trail
her ^pp$+pp3+++=her
wonderful ^jj+atrb+++=wonderful
apparel ^nn+++??+=apparel
up ^rp++++=up
and ^cc+phrs+++=and
down ^rp++++=down
Main ^jjb+atrb+++=Main
Street ^nn++++=Street,
, ^zz++++=EXTRAWORD
from ^in++++=from
the ^ati++++=the
Elm ^nn++++=Elm
Tree ^nn++++=Tree
Bakery ^np+++??+=Bakery
to ^in++++=to
the ^ati++++=the
railroad ^nn++++=railroad
tracks ^nns++++=tracks,
, ^zz++++=EXTRAWORD
without ^in++++=without
once ^rb+tm+++=once
having ^vbg+hvg++xvbg+=having
a ^at++++=a
man ^nn++++=man
doff ^vb++++=doff
his ^pp$+pp3+++=his
hat ^nn++++=hat
to ^in++++=to
her ^pp$+pp3+++=her
or ^cc++++=or
a ^at++++=a
woman ^nn++++=woman
bow ^nn++++=bow.
. ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You
passed ^vbd+++xvbn+=passed
her ^pp$+pp3+++=her
on ^in++++=on
the ^ati++++=the
street ^nn++++=street
with ^in++++=with
a ^at++++=a
surreptitious ^jj+atrb+++=surreptitious
glance ^nn++++=glance,
, ^zz++++=EXTRAWORD
though ^cs+sub+++=though
she ^pp3a+pp3+++=she
was ^vbd+bedz+vrb++=was
well ^rb++++=well
worth ^nn++++=worth
looking ^vwbg+++xvbg+=looking
at ^in++++=at-in
- ^zz++++=EXTRAWORD
in ^in++++=EXTRAWORD
her ^pp$+pp3+++=her
furs ^vbz+++??+=furs
and ^cc++++=and
laces ^nns++++=laces
and ^cc++++=and
plumes ^nns+++??+=plumes.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
had ^vb+hv+vrb++=had
the ^ati++++=the
only ^rb+down+++=only
full ^jj++++=full-length
- ^zz++++=EXTRAWORD
length ^rb++++=EXTRAWORD
mink ^nn++++=mink
coat ^nn++++=coat
in ^in++++=in
our ^pp$+pp1+++=our
town ^nn++++=town,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
Ganz ^np++++=Ganz's
's ^$++++=EXTRAWORD
shoe ^nn++++=shoe
store ^nn++++=store
sent ^vbd+++xvbn+=sent
to ^in++++=to
Chicago ^np++++=Chicago
for ^in++++=for
her ^pp$+pp3+++=her
shoes ^nns++++=shoes.
. ^zz++++=EXTRAWORD
Hers ^pp$$++++=Hers
were ^vbd+bed+vrb++=were
the ^ati++++=the
miraculously ^rb++++=miraculously
small ^jj+atrb+++=small
feet ^nns++++=feet
you ^pp2+pp2+++=you
frequently ^rb++++=frequently
see ^vb+vprv+++=see
in ^in++++=in
stout ^jj+atrb+++=stout
women ^nns++++=women.
. ^zz++++=EXTRAWORD
Usually ^rb+down+++=Usually
she ^pp3a+pp3+++=she
walked ^vbd+++xvbnx+=walked
alone ^rb++++=alone;
; ^zz++++=EXTRAWORD
but ^cc+cls+++=but
on ^in++++=on
rare ^jj+atrb+++=rare
occasions ^nns++++=occasions,
, ^zz++++=EXTRAWORD
especially ^rb++++=especially
round ^in++++=round
Christmastime ^np+++??+=Christmastime,
, ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
might ^md+pos+++=might
have ^vb+hv+aux++=have
been ^vprf+ben+aux+xvbnx+=been
seen ^vpsv++agls+xvbnx+=seen
accompanied ^vpsv++by+xvbn+=accompanied
by ^in++++=by
some ^dti++++=some
silent ^jj++++=silent,
, ^zz++++=EXTRAWORD
dull ^jj++++=dull-eyed,
- ^zz++++=EXTRAWORD
eyed ^vbd+++xvbn+=EXTRAWORD
, ^zz++++=EXTRAWORD
stupid ^jj++++=stupid-looking
- ^zz++++=EXTRAWORD
