Along ^in++++=Along
in ^in++++=in
the ^ati++++=the
80's ^cd++++=80's
there ^ex+pex+++=there
occurred ^vprf+++xvbn+=occurred
a ^at++++=a
question ^nn+nom+++=question
of ^in++++=of
possession ^nn++++=possession
in ^in++++=in
regard ^in"++++=regard
to ^in++++=to
a ^at++++=a
brand ^nn++++=brand
of ^in++++=of
horses ^nns++++=horses,
, ^zz++++=EXTRAWORD
numbering ^nn++++=numbering
nearly ^rb+down+++=nearly
two ^cd++++=two
hundred ^cd++++=hundred
head ^jjb++++=head.
. ^zz++++=EXTRAWORD
Courts ^nns++++=Courts
had ^vbd+hvd+aux++=had
figured ^vprf+++xvbnx+=figured
in ^in++++=in
former ^ap++++=former
matters ^nns+nom+++=matters,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
at ^in++++=at
this ^dt+dem+++=this
time ^nn++++=time
they ^pp3a+pp3+++=they
were ^vbd+bed+aux++=were
not ^xnot++not++=not
appealed ^vbd+++xvbn+=appealed
to ^in+strn+++=to,
, ^zz++++=EXTRAWORD
owing ^in+cmpx+++=owing
to ^in"++++=to
the ^ati++++=the
circumstances ^nns+nom+++=circumstances.
. ^zz++++=EXTRAWORD
This ^dt+dem+++=This
incident ^nn++++=incident
occurred ^vbd+++xvbn+=occurred
on ^in++++=on
leased ^vbd+++xvbn+=leased
Indian ^jj+atrb+++=Indian
lands ^nns++++=lands
unprovided ^vbd+++xvbn+=unprovided
with ^in++++=with
civil ^jj+atrb+++=civil
courts, ^nn+++??+=courts,--in
-- ^--+clp+++=EXTRAWORD
in ^in++++=EXTRAWORD
a ^at++++=a
judicial ^jj+atrb+++=judicial
sense ^nn++++=sense,
, ^zz++++=EXTRAWORD
" ^zz++++="No-Man's-Land."
no-man ^jj+atrb+++=EXTRAWORD
's-land." ^nn+++??+=EXTRAWORD
At ^rb++++=At
this ^dt+dem+++=this
time ^nn++++=time
it ^pp3+it+++=it
seemed ^vbd+seem+tht0+xvbn+=seemed
that ^tht+vcmp+++=that
might ^md+pos+++=might
graced ^vbd+++xvbn+=graced
the ^ati++++=the
woolsack ^nn+++??+=woolsack,
, ^zz++++=EXTRAWORD
while ^cs+sub+++=while
on ^in++++=on
one ^cd1++++=one
side ^nn++++=side
Judge ^nn++++=Judge
Colt ^nn++++=Colt
cited ^vbd+++xvbn+=cited
his ^pp$+pp3+++=his
authority ^nn+nom+++=authority,
, ^zz++++=EXTRAWORD
only ^rb+down+++=only
to ^to++++=to
be ^vbi+vbi+aux++=be
reversed ^vpsv++by+xvbnx+=reversed
by ^in++++=by
Judge ^nn++++=Judge
Parker ^np++++=Parker,
, ^zz++++=EXTRAWORD
breech ^nn+++??+=breech-loader,
- ^zz++++=EXTRAWORD
loader ^nn++++=EXTRAWORD
, ^zz++++=EXTRAWORD
short ^jj++++=short-barreled,
- ^zz++++=EXTRAWORD
barreled ^jj+++xvbn+=EXTRAWORD
, ^zz++++=EXTRAWORD
a ^at++++=a
full ^jj++++=full-choke
- ^zz++++=EXTRAWORD
choke ^vb++++=EXTRAWORD
ten ^cd++++=ten
bore ^nn+++xvbn+=bore.
. ^zz++++=EXTRAWORD
The ^ati++++=The
clash ^nn++++=clash
of ^in++++=of
opinions ^nns++++=opinions
between ^in++++=between
these ^dt+dem+++=these
two ^cd++++=two
eminent ^jj+atrb+++=eminent
western ^jj+atrb+++=western
authorities ^nns+nom+++=authorities
was ^vbd+bedz+vrb++=was
short ^jj+pred+++=short,
, ^zz++++=EXTRAWORD
determined ^j+++xvbn+=determined,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
to ^in++++=to
the ^ati++++=the
point ^nn++++=point.
. ^zz++++=EXTRAWORD
A ^at++++=A
man ^nn++++=man
named ^vbd+++xvbn+=named
Gray ^np++++=Gray
had ^vbd+hvd+aux++=had
settled ^vprf+++xvbnx+=settled
in ^in++++=in
one ^pn++++=one
of ^in++++=of
the ^ati++++=the
northwest ^nr++++=northwest
counties ^nns++++=counties
in ^in++++=in
Texas ^np++++=Texas
while ^cs+sub+++=while
it ^pp3+it+++=it
was ^vbd+bedz+vrb++=was
yet ^rb++++=yet
the ^ati++++=the
frontier ^nn+nom+++=frontier,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
by ^in++++=by
industry ^nn++++=industry
and ^cc++++=and
economy ^nn++++=economy
of ^in++++=of
himself ^ppl+pp3+++=himself
and ^cc++++=and
family ^nn++++=family
had ^vbd+hvd+aux++=had
established ^vprf+++xvbnx+=established
a ^at++++=a
comfortable ^jj+atrb+++=comfortable
home ^nr++++=home.
. ^zz++++=EXTRAWORD
As ^in++++=As
a ^at++++=a
ranchman ^nn+nom+++=ranchman
he ^pp3a+pp3+++=he
had ^vbd+hvd+aux++=had
raised ^vprf+++xvbnx+=raised
the ^ati++++=the
brand ^nn++++=brand
of ^in++++=of
horses ^nns++++=horses
in ^in++++=in
question ^nn+nom+++=question.
. ^zz++++=EXTRAWORD
The ^ati++++=The
history ^nn++++=history
of ^in++++=of
this ^dt+dem+++=this
man ^nn++++=man
is ^vbz+bez+aux++=is
somewhat ^rb+down+splt++=somewhat
obscured ^vpsv++agls+xvbnx+=obscured
before ^in++++=before
his ^pp$+pp3+++=his
coming ^nvbg+++xvbg+=coming
to ^in++++=to
Texas ^np++++=Texas.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
it ^pp3+it+++=it
was ^vbd+bedz+aux++=was
known ^vpsv++agls+xvbnx+=known
and ^cc+phrs+++=and
admitted ^vbd+vpub++xvbn+=admitted
that ^tht+vcmp+++=that
he ^pp3a+pp3+++=he
was ^vbd+bedz+vrb++=was
a ^at++++=a
bankrupt ^nn++++=bankrupt,
, ^zz++++=EXTRAWORD
on ^in++++=on
account ^nn++++=account
of ^in++++=of
surety ^nn+++??+=surety
debts ^nns++++=debts
which ^whp+rel+obj++=which
he ^pp3a+pp3+++=he
was ^vbd+bedz+aux++=was
compelled ^vpsv++agls+xvbnx+=compelled
to ^to+vcmp+++=to
pay ^vbi++++=pay
for ^in++++=for
friends ^nns++++=friends
in ^in++++=in
his ^pp$+pp3+++=his
former ^ap++++=former
home ^nr++++=home
in ^in++++=in
Kentucky ^np+++??+=Kentucky.
. ^zz++++=EXTRAWORD
Many ^ap++++=Many
a ^at++++=a
good ^jj+atrb+++=good
man ^nn++++=man
had ^vbd+hvd+aux++=had
made ^vprf+++xvbnx+=made
similar ^jj+atrb+++=similar
mistakes ^nns++++=mistakes
before ^in++++=before
him ^pp3o+pp3+++=him.
. ^zz++++=EXTRAWORD
His ^pp$+pp3+++=His
neighbors ^nns++++=neighbors
spoke ^vbd+++xvbn+=spoke
well ^jj+pred+++=well
of ^in++++=of
him ^pp3o+pp3+++=him
in ^in++++=in
Texas ^np++++=Texas,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
he ^pp3a+pp3+++=he
was ^vbd+bedz+aux++=was
looked ^vpsv++agls+xvbnx+=looked
upon ^in++++=upon
as ^in++++=as
a ^at++++=a
good ^jj+atrb+++=good
citizen ^nn++++=citizen
in ^rb++++=in
general ^rb"++++=general.
. ^zz++++=EXTRAWORD
Ten ^cd++++=Ten
years ^nns++++=years
of ^in++++=of
privation ^nn+nom+++=privation
and ^cc++++=and
hardship ^nn+nom+++=hardship,
, ^zz++++=EXTRAWORD
in ^in++++=in
their ^pp$+pp3+++=their
new ^jj+atrb+++=new
home ^nr++++=home,
, ^zz++++=EXTRAWORD
had ^vbd+hvd+aux++=had
been ^vprf+ben+aux+xvbnx+=been
met ^vpsv++agls+xvbnx+=met
and ^cc+phrs+++=and
overcome ^vb+++xvbn+=overcome,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
now ^rn+tm+++=now
he ^pp3a+pp3+++=he
could ^md+pos+++=could
see ^vb+vprv+++=see
a ^at++++=a
ray ^nn++++=ray
of ^in++++=of
hope ^nn++++=hope
for ^in++++=for
the ^ati++++=the
better ^nn++++=better.
. ^zz++++=EXTRAWORD
The ^ati++++=The
little ^jj+atrb+++=little
prosperity ^nn+nom+++=prosperity
which ^whp+rel+subj++=which
was ^vbd+bedz+aux++=was
beginning ^vbg+++xvbgx+=beginning
to ^in++++=to
dawn ^nn++++=dawn
upon ^in++++=upon
himself ^ppl+pp3+++=himself
and ^cc++++=and
family ^nn++++=family
met ^vbd+++xvbn+=met
with ^in+ppvb+++=with
a ^at++++=a
sudden ^jj+atrb+++=sudden
shock ^nn++++=shock,
, ^zz++++=EXTRAWORD
in ^in++++=in
the ^ati++++=the
form ^nn++++=form
of ^in++++=of
an ^at++++=an
old ^jj+atrb+++=old
judgment ^nn+nom+++=judgment,
, ^zz++++=EXTRAWORD
which ^whp+rel+obj++=which
he ^pp3a+pp3+++=he
always ^rb++++=always
contended ^vbd+vpub+tht0+xvbn+=contended
his ^pp$+pp3+++=his
attorneys ^nns++++=attorneys
had ^vbd+hvd+aux++=had
paid ^vprf+++xvbnx+=paid.
. ^zz++++=EXTRAWORD
In ^in++++=In
some ^dti++++=some
manner ^nn++++=manner
this ^dt+dem+++=this
judgment ^nn+nom+++=judgment
was ^vbd+bedz+aux++=was
revived ^vpsv++agls+xvbnx+=revived,
, ^zz++++=EXTRAWORD
transferred ^xvbn+++xvbn+=transferred
to ^in++++=to
the ^ati++++=the
jurisdiction ^nn+nom+++=jurisdiction
of ^in++++=of
his ^pp$+pp3+++=his
district ^nn++++=district,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
an ^at++++=an
execution ^nn+nom+++=execution
issued ^vbd+++xvbn+=issued
against ^in++++=against
his ^pp$+pp3+++=his
property ^nn++++=property.
. ^zz++++=EXTRAWORD
Sheriff ^npt++++=Sheriff
Ninde ^np+++??+=Ninde
of ^in++++=of
this ^dt+dem+++=this
county ^nn++++=county
was ^vbd+bedz+vrb++=was
not ^xnot++not++=not
as ^in++++=as
wise ^jj++++=wise
as ^ql++++=as
he ^pp3a+pp3+++=he
should ^md+nec+++=should
have ^vb+hv+aux++=have
been ^vprf+ben+vrb+xvbnx+=been.
. ^zz++++=EXTRAWORD
When ^wrb+who+++=When
the ^ati++++=the
execution ^nn+nom+++=execution
was ^vbd+bedz+aux++=was
placed ^vpsv++agls+xvbnx+=placed
in ^in++++=in
his ^pp$+pp3+++=his
hands ^nns++++=hands,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
began ^vbd+++xvbnx+=began
to ^to++++=to
look ^vbi++++=look
about ^in++++=about
for ^in++++=for
property ^nn++++=property
to ^to++++=to
satisfy ^vbi++++=satisfy
the ^ati++++=the
judgment ^nn+nom+++=judgment.
. ^zz++++=EXTRAWORD
The ^ati++++=The
exemption ^nn+nom+++=exemption
laws ^nns++++=laws
allowed ^vwbn+++xvbn+=allowed
only ^rb+down+++=only
a ^at++++=a
certain ^jj+atrb+++=certain
number ^nn++++=number
of ^in++++=of
gentle ^jj+atrb+++=gentle
horses ^nns++++=horses,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
as ^ql++++=as
any ^dti++++=any
class ^nn++++=class
of ^in++++=of
range ^nn++++=range
horses ^nns++++=horses
had ^vb+hv+vrb++=had
a ^at++++=a
cash ^nn++++=cash
value ^nn++++=value
then ^rn+tm+++=then,
, ^zz++++=EXTRAWORD
this ^dt+dem+++=this
brand ^nn++++=brand
of ^in++++=of
horses ^nns++++=horses
was ^vbd+bedz+aux++=was
levied ^vpsv++agls+xvbnx+=levied
on ^in++++=on
to ^to++++=to
satisfy ^vbi++++=satisfy
the ^ati++++=the
judgment ^nn+nom+++=judgment.
. ^zz++++=EXTRAWORD
The ^ati++++=The
range ^nn++++=range
on ^in++++=on
which ^whp+rel+pied++=which
these ^dt+dem+++=these
horses ^nns++++=horses
were ^vbd+bed+aux++=were
running ^vbg+++xvbgx+=running
was ^vbd+bedz+vrb++=was
at ^rb++++=at
this ^dt+dem+++=this
time ^nn++++=time
an ^at++++=an
open ^jj+atrb+++=open
one ^pn++++=one,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
sheriff ^nn++++=sheriff
either ^dtx++++=either
relied ^jj+++xvbn+=relied
on ^in++++=on
his ^pp$+pp3+++=his
reputation ^nn+nom+++=reputation
as ^in++++=as
a ^at++++=a
bad ^jj+atrb+++=bad
man ^nn++++=man,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
probably ^rb++++=probably
did ^vbd+dod+aux++=did
not ^xnot++not++=not
know ^vb+vprv+++=know
any ^dti++++=any
better ^jjr++++=better.
. ^zz++++=EXTRAWORD
The ^ati++++=The
question ^nn+nom+++=question
of ^in++++=of
possession ^nn++++=possession
did ^vbd+dod+aux++=did
not ^xnot++not++=not
bother ^vb++++=bother
him ^pp3o+pp3+++=him.
. ^zz++++=EXTRAWORD
Still ^rb++++=Still
this ^dt+dem+++=this
stock ^nn++++=stock
was ^vbd+bedz+vrb++=was
as ^ql++++=as
liable ^jj++++=liable
to ^to+jcmp+++=to
range ^vb++++=range
in ^in++++=in
one ^cd1++++=one
county ^npl++++=county
as ^ql++++=as
another ^dt++++=another.
. ^zz++++=EXTRAWORD
There ^ex+pex+++=There
is ^vbz+bez+vrb++=is
one ^cd1++++=one
thing ^nn++++=thing
quite ^rb++++=quite
evident ^jj++++=evident:
: ^zz++++=EXTRAWORD
the ^ati++++=the
sheriff ^npt++++=sheriff
had ^vbd+hvd+aux++=had
overlooked ^vprf+++xvbnx+=overlooked
the ^ati++++=the
nature ^nn++++=nature
of ^in++++=of
this ^dt+dem+++=this
man ^nn++++=man
Gray ^np++++=Gray,
, ^zz++++=EXTRAWORD
for ^in++++=for
he ^pp3a+pp3+++=he
was ^vbd+bedz+vrb++=was
no ^at++++=no
weakling ^nn+nom+++=weakling,
, ^zz++++=EXTRAWORD
inclined ^jj+++xvbn+=inclined
to ^to+jcmp+++=to
sit ^vbi++++=sit
down ^rb+phrv+++=down
and ^cc++++=and
cry ^nn++++=cry.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
was ^vbd+bedz+aux++=was
thought ^vpsv++agls+xvbnx+=thought
that ^tht+vcmp+++=that
legal ^jj+atrb+++=legal
advice ^nn++++=advice
caused ^vbd+++xvbn+=caused
him ^pp3o+pp3+++=him
to ^to++++=to
take ^vbi++++=take
the ^ati++++=the
step ^nn++++=step
he ^pp3a+pp3+++=he
did ^vbd+dod+vrb++=did,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
it ^pp3+it+++=it
may ^md+pos+++=may
be ^vb+be+aux++=be
admitted ^vpsv++agls+xvbnx+=admitted,
, ^zz++++=EXTRAWORD
with ^in++++=with
no ^at++++=no
degree ^nn++++=degree
of ^in++++=of
shame ^nn++++=shame,
, ^zz++++=EXTRAWORD
that ^tht+vcmp+++=that
advice ^nn++++=advice
was ^vbd+bedz+aux++=was
often ^rb++splt++=often
given ^vpsv++agls+xvbnx+=given
on ^in++++=on
lines ^nns++++=lines
of ^in++++=of
justice ^nn++++=justice
if ^cs+cnd+++=if
not ^xnot++not++=not
of ^in++++=of
law ^nn++++=law,
, ^zz++++=EXTRAWORD
in ^in++++=in
the ^ati++++=the
Lone ^jjb+atrb+++=Lone
Star ^nn++++=Star
State ^nn++++=State.
. ^zz++++=EXTRAWORD
There ^ex+pex+++=There
was ^vbd+bedz+vrb++=was
a ^at++++=a
time ^nn++++=time
when ^wrb+who+++=when
the ^ati++++=the
decisions ^nns++++=decisions
of ^in++++=of
Judge ^nn++++=Judge
Lynch ^np+++??+=Lynch
in ^cs+sub+++=in
that ^cs"++++=that
State ^nn++++=State
had ^vb+hv+vrb++=had
the ^ati++++=the
hearty ^jj+atrb+++=hearty
approval ^nn+nom+++=approval
of ^in++++=of
