It ^pp3+it+++=It
had ^vbd+hvd+aux++=had
been ^vprf+ben+vrb+xvbnx+=been
a ^at++++=a
stag ^nn++++=stag
dinner ^nn++++=dinner.
. ^zz++++=EXTRAWORD
These ^dt+dem+++=These
men ^nns++++=men
still ^rb++++=still
came ^vbd+++xvbn+=came
together ^nn+nom+++=together
once ^rb+tm+++=once
in ^in++++=in
a ^at++++=a
while ^cs+sub+++=while
without ^in++++=without
their ^pp$+pp3+++=their
wives ^nns++++=wives
as ^ql++++=as
they ^pp3a+pp3+++=they
had ^vbd+hvd+aux++=had
done ^vprf+++xvbnx+=done
when ^wrb+who+++=when
they ^pp3a+pp3+++=they
were ^vbd+bed+vrb++=were
bachelors ^nns++++=bachelors.
. ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They
would ^md+prd+++=would
eat ^vb++++=eat
for ^in++++=for
a ^at++++=a
long ^jj+atrb+++=long
time ^nn++++=time,
, ^zz++++=EXTRAWORD
drink ^vb++++=drink
for ^in++++=for
a ^at++++=a
long ^jj+atrb+++=long
time ^nn++++=time;
; ^zz++++=EXTRAWORD
they ^pp3a+pp3+++=they
would ^md+prd+++=would
talk ^vb++++=talk
of ^in++++=of
everything ^pn++++=everything,
, ^zz++++=EXTRAWORD
stir ^nn++++=stir
up ^rp++++=up
those ^dt+dem+++=those
old ^jj+atrb+++=old
and ^cc+phrs+++=and
joyful ^jj+atrb+++=joyful
memories ^nns++++=memories
which ^whp+rel+subj++=which
bring ^vb++++=bring
a ^at++++=a
smile ^nn++++=smile
to ^in++++=to
the ^ati++++=the
lip ^nn++++=lip
and ^cc++++=and
a ^at++++=a
tremor ^nn++++=tremor
to ^in++++=to
the ^ati++++=the
heart ^nn++++=heart.
. ^zz++++=EXTRAWORD
One ^pn++++=One
of ^in++++=of
them ^pp3o+pp3+++=them
was ^vbd+bedz+aux++=was
saying ^vbg+++xvbgx+=saying:
: ^zz++++=EXTRAWORD
" ^zz++++="Georges,
georges ^nps++++=EXTRAWORD
, ^zz++++=EXTRAWORD
do ^vb+do+aux++=do
you ^pp2+pp2+++=you
remember ^nn+nom+++=remember
our ^pp$+pp1+++=our
excursion ^nn++++=excursion
to ^in++++=to
Saint ^nn++++=Saint-Germain
- ^zz++++=EXTRAWORD
germain ^np++++=EXTRAWORD
with ^in++++=with
those ^dt+dem+++=those
two ^cd++++=two
little ^jj+atrb+++=little
girls ^nns++++=girls
from ^in++++=from
Montmartre ^np++++=Montmartre?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
should ^md+nec+++=should
say ^vb+vpub+tht0++=say
I ^pp1a+pp1+++=I
do ^vb+do+vrb++=do!"
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
And ^cc++++=And
a ^rb++++=a
little ^rb"++++=little
detail ^nn++++=detail
here ^rn+pl+++=here
or ^cc++++=or
there ^ex+pex+++=there
would ^md+prd+++=would
be ^vb+be+aux++=be
remembered ^vpsv++agls+xvbnx+=remembered,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
all ^rb++++=all
these ^dt+dem+++=these
things ^nns++++=things
brought ^vbd+++xvbn+=brought
joy ^np++++=joy
to ^in++++=to
the ^ati++++=the
hearts ^nns++++=hearts.
. ^zz++++=EXTRAWORD
The ^ati++++=The
conversation ^nn+nom+++=conversation
turned ^vbd+++xvbn+=turned
on ^rb+phrv+++=on
marriage ^nn+nom+++=marriage,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
each ^dt++++=each
one ^cd1++++=one
said ^vbd+vpub++xvbn+=said
with ^in++++=with
a ^at++++=a
sincere ^jj+atrb+++=sincere
air ^nn++++=air:
: ^zz++++=EXTRAWORD
" ^zz++++="Oh,
oh ^uh++++=EXTRAWORD
, ^zz++++=EXTRAWORD
if ^cs+cnd+++=if
it ^pp3+it+++=it
were ^vbd+bed+aux++=were
to ^to++++=to
do ^vbi++++=do
over ^rb+phrv+++=over
again ^rb+tm+++=again!"
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Georges ^np+++??+=Georges
Duportin ^np+++??+=Duportin
added ^vbd+vpub++xvbn+=added:
: ^zz++++=EXTRAWORD
" ^zz++++="It's
it ^pp3+it+++=EXTRAWORD
's ^vbz+bez+vrb++0=EXTRAWORD
strange ^jj++++=strange
how ^wrb+who+++=how
easily ^rb++++=easily
one ^cd1++++=one
falls ^vbz++++=falls
into ^in+ppvb+++=into
it ^pp3+it+++=it.
. ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You
have ^vb+hv+aux++=have
fully ^rb+amp+splt++=fully
decided ^vprf+++xvbnx+=decided
never ^rb++++=never
to ^to++++=to
marry ^vbi++++=marry;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
then ^rn+tm+++=then,
, ^zz++++=EXTRAWORD
in ^in++++=in
the ^ati++++=the
springtime ^nn++++=springtime,
, ^zz++++=EXTRAWORD
you ^pp2+pp2+++=you
go ^vb++++=go
to ^in++++=to
the ^ati++++=the
country ^nn++++=country;
; ^zz++++=EXTRAWORD
the ^ati++++=the
weather ^nn++++=weather
is ^vbz+bez+vrb++=is
warm ^jj+pred+++=warm;
; ^zz++++=EXTRAWORD
the ^ati++++=the
summer ^nn++++=summer
is ^vbz+bez+vrb++=is
beautiful ^jj+pred+++=beautiful;
; ^zz++++=EXTRAWORD
the ^ati++++=the
fields ^nns++++=fields
are ^vb+ber+vrb++=are
full ^jj+pred+++=full
of ^in++++=of
flowers ^nns+nom+++=flowers;
; ^zz++++=EXTRAWORD
you ^pp2+pp2+++=you
meet ^vb++++=meet
a ^at++++=a
young ^jj+atrb+++=young
girl ^nn++++=girl
at ^in++++=at
some ^dti++++=some
friend ^nn++++=friend's
's ^$++++=EXTRAWORD
house ^nn++++=house--crash!
-- ^--+clp+++=EXTRAWORD
crash ^nn++++=EXTRAWORD
! ^zz++++=EXTRAWORD
all ^abn++++=all
is ^vbz+bez+vrb++=is
over ^in+strn+++=over.
. ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You
return ^nn++++=return
married ^vbd+++xvbn+=married!"
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Pierre ^&fw++++=Pierre
Letoile ^np+++??+=Letoile
exclaimed ^vbd+++xvbn+=exclaimed:
: ^zz++++=EXTRAWORD
" ^zz++++="Correct!
correct ^jj++++=EXTRAWORD
! ^zz++++=EXTRAWORD
that ^dt+pdem+++=that
is ^vbz+bez+vrb++=is
exactly ^rb++++=exactly
my ^pp$+pp1+++=my
case ^nn++++=case,
, ^zz++++=EXTRAWORD
only ^rb+down+++=only
there ^ex+pex+++=there
were ^vbd+bed+vrb++=were
some ^dti++++=some
peculiar ^jj+atrb+++=peculiar
incidents ^nns++++=incidents--"
-- ^--+clp+++=EXTRAWORD
" ^zz++++=EXTRAWORD
His ^pp$+pp3+++=His
friend ^nn++++=friend
interrupted ^vbd+++xvbn+=interrupted
him ^pp3o+pp3+++=him:
: ^zz++++=EXTRAWORD
" ^zz++++="As
as ^in++++=EXTRAWORD
for ^in"++++=for
you ^pp2+pp2+++=you,
, ^zz++++=EXTRAWORD
you ^pp2+pp2+++=you
have ^vb+hv+vrb++=have
no ^at++++=no
cause ^vb++++=cause
to ^to+vcmp+++=to
complain ^vbi+vpub+++=complain.
. ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You
have ^vb+hv+vrb++=have
the ^ati++++=the
most ^ql+emph+++=most
charming ^jj+atrb++xvbg+=charming
wife ^nn++++=wife
in ^in++++=in
the ^ati++++=the
world ^nn++++=world,
, ^zz++++=EXTRAWORD
pretty ^rb+cnj+++=pretty,
, ^zz++++=EXTRAWORD
amiable ^jj++++=amiable,
, ^zz++++=EXTRAWORD
perfect ^jj++++=perfect!
! ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You
are ^vb+ber+vrb++=are
undoubtedly ^rb++++=undoubtedly
the ^ati++++=the
happiest ^jjt+atrb+++=happiest
one ^pn++++=one
of ^in++++=of
us ^pp1o+pp1+++=us
all ^rb++++=all."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
The ^ati++++=The
other ^ap++++=other
one ^cd1++++=one
continued ^jj+++xvbn+=continued:
: ^zz++++=EXTRAWORD
" ^zz++++="It's
it ^pp3+it+++=EXTRAWORD
's ^vbz+bez+vrb++0=EXTRAWORD
not ^xnot++not++=not
my ^pp$+pp1+++=my
fault ^nn++++=fault."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="How
how ^wrb+who+++=EXTRAWORD
so ^ql++++=so?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="It
it ^pp3+it+++=EXTRAWORD
is ^vbz+bez+vrb++=is
true ^jj+pred+++=true
that ^tht+jcmp+++=that
I ^pp1a+pp1+++=I
have ^vb+hv+vrb++=have
a ^at++++=a
perfect ^jj+atrb+++=perfect
wife ^nn++++=wife,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
I ^pp1a+pp1+++=I
certainly ^rb++++=certainly
married ^jj+++xvbn+=married
her ^pp3o+pp3+++=her
much ^ap++++=much
against ^in++++=against
my ^pp$+pp1+++=my
will ^md+prd+++=will."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Nonsense!"
nonsense ^nn++++=EXTRAWORD
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Yes--this
yes ^uh++++=EXTRAWORD
-- ^--+clp+++=EXTRAWORD
this ^dt+pdem+++=EXTRAWORD
is ^vbz+bez+vrb++=is
the ^ati++++=the
adventure ^nn++++=adventure.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
was ^vbd+bedz+vrb++=was
thirty ^cd++++=thirty-five,
- ^zz++++=EXTRAWORD
five ^cd++++=EXTRAWORD
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
I ^pp1a+pp1+++=I
had ^vb+hv+vrb++=had
no ^at++++=no
more ^rbr++++=more
idea ^nn++++=idea
of ^in++++=of
marrying ^nn++++=marrying
than ^in++++=than
I ^pp1a+pp1+++=I
had ^vb+hv+vrb++=had
of ^in++++=of
hanging ^xvbg+++xvbg+=hanging
myself ^ppl+pp1+++=myself.
. ^zz++++=EXTRAWORD
Young ^jj+atrb+++=Young
girls ^nns++++=girls
seemed ^vbd+seem++xvbn+=seemed
to ^to+vcmp+++=to
me ^vbi++++=me
to ^to++++=to
be ^vbi++vrb++=be
inane ^jj+pred+++=inane,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
I ^pp1a+pp1+++=I
loved ^vbd+++xvbnx+=loved
pleasure ^nn++++=pleasure.
. ^zz++++=EXTRAWORD
" ^zz++++="During
during ^in++++=EXTRAWORD
the ^ati++++=the
month ^nn++++=month
of ^in++++=of
May ^md+pos+++=May
I ^pp1a+pp1+++=I
was ^vbd+bedz+aux++=was
invited ^vpsv++agls+xvbnx+=invited
to ^in++++=to
the ^ati++++=the
wedding ^nn++++=wedding
of ^in++++=of
my ^pp$+pp1+++=my
cousin ^nn++++=cousin,
, ^zz++++=EXTRAWORD
Simon ^np++++=Simon
d ^zz++++=d'Erabel,
'erabel, ^nn+++??+=EXTRAWORD
in ^in++++=in
Normandy ^np++++=Normandy.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
was ^vbd+bedz+vrb++=was
a ^at++++=a
regular ^jj+atrb+++=regular
Normandy ^np++++=Normandy
wedding ^nn++++=wedding.
. ^zz++++=EXTRAWORD
We ^pp1a+pp1+++=We
sat ^vbd+++xvbn+=sat
down ^rb+phrv+++=down
at ^rb++++=at
the ^ati++++=the
table ^nn++++=table
at ^in++++=at
five ^cd++++=five
o'clock ^rb++++=o'clock
in ^in++++=in
the ^ati++++=the
evening ^nn++++=evening
and ^cc++++=and
at ^in++++=at
eleven ^cd++++=eleven
o'clock ^rb++++=o'clock
