That ^dt+pdem+++=That
which ^whp+rel+obj++=which
certain ^jj+atrb+++=certain
people ^nns++++=people
do ^vb+do+aux++=do
not ^xnot++not++=not
know ^vb+vprv+++=know,
, ^zz++++=EXTRAWORD
is ^vbz+bez+vrb++=is
a ^at++++=a
the ^ati++++=the
truth ^nn++++=truth
concerning ^in++++=concerning
the ^ati++++=the
decease ^nn++++=decease
of ^in++++=of
the ^ati++++=the
Duke ^nn++++=Duke
of ^in++++=of
Orleans ^nns+nom++??+=Orleans,
, ^zz++++=EXTRAWORD
brother ^nn++++=brother
of ^in++++=of
King ^nn++++=King
Charles ^np++++=Charles
Vi ^np+++??+=VI.,
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
a ^at++++=a
death ^nn++++=death
which ^whp+rel+subj++=which
proceeded ^vbd+++xvbn+=proceeded
from ^in++++=from
a ^at++++=a
great ^jj+atrb+++=great
number ^nn++++=number
of ^in++++=of
causes ^nns++++=causes,
, ^zz++++=EXTRAWORD
one ^pn++++=one
of ^in++++=of
which ^whp+rel+pied++=which
will ^md+prd+++=will
be ^vb+be+vrb++=be
the ^ati++++=the
subject ^nn++++=subject
of ^in++++=of
this ^dt+dem+++=this
narrative ^nn++++=narrative.
. ^zz++++=EXTRAWORD
This ^dt+dem+++=This
prince ^nn++++=prince
was ^vbd+bedz+vrb++=was
for ^rb++++=for
certain ^rb"++++=certain
the ^ati++++=the
most ^ql+emph+++=most
lecherous ^jj++++=lecherous
of ^in++++=of
all ^abn++++=all
the ^ati++++=the
royal ^jj+atrb+++=royal
race ^nn++++=race
of ^in++++=of
Monseigneur ^np+++??+=Monseigneur
St ^npl++++=St.
. ^zz++++=EXTRAWORD
Louis ^np++++=Louis
( ^zz++++=(who
who ^whp+who+++=EXTRAWORD
was ^vbd+bedz+vrb++=was
in ^in++++=in
his ^pp$+pp3+++=his
life ^nn++++=life
time ^nn++++=time
King ^nn++++=King
of ^in++++=of
France ^np++++=France),
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
without ^in++++=without
even ^rb++++=even
putting ^vbg+++xvbg+=putting
on ^rb+phrv+++=on
one ^cd1++++=one
side ^nn++++=side
some ^dti++++=some
of ^in++++=of
the ^ati++++=the
most ^ql+emph+++=most
debauched ^jj++++=debauched
of ^in++++=of
this ^dt+dem+++=this
fine ^jj+atrb+++=fine
family ^nn++++=family,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
was ^vbd+bedz+vrb++=was
so ^ql++++=so
concordant ^nn+nom+++=concordant
with ^in++++=with
the ^ati++++=the
vices ^nns++++=vices
and ^cc++++=and
especial ^jj+atrb+++=especial
qualities ^nns+nom+++=qualities
of ^in++++=of
our ^pp$+pp1+++=our
brave ^jj+atrb+++=brave
and ^cc+phrs+++=and
pleasureseeking ^jj+atrb++xvbg+=pleasureseeking
nation ^nn++++=nation,
, ^zz++++=EXTRAWORD
