One ^cd1++++=One
night ^nn++++=night
about ^in++++=about
eleven ^cd++++=eleven
o'clock ^rb++++=o'clock
I ^pp1a+pp1+++=I
stood ^vbd+++xvbnx+=stood
at ^rb++++=at
the ^ati++++=the
stern ^nn++++=stern
of ^in++++=of
that ^dt+dem+++=that
fine ^jj+atrb+++=fine
Atlantic ^np++++=Atlantic
steamship ^nn+nom+++=steamship,
, ^zz++++=EXTRAWORD
the ^ati++++=the
City ^nn++++=City
of ^in++++=of
Venice ^np++++=Venice,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
was ^vbd+bedz+aux++=was
ploughing ^vbg+++xvbgx+=ploughing
its ^pp$+it+++=its
way ^nn++++=way
through ^in++++=through
the ^ati++++=the
darkness ^nns+nom+++=darkness
towards ^in++++=towards
America ^np++++=America.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
leaned ^vbd+++xvbnx+=leaned
on ^in++++=on
the ^ati++++=the
rounded ^jj+atrb++xvbn+=rounded
bulwark ^nn++++=bulwark
and ^cc++++=and
enjoyed ^vbd+++xvbn+=enjoyed
a ^at++++=a
smoke ^nn++++=smoke
as ^ql++++=as
I ^pp1a+pp1+++=I
gazed ^vbd+++xvbnx+=gazed
on ^in++++=on
the ^ati++++=the
luminous ^jj+atrb+++=luminous
trail ^nn++++=trail
the ^ati++++=the
wheel ^nn++++=wheel
was ^vbd+bedz+aux++=was
making ^vbg+++xvbgx+=making
in ^in++++=in
the ^ati++++=the
quiet ^nn++++=quiet
sea ^nn++++=sea.
. ^zz++++=EXTRAWORD
Some ^dti++++=Some
one ^cd1++++=one
touched ^vbd+++xvbn+=touched
me ^pp1o+pp1+++=me
on ^in++++=on
the ^ati++++=the
shoulder ^nn+nom+++=shoulder,
, ^zz++++=EXTRAWORD
saying ^vbg+++xvbg+=saying,
, ^zz++++=EXTRAWORD
" ^zz++++="Beg
beg ^vb++++=EXTRAWORD
pardon ^nn++++=pardon,
, ^zz++++=EXTRAWORD
sir ^npt++++=sir;"
; ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
and ^cc++++=and,
, ^zz++++=EXTRAWORD
on ^in++++=on
straightening ^xvbg+++xvbg+=straightening
up ^rp++++=up,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
saw ^vbd+vprv++xvbnx+=saw
in ^in++++=in
the ^ati++++=the
dim ^jj+atrb+++=dim
light ^nn++++=light
a ^at++++=a
man ^nn++++=man
whom ^whp+rel+obj++=whom
at ^rb++++=at
first ^rb"++++=first
I ^pp1a+pp1+++=I
took ^vbd+++xvbnx+=took
to ^to+vcmp+++=to
be ^vbi++vrb++=be
one ^pn++++=one
of ^in++++=of
the ^ati++++=the
steerage ^nn+nom+++=steerage
passengers ^nns+nom+++=passengers.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
thought ^vbd+++xvbnx+=thought
he ^pp3a+pp3+++=he
wanted ^vbd+++xvbnx+=wanted
to ^to+vcmp+++=to
get ^vbi++++=get
past ^nn++++=past
me ^pp1o+pp1+++=me,
, ^zz++++=EXTRAWORD
for ^in++++=for
the ^ati++++=the
room ^nn++++=room
was ^vbd+bedz+aux++=was
rather ^rb++splt++=rather
restricted ^vpsv++agls+xvbnx+=restricted
in ^in++++=in
the ^ati++++=the
passage ^nn+nom+++=passage
between ^in++++=between
the ^ati++++=the
aft ^jjb+atrb+++=aft
wheelhouse ^nn++++=wheelhouse
and ^cc++++=and
the ^ati++++=the
stern ^nn++++=stern,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
I ^pp1a+pp1+++=I
moved ^vbd+++xvbnx+=moved
aside ^rp++++=aside.
. ^zz++++=EXTRAWORD
The ^ati++++=The
man ^nn++++=man
looked ^vbd+++xvbn+=looked
hurriedly ^rb++++=hurriedly
to ^to++++=to
one ^cd1++++=one
side ^nn++++=side
and ^cc++++=and
then ^rn+tm+++=then
the ^ati++++=the
other ^ap++++=other
and ^cc++++=and,
, ^zz++++=EXTRAWORD
approaching ^jj+++xvbg+=approaching,
, ^zz++++=EXTRAWORD
said ^j+++xvbn+=said
in ^in++++=in
a ^at++++=a
whisper ^nn++++=whisper,
, ^zz++++=EXTRAWORD
" ^zz++++="I'm
i ^pp1a+pp1+++=EXTRAWORD
'm ^vb+bem+aux++0=EXTRAWORD
starving ^vbg+++xvbgx+=starving,
, ^zz++++=EXTRAWORD
sir ^npt++++=sir!"
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Why
why ^wrb+who+++=EXTRAWORD
do ^vb+do+vrb++=don't
n't ^xnot++not++0=EXTRAWORD
you ^pp2+pp2+++=you
go ^vb++++=go
and ^cc+phrs+++=and
get ^vb++++=get
something ^pn++++=something
to ^to++++=to
eat ^vbi++++=eat,
, ^zz++++=EXTRAWORD
then ^rn+tm+++=then?
? ^zz++++=EXTRAWORD
Do ^vb+do+vrb++=Don't
n't ^xnot++not++0=EXTRAWORD
they ^pp3a+pp3+++=they
give ^vb++++=give
you ^pp2+pp2+++=you
plenty ^nn++++=plenty
forward ^nn++++=forward?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
suppose ^vb+vprv+tht0++=suppose
they ^pp3a+pp3+++=they
do ^vb+do+vrb++=do,
, ^zz++++=EXTRAWORD
sir ^npt++++=sir;
; ^zz++++=EXTRAWORD
but ^cc+cls+++=but
I ^pp1a+pp1+++=I'm
'm ^vb+bem+vrb++0=EXTRAWORD
a ^at++++=a
stowaway ^nn+++??+=stowaway.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
got ^vbd+++xvbnx+=got
on ^in++++=on
at ^rb++++=at
Liverpool ^np++++=Liverpool.
. ^zz++++=EXTRAWORD
What ^wdt+who+++=What
little ^rb++++=little
I ^pp1a+pp1+++=I
took ^vbd+++xvbnx+=took
with ^in++++=with
me ^pp1o+pp1+++=me
is ^vbz+bez+aux++=is
gone ^vpsv++agls+xvbnx+=gone,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
for ^in++++=for
two ^cd++++=two
days ^nns++++=days
I ^pp1a+pp1+++=I've
've ^vb+hv+aux++0=EXTRAWORD
'd ^md+prd+vrb++=had
nothing ^pn++++=nothing."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Come
come ^vprf+++xvbn+=EXTRAWORD
with ^in++++=with
me ^pp1o+pp1+++=me.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I'll
'll ^md+prd+++0=EXTRAWORD
take ^vb++++=take
you ^pp2+pp2+++=you
to ^in++++=to
the ^ati++++=the
steward ^nn++++=steward,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he'll
'll ^md+prd+++0=EXTRAWORD
fix ^vb++++=fix
you ^pp2+pp2+++=you
all ^abn++++=all
right ^jj++++=right."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Oh,
oh ^uh++++=EXTRAWORD
, ^zz++++=EXTRAWORD
no ^at++++=no,
, ^zz++++=EXTRAWORD
no ^at++++=no,
, ^zz++++=EXTRAWORD
no ^at++++=no,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
cried ^vbd+++xvbnx+=cried,
, ^zz++++=EXTRAWORD
trembling ^jj+++xvbg+=trembling
with ^in++++=with
excitement ^nn+nom+++=excitement.
. ^zz++++=EXTRAWORD
" ^zz++++="If
if ^cs+cnd+++=EXTRAWORD
you ^pp2+pp2+++=you
speak ^vb++++=speak
to ^in++++=to
any ^dti++++=any
of ^in++++=of
the ^ati++++=the
officers ^nns+nom+++=officers
or ^cc++++=or
crew ^nn++++=crew
I ^pp1a+pp1+++=I'm
'm ^vb+bem+aux++0=EXTRAWORD
lost ^vpsv++agls+xvbnx+=lost.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
assure ^vb++++=assure
you ^pp2+pp2+++=you,
, ^zz++++=EXTRAWORD
sir ^npt++++=sir,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I'm
'm ^vb+bem+vrb++0=EXTRAWORD
an ^at++++=an
honest ^jj+atrb+++=honest
man ^nn++++=man,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
am ^vb+bem+vrb++=am
indeed ^rb+cnj+++=indeed,
, ^zz++++=EXTRAWORD
sir ^npt++++=sir.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It's
's ^vbz+bez+vrb++0=EXTRAWORD
the ^ati++++=the
old ^jj+atrb+++=old
story ^nn++++=story--nothing
-- ^--+clp+++=EXTRAWORD
nothing ^pn++++=EXTRAWORD
but ^cc++++=but
starvation ^nn+nom+++=starvation
at ^in++++=at
home ^nr++++=home,
, ^zz++++=EXTRAWORD
so ^ql++++=so
my ^pp$+pp1+++=my
only ^ap+down+++=only
chance ^nn++++=chance
seemed ^vbd+seem++xvbn+=seemed
to ^to+vcmp+++=to
be ^vbi+vbi+aux++=be
to ^to++++=to
get ^vbi++++=get
this ^dt+dem+++=this
way ^nn++++=way
to ^in++++=to
America ^np++++=America.
. ^zz++++=EXTRAWORD
If ^cs+cnd+++=If
I ^pp1a+pp1+++=I'm
'm ^vb+bem+aux++0=EXTRAWORD
caught ^vpsv++agls+xvbnx+=caught
I ^pp1a+pp1+++=I
shall ^md+prd+++=shall
get ^vb++++=get
dreadful ^jj+atrb+++=dreadful
usage ^nn++++=usage
and ^cc++++=and
will ^md+prd+++=will
be ^vb+be+aux++=be
taken ^vpsv++agls+xvbnx+=taken
back ^rb+phrv+++=back
and ^cc++++=and
put ^vpsv++agls+xvbn+=put
in ^rb+phrv+++=in
jail ^nn++++=jail."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Oh,
oh ^uh++++=EXTRAWORD
, ^zz++++=EXTRAWORD
you ^pp2+pp2+++=you're
're ^vb+ber+aux++0=EXTRAWORD
mistaken ^vpsv++agls+xvbnx+=mistaken.
. ^zz++++=EXTRAWORD
The ^ati++++=The
officers ^nns+nom+++=officers
are ^vb+ber+vrb++=are
all ^abn++++=all
courteous ^jj+atrb+++=courteous
gentlemen ^nns++++=gentlemen."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Yes,
yes ^uh++++=EXTRAWORD
, ^zz++++=EXTRAWORD
to ^in++++=to
you ^pp2+pp2+++=you
cabin ^nn++++=cabin
passengers ^nns+nom+++=passengers
they ^pp3a+pp3+++=they
are ^vb+ber+vrb++=are.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
to ^in++++=to
a ^at++++=a
stowaway--that ^nn+++??+=stowaway--that's
's ^$++++=EXTRAWORD
a ^at++++=a
different ^jj+atrb+++=different
matter ^nn++++=matter.
. ^zz++++=EXTRAWORD
If ^cs+cnd+++=If
you ^pp2+pp2+++=you
can ^md+pos+++=can't
n't ^xnot++not++0=EXTRAWORD
help ^nn++++=help
me ^pp1o+pp1+++=me,
, ^zz++++=EXTRAWORD
sir ^npt++++=sir,
, ^zz++++=EXTRAWORD
please ^uh++++=please
do ^vb+do+aux++=don't
n't ^xnot++not++0=EXTRAWORD
inform ^vb++++=inform
on ^in++++=on
me ^pp1o+pp1+++=me."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="How
how ^wrb+who+++=EXTRAWORD
can ^md+pos+++=can
I ^pp1a+pp1+++=I
help ^vb++++=help
you ^pp2+pp2+++=you
but ^cc++++=but
by ^in++++=by
speaking ^xvbg+++xvbg+=speaking
to ^in++++=to
the ^ati++++=the
captain ^nn++++=captain
or ^cc++++=or
purser ^np++++=purser?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Get
get ^vb++++=EXTRAWORD
me ^pp1o+pp1+++=me
a ^at++++=a
morsel ^nn+++??+=morsel
to ^to++++=to
eat ^vbi++++=eat."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Where
where ^wrb+who+++=EXTRAWORD
were ^vbd+bed+vrb++=were
you ^pp2+pp2+++=you
hid ^vbd+++xvbn+=hid?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Right
right ^jj++++=EXTRAWORD
here ^rn+pl+++=here,
, ^zz++++=EXTRAWORD
sir ^npt++++=sir,
, ^zz++++=EXTRAWORD
in ^in++++=in
this ^dt+dem+++=this
place ^nn++++=place,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
and ^cc++++=and
he ^pp3a+pp3+++=he
put ^vbd+++xvbnx+=put
his ^pp$+pp3+++=his
hand ^nn++++=hand
on ^in++++=on
the ^ati++++=the
square ^jj+atrb+++=square
deck ^nn++++=deck-edifice
- ^zz++++=EXTRAWORD
edifice ^nn++++=EXTRAWORD
beside ^in+pl+++=beside
us ^pp1o+pp1+++=us.
. ^zz++++=EXTRAWORD
This ^dt+dem+++=This
seemed ^vb+++xvbn+=seemed
to ^to+vcmp+++=to
be ^vbi++vrb++=be
a ^at++++=a
spare ^jj+atrb+++=spare
wheel ^nn++++=wheel-house,
- ^zz++++=EXTRAWORD
house ^npl++++=EXTRAWORD
, ^zz++++=EXTRAWORD
used ^xvbn+++xvbn+=used
if ^cs+cnd+++=if
anything ^pn++++=anything
went ^vbd+++xvbn+=went
wrong ^jj++++=wrong
with ^in++++=with
the ^ati++++=the
one ^pn++++=one
in ^in++++=in
front ^nn++++=front.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
had ^vb+hv+vrb++=had
a ^at++++=a
door ^nn++++=door
on ^in++++=on
each ^dt++++=each
side ^nn++++=side
and ^cc++++=and
there ^ex+pex+++=there
were ^vbd+bed+vrb++=were
windows ^nns++++=windows
all ^abn++++=all
round ^in++++=round
it ^pp3+it+++=it.
. ^zz++++=EXTRAWORD
At ^rb++++=At
present ^vb++++=present
it ^pp3+it+++=it
was ^vbd+bedz+aux++=was
piled ^vpsv++agls+xvbnx+=piled
full ^jj++++=full
of ^in++++=of
cane ^nn++++=cane
folding ^jj+atrb+++=folding
steamer ^nn++++=steamer
chairs ^nns++++=chairs
and ^cc++++=and
other ^ap++++=other
odds ^nns++++=odds
and ^cc++++=and
ends ^nns++++=ends.
. ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
crawl ^nn++++=crawl
in ^in++++=in
between ^in++++=between
the ^ati++++=the
chairs ^nns++++=chairs
and ^cc++++=and
the ^ati++++=the
wall ^nn++++=wall
and ^cc++++=and
get ^vb++++=get
under ^in++++=under
that ^dt+dem+++=that
piece ^nn++++=piece
of ^in++++=of
tarpaulin ^nn+++??+=tarpaulin."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Well,
well ^rb+cnj+++=EXTRAWORD
, ^zz++++=EXTRAWORD
you ^pp2+pp2+++=you're
're ^vb+ber+vrb++0=EXTRAWORD
sure ^jj+pred+++=sure
of ^in++++=of
being ^nn+nn+aux++=being
caught ^vbd+++xvbn+=caught,
, ^zz++++=EXTRAWORD
for ^in++++=for
the ^ati++++=the
first ^rb++++=first
fine ^jj+atrb+++=fine
day ^nn++++=day
all ^abn++++=all
these ^dt+dem+++=these
chairs ^nns++++=chairs
will ^md+prd+++=will
be ^vb+be+aux++=be
taken ^vpsv++agls+xvbnx+=taken
out ^rp+pl+++=out
and ^cc++++=and
the ^ati++++=the
deck ^nn++++=deck
steward ^nn++++=steward
can ^md+pos+++=can't
n't ^xnot++not++0=EXTRAWORD
miss ^npt++++=miss
you ^pp2+pp2+++=you."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
