When ^wrb+who+++=When
Margaret ^np++++=Margaret
Delandre ^np+++??+=Delandre
went ^vbd+++xvbn+=went
to ^to++++=to
live ^vbi++++=live
at ^in++++=at
Brent ^np++++=Brent's
's ^$++++=EXTRAWORD
Rock ^nn++++=Rock
the ^ati++++=the
whole ^jj+atrb+++=whole
neighbourhood ^nn+nom+++=neighbourhood
awoke ^vbd+++xvbn+=awoke
to ^in++++=to
the ^ati++++=the
pleasure ^nn++++=pleasure
of ^in++++=of
an ^at++++=an
entirely ^rb+amp+++=entirely
new ^jj+atrb+++=new
scandal ^nn++++=scandal.
. ^zz++++=EXTRAWORD
Scandals ^nns+nom+++=Scandals
in ^in++++=in
connection ^nn+nom+++=connection
with ^in++++=with
either ^dtx++++=either
the ^ati++++=the
Delandre ^np+++??+=Delandre
family ^nn++++=family
or ^cc++++=or
the ^ati++++=the
Brents ^np+++??+=Brents
of ^in++++=of
Brent ^np++++=Brent's
's ^$++++=EXTRAWORD
Rock ^npl++++=Rock,
, ^zz++++=EXTRAWORD
were ^vbd+bed+vrb++=were
not ^xnot++not++=not
few ^ap++++=few;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
if ^cs+cnd+++=if
the ^ati++++=the
secret ^jj+atrb+++=secret
history ^nn++++=history
of ^in++++=of
the ^ati++++=the
county ^nn++++=county
had ^vbd+hvd+aux++=had
been ^vprf+ben+aux+xvbnx+=been
written ^vpsv++agls+xvbnx+=written
in ^rb++++=in
full ^rb"++++=full
both ^abx++++=both
names ^nns++++=names
would ^md+prd+++=would
have ^vb+hv+aux++=have
been ^vprf+ben+aux+xvbnx+=been
found ^vpsv++agls+xvbnx+=found
well ^jj+pred+++=well
represented ^vwbn+++xvbn+=represented.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
is ^vbz+bez+vrb++=is
true ^jj+pred+++=true
that ^tht+jcmp+++=that
the ^ati++++=the
status ^nn++++=status
of ^in++++=of
each ^dt++++=each
was ^vbd+bedz+vrb++=was
so ^ql+emph+++=so
different ^jj++++=different
that ^cs+sub+++=that
