I ^pp1a+pp1+++=I
It ^pp3+it+++=It
was ^vbd+bedz+vrb++=was
a ^at++++=a
mile ^nn++++=mile
nearer ^rbr++++=nearer
through ^in++++=through
the ^ati++++=the
wood ^nn++++=wood.
. ^zz++++=EXTRAWORD
Mechanically ^rb+cnj+++=Mechanically,
, ^zz++++=EXTRAWORD
Syson ^np+++??+=Syson
turned ^vbd+++xvbn+=turned
up ^rb+phrv+++=up
by ^in++++=by
the ^ati++++=the
forge ^nn++++=forge
and ^cc++++=and
lifted ^vbd+++xvbn+=lifted
the ^ati++++=the
field ^nn++++=field-gate.
- ^zz++++=EXTRAWORD
gate ^nn++++=EXTRAWORD
. ^zz++++=EXTRAWORD
The ^ati++++=The
blacksmith ^nn++++=blacksmith
and ^cc++++=and
his ^pp$+pp3+++=his
mate ^nn++++=mate
stood ^vbd+++xvbn+=stood
still ^jj+pred+++=still,
, ^zz++++=EXTRAWORD
watching ^vbg+++xvbg+=watching
the ^ati++++=the
trespasser ^nn++++=trespasser.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
Syson ^np+++??+=Syson
looked ^vbd+++xvbn+=looked
too ^ql++++=too
much ^ap++++=much
a ^at++++=a
gentleman ^nn+nom+++=gentleman
to ^to++++=to
be ^vbi+vbi+aux++=be
accosted ^vpsv++agls+xvbnx+=accosted.
. ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They
let ^vbd+++xvbnx+=let
him ^pp3o+pp3+++=him
go ^vb++++=go
in ^in++++=in
silence ^nn++++=silence
across ^in+pl+++=across
the ^ati++++=the
small ^jj+atrb+++=small
field ^nn++++=field
to ^in++++=to
the ^ati++++=the
wood ^nn++++=wood.
. ^zz++++=EXTRAWORD
There ^ex+pex+++=There
was ^vbd+bedz+vrb++=was
not ^xnot++not++=not
the ^ati++++=the
least ^rbt++++=least
difference ^nn+nom+++=difference
between ^in++++=between
this ^dt+dem+++=this
morning ^nn++++=morning
and ^cc++++=and
those ^dt+dem+++=those
of ^in++++=of
the ^ati++++=the
bright ^jj+atrb+++=bright
springs ^nns++++=springs,
, ^zz++++=EXTRAWORD
six ^cd++++=six
or ^cc++++=or
eight ^cd++++=eight
years ^nns++++=years
back ^jjb++++=back.
. ^zz++++=EXTRAWORD
White ^jj++++=White
and ^cc+phrs+++=and
sandy ^jj++++=sandy-gold
- ^zz++++=EXTRAWORD
gold ^nn++++=EXTRAWORD
fowls ^nns++++=fowls
still ^rb++++=still
scratched ^vbd+++xvbn+=scratched
round ^rb++++=round
the ^ati++++=the
gate ^nn++++=gate,
, ^zz++++=EXTRAWORD
littering ^jj+++xvbg+=littering
the ^ati++++=the
earth ^nn++++=earth
and ^cc++++=and
the ^ati++++=the
field ^nn++++=field
with ^in++++=with
feathers ^nns+nom+++=feathers
and ^cc++++=and
scratched ^vbd+++xvbn+=scratched-up
- ^zz++++=EXTRAWORD
up ^rp++++=EXTRAWORD
rubbish ^nn++++=rubbish.
. ^zz++++=EXTRAWORD
Between ^in++++=Between
the ^ati++++=the
two ^cd++++=two
thick ^jj+atrb+++=thick
holly ^nn++++=holly
bushes ^nns++++=bushes
in ^in++++=in
the ^ati++++=the
wood ^nn++++=wood-hedge
- ^zz++++=EXTRAWORD
hedge ^nn++++=EXTRAWORD
was ^vbd+bedz+vrb++=was
the ^ati++++=the
hidden ^jj+atrb++xvbn+=hidden
gap ^nn++++=gap,
, ^zz++++=EXTRAWORD
whose ^whp+rel+obj++=whose
fence ^nn++++=fence
one ^cd1++++=one
climbed ^vprf+++xvbn+=climbed
to ^to++++=to
get ^vbi++++=get
into ^in+ppvb+++=into
the ^ati++++=the
wood ^nn++++=wood;
; ^zz++++=EXTRAWORD
the ^ati++++=the
bars ^nns++++=bars
were ^vbd+bed+aux++=were
scored ^vpsv++agls+xvbnx+=scored
just ^rb+emph+++=just
the ^ati++++=the
same ^ap++++=same
by ^in++++=by
the ^ati++++=the
keeper ^nn++++=keeper's
's ^$++++=EXTRAWORD
boots ^nns++++=boots.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
was ^vbd+bedz+vrb++=was
back ^jjb+pred+++=back
in ^in++++=in
the ^ati++++=the
eternal ^nn++++=eternal.
. ^zz++++=EXTRAWORD
Syson ^np+++??+=Syson
was ^vbd+bedz+vrb++=was
extraordinarily ^rb++++=extraordinarily
glad ^jj+pred+++=glad.
. ^zz++++=EXTRAWORD
Like ^in++++=Like
an ^at++++=an
uneasy ^jj+atrb+++=uneasy
spirit ^nn++++=spirit
he ^pp3a+pp3+++=he
had ^vbd+hvd+aux++=had
returned ^vprf+++xvbnx+=returned
to ^in++++=to
the ^ati++++=the
country ^nn++++=country
of ^in++++=of
his ^pp$+pp3+++=his
past ^jjb++++=past,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
he ^pp3a+pp3+++=he
found ^vbd+vprv+tht0+xvbnx+=found
it ^pp3+it+++=it
waiting ^nvbg+++xvbg+=waiting
for ^in++++=for
him ^pp3o+pp3+++=him,
, ^zz++++=EXTRAWORD
unaltered ^jj++++=unaltered.
. ^zz++++=EXTRAWORD
The ^ati++++=The
hazel ^np++++=hazel
still ^rb++++=still
spread ^vb+++xvbn+=spread
glad ^jj+atrb+++=glad
little ^jj+atrb+++=little
hands ^nns++++=hands
