A ^at++++=A
Letter ^nn++++=Letter
found ^vbd+vprv++xvbn+=found
among ^in++++=among
the ^ati++++=the
Papers ^nns++++=Papers
of ^in++++=of
the ^ati++++=the
late ^jj+atrb+++=late
Mortimer ^np+nom+++=Mortimer
Barr ^np+++??+=Barr
You ^pp2+pp2+++=You
ask ^vb++++=ask
me ^pp1o+pp1+++=me
if ^cs+cnd+++=if
in ^in++++=in
my ^pp$+pp1+++=my
experience ^nn+nom+++=experience
as ^ql++++=as
one ^pn++++=one
of ^in++++=of
a ^at++++=a
pair ^nn++++=pair
of ^in++++=of
twins ^nns++++=twins
I ^pp1a+pp1+++=I
ever ^rb++++=ever
observed ^vbn+vprv+tht0+xvbn+=observed
anything ^pn++++=anything
unaccountable ^jj++++=unaccountable
by ^in++++=by
the ^ati++++=the
natural ^jj+atrb+++=natural
laws ^nns++++=laws
with ^in++++=with
which ^whp+rel+pied++=which
we ^pp1a+pp1+++=we
have ^vb+hv+vrb++=have
acquaintance ^nn+nom+++=acquaintance.
. ^zz++++=EXTRAWORD
As ^in++++=As
to ^in++++=to
that ^dt+dem+++=that
you ^pp2+pp2+++=you
shall ^md+prd+++=shall
judge ^vb++++=judge;
; ^zz++++=EXTRAWORD
perhaps ^rb++++=perhaps
we ^pp1a+pp1+++=we
have ^vb+hv+vrb++=have
not ^xnot++not++=not
all ^rb++++=all
acquaintance ^nn+nom+++=acquaintance
with ^in++++=with
the ^ati++++=the
same ^ap++++=same
natural ^jj+atrb+++=natural
laws ^nns++++=laws.
. ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You
may ^md+pos+++=may
know ^vb+vprv+++=know
some ^dti++++=some
that ^cs+sub+++=that
I ^pp1a+pp1+++=I
do ^vb+do+vrb++=do
not ^xnot++not++=not,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
what ^wdt+who+whq++=what
is ^vbz+bez+aux++=is
to ^to++++=to
me ^pp1o+pp1+++=me
unaccountable ^jj++++=unaccountable
may ^md+pos+++=may
be ^vb+be+aux++=be
very ^ql+amp+++=very
clear ^vb++++=clear
to ^in++++=to
you ^pp2+pp2+++=you.
. ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You
knew ^vbd+vprv++xvbn+=knew
my ^pp$+pp1+++=my
brother ^nn++++=brother
John ^np++++=John
- ^zz++++=-that
that ^dt+pdem+++=EXTRAWORD
is ^vbz+bez+vrb++=is,
, ^zz++++=EXTRAWORD
you ^pp2+pp2+++=you
knew ^vbd+vprv++xvbn+=knew
him ^pp3o+pp3+++=him
when ^wrb+who+++=when
you ^pp2+pp2+++=you
knew ^vbd+vprv++xvbn+=knew
that ^tht+vcmp+++=that
I ^pp1a+pp1+++=I
was ^vbd+bedz+vrb++=was
not ^xnot++not++=not
present ^jj++++=present;
; ^zz++++=EXTRAWORD
but ^cc+cls+++=but
neither ^rb++neg++=neither
you ^pp2+pp2+++=you
nor ^cc++neg++=nor,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
believe ^vb+vprv+++=believe,
, ^zz++++=EXTRAWORD
any ^dti++++=any
human ^jj++++=human
being ^jj+++xvbg+=being
could ^md+pos+++=could
distinguish ^vb++++=distinguish
between ^in++++=between
him ^pp3o+pp3+++=him
and ^cc++++=and
me ^pp1o+pp1+++=me
if ^cs+cnd+++=if
we ^pp1a+pp1+++=we
chose ^vbd+++xvbn+=chose
to ^to++++=to
seem ^vbi+seem+++=seem
alike ^rb++++=alike.
. ^zz++++=EXTRAWORD
Our ^pp$+pp1+++=Our
parents ^nns++++=parents
could ^md+pos+++=could
not ^xnot++not++=not;
; ^zz++++=EXTRAWORD
ours ^pp$$++++=ours
is ^vbz+bez+vrb++=is
the ^ati++++=the
only ^ap+down+++=only
instance ^nn+nom+++=instance
of ^in++++=of
which ^whp+rel+pied++=which
I ^pp1a+pp1+++=I
have ^vb+hv+vrb++=have
any ^dti++++=any
knowledge ^nn++++=knowledge
of ^in++++=of
so ^ql++++=so
close ^vb++++=close
resemblance ^nn+nom+++=resemblance
as ^in++++=as
that ^dt+pdem+++=that.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
speak ^vb++++=speak
of ^in++++=of
my ^pp$+pp1+++=my
brother ^nn++++=brother
John ^np++++=John,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
I ^pp1a+pp1+++=I
am ^vb+bem+vrb++=am
not ^xnot++not++=not
at ^rb++++=at
all ^abn++++=all
