We ^pp1a+pp1+++=We
may ^md+pos+++=may
now ^rn+tm+splt++=now
begin ^vb++++=begin
to ^to++++=to
speak ^vbi++++=speak
of ^in++++=of
the ^ati++++=the
State ^nn++++=State
of ^in++++=of
Ohio ^np+++??+=Ohio,
, ^zz++++=EXTRAWORD
for ^in++++=for
with ^in++++=with
the ^ati++++=the
opening ^jj+++xvbg+=opening
of ^in++++=of
the ^ati++++=the
present ^jj+atrb+++=present
century ^nn++++=century
her ^pp$+pp3+++=her
borders ^nns+nom+++=borders
were ^vbd+bed+aux++=were
defined ^vpsv++agls+xvbnx+=defined.
. ^zz++++=EXTRAWORD
The ^ati++++=The
rest ^nn++++=rest
of ^in++++=of
the ^ati++++=the
Northwest ^nr++++=Northwest
Territory ^nn++++=Territory
was ^vbd+bedz+aux++=was
called ^vpsv++agls+xvbnx+=called
Indiana ^np+++??+=Indiana
Territory ^nn++++=Territory,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
by ^in++++=by
1804 ^cd+date+++=1804,
, ^zz++++=EXTRAWORD
Ohio ^np+++??+=Ohio
found ^vbd+vprv++xvbn+=found
herself ^ppl+pp3+++=herself
a ^at++++=a
state ^nn++++=state
of ^in++++=of
the ^ati++++=the
Union ^nn++++=Union.
. ^zz++++=EXTRAWORD
There ^rn+pl+++=There
has ^vbz+hvz+vrb++=has
never ^rb++++=never
since ^cs+sub+++=since
been ^vprf+ben+vrb+xvbn+=been
any ^dti++++=any
doubt ^nn++++=doubt
of ^in++++=of
her ^pp$+pp3+++=her
being ^vbg+beg++xvbg+=being
there ^rn+pl+++=there,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
if ^cs+cnd+++=if
it ^pp3+it+++=it
had ^vb+hv+aux++=had
not ^xnot++not++=not
been ^vprf+ben+vrb+xvbn+=been
for ^in++++=for
the ^ati++++=the
great ^jj+atrb+++=great
Ohio ^np+++??+=Ohio
generals ^nns+nom+++=generals
there ^ex+pex+++=there
might ^md+pos+++=might
now ^rn+tm+++=now
be ^vb+be+vrb++=be
no ^at++++=no
Union ^nn++++=Union
for ^in++++=for
any ^dti++++=any
of ^in++++=of
the ^ati++++=the
states ^nns++++=states
to ^to++++=to
be ^vbi++vrb++=be
in ^in+strn+++=in.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
it ^pp3+it+++=it
is ^vbz+bez+vrb++=is
nevertheless ^rb+cnj+++=nevertheless
true ^jj+pred+++=true
that ^tht+jcmp+++=that
Ohio ^np+++??+=Ohio
was ^vbd+bedz+aux++=was
never ^rb++splt++=never
admitted ^vpsv++agls+xvbnx+=admitted
to ^in++++=to
the ^ati++++=the
Union ^nn++++=Union
by ^in++++=by
act ^nn++++=act
of ^in++++=of
Congress ^nns+nom+++=Congress,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
her ^pp$+pp3+++=her
life ^nn++++=life
as ^in++++=as
a ^at++++=a
state ^nn++++=state
dates ^nns++++=dates
only ^rb+down+++=only
from ^in++++=from
the ^ati++++=the
adoption ^nn+nom+++=adoption
of ^in++++=of
her ^pp$+pp3+++=her
final ^jj+atrb+++=final
constitution ^nn+nom+++=constitution,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
from ^in++++=from
the ^ati++++=the
meeting ^jj+++xvbg+=meeting
of ^in++++=of
her ^pp3o+pp3+++=her
first ^od++++=first
legislature ^nn++++=legislature
at ^in++++=at
Chillicothe ^np+++??+=Chillicothe,
, ^zz++++=EXTRAWORD
on ^in++++=on
the ^ati++++=the
1 ^zz++++=1
st ^npt++++=st
of ^in++++=of
March ^nn++++=March,
, ^zz++++=EXTRAWORD
1803 ^cd+date+++=1803.
. ^zz++++=EXTRAWORD
The ^ati++++=The
most ^ql+emph+++=most
memorable ^jj+atrb+++=memorable
fact ^nn++++=fact
concerning ^in++++=concerning
the ^ati++++=the
adoption ^nn+nom+++=adoption
of ^in++++=of
this ^dt+dem+++=this
constitution ^nn+nom+++=constitution
was ^vbd+bedz+vrb++=was
the ^ati++++=the
great ^jj+atrb+++=great
danger ^nn++++=danger
there ^ex+pex+++=there
was ^vbd+bedz+vrb++=was
that ^tht+vcmp+++=that
it ^pp3+it+++=it
might ^md+pos+++=might
allow ^vb++++=allow
some ^dti++++=some
form ^nn++++=form
of ^in++++=of
slavery ^nn+nom+++=slavery
in ^in++++=in
the ^ati++++=the
new ^jj+atrb+++=new
state ^nn++++=state.
. ^zz++++=EXTRAWORD
Slavery ^nn+nom+++=Slavery
had ^vbd+hvd+aux++=had
been ^vprf+ben+aux+xvbnx+=been
forbidden ^vpsv++agls+xvbnx+=forbidden
from ^in++++=from
the ^ati++++=the
beginning ^jj+++xvbg+=beginning
in ^in++++=in
the ^ati++++=the
Northwest ^nr++++=Northwest
Territory ^nn++++=Territory,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
many ^ap++++=many
of ^in++++=of
the ^ati++++=the
settlers ^nns+nom+++=settlers
of ^in++++=of
the ^ati++++=the
Ohio ^np+++??+=Ohio
country ^nn++++=country
were ^vbd+bed+vrb++=were
from ^in++++=from
the ^ati++++=the
slave ^nn++++=slave
states ^nns++++=states
of ^in++++=of
New ^jj+atrb+++=New
Jersey ^np++++=Jersey,
, ^zz++++=EXTRAWORD
Virginia ^np++++=Virginia,
, ^zz++++=EXTRAWORD
Maryland ^np+++??+=Maryland,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
Kentucky ^np+++??+=Kentucky,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
there ^ex+pex+++=there
was ^vbd+bedz+vrb++=was
a ^at++++=a
strong ^jj++++=strong
feeling ^jj+++xvbg+=feeling
in ^in++++=in
favor ^in"++++=favor
of ^in"++++=of
allowing ^jj+atrb++xvbg+=allowing
women ^nns++++=women
to ^to++++=to
be ^vbi+vbi+aux++=be
held ^vpsv++agls+xvbnx+=held
as ^ql++++=as
slaves ^nns++++=slaves
till ^cs+sub+++=till
they ^pp3a+pp3+++=they
were ^vbd+bed+vrb++=were
thirty ^cd++++=thirty-five
- ^zz++++=EXTRAWORD
five ^cd++++=EXTRAWORD
and ^cc++++=and
men ^nns++++=men
till ^cs+sub+++=till
they ^pp3a+pp3+++=they
were ^vbd+bed+vrb++=were
twenty ^cd++++=twenty-eight
- ^zz++++=EXTRAWORD
eight ^cd++++=EXTRAWORD
years ^nns++++=years
old ^jj++++=old.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
in ^in++++=in
the ^ati++++=the
end ^nn++++=end,
, ^zz++++=EXTRAWORD
thanks ^rb+dspt+++=thanks
to ^to++++=to
one ^pn++++=one
of ^in++++=of
the ^ati++++=the
Massachusetts ^np+++??+=Massachusetts
men ^nns++++=men
of ^in++++=of
Marietta ^np+++??+=Marietta,
, ^zz++++=EXTRAWORD
Judge ^nn++++=Judge
Ephraim ^np+++??+=Ephraim
Cutler ^np+++??+=Cutler,
, ^zz++++=EXTRAWORD
the ^ati++++=the
friends ^nns++++=friends
of ^in++++=of
slavery ^nn+nom+++=slavery
were ^vbd+bed+aux++=were
beaten ^vpsv++agls+xvbnx+=beaten,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
it ^pp3+it+++=it
was ^vbd+bedz+aux++=was
forbidden ^vpsv++agls+xvbnx+=forbidden
in ^in++++=in
Ohio ^np+++??+=Ohio
in ^in++++=in
the ^ati++++=the
same ^ap++++=same
words ^nns++++=words
which ^whp+rel+subj++=which
had ^vbd+hvd+aux++=had
forbidden ^vprf+++xvbnx+=forbidden
it ^pp3+it+++=it
in ^in++++=in
the ^ati++++=the
Northwest ^nr++++=Northwest
Territory ^nn++++=Territory.
