For ^in++++=FOR
Simla ^np+++??+=SIMLA
Reasons ^nns++++=REASONS
Some ^dti++++=Some
people ^nns++++=people
say ^vb+vpub+++=say
that ^tht+vcmp+++=that
improbable ^jj+atrb+++=improbable
things ^nns++++=things
do ^vb+do+aux++=don't
n't ^xnot++not++0=EXTRAWORD
necessarily ^rb++++=necessarily
happen ^vb+++??+=happen
in ^in++++=in
India ^np++++=India--but
-- ^--+clp+++=EXTRAWORD
but ^cc+cls+++=EXTRAWORD
these ^dt+dem+++=these
people ^nns++++=people
never ^rb++++=never
find ^vb+vprv+++=find
improbabilities ^nns+nom+++=improbabilities
anywhere ^rb++++=anywhere.
. ^zz++++=EXTRAWORD
This ^dt+pdem+++=This
sounds ^vbz++++=sounds
clever ^jj++++=clever,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
you ^pp2+pp2+++=you
will ^md+prd+++=will
at ^rb++splt++=at
once ^rb"+tm+++=once
perceive ^vb+vprv+++=perceive
that ^tht+vcmp+++=that
it ^pp3+it+++=it
really ^rb+emph+++=really
means ^in++++=means
the ^ati++++=the
opposite ^nn++++=opposite
of ^in++++=of
what ^wdt+who+++=what
I ^pp1a+pp1+++=I
intended ^vbd+vsua++xvbnx+=intended
to ^to+vcmp+++=to
say ^vbi+vpub+++=say.
. ^zz++++=EXTRAWORD
So ^ql++++=So
we ^pp1a+pp1+++=we'll
'll ^md+prd+++0=EXTRAWORD
drop ^vb++++=drop
it ^pp3+it+++=it.
. ^zz++++=EXTRAWORD
What ^wdt+who+++=What
I ^pp1a+pp1+++=I
am ^vb+bem+aux++=am
trying ^vbg+++xvbgx+=trying
to ^to+vcmp+++=to
tell ^vbi++++=tell
you ^pp2+pp2+++=you
is ^vbz+bez+vrb++=is
that ^dt+dem+++=that
after ^in++++=after
Sparkley ^np+++??+=Sparkley
had ^vb+hv+vrb++=had
that ^dt+dem+++=that
affair ^nn++++=affair
with ^in++++=with
Miss ^npt++++=Miss
Millikens ^np++++=Millikens
a ^at++++=a
singular ^nn++++=singular
change ^nn++++=change
came ^vbd+++xvbn+=came
over ^rp++++=over
him ^pp3o+pp3+++=him.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
grew ^vbd+++xvbnx+=grew
abstracted ^jj+++xvbn+=abstracted
and ^cc++++=and
solitary, ^nn+++??+=solitary,--holding
-- ^--+clp+++=EXTRAWORD
holding ^vbg+vprv++xvbg+=EXTRAWORD
dark ^jj+atrb+++=dark
seances ^nns+nom++??+=seances
with ^in++++=with
himself, ^nn+++??+=himself,--which
-- ^--+clp+++=EXTRAWORD
which ^wdt+who+whq++=EXTRAWORD
was ^vbd+bedz+aux++=was
odd ^jj+pred+++=odd,
, ^zz++++=EXTRAWORD
as ^ql++++=as
everybody ^pn++++=everybody
knew ^vbd+vprv+tht0+xvbn+=knew
he ^pp3a+pp3+++=he
never ^rb++++=never
cared ^vbd+++xvbn+=cared
a ^at++++=a
rap ^nn++++=rap
for ^in++++=for
the ^ati++++=the
Millikens ^np+++??+=Millikens
girl ^nn++++=girl.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
was ^vbd+bedz+aux++=was
even ^cs+sub+++=even
said ^vprf+++xvbn+=said
that ^tht+vcmp+++=that
he ^pp3a+pp3+++=he
was ^vbd+bedz+vrb++=was
off ^in+pl+++=off
his ^pp$+pp3+++=his
head ^nn++++=head--which
-- ^--+clp+++=EXTRAWORD
which ^wdt+who+whq++=EXTRAWORD
is ^vbz+bez+aux++=is
rhyme ^nn++++=rhyme.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
his ^pp$+pp3+++=his
reason ^nn++++=reason
was ^vbd+bedz+aux++=was
undoubtedly ^rb++splt++=undoubtedly
affected ^vpsv++agls+xvbnx+=affected,
, ^zz++++=EXTRAWORD
for ^in++++=for
he ^pp3a+pp3+++=he
had ^vbd+hvd+aux++=had
been ^vprf+ben+aux+xvbnx+=been
heard ^vpsv++agls+xvbnx+=heard
to ^to+vcmp+++=to
mutter ^vb++++=mutter
incoherently ^rb++++=incoherently
at ^in++++=at
the ^ati++++=the
Club ^nn++++=Club,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and,
, ^zz++++=EXTRAWORD
strangest ^jjt++++=strangest
of ^in++++=of
all ^rb+cnj+++=all,
, ^zz++++=EXTRAWORD
to ^in++++=to
answer ^nn++++=answer
questions ^nns+nom+++=questions
That ^tht+rel+subj++=THAT
Were ^vbd+bed+aux++=WERE
Never ^rb++splt++=NEVER
Asked ^vpsv++agls+xvbnx+=ASKED!
! ^zz++++=EXTRAWORD
This ^dt+pdem+++=This
was ^vbd+bedz+vrb++=was
so ^ql+emph+++=so
awkward ^jj++++=awkward
in ^cs+sub+++=in
that ^cs"++++=that
Branch ^nn++++=Branch
of ^in++++=of
the ^ati++++=the
Civil ^jj+atrb+++=Civil
Department ^nn+nom+++=Department
of ^in++++=of
which ^whp+rel+pied++=which
he ^pp3a+pp3+++=he
was ^vbd+bedz+vrb++=was
a ^at++++=a
high ^jj++++=high
official ^jj++++=official-where
- ^zz++++=EXTRAWORD
where ^wrb+who+++=EXTRAWORD
the ^ati++++=the
rule ^nn++++=rule
was ^vbd+bedz+vrb++=was
exactly ^rb++++=exactly
the ^ati++++=the
reverse ^jj++++=reverse--that
-- ^--+clp+++=EXTRAWORD
that ^tht+vcmp+++=EXTRAWORD
he ^pp3a+pp3+++=he
was ^vbd+bedz+aux++=was
presently ^rb+tm+splt++=presently
invalided ^vpsv++agls+xvbnx+=invalided
on ^in++++=on
full ^jj+atrb+++=full
pay ^nn++++=pay!
! ^zz++++=EXTRAWORD
Then ^rn+tm+++=Then
he ^pp3a+pp3+++=he
disappeared ^vbd+seem++xvbnx+=disappeared.
. ^zz++++=EXTRAWORD
Clever ^jj+atrb+++=Clever
people ^nns++++=people
said ^vbd+vpub+tht0+xvbn+=said
it ^pp3+it+++=it
was ^vbd+bedz+vrb++=was
because ^cs+cos+++=because
the ^ati++++=the
Department ^nn+nom+++=Department
was ^vbd+bedz+vrb++=was
afraid ^jj+pred+++=afraid
he ^pp3a+pp3+++=he
had ^vb+hv+vrb++=had
still ^rb++++=still
much ^rb++++=much
to ^in++++=to
answer ^nn++++=answer
for ^in+strn+++=for;
; ^zz++++=EXTRAWORD
stupid ^jj+atrb+++=stupid
people ^nns++++=people
simply ^rb++++=simply
envied ^vbd+++xvbn+=envied
him ^pp3o+pp3+++=him.
. ^zz++++=EXTRAWORD
Mrs ^npt++++=Mrs.
. ^zz++++=EXTRAWORD
Awksby ^np++++=Awksby,
, ^zz++++=EXTRAWORD
whom ^whp+rel+obj++=whom
everybody ^pn++++=everybody
knew ^vbd+vprv++xvbn+=knew
had ^vbd+hvd+aux++=had
been ^vprf+ben+vrb+xvbnx+=been
the ^ati++++=the
cause ^nn++++=cause
of ^in++++=of
breaking ^nn++++=breaking
off ^in+pl+++=off
the ^ati++++=the
match ^nn++++=match,
, ^zz++++=EXTRAWORD
was ^vbd+bedz+vrb++=was
now ^rn+tm+++=now
wild ^jj+pred+++=wild
to ^to++++=to
know ^vbi+vprv+++=know
the ^ati++++=the
reason ^nn++++=reason
of ^in++++=of
Sparkley ^np++++=Sparkley's
