Over ^in++++=Over
our ^pp$+pp1+++=our
coffee ^nn++++=coffee
in ^in++++=in
the ^ati++++=the
Turkish ^jj+atrb+++=Turkish
room ^nn++++=room
Minver ^np+++??+=Minver
was ^vbd+bedz+vrb++=was
usually ^rb+down+++=usually
a ^at++++=a
censor ^nn++++=censor
of ^in++++=of
our ^pp$+pp1+++=our
several ^ap++++=several
foibles ^nns+++??+=foibles
rather ^rb++++=rather
than ^in++++=than
a ^at++++=a
sharer ^nn++++=sharer
in ^in++++=in
our ^pp$+pp1+++=our
philosophic ^jj+atrb+++=philosophic
speculations ^nns+nom+++=speculations
and ^cc++++=and
metaphysical ^jj++++=metaphysical
conjectures ^vbz+vprv+++=conjectures.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
liked ^vbd+++xvbnx+=liked
to ^to+vcmp+++=to
disable ^vbi++++=disable
me ^pp1o+pp1+++=me
as ^ql++++=as
one ^cd1++++=one
professionally ^rb++++=professionally
vowed ^vbd+++xvbn+=vowed
to ^in++++=to
the ^ati++++=the
fabulous ^jj++++=fabulous,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
he ^pp3a+pp3+++=he
had ^vb+hv+vrb++=had
unfailing ^jj+atrb+++=unfailing
fun ^nn++++=fun
with ^in++++=with
the ^ati++++=the
romantic ^jj+atrb+++=romantic
sentimentality ^nn+nom+++=sentimentality
of ^in++++=of
Rulledge ^np+++??+=Rulledge,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
was ^vbd+bedz+vrb++=was
in ^in++++=in
fact ^nn++++=fact
so ^ql++++=so
little ^ap++++=little
in ^in++++=in
keeping ^xvbg+++xvbg+=keeping
with ^in++++=with
the ^ati++++=the
gross ^jj++++=gross
super ^jj++++=super-abundance
- ^zz++++=EXTRAWORD
abundance ^nn+nom+++=EXTRAWORD
of ^in++++=of
his ^pp$+pp3+++=his
person ^nn++++=person,
, ^zz++++=EXTRAWORD
his ^pp$+pp3+++=his
habitual ^jj+atrb+++=habitual
gluttony ^nn++++=gluttony,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
his ^pp$+pp3+++=his
ridiculous ^jj+atrb+++=ridiculous
indolence ^nn+nom+++=indolence.
. ^zz++++=EXTRAWORD
Minver ^np+++??+=Minver
knew ^vbd+vprv++xvbn+=knew
very ^ql+amp+++=very
well ^rb++++=well
that ^cs+sub+++=that
Rulledge ^np+++??+=Rulledge
was ^vbd+bedz+vrb++=was
a ^at++++=a
good ^jj++++=good
fellow ^jjb++++=fellow
withal ^rb+cnj+++=withal,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
would ^md+prd+++=would
willingly ^rb++++=willingly
do ^vb+do+vrb++=do
any ^dti++++=any
kind ^nn++++=kind
action ^nn++++=action
that ^tht+rel+subj++=that
did ^vbd+dod+aux++=did
not ^xnot++not++=not
seriously ^rb++++=seriously
interfere ^vb++++=interfere
with ^in++++=with
his ^pp$+pp3+++=his
comfort ^nn++++=comfort,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
make ^vb++++=make
too ^rb++++=too
heavy ^jj++++=heavy
a ^at++++=a
draft ^nn++++=draft
upon ^in++++=upon
his ^pp$+pp3+++=his
pocket ^nn++++=pocket.
. ^zz++++=EXTRAWORD
His ^pp$+pp3+++=His
self ^nn++++=self-indulgence,
- ^zz++++=EXTRAWORD
indulgence ^nn+nom+++=EXTRAWORD
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
was ^vbd+bedz+vrb++=was
quite ^rb++++=quite
blameless ^jj+pred+++=blameless,
, ^zz++++=EXTRAWORD
unless ^cs+cnd+++=unless
surfeit ^nn++++=surfeit
is ^vbz+bez+vrb++=is
a ^at++++=a
fault ^nn++++=fault,
, ^zz++++=EXTRAWORD
was ^vbd+bedz+vrb++=was
the ^ati++++=the
basis ^nn++++=basis
of ^in++++=of
an ^at++++=an
interest ^nn++++=interest
in ^in++++=in
occult ^jj+atrb++xvbn+=occult
themes ^nns++++=themes,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
was ^vbd+bedz+vrb++=was
the ^ati++++=the
means ^nn++++=means
of ^in++++=of
even ^rb++++=even
higher ^jjr+atrb+++=higher
diversion ^nn++++=diversion
to ^in++++=to
Minver ^np+++??+=Minver.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
liked ^vbd+++xvbnx+=liked
to ^to+vcmp+++=to
have ^vbi++++=have
Rulledge ^np+++??+=Rulledge
approach ^nn++++=approach
Wanhope ^np+++??+=Wanhope
from ^in++++=from
this ^dt+dem+++=this
side ^nn++++=side,
, ^zz++++=EXTRAWORD
in ^in++++=in
the ^ati++++=the
invincible ^jj+atrb+++=invincible
persuasion ^nn++++=persuasion
that ^tht+rel+obj++=that
the ^ati++++=the
psychologist ^nn+nom+++=psychologist
would ^md+prd+++=would
be ^vb+be+vrb++=be
interested ^jj+pred+++=interested
in ^in++++=in
these ^dt+dem+++=these
themes ^nns++++=themes
by ^in++++=by
the ^ati++++=the
law ^nn++++=law
of ^in++++=of
his ^pp$+pp3+++=his
science ^nn+nom+++=science,
, ^zz++++=EXTRAWORD
though ^cs+sub+++=though
he ^pp3a+pp3+++=he
had ^vbd+hvd+aux++=had
been ^vprf+ben+aux+xvbnx+=been
assured ^vpsv++agls+xvbnx+=assured
again ^rb+tm+++=again
and ^cc+phrs+++=and
again ^rb+tm+++=again
that ^cs+sub+++=that
in ^in++++=in
spite ^in"++++=spite
of ^in"++++=of
its ^pp$+it+++=its
misleading ^jj+atrb+++=misleading
name ^nn++++=name
psychology ^nn++++=psychology
did ^vbd+dod+aux++=did
not ^xnot++not++=not
deal ^vb++++=deal
with ^in+ppvb+++=with
the ^ati++++=the
soul ^nn++++=soul
as ^ql++++=as
Rulledge ^np+++??+=Rulledge
supposed ^vwbn+vprv++xvbn+=supposed
the ^ati++++=the
soul ^nn++++=soul;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
Minver ^np++++=Minver's
's ^$++++=EXTRAWORD
eyes ^nns++++=eyes
lighted ^vbd+++xvbn+=lighted
up ^rb+phrv+++=up
with ^in+ppvb+++=with
a ^at++++=a
prescience ^nn+nom+++=prescience
of ^in++++=of
uncommon ^jj+atrb+++=uncommon
pleasure ^nn++++=pleasure
when ^wrb+who+++=when,
, ^zz++++=EXTRAWORD
late ^jj+atrb+++=late
one ^cd1++++=one
night ^nn++++=night,
, ^zz++++=EXTRAWORD
after ^cs+sub+++=after
we ^pp1a+pp1+++=we
had ^vb+hv+aux++=had
vainly ^rb++splt++=vainly
tried ^vprf+++xvbnx+=tried
to ^to+vcmp+++=to
hit ^vbi++++=hit
it ^pp3+it+++=it
off ^rp+pl+++=off
in ^in++++=in
talk ^nn++++=talk,
, ^zz++++=EXTRAWORD
now ^rn+dspt+++=now
of ^in++++=of
this ^dt+pdem+++=this,
, ^zz++++=EXTRAWORD
now ^rn+dspt+++=now
of ^in++++=of
that ^dt+pdem+++=that,
, ^zz++++=EXTRAWORD
Rulledge ^np+++??+=Rulledge
asked ^vbd+vsua++xvbn+=asked
Wanhope ^np+++??+=Wanhope,
, ^zz++++=EXTRAWORD
abruptly ^rb++++=abruptly
as ^cs+sub+++=as
if ^cs+cnd+++=if
it ^pp3+it+++=it
followed ^vbd+vprv++xvbn+=followed
from ^in++++=from
something ^pn++++=something
before ^in+strn+++=before:
: ^zz++++=EXTRAWORD
" ^zz++++="Wasn't
was ^vbd+bedz+vrb++=EXTRAWORD
n't ^xnot++not++0=EXTRAWORD
there ^rn+pl+++=there
a ^at++++=a
great ^jj+atrb+++=great
deal ^nn++++=deal
more ^ql++++=more
said ^vbd+vpub++xvbn+=said
about ^in++++=about
presentiments ^nns+nom+++=presentiments
forty ^cd++++=forty
or ^cc++++=or
fifty ^cd++++=fifty
years ^nns++++=years
ago ^rb++++=ago
than ^in++++=than
there ^ex+pex+++=there
is ^vbz+bez+vrb++=is
now ^rn+tm+++=now?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Wanhope ^np+++??+=Wanhope
had ^vbd+hvd+aux++=had
been ^vprf+ben+aux+xvbnx+=been
lapsing ^vbg+++xvbgx+=lapsing
deeper ^jjr++++=deeper
and ^cc+phrs+++=and
deeper ^jjr++++=deeper
into ^in++++=into
the ^ati++++=the
hollow ^nn++++=hollow
of ^in++++=of
his ^pp$+pp3+++=his
chair ^nn++++=chair;
; ^zz++++=EXTRAWORD
but ^cc+cls+++=but
he ^pp3a+pp3+++=he
now ^rn+tm+++=now
pulled ^vbd+++xvbn+=pulled
himself ^ppl+pp3+++=himself
up ^rp++++=up,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
turned ^vbd+++xvbn+=turned
quickly ^rb++++=quickly
toward ^in++++=toward
Rulledge ^np+++??+=Rulledge.
. ^zz++++=EXTRAWORD
" ^zz++++="What
what ^wdt+who+++=EXTRAWORD
made ^vwbn+++xvbn+=made
you ^pp2+pp2+++=you
think ^vb+vprv+++=think
of ^in++++=of
that ^dt+pdem+++=that?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
asked ^vbd+vsua++xvbnx+=asked.
. ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
do ^vb+do+aux++=don't
n't ^xnot++not++0=EXTRAWORD
know ^vb+vprv+++=know.
. ^zz++++=EXTRAWORD
Why ^wrb+who+++=Why?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Because
because ^cs+cos+++=EXTRAWORD
I ^pp1a+pp1+++=I
was ^vbd+bedz+aux++=was
thinking ^vbg+++xvbgx+=thinking
of ^in++++=of
it ^pp3+it+++=it
myself ^ppl+pp1+++=myself."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
glanced ^vbd+++xvbnx+=glanced
at ^in++++=at
me ^pp1o+pp1+++=me,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
I ^pp1a+pp1+++=I
shook ^vbd+++xvbnx+=shook
my ^pp$+pp1+++=my
head ^nn++++=head.
. ^zz++++=EXTRAWORD
" ^zz++++="Well,"
well ^rb+cnj+++=EXTRAWORD
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Minver ^np+++??+=Minver
said ^vbd+vpub++xvbn+=said,
, ^zz++++=EXTRAWORD
" ^zz++++="if
if ^cs+cnd+++=EXTRAWORD
it ^pp3+it+++=it
will ^md+prd+++=will
leave ^vb++++=leave
Acton ^np+++??+=Acton
out ^rp+pl+++=out
in ^in++++=in
the ^ati++++=the
cold ^nn++++=cold,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I'll
'll ^md+prd+++0=EXTRAWORD
own ^ap++++=own
that ^cs+sub+++=that
I ^pp1a+pp1+++=I
was ^vbd+bedz+aux++=was
thinking ^vbg+++xvbgx+=thinking
of ^in++++=of
it ^pp3+it+++=it,
, ^zz++++=EXTRAWORD
too ^rb++++=too.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
was ^vbd+bedz+aux++=was
going ^vbg+++xvbgx+=going
back ^jjb++++=back
in ^in++++=in
my ^pp$+pp1+++=my
mind ^nn++++=mind,
, ^zz++++=EXTRAWORD
for ^in++++=for
no ^at++++=no
reason ^nn++++=reason
that ^tht+ncmp+++=that
I ^pp1a+pp1+++=I
know ^vb+vprv+++=know
of ^in+strn+++=of,
, ^zz++++=EXTRAWORD
to ^in++++=to
my ^pp$+pp1+++=my
childhood ^nn+nom+++=childhood,
, ^zz++++=EXTRAWORD
when ^wrb+who+++=when
I ^pp1a+pp1+++=I
first ^od++++=first
heard ^vbd+vprv++xvbn+=heard
of ^in++++=of
such ^abl++++=such
a ^at++++=a
thing ^nn++++=thing
as ^in++++=as
a ^at++++=a
presentiment ^nn+nom+++=presentiment,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
when ^wrb+who+++=when
I ^pp1a+pp1+++=I
was ^vbd+bedz+vrb++=was
afraid ^jj+pred+++=afraid
of ^in++++=of
having ^xvbg+++xvbg+=having
one ^pn++++=one.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
had ^vb+hv+vrb++=had
the ^ati++++=the
notion ^nn++++=notion
that ^tht+ncmp+++=that
presentiments ^nns+nom+++=presentiments
ran ^vbd+++xvbn+=ran
in ^in++++=in
the ^ati++++=the
family ^nn++++=family."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Why
why ^wrb+who+++=EXTRAWORD
had ^vb+hv+vrb++=had
you ^pp2+pp2+++=you
that ^dt+dem+++=that
notion ^nn++++=notion?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Rulledge ^np+++??+=Rulledge
demanded ^vbd+vsua++xvbn+=demanded.
. ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
do ^vb+do+aux++=don't
n't ^xnot++not++0=EXTRAWORD
know ^vb+vprv+++=know
that ^tht+vcmp+++=that
I ^pp1a+pp1+++=I
proposed ^vbd+vsua++xvbnx+=proposed
telling ^vbg+nom++xvbg+=telling,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
the ^ati++++=the
painter ^nn++++=painter
said ^vbd+vpub++xvbn+=said,
, ^zz++++=EXTRAWORD
giving ^vbg+++xvbg+=giving
himself ^ppl+pp3+++=himself
to ^in++++=to
his ^pp$+pp3+++=his
pipe ^nn++++=pipe.
. ^zz++++=EXTRAWORD
" ^zz++++="Perhaps
perhaps ^rb++++=EXTRAWORD
you ^pp2+pp2+++=you
did ^vbd+dod+aux++=didn't
n't ^xnot++not++0=EXTRAWORD
have ^vb+hv+vrb++=have
it ^pp3+it+++=it,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Rulledge ^np+++??+=Rulledge
retaliated ^vbd+++xvbn+=retaliated.
. ^zz++++=EXTRAWORD
" ^zz++++="Perhaps,"
perhaps ^rb+cnj+++=EXTRAWORD
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Minver ^np+++??+=Minver
assented ^vbd+++xvbn+=assented.
. ^zz++++=EXTRAWORD
Wanhope ^np+++??+=Wanhope
turned ^vbd+++xvbn+=turned
from ^in++++=from
the ^ati++++=the
personal ^jj+atrb+++=personal
aspect ^nn++++=aspect
of ^in++++=of
the ^ati++++=the
matter ^nn++++=matter.
. ^zz++++=EXTRAWORD
" ^zz++++="It's
it ^pp3+it+++=EXTRAWORD
's ^vbz+bez+vrb++0=EXTRAWORD
rather ^rb++++=rather
curious ^jj++++=curious
that ^tht+jcmp+++=that
we ^pp1a+pp1+++=we
should ^md+nec+++=should
all ^rb++++=all
three ^cd++++=three
have ^vb+hv+aux++=have
had ^vb+hv+vrb++=had
the ^ati++++=the
same ^ap++++=same
thing ^nn++++=thing
in ^in++++=in
mind ^nn++++=mind
just ^rb+emph+++=just
now ^rn+tm+++=now;
; ^zz++++=EXTRAWORD
or ^cc+cls+++=or,
, ^zz++++=EXTRAWORD
rather ^rb+cnj+++=rather,
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it
is ^vbz+bez+vrb++=is
not ^xnot++not++=not
very ^ql+amp+++=very
curious ^jj++++=curious.
. ^zz++++=EXTRAWORD
Such ^abl++++=Such
coincidences ^nns+nom+++=coincidences
are ^vb+ber+vrb++=are
really ^rb+emph+++=really
very ^ql+amp+++=very
common ^jj++++=common.
. ^zz++++=EXTRAWORD
Something ^pn++++=Something
must ^md+nec+++=must
have ^vb+hv+aux++=have
been ^vprf+ben+aux+xvbnx+=been
said ^vpsv++agls+xvbnx+=said
at ^rb++++=at
dinner ^nn++++=dinner
which ^whp+rel+subj++=which
suggested ^vbd+vpub++xvbn+=suggested
it ^pp3+it+++=it
to ^in++++=to
all ^abn++++=all
of ^in++++=of
us ^pp1o+pp1+++=us."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="All
all ^abn++++=EXTRAWORD
but ^cc++++=but
Acton ^np+++??+=Acton,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Minver ^np+++??+=Minver
demurred ^vbd+++xvbn+=demurred.
. ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
might ^md+pos+++=mightn't
n't ^xnot++not++0=EXTRAWORD
have ^vb+hv+aux++=have
heard ^vprf+++xvbnx+=heard
what ^wdt+who+++=what
was ^vbd+bedz+aux++=was
said ^vpsv++agls+xvbnx+=said,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
explained ^vbd+vpub++xvbnx+=explained.
. ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
suppose ^vb+vprv+++=suppose
the ^ati++++=the
passing ^jj+++xvbg+=passing
of ^in++++=of
all ^abn++++=all
that ^dt+dem+++=that
sort ^nn++++=sort
of ^in++++=of
sub ^nn++++=sub-beliefs
- ^zz++++=EXTRAWORD
beliefs ^nns++++=EXTRAWORD
must ^md+nec+++=must
date ^vb++++=date
from ^in++++=from
the ^ati++++=the
general ^jj+atrb+++=general
lapse ^nn++++=lapse
of ^in++++=of
faith ^nn++++=faith
in ^in++++=in
personal ^jj+atrb+++=personal
immortality ^nn+nom+++=immortality."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Yes,
yes ^uh++++=EXTRAWORD
, ^zz++++=EXTRAWORD
no ^at++++=no
doubt ^nn++++=doubt,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Wanhope ^np+++??+=Wanhope
assented ^vbd+++xvbn+=assented.
. ^zz++++=EXTRAWORD
" ^zz++++="It
it ^pp3+it+++=EXTRAWORD
is ^vbz+bez+vrb++=is
very ^ql+amp+++=very
striking ^jj+++xvbg+=striking
how ^wrb+who+++=how
sudden ^jj++++=sudden
the ^ati++++=the
lapse ^nn++++=lapse
was ^vbd+bedz+vrb++=was.
. ^zz++++=EXTRAWORD
Everyone ^pn++++=Everyone
who ^whp+who+++=who
experienced ^vbd+++xvbn+=experienced
it ^pp3+it+++=it
in ^in++++=in
himself ^ppl+pp3+++=himself
could ^md+pos+++=could
date ^vb++++=date
it ^pp3+it+++=it
to ^in++++=to
a ^at++++=a
year ^nn++++=year,
, ^zz++++=EXTRAWORD
if ^cs+cnd+++=if
not ^xnot++not++=not
to ^in++++=to
a ^at++++=a
day ^nn++++=day.
. ^zz++++=EXTRAWORD
The ^ati++++=The
agnosticism ^nn+nom+++=agnosticism
of ^in++++=of
scientific ^jj+atrb+++=scientific
men ^nns++++=men
was ^vbd+bedz+vrb++=was
of ^in+emph+++=of
course ^nn+emph"+++=course
all ^abn++++=all
the ^ati++++=the
time ^nn++++=time
undermining ^vwbg+++xvbg+=undermining
the ^ati++++=the
fabric ^nn++++=fabric
of ^in++++=of
faith ^nn++++=faith,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
then ^rn+tm+++=then
it ^pp3+it+++=it
fell ^vbd+++xvbn+=fell
in ^in++++=in
abruptly ^rb+cnj+++=abruptly,
, ^zz++++=EXTRAWORD
reaching ^vbg+++xvbg+=reaching
one ^cd1++++=one
believer ^nn+nom+++=believer
after ^cs+sub+++=after
another ^ppls++++=another
as ^ql++++=as
fast ^rb++++=fast
as ^ql++++=as
the ^ati++++=the
ground ^nn++++=ground
was ^vbd+bedz+aux++=was
taken ^vpsv++agls+xvbnx+=taken
wholly ^rb++++=wholly
or ^cc+phrs+++=or
partly ^rb+down+++=partly
from ^in++++=from
under ^in++++=under
his ^pp$+pp3+++=his
feet ^nns++++=feet.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
can ^md+pos+++=can
remember ^nn+nom+++=remember
how ^wrb+who+++=how
people ^nns++++=people
once ^rb+tm+++=once
disputed ^vbd+++xvbn+=disputed
whether ^cs+who+++=whether
there ^ex+pex+++=there
were ^vbd+bed+vrb++=were
such ^abl++++=such
beings ^nns++++=beings
as ^in++++=as
guardian ^nn++++=guardian
spirits ^nns++++=spirits
or ^cc++++=or
not ^xnot++not++=not.
. ^zz++++=EXTRAWORD
That ^dt+dem+++=That
minor ^jj+atrb+++=minor
question ^nn+nom+++=question
was ^vbd+bedz+aux++=was
disposed ^vpsv++agls+xvbnx+=disposed
of ^in+ppvb+++=of
when ^wrb+who+++=when
it ^pp3+it+++=it
was ^vbd+bedz+aux++=was
decided ^vpsv++agls+xvbnx+=decided
that ^tht+vcmp+++=that
there ^ex+pex+++=there
were ^vbd+bed+vrb++=were
no ^at++++=no
spirits ^nns++++=spirits
at ^rb++++=at
all ^abn++++=all."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Naturally,"
naturally ^rb+cnj+++=EXTRAWORD
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Minver ^np+++??+=Minver
said ^vbd+vpub++xvbn+=said.
. ^zz++++=EXTRAWORD
" ^zz++++="And
and ^cc++++=EXTRAWORD
the ^ati++++=the
decay ^nn++++=decay
of ^in++++=of
the ^ati++++=the
presentiment ^nn+nom+++=presentiment
must ^md+nec+++=must
have ^vb+hv+aux++=have
been ^vprf+ben+aux+xvbnx+=been
hastened ^vpsv++by+xvbnx+=hastened
by ^in++++=by
the ^ati++++=the
failure ^nn++++=failure
of ^in++++=of
so ^ql++++=so
many ^ap++++=many
presentiments ^nns+nom+++=presentiments
to ^to++++=to
make ^vbi++++=make
good ^jj++++=good."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="The
the ^ati++++=EXTRAWORD
great ^jj+atrb+++=great
majority ^nn+nom+++=majority
of ^in++++=of
them ^pp3o+pp3+++=them
have ^vb+hv+aux++=have
failed ^vprf+++xvbnx+=failed
to ^to+vcmp+++=to
make ^vbi++++=make
good ^jj++++=good,
, ^zz++++=EXTRAWORD
from ^in++++=from
the ^ati++++=the
beginning ^jj+++xvbg+=beginning
of ^in++++=of
time ^nn++++=time,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Wanhope ^np+++??+=Wanhope
replied ^vbd+vpub++xvbn+=replied.
. ^zz++++=EXTRAWORD
" ^zz++++="There
there ^ex+pex+++=EXTRAWORD
are ^vb+ber+vrb++=are
two ^cd++++=two
kinds ^nns++++=kinds
of ^in++++=of
presentiments ^nns+nom+++=presentiments,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Rulledge ^np+++??+=Rulledge
suggested ^vbd+vpub++xvbn+=suggested,
, ^zz++++=EXTRAWORD
with ^in++++=with
a ^at++++=a
philosophic ^jj+atrb+++=philosophic
air ^nn++++=air.
. ^zz++++=EXTRAWORD
" ^zz++++="The
the ^ati++++=EXTRAWORD
true ^jj++++=true
and ^cc++++=and
the ^ati++++=the
untrue ^nn++++=untrue."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Like
like ^in++++=EXTRAWORD
mushrooms ^nns++++=mushrooms,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Minver ^np+++??+=Minver
said ^vbd+vpub++xvbn+=said.
. ^zz++++=EXTRAWORD
" ^zz++++="Only,
only ^rb+cnj+++=EXTRAWORD
, ^zz++++=EXTRAWORD
the ^ati++++=the
true ^jj+atrb+++=true
presentiment ^nn+nom+++=presentiment
kills ^vbz++++=kills,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
true ^jj+atrb+++=true
mushroom ^nn++++=mushroom
nourishes ^nns+++??+=nourishes.
. ^zz++++=EXTRAWORD
Talking ^vbg+++xvbg+=Talking
of ^in++++=of
mushrooms ^nns++++=mushrooms,
, ^zz++++=EXTRAWORD
they ^pp3a+pp3+++=they
have ^vb+hv+vrb++=have
a ^at++++=a
way ^nn++++=way
in ^in++++=in
Switzerland ^np++++=Switzerland
of ^in++++=of
preserving ^xvbg+++xvbg+=preserving
them ^pp3o+pp3+++=them
in ^in++++=in
walnut ^nn++++=walnut
oil ^nn++++=oil,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
they ^pp3a+pp3+++=they
fill ^vb++++=fill
you ^pp2+pp2+++=you
with ^in++++=with
the ^ati++++=the
darkest ^jjt+atrb+++=darkest
forebodings ^nns+++??+=forebodings,
