Possibly ^rb++++=Possibly
our ^pp$+pp1+++=our
most ^ap+emph+++=most
exasperating ^jj+atrb+++=exasperating
experience ^nn+nom+++=experience
on ^in++++=on
the ^ati++++=the
fish ^nns++++=fish
patrol ^nn++++=patrol
was ^vbd+bedz+vrb++=was
when ^wrb+who+++=when
Charley ^np++++=Charley
Le ^&fw++++=Le
Grant ^nn++++=Grant
and ^cc++++=and
I ^pp1a+pp1+++=I
laid ^vbd+++xvbnx+=laid
a ^at++++=a
two ^cd++++=two
weeks ^nns++++=weeks'
' ^zz++++=EXTRAWORD
siege ^nn++++=siege
to ^in++++=to
a ^at++++=a
big ^jj+atrb+++=big
fourmasted ^jj+atrb++xvbn+=fourmasted
English ^jj+atrb+++=English
ship ^nn++++=ship.
. ^zz++++=EXTRAWORD
Before ^cs+sub+++=Before
we ^pp1a+pp1+++=we
had ^vbd+hvd+aux++=had
finished ^vprf+++xvbnx+=finished
with ^in++++=with
the ^ati++++=the
affair ^nn++++=affair,
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it
became ^vbd+++xvbn+=became
a ^at++++=a
pretty ^rb++++=pretty
mathematical ^jj+atrb+++=mathematical
problem ^nn++++=problem,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
it ^pp3+it+++=it
was ^vbd+bedz+vrb++=was
by ^in++++=by
the ^ati++++=the
merest ^jjt+atrb+++=merest
chance ^nn++++=chance
that ^tht+rel+obj++=that
we ^pp1a+pp1+++=we
came ^vbd+++xvbn+=came
into ^in+ppvb+++=into
possession ^nn++++=possession
of ^in++++=of
the ^ati++++=the
instrument ^nn+nom+++=instrument
that ^tht+rel+subj++=that
brought ^vprf+++xvbn+=brought
it ^pp3+it+++=it
to ^in++++=to
a ^at++++=a
successful ^jj+atrb+++=successful
termination ^nn+nom+++=termination.
. ^zz++++=EXTRAWORD
After ^in++++=After
our ^pp$+pp1+++=our
raid ^nn++++=raid
on ^in++++=on
the ^ati++++=the
oyster ^nn++++=oyster
pirates ^nns+nom+++=pirates
we ^pp1a+pp1+++=we
had ^vbd+hvd+aux++=had
returned ^vprf+++xvbnx+=returned
to ^in++++=to
Oakland ^np+++??+=Oakland,
, ^zz++++=EXTRAWORD
where ^wrb+who+++=where
two ^cd++++=two
more ^ql++++=more
weeks ^nns++++=weeks
passed ^vbd+++xvbn+=passed
before ^cs+sub+++=before
Neil ^np++++=Neil
Partington ^np++++=Partington's
's ^$++++=EXTRAWORD
wife ^nn++++=wife
was ^vbd+bedz+vrb++=was
out ^rp+pl+++=out
of ^in++++=of
danger ^nn++++=danger
and ^cc++++=and
