Our ^pp$+pp1+++=Our
host ^nn++++=host
having ^xvbg+++xvbg+=having
resumed ^vprf+++xvbn+=resumed
the ^ati++++=the
chair ^nn++++=chair,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he,
, ^zz++++=EXTRAWORD
as ^cc+cls+++=as
well ^rb++++=well
as ^cc"++++=as
Mr ^npt++++=Mr.
. ^zz++++=EXTRAWORD
Tiffany ^np++++=Tiffany
and ^cc++++=and
myself ^ppl+pp1+++=myself;
; ^zz++++=EXTRAWORD
expressed ^j+++xvbn+=expressed
much ^ap++++=much
eagerness ^nns+nom+++=eagerness
to ^to++++=to
be ^vbi+vbi+aux++=be
made ^vpsv++agls+xvbnx+=made
acquainted ^vbd+++xvbn+=acquainted
with ^in++++=with
the ^ati++++=the
story ^nn++++=story
to ^to++++=to
which ^whp+who+++=which
the ^ati++++=the
loyalist ^jj++++=loyalist
had ^vbd+hvd+aux++=had
alluded ^vprf+++xvbnx+=alluded.
. ^zz++++=EXTRAWORD
That ^dt+dem+++=That
venerable ^jj+atrb+++=venerable
man ^nn++++=man
first ^rb++++=first
of ^in++++=of
all ^rb++++=all
saw ^vbd+vprv++xvbn+=saw
fit ^jj++++=fit
to ^to+jcmp+++=to
moisten ^vbi++++=moisten
his ^pp$+pp3+++=his
throat ^nn++++=throat
with ^in++++=with
another ^dt++++=another
glass ^nn++++=glass
of ^in++++=of
wine ^nn++++=wine,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
then ^rn+tm+++=then,
, ^zz++++=EXTRAWORD
turning ^nvbg+++xvbg+=turning
his ^pp$+pp3+++=his
face ^nn++++=face
towards ^in++++=towards
our ^pp$+pp1+++=our
coal ^nn++++=coal
fire ^nn++++=fire,
, ^zz++++=EXTRAWORD
looked ^j+++xvbn+=looked
steadfastly ^rb++++=steadfastly
for ^in++++=for
a ^ap++++=a
few ^ap"++++=few
moments ^nns+nom+++=moments
into ^in++++=into
the ^ati++++=the
depths ^nns++++=depths
of ^in++++=of
its ^pp$+it+++=its
cheerful ^jj+atrb+++=cheerful
glow ^nn++++=glow.
. ^zz++++=EXTRAWORD
Finally ^rb+cnj+++=Finally,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
poured ^vbd+++xvbnx+=poured
forth ^np++++=forth
a ^at++++=a
great ^jj+atrb+++=great
fluency ^nn++++=fluency
of ^in++++=of
speech ^nn++++=speech.
. ^zz++++=EXTRAWORD
The ^ati++++=The
generous ^jj++++=generous
liquid ^jj++++=liquid
that ^dt+dem+++=that
he ^pp3a+pp3+++=he
had ^vbd+hvd+aux++=had
imbibed ^vprf+++xvbnx+=imbibed,
, ^zz++++=EXTRAWORD
while ^cs+sub+++=while
it ^pp3+it+++=it
warmed ^vbd+++xvbn+=warmed
his ^pp$+pp3+++=his
age ^nn++++=age-chilled
- ^zz++++=EXTRAWORD
chilled ^jj+atrb++xvbn+=EXTRAWORD
blood ^nn++++=blood,
, ^zz++++=EXTRAWORD
likewise ^rb+cnj+++=likewise
took ^vbd+++xvbn+=took
off ^rb+phrv+++=off
the ^ati++++=the
chill ^nn++++=chill
from ^in++++=from
his ^pp$+pp3+++=his
heart ^nn++++=heart
and ^cc++++=and
mind ^nn++++=mind,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
gave ^vbd+++xvbn+=gave
him ^pp3o+pp3+++=him
an ^at++++=an
energy ^nn++++=energy
to ^to++++=to
think ^vbi+vprv+++=think
and ^cc+phrs+++=and
feel ^vb+vprv+++=feel,
, ^zz++++=EXTRAWORD
which ^whp+rel+obj++=which
we ^pp1a+pp1+++=we
could ^md+pos+++=could
hardly ^rb+down+++=hardly
have ^vb+hv+aux++=have
expected ^vprf+++xvbnx+=expected
to ^to+vcmp+++=to
find ^vbi+vprv+++=find
beneath ^in+pl+++=beneath
the ^ati++++=the
snows ^nps++++=snows
of ^in++++=of
fourscore ^cd++++=fourscore
winters ^nns+nom+++=winters.
. ^zz++++=EXTRAWORD
His ^pp$+pp3+++=His
feelings ^nns+nom+++=feelings,
, ^zz++++=EXTRAWORD
indeed ^rb+cnj+++=indeed,
, ^zz++++=EXTRAWORD
appeared ^vb+++xvbn+=appeared
to ^to+vcmp+++=to
me ^vbi++++=me
more ^rbr++++=more
excitable ^jj++++=excitable
than ^in++++=than
those ^dt+dem+++=those
of ^in++++=of
a ^at++++=a
younger ^jjr+atrb+++=younger
man ^nn++++=man;
; ^zz++++=EXTRAWORD
or ^cc+cls+++=or
at ^rb++++=at
least ^rb"++++=least,
, ^zz++++=EXTRAWORD
the ^ati++++=the
same ^ap++++=same
degree ^nn++++=degree
of ^in++++=of
feeling ^xvbg+++xvbg+=feeling
manifested ^vbd+++xvbn+=manifested
itself ^ppl++++=itself
by ^in++++=by
more ^rbr++++=more
visible ^jj+atrb+++=visible
effects ^nns++++=effects
than ^in++++=than
if ^cs+cnd+++=if
his ^pp$+pp3+++=his
judgment ^nn+nom+++=judgment
and ^cc++++=and
will ^md+prd+++=will
had ^vbd+hvd+aux++=had
possessed ^vprf+++xvbnx+=possessed
the ^ati++++=the
potency ^nn++++=potency
of ^in++++=of
meridian ^jj+atrb+++=meridian
life ^nn++++=life.
. ^zz++++=EXTRAWORD
At ^rb++++=At
the ^ati++++=the
pathetic ^jj+atrb+++=pathetic
passages ^nns+nom+++=passages
of ^in++++=of
his ^pp$+pp3+++=his
narrative ^nn++++=narrative
he ^pp3a+pp3+++=he
readily ^rb++++=readily
melted ^vbd+++xvbn+=melted
into ^in++++=into
tears ^nns++++=tears.
. ^zz++++=EXTRAWORD
When ^wrb+who+++=When
a ^at++++=a
breath ^nn++++=breath
of ^in++++=of
indignation ^nn+nom+++=indignation
swept ^vwbn+++xvbn+=swept
across ^in+pl+++=across
his ^pp$+pp3+++=his
spirit ^nn++++=spirit
the ^ati++++=the
blood ^nn++++=blood
flushed ^vbd+++xvbn+=flushed
his ^pp$+pp3+++=his
withered ^jj+atrb++xvbn+=withered
visage ^nn++++=visage
even ^rb++++=even
to ^in++++=to
the ^ati++++=the
roots ^nns++++=roots
of ^in++++=of
his ^pp$+pp3+++=his
white ^jj+atrb+++=white
hair ^nn++++=hair;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
he ^pp3a+pp3+++=he
shook ^vbd+++xvbnx+=shook
his ^pp$+pp3+++=his
clinched ^vbd+++xvbn+=clinched
fist ^nn++++=fist
at ^in++++=at
the ^ati++++=the
trio ^nn++++=trio
of ^in++++=of
peaceful ^jj+atrb+++=peaceful
auditors ^nns++++=auditors,
, ^zz++++=EXTRAWORD
seeming ^vbg+seem++xvbg+=seeming
to ^to+vcmp+++=to
fancy ^vbi+vprv+++=fancy
enemies ^nns++++=enemies
in ^in++++=in
those ^dt+pdem+++=those
who ^whp+rel+subj++=who
felt ^vbd+vprv++xvbn+=felt
very ^ql+amp+++=very
kindly ^rb++++=kindly
towards ^in++++=towards
the ^ati++++=the
desolate ^jj+atrb+++=desolate
old ^jj+atrb+++=old
soul ^nn++++=soul.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
ever ^rb++++=ever
and ^cc++++=and
anon ^nn+++??+=anon,
, ^zz++++=EXTRAWORD
sometimes ^rb++++=sometimes
in ^in++++=in
the ^ati++++=the
midst ^nn++++=midst
of ^in++++=of
his ^pp$+pp3+++=his
most ^ql+emph+++=most
earnest ^nn++++=earnest
talk ^nn++++=talk,
, ^zz++++=EXTRAWORD
this ^dt+dem+++=this
ancient ^jj+atrb+++=ancient
person ^nn++++=person's
's ^$++++=EXTRAWORD
intellect ^nn++++=intellect
would ^md+prd+++=would
wander ^vb++++=wander
vaguely ^rb+cnj+++=vaguely,
, ^zz++++=EXTRAWORD
losing ^jj+++xvbg+=losing
its ^pp$+it+++=its
hold ^nn++++=hold
of ^in++++=of
the ^ati++++=the
matter ^nn++++=matter
in ^in++++=in
hand ^nn++++=hand,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
groping ^vbg+++xvbg+=groping
for ^in++++=for
it ^pp3+it+++=it
amid ^in++++=amid
misty ^jj+atrb+++=misty
shadows ^nps++++=shadows.
. ^zz++++=EXTRAWORD
Then ^rn+tm+++=Then
would ^md+prd+++=would
he ^pp3a+pp3+++=he
cackle ^nn++++=cackle
forth ^rb++++=forth
a ^at++++=a
feeble ^jj+atrb+++=feeble
laugh ^nn++++=laugh,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
express ^jjb++++=express
a ^at++++=a
doubt ^nn++++=doubt
whether ^cs+who+++=whether
his ^pp$+pp3+++=his
wits ^nns++++=wits--for
-- ^--+clp+++=EXTRAWORD
for ^in++++=EXTRAWORD
by ^in++++=by
that ^dt+dem+++=that
phrase ^nn++++=phrase
it ^pp3+it+++=it
pleased ^vbd+++xvbn+=pleased
our ^pp$+pp1+++=our
ancient ^jj+atrb+++=ancient
friend ^nn++++=friend
to ^to++++=to
signify ^vbi++++=signify
his ^pp$+pp3+++=his
mental ^jj+atrb+++=mental
powers ^nns++++=powers--were
-- ^--+clp+++=EXTRAWORD
were ^vbd+bed+aux++=EXTRAWORD
not ^xnot++not++=not
getting ^vbg+++xvbg+=getting
a ^rb++++=a
little ^rb"++++=little
the ^ati++++=the
worse ^nn++++=worse
for ^in++++=for
wear ^nn++++=wear.
. ^zz++++=EXTRAWORD
Under ^in++++=Under
these ^dt+dem+++=these
disadvantages ^nns+nom+++=disadvantages,
, ^zz++++=EXTRAWORD
the ^ati++++=the
old ^jj+atrb+++=old
loyalist ^jj+atrb+++=loyalist's
's ^vbz+bez+aux++0=EXTRAWORD
story ^nn++++=story
required ^vbd+++xvbn+=required
more ^rbr++++=more
revision ^nn++++=revision
to ^to++++=to
render ^vbi++++=render
it ^pp3+it+++=it
fit ^jj++++=fit
for ^in++++=for
the ^ati++++=the
public ^jj+atrb+++=public
eye ^nn++++=eye
than ^in++++=than
those ^dt+dem+++=those
of ^in++++=of
the ^ati++++=the
series ^nn++++=series
which ^whp+rel+subj++=which
have ^vb+hv+aux++=have
preceded ^vprf+++xvbnx+=preceded
it ^pp3+it+++=it;
; ^zz++++=EXTRAWORD
nor ^cc+cls+neg++=nor
should ^md+nec+++=should
it ^pp3+it+++=it
be ^vb+be+aux++=be
concealed ^vpsv++agls+xvbnx+=concealed
that ^dt+dem+++=that
the ^ati++++=the
sentiment ^nn+nom+++=sentiment
and ^cc++++=and
tone ^nn++++=tone
of ^in++++=of
the ^ati++++=the
affair ^nn++++=affair
may ^md+pos+++=may
have ^vb+hv+aux++=have
undergone ^vprf+++xvbn+=undergone
some ^dti++++=some
slight ^jj++++=slight,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
perchance ^nn+nom+++=perchance
more ^rbr++++=more
than ^in++++=than
slight ^jj++++=slight,
, ^zz++++=EXTRAWORD
metamorphosis ^nns+++??+=metamorphosis,
, ^zz++++=EXTRAWORD
in ^in++++=in
its ^pp$+it+++=its
transmission ^nn++++=transmission
to ^in++++=to
the ^ati++++=the
reader ^nn++++=reader
through ^in++++=through
the ^ati++++=the
medium ^nn++++=medium
of ^in++++=of
a ^at++++=a
thorough ^jj++++=thorough-going
- ^zz++++=EXTRAWORD
going ^vbg+++xvbg+=EXTRAWORD
democrat ^nn+++??+=democrat.
. ^zz++++=EXTRAWORD
The ^ati++++=The
tale ^nn++++=tale
itself ^ppl++++=itself
is ^vbz+bez+vrb++=is
a ^at++++=a
mere ^jjb+atrb+++=mere
sketch ^nn++++=sketch,
, ^zz++++=EXTRAWORD
with ^in++++=with
no ^at++++=no
involution ^nn+nom+++=involution
of ^in++++=of
plot ^nn++++=plot,
, ^zz++++=EXTRAWORD
nor ^cc+cls+neg++=nor
any ^dti++++=any
great ^jj+atrb+++=great
interest ^nn++++=interest
of ^in++++=of
events ^nns++++=events,
, ^zz++++=EXTRAWORD
yet ^rb++++=yet
possessing ^jj+++xvbg+=possessing,
, ^zz++++=EXTRAWORD
if ^cs+cnd+++=if
I ^pp1a+pp1+++=I
have ^vb+hv+vrb++=have
rehearsed ^jj++++=rehearsed
it ^pp3+it+++=it
aright ^rb+cnj+++=aright,
, ^zz++++=EXTRAWORD
that ^dt+dem+++=that
pensive ^jj+atrb+++=pensive
influence ^nn+nom+++=influence
over ^in++++=over
the ^ati++++=the
mind ^nn++++=mind
which ^whp+rel+obj++=which
the ^ati++++=the
shadow ^nn++++=shadow
of ^in++++=of
the ^ati++++=the
old ^jj+atrb+++=old
Province ^nn++++=Province
House ^npl++++=House
flings ^nn++++=flings
upon ^in++++=upon
the ^ati++++=the
loiterer ^nn++++=loiterer
in ^in++++=in
its ^pp$+it+++=its
court ^nn++++=court-yard.
- ^zz++++=EXTRAWORD
yard ^nn++++=EXTRAWORD
. ^zz++++=EXTRAWORD
The ^ati++++=The
hour ^nn++++=hour
had ^vbd+hvd+aux++=had
come ^vb++++=come--the
-- ^--+clp+++=EXTRAWORD
the ^ati++++=EXTRAWORD
hour ^nn++++=hour
of ^in++++=of
defeat ^nn++++=defeat
and ^cc++++=and
humiliation ^nn+nom+++=humiliation--when
-- ^--+clp+++=EXTRAWORD
when ^wrb+who+++=EXTRAWORD
Sir ^npt++++=Sir
William ^np++++=William
Howe ^np++++=Howe
was ^vbd+bedz+aux++=was
to ^to++++=to
pass ^vbi++++=pass
over ^rb+phrv+++=over
the ^ati++++=the
threshold ^nn++++=threshold
of ^in++++=of
the ^ati++++=the
Province ^nn++++=Province
House ^npl++++=House,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
embark ^vb++++=embark,
, ^zz++++=EXTRAWORD
with ^in++++=with
no ^at++++=no
such ^abl++++=such
triumphal ^jj+atrb+++=triumphal
ceremonies ^nns++++=ceremonies
as ^ql++++=as
he ^pp3a+pp3+++=he
once ^cs+tm+++=once
promised ^vprf+++xvbn+=promised
himself ^ppl+pp3+++=himself,
, ^zz++++=EXTRAWORD
on ^in++++=on
board ^nn++++=board
the ^ati++++=the
British ^jj+atrb+++=British
fleet ^nn++++=fleet.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
bade ^vbd+++xvbnx+=bade
his ^pp$+pp3+++=his
servants ^nns+nom+++=servants
and ^cc++++=and
military ^jj+atrb+++=military
attendants ^nns+nom+++=attendants
go ^vb++++=go
before ^in++++=before
him ^pp3o+pp3+++=him,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
lingered ^vbd+++xvbn+=lingered
a ^at++++=a
moment ^nn++++=moment
in ^in++++=in
the ^ati++++=the
loneliness ^nns+nom+++=loneliness
of ^in++++=of
the ^ati++++=the
mansion ^nn++++=mansion,
, ^zz++++=EXTRAWORD
to ^in++++=to
quell ^nn+++??+=quell
the ^ati++++=the
fierce ^jj+atrb+++=fierce
emotions ^nns+nom+++=emotions
that ^tht+rel+subj++=that
struggled ^vprf+++xvbn+=struggled
in ^in++++=in
his ^pp$+pp3+++=his
bosom ^nn++++=bosom
as ^in++++=as
with ^in"++++=with
a ^at++++=a
death ^nn++++=death
throb ^nn++++=throb.
. ^zz++++=EXTRAWORD
Preferable ^jj++++=Preferable,
, ^zz++++=EXTRAWORD
then ^rn+tm+++=then,
, ^zz++++=EXTRAWORD
would ^md+prd+++=would
he ^pp3a+pp3+++=he
have ^vb+hv+aux++=have
deemed ^vprf+++xvbnx+=deemed
his ^pp$+pp3+++=his
fate ^nn++++=fate,
, ^zz++++=EXTRAWORD
had ^vb+hv+vrb++=had
a ^at++++=a
warrior ^nn++++=warrior's
's ^$++++=EXTRAWORD
death ^nn++++=death
left ^vbd+++xvbn+=left
him ^pp3o+pp3+++=him
a ^at++++=a
claim ^vb++++=claim
to ^to+vcmp+++=to
the ^ati++++=the
narrow ^jj+atrb+++=narrow
territory ^nn++++=territory
of ^in++++=of
a ^at++++=a
grave ^nn++++=grave
within ^in++++=within
the ^ati++++=the
soil ^nn++++=soil
which ^whp+rel+obj++=which
the ^ati++++=the
King ^npt++++=King
had ^vbd+hvd+aux++=had
given ^vprf+++xvbnx+=given
him ^pp3o+pp3+++=him
to ^to++++=to
defend ^vbi++++=defend.
. ^zz++++=EXTRAWORD
With ^in++++=With
an ^at++++=an
ominous ^jj+atrb+++=ominous
perception ^nn+nom+++=perception
that ^tht+ncmp+++=that,
, ^zz++++=EXTRAWORD
as ^ql++++=as
his ^pp$+pp3+++=his
departing ^jj+atrb++xvbg+=departing
footsteps ^nns++++=footsteps
echoed ^vwbn+++xvbn+=echoed
adown ^vprf+++xvbn+=adown
the ^ati++++=the
staircase ^nn++++=staircase,
, ^zz++++=EXTRAWORD
the ^ati++++=the
sway ^nn++++=sway
of ^in++++=of
Britain ^np++++=Britain
was ^vbd+bedz+aux++=was
passing ^vbg+++xvbgx+=passing
forever ^rb++++=forever
from ^in++++=from
New ^jj+atrb+++=New
England ^np++++=England,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
smote ^vbd+++xvbnx+=smote
his ^pp$+pp3+++=his
clinched ^vbd+++xvbn+=clinched
hand ^nn++++=hand
on ^in++++=on
his ^pp$+pp3+++=his
brow ^nn++++=brow,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
cursed ^vbd+++xvbn+=cursed
the ^ati++++=the
destiny ^nn++++=destiny
that ^tht+rel+subj++=that
had ^vbd+hvd+aux++=had
flung ^vprf+++xvbnx+=flung
the ^ati++++=the
shame ^nn++++=shame
of ^in++++=of
a ^at++++=a
