Mrs ^npt++++=Mrs.
. ^zz++++=EXTRAWORD
Laughton ^np++++=Laughton
had ^vbd+hvd+aux++=had
found ^vprf+++xvbnx+=found
what ^wdt+who+whcl++=what
she ^pp3a+pp3+++=she
had ^vbd+hvd+aux++=had
been ^vprf+ben+aux+xvbnx+=been
looking ^vbg+++xvbgx+=looking
for ^in++++=for
all ^abn++++=all
her ^pp3o+pp3+++=her
life ^nn++++=life
the ^ati++++=the
man ^nn++++=man
under ^in++++=under
her ^pp$+pp3+++=her
bed ^nn++++=bed.
. ^zz++++=EXTRAWORD
Every ^at++++=Every
night ^nn++++=night
of ^in++++=of
her ^pp$+pp3+++=her
nearly ^rb+down+++=nearly
thirty ^cd++++=thirty
years ^nns++++=years
of ^in++++=of
existence ^nn+nom+++=existence
this ^dt+dem+++=this
pretty ^rb++++=pretty
little ^ap++++=little
person ^nn++++=person
had ^vbd+hvd+aux++=had
stooped ^vprf+++xvbnx+=stooped
on ^rp++++=on
her ^pp3o+pp3+++=her
knees ^nns++++=knees,
, ^zz++++=EXTRAWORD
before ^in++++=before
saying ^xvbg+++xvbg+=saying
her ^pp$+pp3+++=her
prayers ^nns+nom+++=prayers,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
had ^vbd+hvd+aux++=had
investigated ^vprf+++xvbnx+=investigated
the ^ati++++=the
space ^nn++++=space
beneath ^rb++++=beneath
her ^pp$+pp3+++=her
bed ^nn++++=bed,
, ^zz++++=EXTRAWORD
a ^at++++=a
light ^nn++++=light
brass ^nn++++=brass
affair ^nn++++=affair,
, ^zz++++=EXTRAWORD
hung ^j+++xvbn+=hung
with ^in++++=with
a ^at++++=a
chintz ^nn++++=chintz
valance ^nn+nom+++=valance;
; ^zz++++=EXTRAWORD
had ^vb+hv+aux++=had
then ^rn+tm+splt++=then
peered ^vprf+++xvbnx+=peered
beneath ^in+pl+++=beneath
the ^ati++++=the
dark ^jj+atrb+++=dark
recess ^nn++++=recess
of ^in++++=of
the ^ati++++=the
dressing ^jj+++xvbg+=dressing-case,
- ^zz++++=EXTRAWORD
case ^nn++++=EXTRAWORD
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
having ^xvbg+++xvbg+=having
looked ^vprf+++xvbn+=looked
in ^in++++=in
the ^ati++++=the
deep ^jj+atrb+++=deep
drawer ^nn++++=drawer
of ^in++++=of
the ^ati++++=the
bureau ^nn++++=bureau
and ^cc++++=and
into ^in++++=into
the ^ati++++=the
closet ^nn++++=closet,
, ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
fastened ^vbd+++xvbnx+=fastened
her ^pp$+pp3+++=her
door ^nn++++=door
and ^cc++++=and
felt ^vbd+vprv++xvbn+=felt
as ^ql++++=as
secure ^vb++++=secure
as ^ql++++=as
a ^at++++=a
snail ^nn++++=snail
in ^in++++=in
a ^at++++=a
shell ^nn++++=shell.
. ^zz++++=EXTRAWORD
As ^ql++++=As
she ^pp3a+pp3+++=she
never ^rb+cnj+++=never,
, ^zz++++=EXTRAWORD
in ^in++++=in
this ^dt+dem+++=this
particular ^jj+atrb+++=particular
business ^nns+nom+++=business,
, ^zz++++=EXTRAWORD
seemed ^vb+++xvbn+=seemed
to ^to+vcmp+++=to
have ^vbi++++=have
any ^dti++++=any
confidence ^nn+nom+++=confidence
in ^in++++=in
Mr ^npt++++=Mr.
. ^zz++++=EXTRAWORD
Laughton ^np++++=Laughton,
, ^zz++++=EXTRAWORD
in ^in++++=in
spite ^in"++++=spite
of ^in"++++=of
the ^ati++++=the
fact ^nn++++=fact
that ^tht+ncmp+++=that
she ^pp3a+pp3+++=she
admired ^vbd+++xvbnx+=admired
him ^pp3o+pp3+++=him
and ^cc++++=and
adored ^xvbn+++xvbn+=adored
him ^pp3o+pp3+++=him,
, ^zz++++=EXTRAWORD
neither ^dt++neg++=neither
his ^pp$+pp3+++=his
presence ^nn+nom+++=presence
nor ^cc++neg++=nor
his ^pp$+pp3+++=his
absence ^nn+nom+++=absence
ever ^rb++++=ever
made ^vbd+++xvbn+=made
any ^dti++++=any
variation ^nn+nom+++=variation
in ^in++++=in
the ^ati++++=the
performance ^nn+nom+++=performance.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
had ^vbd+hvd+aux++=had
gone ^vprf+++xvbnx+=gone
through ^in++++=through
the ^ati++++=the
motions ^nns+nom+++=motions,
, ^zz++++=EXTRAWORD
however ^rb+cnj+++=however,
, ^zz++++=EXTRAWORD
for ^in++++=for
so ^ql++++=so
long ^rb++++=long
a ^at++++=a
time ^nn++++=time
that ^tht+rel+obj++=that
they ^pp3a+pp3+++=they
had ^vbd+hvd+aux++=had
come ^vprf+++xvbn+=come
to ^to++++=to
be ^vbi++vrb++=be
in ^in++++=in
a ^at++++=a
manner ^nn++++=manner
perfunctory ^jj++++=perfunctory,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
start ^nn++++=start
she ^pp3a+pp3+++=she
received ^vbd+++xvbnx+=received
on ^in++++=on
this ^dt+dem+++=this
night ^nn++++=night
of ^in++++=of
which ^whp+rel+pied++=which
I ^pp1a+pp1+++=I
speak ^vb++++=speak
made ^vprf+++xvbn+=made
her ^pp$+pp3+++=her
prayers ^nns+nom+++=prayers
quite ^rb++++=quite
impossible ^jj++++=impossible.
. ^zz++++=EXTRAWORD
What ^wdt+who+whq++=What
was ^vbd+bedz+aux++=was
she ^pp3a+pp3+++=she
to ^to++++=to
do ^vbi++++=do?
? ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She,
, ^zz++++=EXTRAWORD
a ^at++++=a
coward ^np++++=coward
par ^&fw++++=par
eminence ^nn+nom+++=eminence,
, ^zz++++=EXTRAWORD
known ^vb+++xvbn+=known
to ^to+vcmp+++=to
be ^vbi++vrb++=be
the ^ati++++=the
most ^ql+emph+++=most
timorous ^jj++++=timorous
of ^in++++=of
the ^ati++++=the
whole ^jj+atrb+++=whole
family ^nn++++=family;
; ^zz++++=EXTRAWORD
her ^pp$+pp3+++=her
tremors ^nns++++=tremors
at ^rb++++=at
all ^abn++++=all
sorts ^nns++++=sorts
of ^in++++=of
imagined ^vbn+vprv++xvbn+=imagined
dangers ^nns+nom+++=dangers
affording ^vwbg+++xvbg+=affording
laughter ^nn+nom+++=laughter
to ^in++++=to
the ^ati++++=the
flock ^nn++++=flock
of ^in++++=of
sisters ^nns+nom+++=sisters
and ^cc++++=and
brothers ^nns+nom+++=brothers.
. ^zz++++=EXTRAWORD
Should ^md+nec+++=Should
she ^pp3a+pp3+++=she
stay ^vb++++=stay
on ^in++++=on
her ^pp$+pp3+++=her
knees ^nns++++=knees
after ^cs+sub+++=after
having ^nn+nn+aux++=having
seen ^vbd+vprv++xvbn+=seen
that ^tht+vcmp+++=that
dark ^jj+atrb+++=dark
shape ^nn++++=shape,
, ^zz++++=EXTRAWORD
as ^cs+sub+++=as
if ^cs+cnd+++=if
going ^vbg+++xvbg+=going
on ^in++++=on
with ^in++++=with
her ^pp$+pp3+++=her
prayers ^nns+nom+++=prayers,
, ^zz++++=EXTRAWORD
while ^cs+sub+++=while
revolving ^jj+++xvbg+=revolving
some ^dti++++=some
plan ^nn++++=plan
of ^in++++=of
procedure ^nn++++=procedure?
? ^zz++++=EXTRAWORD
That ^dt+pdem+++=That
was ^vbd+bedz+vrb++=was
out ^rp+pl+++=out
of ^in++++=of
the ^ati++++=the
question ^nn+nom+++=question.
. ^zz++++=EXTRAWORD
Scream ^vb++++=Scream?
? ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
could ^md+pos+++=couldn't
n't ^xnot++not++0=EXTRAWORD
have ^vb+hv+aux++=have
screamed ^vprf+++xvbnx+=screamed
to ^to++++=to
save ^vbi++++=save
her ^pp$+pp3+++=her
life ^nn++++=life.
. ^zz++++=EXTRAWORD
Run ^j+++xvbn+=Run?
? ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
could ^md+pos+++=could
no ^at++++=no
more ^ql++++=more
have ^vb+hv+aux++=have
set ^vprf+++xvbnx+=set
one ^cd1++++=one
foot ^nn++++=foot
before ^in++++=before
the ^ati++++=the
other ^ap++++=other,
, ^zz++++=EXTRAWORD
than ^in++++=than
if ^cs+cnd+++=if
her ^pp3o+pp3+++=her
body ^nn++++=body
had ^vbd+hvd+aux++=had
melted ^vprf+++xvbnx+=melted
from ^in++++=from
the ^ati++++=the
waist ^nn++++=waist
down ^in+strn+++=down.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
was ^vbd+bedz+vrb++=was
deadly ^rb++++=deadly
faint ^jj+pred+++=faint
and ^cc+phrs+++=and
cold ^jj++++=cold
and ^cc+phrs+++=and
shaking ^jj+++xvbg+=shaking,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
all ^rb++++=all
in ^in++++=in
a ^at++++=a
second ^rb+cnj+++=second,
, ^zz++++=EXTRAWORD
in ^in++++=in
the ^ati++++=the
fraction ^nn+nom+++=fraction
of ^in++++=of
a ^at++++=a
second ^rb+cnj+++=second,
, ^zz++++=EXTRAWORD
before ^cs+sub+++=before
she ^pp3a+pp3+++=she
had ^vbd+hvd+aux++=had
risen ^vwbn+++xvbn+=risen
from ^in++++=from
her ^pp$+pp3+++=her
stooping ^vbg+++xvbg+=stooping
posture ^nn++++=posture.
. ^zz++++=EXTRAWORD
Oh ^uh++++=Oh,
, ^zz++++=EXTRAWORD
why ^wrb+who+whq++=why
was ^vbd+bedz+aux++=wasn't
n't ^xnot++not++0=EXTRAWORD
it ^pp3+it+++=it
Virginia ^np++++=Virginia
instead ^rb+cnj+++=instead?
? ^zz++++=EXTRAWORD
Virginia ^np++++=Virginia
had ^vb+hv+aux++=had
always ^rb++++=always
had ^vb+hv+vrb++=had
such ^abl++++=such
heroic ^jj+atrb+++=heroic
plans ^nns++++=plans
of ^in++++=of
making ^xvbg+++xvbg+=making
the ^ati++++=the
man ^nn++++=man
come ^vb++++=come
out ^rb+phrv+++=out
of ^in+ppvb+++=of
his ^pp$+pp3+++=his
hiding ^vbg+++xvbg+=hiding-place
- ^zz++++=EXTRAWORD
place ^nn++++=EXTRAWORD
at ^in++++=at
the ^ati++++=the
point ^nn++++=point
of ^in++++=of
her ^pp$+pp3+++=her
pistol ^nn++++=pistol;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
Virginia ^np++++=Virginia
could ^md+pos+++=could
cock ^vb++++=cock
a ^at++++=a
pistol ^nn++++=pistol
and ^cc++++=and
was ^vbd+bedz+aux++=wasn't
n't ^xnot++not++0=EXTRAWORD
covered ^vwbn+++xvbn+=covered
with ^in++++=with
cold ^jj+atrb+++=cold
shivers ^nns+nom+++=shivers
at ^in++++=at
the ^ati++++=the
sight ^nn++++=sight
of ^in++++=of
one ^pn++++=one,
, ^zz++++=EXTRAWORD
as ^ql++++=as
she ^pp3a+pp3+++=she
was ^vbd+bedz+vrb++=was.
. ^zz++++=EXTRAWORD
If ^cs+cnd+++=If
it ^pp3+it+++=it
had ^vb+hv+aux++=had
only ^rb+down+splt++=only
been ^vprf+ben+vrb+xvbnx+=been
Francie ^np+++??+=Francie,
, ^zz++++=EXTRAWORD
whose ^whp+rel+obj++=whose
shrill ^jj+atrb+++=shrill
voice ^nn++++=voice
could ^md+pos+++=could
have ^vb+hv+aux++=have
been ^vprf+ben+aux+xvbnx+=been
heard ^vpsv++agls+xvbnx+=heard
over ^in++++=over
the ^ati++++=the
side ^nn++++=side
of ^in++++=of
the ^ati++++=the
earth ^nn++++=earth,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
Juliet ^np++++=Juliet,
, ^zz++++=EXTRAWORD
whose ^whp+rel+obj++=whose
long ^jj+atrb+++=long
legs ^nns++++=legs
would ^md+prd+++=would
have ^vb+hv+aux++=have
left ^vprf+++xvbnx+=left
burglar ^nn+++??+=burglar,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
house ^nn++++=house,
, ^zz++++=EXTRAWORD
too ^rb+cnj+++=too,
, ^zz++++=EXTRAWORD
in ^in++++=in
the ^ati++++=the
background ^nn++++=background
between ^in++++=between
the ^ati++++=the
opening ^jj+++xvbg+=opening
and ^cc+phrs+++=and
slamming ^jj+++xvbg+=slamming
of ^in++++=of
a ^at++++=a
door ^nn++++=door.
. ^zz++++=EXTRAWORD
Either ^dtx++++=Either
of ^in++++=of
them ^pp3o+pp3+++=them
was ^vbd+bedz+vrb++=was
so ^ql++++=so
much ^ap++++=much
more ^ql++++=more
fit ^vb++++=fit
than ^in++++=than
she ^pp3a+pp3+++=she,
, ^zz++++=EXTRAWORD
the ^ati++++=the
chicken ^nn++++=chicken-hearted
- ^zz++++=EXTRAWORD
hearted ^jj+atrb+++=EXTRAWORD
one ^pn++++=one
of ^in++++=of
the ^ati++++=the
family ^nn++++=family,
, ^zz++++=EXTRAWORD
to ^to++++=to
cope ^vbi++++=cope
with ^in++++=with
this ^dt+dem+++=this
creature ^nn++++=creature.
. ^zz++++=EXTRAWORD
And ^cc+cls+++=And
they ^pp3a+pp3+++=they
were ^vbd+bed+aux++=were
all ^abn++++=all
gone ^vprf+++xvbn+=gone
to ^in++++=to
the ^ati++++=the
wedding ^nn++++=wedding
with ^in++++=with
Fred ^np++++=Fred,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
would ^md+prd+++=would
not ^xnot++not++=not
be ^vb+be+vrb++=be
at ^rb++++=at
home ^nr++++=home
till ^in++++=till
to ^to++++=to-morrow;
- ^zz++++=EXTRAWORD
morrow ^nn++++=EXTRAWORD
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
Tom ^np++++=Tom
had ^vb+hv+aux++=had
just ^rb+emph+splt++=just
returned ^vprf+++xvbnx+=returned
from ^in++++=from
the ^ati++++=the
town ^nn++++=town
and ^cc++++=and
handed ^vbd+++xvbn+=handed
her ^pp$+pp3+++=her
his ^pp$+pp3+++=his
roll ^nn++++=roll
of ^in++++=of
bills ^nns++++=bills,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
told ^vbd+vpub++xvbn+=told
her ^pp$+pp3+++=her
to ^to++++=to
take ^vbi++++=take
care ^nn++++=care
of ^in++++=of
it ^pp3+it+++=it
till ^cs+sub+++=till
he ^pp3a+pp3+++=he
came ^vbd+++xvbnx+=came
back ^jjb++++=back
from ^in++++=from
galloping ^xvbg+++xvbg+=galloping
down ^rp++++=down
to ^in++++=to
the ^ati++++=the
works ^nn++++=works
with ^in++++=with
Jules ^np++++=Jules;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
she ^pp3a+pp3+++=she
had ^vbd+hvd+aux++=had
tucked ^vprf+++xvbnx+=tucked
it ^pp3+it+++=it
into ^in++++=into
her ^pp$+pp3+++=her
belt ^nn++++=belt,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
had ^vbd+hvd+aux++=had
asked ^vprf+++xvbnx+=asked
him ^pp3o+pp3+++=him,
, ^zz++++=EXTRAWORD
a ^rb++++=a
little ^rb"++++=little
quakingly ^jj++++=quakingly,
, ^zz++++=EXTRAWORD
what ^wdt+who+++=what
if ^cs+cnd+++=if
any ^dti++++=any
of ^in++++=of
the ^ati++++=the
men ^nns++++=men
of ^in++++=of
the ^ati++++=the
Dead ^jj+atrb+++=Dead
Line ^nn++++=Line
that ^tht+rel+obj++=that
they ^pp3a+pp3+++=they
had ^vbd+hvd+aux++=had
heard ^vprf+++xvbnx+=heard
of ^in++++=of
or ^cc++++=or
Red ^jj+atrb+++=Red
Dan ^np++++=Dan
or ^cc++++=or
an ^at++++=an
Apache ^np++++=Apache
came ^vbd+++xvbn+=came
along ^in+strn+++=along;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
he ^pp3a+pp3+++=he
had ^vbd+hvd+aux++=had
laughed ^vprf+++xvbnx+=laughed,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
said ^vbd+vpub+tht0+xvbn+=said
she ^pp3a+pp3+++=she
had ^vb+hv+aux++=had
better ^jjr++++=better
ask ^vb++++=ask
them ^pp3o+pp3+++=them
in ^in++++=in
and ^cc++++=and
reproach ^nn++++=reproach
them ^pp3o+pp3+++=them
for ^in++++=for
making ^xvbg+++xvbg+=making
such ^abl++++=such
strangers ^nns+nom+++=strangers
of ^in++++=of
themselves ^ppls+pp3+++=themselves
as ^ql++++=as
not ^xnot++not++=not
to ^to++++=to
have ^vbi+vbi+aux++=have
called ^vprf+++xvbnx+=called
in ^rb+phrv+++=in
the ^ati++++=the
two ^cd++++=two
years ^nns++++=years
she ^pp3a+pp3+++=she
had ^vbd+hvd+aux++=had
been ^vprf+ben+vrb+xvbnx+=been
in ^in++++=in
this ^dt+dem+++=this
part ^nn++++=part
of ^in++++=of
the ^ati++++=the
country ^nn++++=country;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
she ^pp3a+pp3+++=she
had ^vb+hv+vrb++=had
the ^ati++++=the
two ^cd++++=two
maids ^nns++++=maids
with ^in++++=with
her ^pp$+pp3+++=her,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
he ^pp3a+pp3+++=he
should ^md+nec+++=should
be ^vb+be+vrb++=be
back ^jjb+pred+++=back
directly ^rb++++=directly.
. ^zz++++=EXTRAWORD
And ^cc+cls+++=And
she ^pp3a+pp3+++=she
had ^vbd+hvd+aux++=had
looked ^vprf+++xvbnx+=looked
out ^rp+pl+++=out
after ^in++++=after
him ^pp3o+pp3+++=him
a ^at++++=a
moment ^nn++++=moment
over ^in++++=over
the ^ati++++=the
wide ^jj+atrb+++=wide
prairie ^nn++++=prairie
to ^in++++=to
the ^ati++++=the
hills ^nns++++=hills,
, ^zz++++=EXTRAWORD
all ^abn++++=all
bathed ^jj+++xvbn+=bathed
in ^in++++=in
moonlight ^nn++++=moonlight,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
felt ^vbd+vprv++xvbn+=felt
as ^cs+sub+++=as
if ^cs+cnd+++=if
she ^pp3a+pp3+++=she
were ^vbd+bed+vrb++=were
a ^at++++=a
spirit ^nn++++=spirit
alone ^rb++++=alone
in ^in++++=in
a ^at++++=a
dead ^jj+atrb+++=dead
world ^nn++++=world.
. ^zz++++=EXTRAWORD
And ^cc+cls+++=And
here ^rn+pl+++=here
she ^pp3a+pp3+++=she
was ^vbd+bedz+vrb++=was
now ^rn+tm+++=now,
, ^zz++++=EXTRAWORD
the ^ati++++=the
two ^cd++++=two
maids ^nns++++=maids
away ^rp+pl+++=away
in ^in++++=in
the ^ati++++=the
little ^jj+atrb+++=little
wing ^nn++++=wing,
, ^zz++++=EXTRAWORD
locked ^j+++xvbn+=locked
out ^rp+pl+++=out
by ^in++++=by
the ^ati++++=the
main ^jjb++++=main
house ^npl++++=house,
, ^zz++++=EXTRAWORD
alone ^rb++++=alone
with ^in++++=with
a ^at++++=a
burglar ^nn+++??+=burglar,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
not ^xnot++not++=not
another ^dt++++=another
being ^jj+++xvbg+=being
nearer ^rbr++++=nearer
than ^in++++=than
the ^ati++++=the
works ^nn++++=works,
, ^zz++++=EXTRAWORD
a ^at++++=a
half ^abn++++=half-mile
- ^zz++++=EXTRAWORD
mile ^nn++++=EXTRAWORD
off ^in+strn+++=off.
. ^zz++++=EXTRAWORD
How ^wrb+who+whq++=How
did ^vbd+dod+aux++=did
this ^dt+dem+++=this
man ^nn++++=man
know ^vb+vprv+++=know
that ^tht+vcmp+++=that
she ^pp3a+pp3+++=she
was ^vbd+bedz+vrb++=was
without ^in++++=without
any ^dti++++=any
help ^nn++++=help
here ^rn+pl+++=here?
? ^zz++++=EXTRAWORD
How ^wrb+who+whq++=How
did ^vbd+dod+vrb++=did
he ^pp3a+pp3+++=he
know ^vb+vprv+++=know
that ^tht+vcmp+++=that
Tom ^np++++=Tom
was ^vbd+bedz+aux++=was
coming ^vbg+++xvbgx+=coming
back ^jjb++++=back
with ^in++++=with
the ^ati++++=the
money ^nn++++=money
to ^to++++=to
pay ^vbi++++=pay
the ^ati++++=the
men ^nns++++=men
that ^tht+rel+obj++=that
night ^nn++++=night?
? ^zz++++=EXTRAWORD
How ^wrb+who+whq++=How
did ^vbd+dod+vrb++=did
