On ^in++++=On
one ^pn++++=one
of ^in++++=of
the ^ati++++=the
upper ^jjb+atrb+++=upper
branches ^nns++++=branches
of ^in++++=of
the ^ati++++=the
Congo ^np++++=Congo
river ^npl++++=river
lived ^vbd+++xvbn+=lived
an ^at++++=an
ancient ^jj+atrb+++=ancient
and ^cc+phrs+++=and
aristocratic ^jj+atrb+++=aristocratic
family ^nn++++=family
of ^in++++=of
hippopotamuses ^nns+++??+=hippopotamuses,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
boasted ^vbd+vpub++xvbn+=boasted
a ^at++++=a
pedigree ^nn+nom+++=pedigree
dating ^vwbg+++xvbg+=dating
back ^jjb++++=back
beyond ^in++++=beyond
the ^ati++++=the
days ^nns++++=days
of ^in++++=of
Noah ^np++++=Noah--beyond
-- ^--+clp+++=EXTRAWORD
beyond ^in++++=EXTRAWORD
the ^ati++++=the
existence ^nn+nom+++=existence
of ^in++++=of
mankind ^nn++++=mankind--far
-- ^--+clp+++=EXTRAWORD
far ^rb+pl+++=EXTRAWORD
into ^in++++=into
the ^ati++++=the
dim ^jj+atrb+++=dim
ages ^nns++++=ages
when ^wrb+who+++=when
the ^ati++++=the
world ^nn++++=world
was ^vbd+bedz+vrb++=was
new ^jj+pred+++=new.
. ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They
had ^vb+hv+aux++=had
always ^rb++splt++=always
lived ^vprf+++xvbnx+=lived
upon ^in++++=upon
the ^ati++++=the
banks ^nns++++=banks
of ^in++++=of
this ^dt+dem+++=this
same ^ap++++=same
river ^nn++++=river,
, ^zz++++=EXTRAWORD
so ^ql++++=so
that ^cs+sub+++=that
every ^at++++=every
curve ^nn++++=curve
and ^cc++++=and
sweep ^nn++++=sweep
of ^in++++=of
its ^pp$+it+++=its
waters ^nns++++=waters,
, ^zz++++=EXTRAWORD
every ^at++++=every
pit ^nn++++=pit
and ^cc++++=and
shallow ^jj++++=shallow
of ^in++++=of
its ^pp$+it+++=its
bed ^nn++++=bed,
, ^zz++++=EXTRAWORD
every ^at++++=every
rock ^nn++++=rock
and ^cc++++=and
stump ^nn++++=stump
and ^cc++++=and
wallow ^vb++++=wallow
upon ^in++++=upon
its ^pp$+it+++=its
bank ^nn++++=bank
was ^vbd+bedz+vrb++=was
as ^ql++++=as
familiar ^jj++++=familiar
to ^in++++=to
them ^pp3o+pp3+++=them
as ^ql++++=as
their ^pp$+pp3+++=their
own ^ap++++=own
mothers ^nns+nom+++=mothers.
. ^zz++++=EXTRAWORD
And ^cc+cls+++=And
they ^pp3a+pp3+++=they
are ^vb+ber+aux++=are
living ^vbg+++xvbgx+=living
there ^rn+pl+++=there
yet ^cc++++=yet,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
suppose ^vb+vprv+++=suppose.
. ^zz++++=EXTRAWORD
Not ^xnot++not++=Not
long ^rb++++=long
ago ^rb++++=ago
the ^ati++++=the
queen ^nn++++=queen
of ^in++++=of
this ^dt+dem+++=this
tribe ^nn++++=tribe
of ^in++++=of
hippopotamuses ^nns+++??+=hippopotamuses
had ^vb+hv+vrb++=had
a ^at++++=a
child ^nn++++=child
which ^whp+rel+obj++=which
she ^pp3a+pp3+++=she
named ^vbd+++xvbnx+=named
Keo ^np+++??+=Keo,
, ^zz++++=EXTRAWORD
because ^cs+cos+++=because
it ^pp3+it+++=it
was ^vbd+bedz+vrb++=was
so ^ql++++=so
fat ^nn++++=fat
and ^cc++++=and
round ^nn++++=round.
. ^zz++++=EXTRAWORD
Still ^rb+cnj+++=Still,
, ^zz++++=EXTRAWORD
that ^tht+vcmp+++=that
you ^pp2+pp2+++=you
may ^md+pos+++=may
not ^xnot++not++=not
be ^vb+be+aux++=be
misled ^vpsv++agls+xvbnx+=misled,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
will ^md+prd+++=will
say ^vb+vpub+++=say
that ^tht+vcmp+++=that
in ^in++++=in
the ^ati++++=the
hippopotamus ^nns+++??+=hippopotamus
language ^nn+nom+++=language
" ^zz++++="Keo,"
keo ^nn+++??+=EXTRAWORD
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
properly ^rb++++=properly
translated ^vbd+++xvbn+=translated,
, ^zz++++=EXTRAWORD
means ^nns++++=means
" ^zz++++="fat
fat ^nn++++=EXTRAWORD
and ^cc++++=and
lazy ^jj++++=lazy"
" ^zz++++=EXTRAWORD
instead ^rb+cnj+++=instead
of ^in++++=of
fat ^nn++++=fat
and ^cc++++=and
round ^nn++++=round.
. ^zz++++=EXTRAWORD
However ^rb+cnj+++=However,
, ^zz++++=EXTRAWORD
no ^at++++=no
one ^cd1++++=one
called ^vbd+++xvbn+=called
the ^ati++++=the
queen ^nn++++=queen's
's ^$++++=EXTRAWORD
attention ^nn+nom+++=attention
to ^in++++=to
this ^dt+dem+++=this
error ^nn++++=error,
, ^zz++++=EXTRAWORD
because ^cs+cos+++=because
her ^pp3o+pp3+++=her
tusks ^nns+++??+=tusks
were ^vbd+bed+vrb++=were
monstrous ^jj++++=monstrous
long ^jj++++=long
and ^cc+phrs+++=and
sharp ^jj++++=sharp,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
she ^pp3a+pp3+++=she
thought ^vbd+++xvbnx+=thought
Keo ^np+++??+=Keo
the ^ati++++=the
sweetest ^jjt+atrb+++=sweetest
baby ^nn++++=baby
in ^in++++=in
the ^ati++++=the
world ^nn++++=world.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
was ^vbd+bedz+vrb++=was,
, ^zz++++=EXTRAWORD
indeed ^rb+cnj+++=indeed,
, ^zz++++=EXTRAWORD
all ^abn++++=all
right ^jj++++=right
for ^in++++=for
a ^at++++=a
hippopotamus ^nns+++??+=hippopotamus.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
rolled ^vbd+++xvbnx+=rolled
and ^cc+phrs+++=and
played ^vbd+++xvbn+=played
in ^in++++=in
the ^ati++++=the
soft ^jj+atrb+++=soft
mud ^nn++++=mud
of ^in++++=of
the ^ati++++=the
river ^nn++++=river
bank ^nn++++=bank,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
waddled ^jj+++xvbn+=waddled
inland ^jjb++++=inland
to ^in++++=to
nibble ^nn++++=nibble
the ^ati++++=the
leaves ^nns++++=leaves
of ^in++++=of
the ^ati++++=the
wild ^jj+atrb+++=wild
cabbage ^nn+nom+++=cabbage
that ^tht+rel+subj++=that
grew ^vbd+++xvbn+=grew
there ^rn+pl+++=there,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
was ^vbd+bedz+vrb++=was
happy ^jj+pred+++=happy
and ^cc+phrs+++=and
contented ^jj++++=contented
from ^in++++=from
morning ^nn++++=morning
till ^in++++=till
night ^nn++++=night.
. ^zz++++=EXTRAWORD
And ^cc+cls+++=And
he ^pp3a+pp3+++=he
was ^vbd+bedz+vrb++=was
the ^ati++++=the
jolliest ^jjt+atrb+++=jolliest
hippopotamus ^nns+++??+=hippopotamus
that ^tht+rel+++=that
ancient ^jj+atrb+++=ancient
family ^nn++++=family
had ^vb+hv+aux++=had
ever ^rb++splt++=ever
known ^vprf+++xvbnx+=known.
. ^zz++++=EXTRAWORD
His ^pp$+pp3+++=His
little ^ap++++=little
red ^jj+atrb+++=red
eyes ^nns++++=eyes
were ^vbd+bed+aux++=were
forever ^rb++splt++=forever
twinkling ^nvbg+++xvbg+=twinkling
with ^in++++=with
fun ^nn++++=fun,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
he ^pp3a+pp3+++=he
laughed ^vbd+++xvbnx+=laughed
his ^pp$+pp3+++=his
merry ^jj+atrb+++=merry
