A ^at++++=A
half ^abn++++=half-mile
- ^zz++++=EXTRAWORD
mile ^nn++++=EXTRAWORD
north ^np+pl+++=north
from ^in++++=from
Jo ^np++++=Jo.
. ^zz++++=EXTRAWORD
Dunfer ^np+++??+=Dunfer's,
's, ^nn+++??+=EXTRAWORD
on ^in++++=on
the ^ati++++=the
road ^nn++++=road
from ^in++++=from
Hutton ^np++++=Hutton's
's ^$++++=EXTRAWORD
to ^in++++=to
Mexican ^jj+atrb+++=Mexican
Hill ^nn++++=Hill,
, ^zz++++=EXTRAWORD
the ^ati++++=the
highway ^nn++++=highway
dips ^nns++++=dips
into ^in++++=into
a ^at++++=a
sunless ^jj+atrb+++=sunless
ravine ^nn++++=ravine
which ^whp+rel+subj++=which
opens ^vbz++++=opens
out ^rp+pl+++=out
on ^in++++=on
either ^dtx++++=either
hand ^nn++++=hand
in ^in++++=in
a ^at++++=a
half ^abn++++=half-confidential
- ^zz++++=EXTRAWORD
confidential ^jj+atrb+++=EXTRAWORD
manner ^nn++++=manner,
, ^zz++++=EXTRAWORD
as ^cs+sub+++=as
if ^cs+cnd+++=if
it ^pp3+it+++=it
had ^vb+hv+vrb++=had
a ^at++++=a
secret ^nn++++=secret
to ^to++++=to
impart ^vbi++++=impart
at ^rb++++=at
some ^dti++++=some
more ^rbr++++=more
convenient ^jj+atrb+++=convenient
season ^nn++++=season.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
never ^rb++++=never
used ^md"++pmd"++=used
to ^to++++=to
ride ^vb++++=ride
through ^in++++=through
it ^pp3+it+++=it
without ^in++++=without
looking ^xvbg+++xvbg+=looking
first ^rb++++=first
to ^in++++=to
the ^ati++++=the
one ^cd1++++=one
side ^nn++++=side
and ^cc++++=and
then ^rn+tm+++=then
to ^in++++=to
the ^ati++++=the
other ^ap++++=other,
, ^zz++++=EXTRAWORD
to ^to++++=to
see ^vbi+vprv+++=see
if ^cs+cnd+++=if
the ^ati++++=the
time ^nn++++=time
had ^vbd+hvd+aux++=had
arrived ^vprf+++xvbnx+=arrived
for ^in++++=for
the ^ati++++=the
revelation ^nn+nom+++=revelation.
. ^zz++++=EXTRAWORD
If ^cs+cnd+++=If
I ^pp1a+pp1+++=I
saw ^vbd+vprv+tht0+xvbnx+=saw
nothing ^pn++++=nothing
- ^zz++++=-and
and ^cc++++=EXTRAWORD
I ^pp1a+pp1+++=I
never ^rb++++=never
did ^vbd+dod+aux++=did
see ^vb+vprv+tht0++=see
anything ^pn++++=anything
- ^zz++++=-there
there ^ex+pex+++=EXTRAWORD
was ^vbd+bedz+vrb++=was
no ^at++++=no
feeling ^jj+++xvbg+=feeling
of ^in++++=of
disappointment ^nn+nom+++=disappointment,
, ^zz++++=EXTRAWORD
for ^in++++=for
I ^pp1a+pp1+++=I
knew ^vbd+vprv+tht0+xvbnx+=knew
the ^ati++++=the
disclosure ^nn+++??+=disclosure
was ^vbd+bedz+aux++=was
merely ^rb+down+splt++=merely
withheld ^vpsv++agls+xvbnx+=withheld
temporarily ^rb++++=temporarily
for ^in++++=for
some ^dti++++=some
good ^jj+atrb+++=good
reason ^nn++++=reason
which ^whp+rel+obj++=which
I ^pp1a+pp1+++=I
had ^vb+hv+vrb++=had
no ^at++++=no
right ^nn++++=right
to ^to+ncmp+++=to
question ^nn+nom+++=question.
. ^zz++++=EXTRAWORD
That ^tht+vcmp+++=That
I ^pp1a+pp1+++=I
should ^md+nec+++=should
one ^cd1++++=one
day ^nn++++=day
be ^vb+be+aux++=be
taken ^vpsv++agls+xvbnx+=taken
into ^in++++=into
full ^jj+atrb+++=full
confidence ^nn+nom+++=confidence
I ^pp1a+pp1+++=I
no ^at++++=no
more ^ql++++=more
doubted ^jj+++xvbn+=doubted
than ^cs+sub+++=than
I ^pp1a+pp1+++=I
doubted ^vbd+vprv++xvbnx+=doubted
the ^ati++++=the
existence ^nn+nom+++=existence
of ^in++++=of
Jo ^np++++=Jo.
. ^zz++++=EXTRAWORD
Dunfer ^np+++??+=Dunfer
himself ^ppl+pp3+++=himself,
, ^zz++++=EXTRAWORD
through ^rp++++=through
whose ^whp+who+++=whose
premises ^nns++++=premises
the ^ati++++=the
ravine ^nn++++=ravine
ran ^vbd+++xvbn+=ran.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
was ^vbd+bedz+aux++=was
said ^vpsv++agls+xvbnx+=said
that ^tht+vcmp+++=that
Jo ^np++++=Jo.
. ^zz++++=EXTRAWORD
had ^vb+hv+aux++=had
once ^rb+tm+splt++=once
undertaken ^vprf+++xvbnx+=undertaken
to ^to++++=to
erect ^vbi++++=erect
a ^at++++=a
cabin ^nn++++=cabin
in ^in++++=in
some ^dti++++=some
remote ^jj+atrb+++=remote
part ^nn++++=part
of ^in++++=of
it ^pp3+it+++=it,
, ^zz++++=EXTRAWORD
but ^in++++=but
for ^in"++++=for
some ^dti++++=some
reason ^nn++++=reason
had ^vbd+hvd+aux++=had
abandoned ^vprf+++xvbnx+=abandoned
the ^ati++++=the
enterprise ^nn++++=enterprise
and ^cc++++=and
constructed ^vbd+++xvbn+=constructed
his ^pp$+pp3+++=his
present ^jj+atrb+++=present
hermaphrodite ^nn++++=hermaphrodite
habitation ^nn+nom+++=habitation,
, ^zz++++=EXTRAWORD
half ^abn++++=half
residence ^nn+nom+++=residence
and ^cc++++=and
half ^nn++++=half
groggery ^nn+nom+++=groggery,
, ^zz++++=EXTRAWORD
at ^rb++++=at
the ^ati++++=the
roadside ^nn++++=roadside,
, ^zz++++=EXTRAWORD
upon ^in++++=upon
an ^at++++=an
extreme ^nn++++=extreme
corner ^npl++++=corner
of ^in++++=of
his ^pp$+pp3+++=his
estate ^nn++++=estate;
; ^zz++++=EXTRAWORD
as ^ql++++=as
far ^rb+pl+++=far
away ^rp+pl+++=away
