When ^wrb+who+++=When
Robert ^np++++=Robert
Turner ^np++++=Turner
came ^vbd+++xvbn+=came
to ^in++++=to
the ^ati++++=the
green ^nn++++=green,
, ^zz++++=EXTRAWORD
ferny ^nn+++??+=ferny
triangle ^nn++++=triangle
where ^wrb+who+++=where
the ^ati++++=the
station ^nn+nom+++=station
road ^npl++++=road
forked ^jj++++=forked
to ^in++++=to
the ^ati++++=the
right ^nn++++=right
and ^cc++++=and
left ^vpsv++agls+xvbn+=left
under ^in++++=under
the ^ati++++=the
birches ^nns++++=birches,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
hesitated ^vbd+++xvbnx+=hesitated
as ^in++++=as
to ^in"++++=to
which ^whp+who+++=which
direction ^nn+nom+++=direction
he ^pp3a+pp3+++=he
would ^md+prd+++=would
take ^vb++++=take.
. ^zz++++=EXTRAWORD
The ^ati++++=The
left ^nn++++=left
led ^vbd+++xvbn+=led
out ^rp+pl+++=out
to ^in++++=to
the ^ati++++=the
old ^jj+atrb+++=old
Turner ^np++++=Turner
homestead ^nn++++=homestead,
, ^zz++++=EXTRAWORD
where ^wrb+who+++=where
he ^pp3a+pp3+++=he
had ^vbd+hvd+aux++=had
spent ^vprf+++xvbnx+=spent
his ^pp$+pp3+++=his
boyhood ^nn+nom+++=boyhood
and ^cc+cls+++=and
where ^wrb+who+++=where
his ^pp$+pp3+++=his
cousin ^nn++++=cousin
still ^rb++++=still
lived ^vbd+++xvbn+=lived;
; ^zz++++=EXTRAWORD
the ^ati++++=the
right ^nn++++=right
led ^vbd+++xvbn+=led
down ^rp++++=down
to ^in++++=to
the ^ati++++=the
Cove ^nn++++=Cove
shore ^nn++++=shore
where ^wrb+who+++=where
the ^ati++++=the
Jameson ^np+++??+=Jameson
property ^nn++++=property
was ^vbd+bedz+aux++=was
situated ^vpsv++agls+xvbnx+=situated.
. ^zz++++=EXTRAWORD
Since ^cs+sub+++=Since
he ^pp3a+pp3+++=he
had ^vbd+hvd+aux++=had
stopped ^vprf+++xvbnx+=stopped
off ^in+pl+++=off
at ^rb++++=at
Chiswick ^np++++=Chiswick
for ^in++++=for
the ^ati++++=the
purpose ^nn++++=purpose
of ^in++++=of
looking ^xvbg+++xvbg+=looking
this ^dt+dem+++=this
property ^nn++++=property
over ^in++++=over
before ^cs+sub+++=before
foreclosing ^xvbg+++xvbg+=foreclosing
the ^ati++++=the
mortgage ^nn+nom+++=mortgage
on ^in++++=on
it ^pp3+it+++=it
he ^pp3a+pp3+++=he
concluded ^vbd+vprv++xvbnx+=concluded
that ^tht+vcmp+++=that
he ^pp3a+pp3+++=he
might ^md+pos+++=might
as ^rb++splt++=as
well ^rb++++=well
take ^vb++++=take
the ^ati++++=the
Cove ^nn++++=Cove
road ^npl++++=road;
; ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
could ^md+pos+++=could
go ^vb++++=go
around ^rb++++=around
by ^in++++=by
the ^ati++++=the
shore ^nn++++=shore
afterward ^rb++++=afterward
he ^pp3a+pp3+++=he
had ^vb+hv+aux++=had
not ^xnot++not++=not
forgotten ^vbd+vprv++xvbn+=forgotten
the ^ati++++=the
way ^nn++++=way
even ^rb++++=even
in ^in++++=in
forty ^cd++++=forty
years ^nns++++=years
and ^rb++++=and
