It ^pp3+it+++=It
had ^vbd+hvd+aux++=had
been ^vprf+ben+aux+xvbnx+=been
raining ^vbg+++xvbgx+=raining
hard ^jj++++=hard
all ^abn++++=all
night ^nn++++=night;
; ^zz++++=EXTRAWORD
when ^wrb+who+++=when
the ^ati++++=the
morning ^nn++++=morning
dawned ^vbd+++xvbn+=dawned
clear ^jj++++=clear
everything ^pn++++=everything
looked ^vbd+++xvbn+=looked
vivid ^jj++++=vivid
and ^cc+phrs+++=and
unnatural ^jj++++=unnatural.
. ^zz++++=EXTRAWORD
The ^ati++++=The
wet ^jj+atrb+++=wet
leaves ^nns++++=leaves
on ^in++++=on
the ^ati++++=the
trees ^nns++++=trees
and ^cc++++=and
hedges ^nns++++=hedges
seemed ^vbd+seem++xvbn+=seemed
to ^to+vcmp+++=to
emit ^vbi++++=emit
a ^at++++=a
real ^jj+atrb+++=real
green ^nn++++=green
light ^jj++++=light
of ^in++++=of
their ^pp$+pp3+++=their
own ^ap++++=own;
; ^zz++++=EXTRAWORD
the ^ati++++=the
tree ^nn++++=tree
trunks ^nns++++=trunks
were ^vbd+bed+vrb++=were
black ^jj+pred+++=black
and ^cc++++=and
dank ^nn+++??+=dank,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
spots ^nns++++=spots
of ^in++++=of
moss ^np++++=moss
on ^rp++++=on
them ^pp3o+pp3+++=them
stood ^vbd+++xvbn+=stood
out ^rp+pl+++=out
distinctly ^rb++++=distinctly.
. ^zz++++=EXTRAWORD
A ^at++++=A
tall ^jj+atrb+++=tall
old ^jj+atrb+++=old
woman ^nn++++=woman
was ^vbd+bedz+aux++=was
coming ^vbg+++xvbgx+=coming
quickly ^rb++++=quickly
up ^rp++++=up
the ^ati++++=the
street ^nn++++=street.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
had ^vb+hv+vrb++=had
on ^in++++=on
a ^at++++=a
stiffly ^rb++++=stiffly
starched ^vbd+++xvbn+=starched
calico ^jj+atrb++??+=calico
gown ^nn++++=gown,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
sprang ^vbd+++xvbn+=sprang
and ^cc+phrs+++=and
rattled ^vbd+++xvbn+=rattled
as ^ql++++=as
she ^pp3a+pp3+++=she
walked ^vbd+++xvbnx+=walked.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
kept ^vbd+++xvbnx+=kept
smoothing ^nvbg+++xvbg+=smoothing
it ^pp3+it+++=it
anxiously ^rb++++=anxiously.
. ^zz++++=EXTRAWORD
" ^zz++++="Gittin'
gittin ^nn+++??+=EXTRAWORD
' ^zz++++=EXTRAWORD
every ^at++++=every
mite ^nn++++=mite
of ^in++++=of
the ^ati++++=the
stiff ^jj+atrb+++=stiff'nin'
'nin' ^nn+++??+=EXTRAWORD
out ^rp+pl+++=out,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
muttered ^vbd+++xvbnx+=muttered
to ^in++++=to
herself ^ppl+pp3+++=herself.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
stopped ^vbd+++xvbnx+=stopped
at ^rb++++=at
a ^at++++=a
long ^rb++++=long
cottage ^nn+nom+++=cottage
house ^npl++++=house,
, ^zz++++=EXTRAWORD
whose ^whp+rel+obj++=whose
unpainted ^jj+atrb+++=unpainted
walls ^nns++++=walls,
, ^zz++++=EXTRAWORD
with ^in++++=with
white ^jj+atrb+++=white
window ^nn++++=window
facings ^nns++++=facings,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
wide ^jj+atrb+++=wide
sweep ^nn++++=sweep
of ^in++++=of
shingled ^jj+atrb++xvbn+=shingled
roof ^nn++++=roof,
, ^zz++++=EXTRAWORD
looked ^j+++xvbn+=looked
dark ^jj++++=dark
and ^cc+phrs+++=and
startling ^jj++++=startling
through ^in++++=through
being ^xvbg+++xvbg+=being
sodden ^jj++++=sodden
with ^in++++=with
rain ^nn++++=rain.
. ^zz++++=EXTRAWORD
There ^ex+pex+++=There
was ^vbd+bedz+vrb++=was
a ^at++++=a
low ^jj+atrb+++=low
stone ^nn++++=stone
wall ^nn++++=wall
by ^in++++=by
way ^in"++++=way
of ^in"++++=of
fence ^nn++++=fence,
, ^zz++++=EXTRAWORD
with ^in++++=with
a ^at++++=a
gap ^nn++++=gap
in ^in++++=in
it ^pp3+it+++=it
for ^in++++=for
a ^at++++=a
gate ^nn++++=gate.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
had ^vb+hv+aux++=had
just ^rb+emph+splt++=just
passed ^vprf+++xvbnx+=passed
through ^in++++=through
this ^dt+dem+++=this
gap ^nn++++=gap
when ^wrb+who+++=when
the ^ati++++=the
house ^nn++++=house
door ^nn++++=door
opened ^vbd+++xvbn+=opened
and ^cc++++=and
a ^at++++=a
woman ^nn++++=woman
put ^vbd+++xvbn+=put
out ^rb+phrv+++=out
her ^pp$+pp3+++=her
head ^jjb++++=head.
. ^zz++++=EXTRAWORD
" ^zz++++="Is
is ^vbz+bez+vrb++=EXTRAWORD
that ^tht+vcmp+++=that
you ^pp2+pp2+++=you,
, ^zz++++=EXTRAWORD
Hannah ^np++++=Hannah?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub+tht0+xvbn+=said
she ^pp3a+pp3+++=she.
. ^zz++++=EXTRAWORD
" ^zz++++="Yes,
yes ^uh++++=EXTRAWORD
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it's
's ^vbz+bez+vrb++0=EXTRAWORD
me ^pp1o+pp1+++=me."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
laid ^vbd+++xvbnx+=laid
a ^at++++=a
hard ^jj+atrb+++=hard
emphasis ^nn++++=emphasis
on ^in++++=on
the ^ati++++=the
last ^jj+atrb+++=last
word ^nn++++=word;
; ^zz++++=EXTRAWORD
then ^rn+tm+++=then
she ^pp3a+pp3+++=she
sighed ^vbd+++xvbnx+=sighed
heavily ^rb++++=heavily.
. ^zz++++=EXTRAWORD
" ^zz++++="Hadn't
had ^vb+hv+vrb++=EXTRAWORD
n't ^xnot++not++0=EXTRAWORD
you ^pp2+pp2+++=you
better ^jjr++++=better
hold ^vb+vprv+++=hold
your ^pp$+pp2+++=your
dress ^nn++++=dress
up ^rp++++=up
comin ^nn+++??+=comin'
' ^zz++++=EXTRAWORD
through ^in++++=through
that ^dt+dem+++=that
wet ^jj+atrb+++=wet
grass ^nn++++=grass,
, ^zz++++=EXTRAWORD
Hannah ^np++++=Hannah?
? ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You'll
'll ^md+prd+++0=EXTRAWORD
git ^vb++++=git
it ^pp3+it+++=it
all ^abn++++=all
bedraggled ^jj+++xvbn+=bedraggled."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
know ^vb+vprv+tht0++=know
it ^pp3+it+++=it.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I'm
'm ^vb+bem+vrb++0=EXTRAWORD
a ^at++++=a-gittin'
- ^zz++++=EXTRAWORD
gittin ^nn+++??+=EXTRAWORD
' ^zz++++=EXTRAWORD
every ^at++++=every
mite ^nn++++=mite
of ^in++++=of
the ^ati++++=the
stiff ^jj+atrb+++=stiff'nin'
'nin' ^nn+++??+=EXTRAWORD
out ^rp+pl+++=out
o ^zz++++=on't.
n't ^xnot++not++0=EXTRAWORD
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
worked ^vbd+++xvbnx+=worked
half ^abn++++=half
the ^ati++++=the
forenoon ^nn++++=forenoon
ironin ^nn+++??+=ironin'
' ^zz++++=EXTRAWORD
on ^in++++0=on't
it ^pp3+it+++=EXTRAWORD
yesterday ^nr+tm+++=yesterday,
, ^zz++++=EXTRAWORD
too ^rb++++=too.
. ^zz++++=EXTRAWORD
