At ^rb++++=At
a ^at++++=a
time ^nn++++=time,
, ^zz++++=EXTRAWORD
when ^wrb+who+++=when
my ^pp$+pp1+++=my
unpopularity ^nn+nom+++=unpopularity
with ^in++++=with
a ^at++++=a
part ^nn++++=part
of ^in++++=of
my ^pp$+pp1+++=my
readers ^nns+nom+++=readers
had ^vbd+hvd+aux++=had
reached ^vprf+++xvbnx+=reached
the ^ati++++=the
nadir ^nn++++=nadir
of ^in++++=of
its ^pp$+it+++=its
glory ^nn++++=glory,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
my ^pp$+pp1+++=my
name ^nn++++=name
had ^vbd+hvd+aux++=had
become ^vprf+++xvbn+=become
the ^ati++++=the
central ^jj+atrb+++=central
orb ^nn+++??+=orb
of ^in++++=of
the ^ati++++=the
journals ^nns+nom+++=journals,
, ^zz++++=EXTRAWORD
to ^to++++=to
be ^vbi+vbi+aux++=be
attended ^vpsv++agls+xvbnx+=attended
through ^in++++=through
space ^nn++++=space
with ^in++++=with
a ^at++++=a
perpetual ^jj+atrb+++=perpetual
rotation ^nn+nom+++=rotation
of ^in++++=of
revilement ^nn+nom+++=revilement,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
felt ^vbd+vprv++xvbnx+=felt
the ^ati++++=the
necessity ^nn+nom+++=necessity
to ^to++++=to
retire ^vbi++++=retire
to ^in++++=to
some ^dti++++=some
quiet ^jj+atrb+++=quiet
place ^nn++++=place
and ^cc++++=and
endeavour ^nn++++=endeavour
to ^to++++=to
forget ^vbi+vprv+tht0++=forget
my ^pp$+pp1+++=my
own ^ap++++=own
existence ^nn+nom+++=existence.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
have ^vb+hv+vrb++=have
a ^at++++=a
house ^nn++++=house
in ^in++++=in
the ^ati++++=the
country ^nn++++=country
some ^dti++++=some
miles ^nns++++=miles
away ^in+pl+++=away
from ^in"++++=from
Calcutta ^np++++=Calcutta,
, ^zz++++=EXTRAWORD
where ^wrb+who+++=where
I ^pp1a+pp1+++=I
can ^md+pos+++=can
remain ^vb++++=remain
unknown ^jj++++=unknown
and ^cc+phrs+++=and
unmolested ^jj++++=unmolested.
. ^zz++++=EXTRAWORD
The ^ati++++=The
villagers ^nns+nom+++=villagers
there ^rn+pl+++=there
have ^vb+hv+vrb++=have
not ^xnot++not++=not,
, ^zz++++=EXTRAWORD
as ^ql++++=as
yet ^rb+cnj+++=yet,
, ^zz++++=EXTRAWORD
come ^vprf+++xvbn+=come
to ^in++++=to
any ^dti++++=any
conclusion ^nn++++=conclusion
about ^rb++++=about
me ^pp1o+pp1+++=me.
. ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They
know ^vb+vprv+tht0++=know
I ^pp1a+pp1+++=I
am ^vb+bem+vrb++=am
no ^at++++=no
mere ^jjb+atrb+++=mere
holiday ^nn++++=holiday-maker
- ^zz++++=EXTRAWORD
