A ^at++++=A
boy ^nn++++=boy
in ^in++++=in
an ^at++++=an
unnaturally ^rb++++=unnaturally
clean ^jj++++=clean,
, ^zz++++=EXTRAWORD
country ^nn++++=country-laundered
- ^zz++++=EXTRAWORD
laundered ^jj+atrb++xvbn+=EXTRAWORD
collar ^nn++++=collar
walked ^vbd+++xvbn+=walked
down ^rp++++=down
a ^at++++=a
long ^rb++++=long
white ^jj+atrb+++=white
road ^npl++++=road.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
scuffed ^vbd+++xvbnx+=scuffed
the ^ati++++=the
dust ^nn++++=dust
up ^rp++++=up
wantonly ^rb+cnj+++=wantonly,
, ^zz++++=EXTRAWORD
for ^in++++=for
he ^pp3a+pp3+++=he
wished ^vbd+vprv++xvbnx+=wished
to ^to+vcmp+++=to
veil ^vb++++=veil
the ^ati++++=the
all ^abn++++=all-too-brilliant
- ^zz++++=EXTRAWORD
too ^ql++++=EXTRAWORD
- ^zz++++=EXTRAWORD
brilliant ^jj+atrb+++=EXTRAWORD
polish ^nn++++=polish
of ^in++++=of
his ^pp$+pp3+++=his
cowhide ^nn+++??+=cowhide
shoes ^nns++++=shoes.
. ^zz++++=EXTRAWORD
Also ^rb++++=Also
the ^ati++++=the
memory ^nn++++=memory
of ^in++++=of
the ^ati++++=the
whiteness ^nns+nom+++=whiteness
and ^cc++++=and
slipperiness ^nns+nom+++=slipperiness
of ^in++++=of
his ^pp$+pp3+++=his
collar ^nn++++=collar
oppressed ^jj++++=oppressed
him ^pp3o+pp3+++=him.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
was ^vbd+bedz+vrb++=was
fain ^nn+++??+=fain
to ^to++++=to
look ^vbi++++=look
like ^in++++=like
one ^cd1++++=one
accustomed ^xvbn+++xvbn+=accustomed
to ^in++++=to
social ^jj+atrb+++=social
diversions ^nns++++=diversions,
, ^zz++++=EXTRAWORD
a ^at++++=a
man ^nn++++=man
hurried ^vbd+++xvbn+=hurried
from ^in++++=from
hall ^npl++++=hall
to ^in++++=to
hall ^npl++++=hall
of ^in++++=of
pleasure ^nn++++=pleasure,
, ^zz++++=EXTRAWORD
without ^in++++=without
time ^nn++++=time
between ^in++++=between
to ^in++++=to
change ^nn++++=change
collar ^nn++++=collar
or ^cc++++=or
polish ^jj+atrb+++=polish
boot ^nn++++=boot.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
stooped ^vbd+++xvbnx+=stooped
and ^cc+phrs+++=and
rubbed ^vbd+++xvbn+=rubbed
a ^at++++=a
crumb ^nn++++=crumb
of ^in++++=of
earth ^nn++++=earth
on ^in++++=on
his ^pp$+pp3+++=his
overfresh ^nn+++??+=overfresh
neck ^nn++++=neck-linen.
- ^zz++++=EXTRAWORD
linen ^nn++++=EXTRAWORD
. ^zz++++=EXTRAWORD
This ^dt+pdem+++=This
did ^vbd+dod+aux++=did
not ^xnot++not++=not
long ^rb++++=long
sustain ^vb++++=sustain
his ^pp$+pp3+++=his
drooping ^jj+atrb+++=drooping
spirit ^nn++++=spirit.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
was ^vbd+bedz+vrb++=was
mentally ^rb++++=mentally
adrift ^rb++++=adrift
upon ^in++++=upon
the ^ati++++=the
Hints ^nns++++=Hints
and ^cc++++=and
Helps ^vbz++++=Helps
to ^in+vcmp+++=to
