Two ^cd++++=Two
men ^nns++++=men
in ^in++++=in
a ^at++++=a
smoking ^jj+++xvbg+=smoking-room
- ^zz++++=EXTRAWORD
room ^nn++++=EXTRAWORD
were ^vbd+bed+aux++=were
talking ^vbg+++xvbgx+=talking
of ^in++++=of
their ^pp$+pp3+++=their
private ^jj++++=private-school
- ^zz++++=EXTRAWORD
school ^nn++++=EXTRAWORD
days ^nns++++=days.
. ^zz++++=EXTRAWORD
' ^zz++++='At
at ^in++++=EXTRAWORD
our ^pp$+pp1+++=our
school ^nn++++=school,'
, ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
A ^at++++=A.,
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
' ^zz++++='we
we ^pp1a+pp1+++=EXTRAWORD
had ^vb+hv+vrb++=had
a ^at++++=a
ghost ^nn++++=ghost's
's ^$++++=EXTRAWORD
footmark ^nn+++??+=footmark
on ^in++++=on
the ^ati++++=the
staircase ^nn++++=staircase.
. ^zz++++=EXTRAWORD
What ^wdt+who+whq++=What
was ^vbd+bedz+aux++=was
it ^pp3+it+++=it
like ^in+strn+++=like?
? ^zz++++=EXTRAWORD
Oh ^uh++++=Oh,
, ^zz++++=EXTRAWORD
very ^ql+amp+++=very
unconvincing ^jj++++=unconvincing.
. ^zz++++=EXTRAWORD
Just ^rb+emph+++=Just
the ^ati++++=the
shape ^nn++++=shape
of ^in++++=of
a ^at++++=a
shoe ^nn++++=shoe,
, ^zz++++=EXTRAWORD
with ^in++++=with
a ^at++++=a
square ^jj+atrb+++=square
toe ^nn++++=toe,
, ^zz++++=EXTRAWORD
if ^cs+cnd+++=if
I ^pp1a+pp1+++=I
remember ^nn+nom+++=remember
right ^nn++++=right.
. ^zz++++=EXTRAWORD
The ^ati++++=The
staircase ^nn++++=staircase
was ^vbd+bedz+vrb++=was
a ^at++++=a
stone ^nn++++=stone
one ^pn++++=one.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
never ^rb++++=never
heard ^vbd+vprv++xvbn+=heard
any ^dti++++=any
story ^nn++++=story
about ^in++++=about
the ^ati++++=the
thing ^nn++++=thing.
. ^zz++++=EXTRAWORD
That ^dt+pdem+++=That
seems ^vbz+seem+++=seems
odd ^jj++++=odd,
, ^zz++++=EXTRAWORD
when ^wrb+who+++=when
you ^pp2+pp2+++=you
come ^vb++++=come
to ^to++++=to
think ^vbi+vprv+++=think
of ^in++++=of
it ^pp3+it+++=it.
. ^zz++++=EXTRAWORD
Why ^wrb+who+whq++=Why
did ^vbd+dod+aux++=didn't
n't ^xnot++not++0=EXTRAWORD
somebody ^pn++++=somebody
invent ^vb++++=invent
one ^pn++++=one,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
wonder ^vb++++=wonder?'
? ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
' ^zz++++='You
you ^pp2+pp2+++=EXTRAWORD
never ^rb++++=never
can ^md+pos+++=can
tell ^vb++++=tell
with ^in++++=with
little ^jj+atrb+++=little
boys ^nns++++=boys.
. ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They
have ^vb+hv+vrb++=have
a ^at++++=a
mythology ^nn++++=mythology
of ^in++++=of
their ^pp$+pp3+++=their
own ^ap++++=own.
. ^zz++++=EXTRAWORD
There ^ex+pex+++=There's
's ^vbz+bez+vrb++0=EXTRAWORD
a ^at++++=a
subject ^nn++++=subject
for ^in++++=for
you ^pp2+pp2+++=you,
, ^zz++++=EXTRAWORD
by ^in++++=by
the ^ati++++=the
way ^nn++++=way
' ^zz++++='The
the ^ati++++=EXTRAWORD
Folklore ^nn++++=Folklore
of ^in++++=of
Private ^jj+atrb+++=Private
Schools ^nns++++=Schools'.'
'.' ^nn+++??+=EXTRAWORD
' ^zz++++='Yes;
yes ^uh++++=EXTRAWORD
; ^zz++++=EXTRAWORD
the ^ati++++=the
crop ^nn++++=crop
is ^vbz+bez+vrb++=is
rather ^rb++++=rather
scanty ^jj+pred+++=scanty,
, ^zz++++=EXTRAWORD
though ^rb+cnj+++=though.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
imagine ^vb+vprv+++=imagine,
, ^zz++++=EXTRAWORD
if ^cs+cnd+++=if
you ^pp2+pp2+++=you
were ^vbd+bed+aux++=were
to ^to++++=to
investigate ^nn+nom+++=investigate
the ^ati++++=the
cycle ^nn++++=cycle
of ^in++++=of
ghost ^nn++++=ghost
stories ^nns++++=stories,
, ^zz++++=EXTRAWORD
for ^in++++=for
instance ^nn+nom+++=instance,
, ^zz++++=EXTRAWORD
which ^whp+rel+obj++=which
the ^ati++++=the
boys ^nns++++=boys
at ^in++++=at
private ^jj+atrb+++=private
schools ^nns++++=schools
tell ^vb++++=tell
each ^dt++++=each
other ^ap++++=other,
, ^zz++++=EXTRAWORD
they ^pp3a+pp3+++=they
would ^md+prd+++=would
all ^abn++++=all
turn ^nn++++=turn
out ^rp+pl+++=out
to ^to++++=to
be ^vbi++vrb++=be
highly ^rb+amp+++=highly-compressed
- ^zz++++=EXTRAWORD
compressed ^xvbn+++xvbn+=EXTRAWORD
versions ^nns++++=versions
of ^in++++=of
stories ^nns++++=stories
out ^rp+pl+++=out
of ^in++++=of
books ^nns++++=books.'
. ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
' ^zz++++='Nowadays
nowadays ^rb+tm+++=EXTRAWORD
the ^ati++++=the
Strand ^nn++++=Strand
and ^cc++++=and
