From ^in++++=FROM
his ^pp$+pp3+++=his
cradle ^nn++++=cradle
to ^in++++=to
his ^pp$+pp3+++=his
grave ^nn++++=grave
a ^at++++=a
gale ^nn++++=gale
of ^in++++=of
prosperity ^nn+nom+++=prosperity
bore ^vbd+++xvbn+=bore
my ^pp$+pp1+++=my
friend ^nn++++=friend
Ellison ^np++++=Ellison
along ^in+strn+++=along.
. ^zz++++=EXTRAWORD
Nor ^cc+cls+neg++=Nor
do ^vb+do+vrb++=do
I ^pp1a+pp1+++=I
use ^nn++++=use
the ^ati++++=the
word ^nn++++=word
prosperity ^nn+nom+++=prosperity
in ^in++++=in
its ^pp$+it+++=its
mere ^jjb+atrb+++=mere
worldly ^jj+atrb+++=worldly
sense ^nn++++=sense.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
mean ^vb+vprv+tht0++=mean
it ^pp3+it+++=it
as ^in++++=as
synonymous ^nn++++=synonymous
with ^in++++=with
happiness ^nns+nom+++=happiness.
. ^zz++++=EXTRAWORD
The ^ati++++=The
person ^nn++++=person
of ^in++++=of
whom ^whp+rel+pied++=whom
I ^pp1a+pp1+++=I
speak ^vb++++=speak
seemed ^vbd+seem++xvbn+=seemed
born ^vbd+++xvbn+=born
for ^in++++=for
the ^ati++++=the
purpose ^nn++++=purpose
of ^in++++=of
foreshadowing ^nn++++=foreshadowing
the ^ati++++=the
doctrines ^nns++++=doctrines
of ^in++++=of
Turgot ^np+++??+=Turgot,
, ^zz++++=EXTRAWORD
Price ^nn++++=Price,
, ^zz++++=EXTRAWORD
Priestley ^np++++=Priestley,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
Condorcet ^np+++??+=Condorcet
- ^zz++++=-of
of ^in++++=EXTRAWORD
exemplifying ^xvbg+++xvbg+=exemplifying
by ^in++++=by
individual ^jj+atrb+++=individual
instance ^nn+nom+++=instance
what ^wdt+who+++=what
has ^vbz+hvz+aux++=has
been ^vprf+ben+aux+xvbnx+=been
deemed ^vpsv++agls+xvbnx+=deemed
the ^ati++++=the
chimera ^nn+++??+=chimera
of ^in++++=of
the ^ati++++=the
perfectionists ^nns+nom+++=perfectionists.
. ^zz++++=EXTRAWORD
In ^in++++=In
the ^ati++++=the
brief ^jj+atrb+++=brief
existence ^nn+nom+++=existence
of ^in++++=of
Ellison ^np++++=Ellison
I ^pp1a+pp1+++=I
fancy ^vb++++=fancy
that ^tht+vcmp+++=that
I ^pp1a+pp1+++=I
have ^vb+hv+aux++=have
seen ^vprf+++xvbnx+=seen
refuted ^vprf+++xvbn+=refuted
the ^ati++++=the
dogma ^nn++++=dogma,
, ^zz++++=EXTRAWORD
that ^tht+vcmp+++=that
in ^in++++=in
man ^nn++++=man's
's ^$++++=EXTRAWORD
very ^ap+amp+++=very
nature ^nn++++=nature
lies ^vbz++++=lies
some ^dti++++=some
hidden ^jj+atrb++xvbn+=hidden
principle ^nn++++=principle,
, ^zz++++=EXTRAWORD
the ^ati++++=the
antagonist ^nn+nom+++=antagonist
of ^in++++=of
bliss ^nn++++=bliss.
. ^zz++++=EXTRAWORD
An ^at++++=An
anxious ^jj+atrb+++=anxious
examination ^nn+nom+++=examination
of ^in++++=of
his ^pp$+pp3+++=his
career ^nn++++=career
has ^vbz+hvz+aux++=has
given ^vprf+++xvbnx+=given
me ^pp1o+pp1+++=me
to ^to++++=to
understand ^vbi+vprv+++=understand
that ^tht+vcmp+++=that
in ^rb++++=in
general ^rb"++++=general,
, ^zz++++=EXTRAWORD
from ^in++++=from
the ^ati++++=the
violation ^nn+nom+++=violation
of ^in++++=of
a ^ap++++=a
few ^ap"++++=few
simple ^jj+atrb+++=simple
laws ^nns++++=laws
of ^in++++=of
humanity ^nn+nom+++=humanity
arises ^vbz++++=arises
the ^ati++++=the
wretchedness ^nns+nom+++=wretchedness
of ^in++++=of
mankind ^nn++++=mankind
- ^zz++++=-that
that ^dt+dem+++=EXTRAWORD
as ^ql++++=as
a ^at++++=a
species ^nn++++=species
we ^pp1a+pp1+++=we
have ^vb+hv+vrb++=have
in ^in++++=in
our ^pp$+pp1+++=our
possession ^nn++++=possession
the ^ati++++=the
as ^cs+sub+++=as
yet ^rb++++=yet
unwrought ^vbd+++xvbn+=unwrought
elements ^nns+nom+++=elements
of ^in++++=of
content ^nn++++=content
- ^zz++++=-and
and ^cc++++=EXTRAWORD
that ^dt+pdem+++=that,
, ^zz++++=EXTRAWORD
even ^rb++++=even
now ^rn+tm+++=now,
, ^zz++++=EXTRAWORD
in ^in++++=in
the ^ati++++=the
present ^jj+atrb+++=present
darkness ^nns+nom+++=darkness
and ^cc++++=and
madness ^nns+nom+++=madness
of ^in++++=of
all ^abn++++=all
thought ^nn+++xvbn+=thought
on ^in++++=on
the ^ati++++=the
great ^jj+atrb+++=great
question ^nn+nom+++=question
of ^in++++=of
the ^ati++++=the
social ^jj+atrb+++=social
condition ^nn+nom+++=condition,
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it
is ^vbz+bez+vrb++=is
