Towards ^in++++=Towards
the ^ati++++=the
end ^nn++++=end
of ^in++++=of
the ^ati++++=the
year ^nn++++=year
1811 ^cd+date+++=1811,
, ^zz++++=EXTRAWORD
a ^at++++=a
memorable ^jj+atrb+++=memorable
period ^nn++++=period
for ^in++++=for
us ^pp1o+pp1+++=us,
, ^zz++++=EXTRAWORD
the ^ati++++=the
good ^jj+atrb+++=good
Gavril ^np+++??+=Gavril
Gavrilovitch ^np+++??+=Gavrilovitch
R ^zz++++=R
was ^vbd+bedz+aux++=was
living ^vbg+++xvbgx+=living
on ^in++++=on
his ^pp$+pp3+++=his
domain ^nn++++=domain
of ^in++++=of
Nenaradova ^np+++??+=Nenaradova.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
was ^vbd+bedz+aux++=was
celebrated ^vpsv++agls+xvbnx+=celebrated
throughout ^in++++=throughout
the ^ati++++=the
district ^nn++++=district
for ^in++++=for
his ^pp$+pp3+++=his
hospitality ^nn+nom+++=hospitality
and ^cc++++=and
kind ^nn++++=kind-heartedness.
- ^zz++++=EXTRAWORD
heartedness ^nns+nom+++=EXTRAWORD
. ^zz++++=EXTRAWORD
The ^ati++++=The
neighbours ^nns++++=neighbours
were ^vbd+bed+aux++=were
constantly ^rb++splt++=constantly
visiting ^vbg+++xvbgx+=visiting
him ^pp3o+pp3+++=him:
: ^zz++++=EXTRAWORD
some ^dti++++=some
to ^to++++=to
eat ^vbi++++=eat
and ^cc++++=and
drink ^nn++++=drink;
; ^zz++++=EXTRAWORD
some ^dti++++=some
to ^to++++=to
play ^vbi++++=play
at ^in+ppvb+++=at
five ^cd++++=five
copeck ^nn+++??+=copeck
" ^zz++++="Boston"
boston ^np++++=EXTRAWORD
" ^zz++++=EXTRAWORD
with ^in++++=with
his ^pp$+pp3+++=his
wife ^nn++++=wife,
, ^zz++++=EXTRAWORD
Praskovia ^np+++??+=Praskovia
Petrovna ^np+++??+=Petrovna;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
some ^dti++++=some
to ^to++++=to
look ^vbi++++=look
at ^in++++=at
their ^pp$+pp3+++=their
daughter ^nn+nom+++=daughter,
, ^zz++++=EXTRAWORD
Maria ^np++++=Maria
Gavrilovna ^np+++??+=Gavrilovna,
, ^zz++++=EXTRAWORD
a ^at++++=a
pale ^nn++++=pale,
, ^zz++++=EXTRAWORD
slender ^jj+atrb+++=slender
girl ^nn++++=girl
of ^in++++=of
seventeen ^cd++++=seventeen.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
was ^vbd+bedz+aux++=was
considered ^vpsv++agls+xvbnx+=considered
a ^at++++=a
wealthy ^jj+atrb+++=wealthy
match ^nn++++=match,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
many ^ap++++=many
desired ^jj+++xvbn+=desired
her ^pp$+pp3+++=her
for ^in++++=for
themselves ^ppls+pp3+++=themselves
or ^cc++++=or
for ^in++++=for
their ^pp$+pp3+++=their
sons ^nns++++=sons.
. ^zz++++=EXTRAWORD
Maria ^np++++=Maria
Gavrilovna ^np+++??+=Gavrilovna
had ^vbd+hvd+aux++=had
been ^vprf+ben+aux+xvbnx+=been
brought ^vpsv++agls+xvbnx+=brought
up ^rb+phrv+++=up
on ^in++++=on
French ^jj+atrb+++=French
novels ^nns++++=novels,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
consequently ^rb+cnj+++=consequently
was ^vbd+bedz+vrb++=was
in ^in++++=in
love ^nn++++=love.
. ^zz++++=EXTRAWORD
The ^ati++++=The
object ^nn++++=object
of ^in++++=of
her ^pp$+pp3+++=her
choice ^nn++++=choice
was ^vbd+bedz+vrb++=was
a ^at++++=a
poor ^jj+atrb+++=poor
sub ^nn++++=sub-lieutenant
- ^zz++++=EXTRAWORD
lieutenant ^npt+nom+++=EXTRAWORD
in ^in++++=in
the ^ati++++=the
army ^nn++++=army,
, ^zz++++=EXTRAWORD
who ^whp+rel+subj++=who
was ^vbd+bedz+vrb++=was
then ^rn+tm+++=then
on ^in++++=on
leave ^nn++++=leave
of ^in++++=of
absence ^nn+nom+++=absence
in ^in++++=in
his ^pp$+pp3+++=his
village ^nn+nom+++=village.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
need ^vb++++=need
scarcely ^rb+down+++=scarcely
be ^vb+be+aux++=be
mentioned ^vpsv++agls+xvbnx+=mentioned
that ^tht+vcmp+++=that
the ^ati++++=the
young ^jj+atrb+++=young
man ^nn++++=man
