She ^pp3a+pp3+++=She
was ^vbd+bedz+vrb++=was
the ^ati++++=the
Princess ^nns+nom+++=Princess
Ajita ^np+++??+=Ajita.
. ^zz++++=EXTRAWORD
And ^cc+cls+++=And
the ^ati++++=the
court ^nn++++=court
poet ^nn++++=poet
of ^in++++=of
King ^nn++++=King
Narayan ^np+++??+=Narayan
had ^vb+hv+aux++=had
never ^rb++splt++=never
seen ^vprf+++xvbnx+=seen
her ^pp$+pp3+++=her.
. ^zz++++=EXTRAWORD
On ^in++++=On
the ^ati++++=the
day ^nn++++=day
he ^pp3a+pp3+++=he
recited ^vbd+++xvbnx+=recited
a ^at++++=a
new ^jj+atrb+++=new
poem ^nn++++=poem
to ^in++++=to
the ^ati++++=the
king ^nn++++=king
he ^pp3a+pp3+++=he
would ^md+prd+++=would
raise ^vb++++=raise
his ^pp$+pp3+++=his
voice ^nn++++=voice
just ^rb+emph+++=just
to ^in++++=to
that ^dt+dem+++=that
pitch ^nn++++=pitch
which ^whp+rel+subj++=which
could ^md+pos+++=could
be ^vb+be+aux++=be
heard ^vpsv++by+xvbnx+=heard
by ^in++++=by
unseen ^jj+atrb+++=unseen
hearers ^nns+nom+++=hearers
in ^in++++=in
the ^ati++++=the
screened ^jj+atrb++xvbn+=screened
balcony ^nn++++=balcony
high ^jj++++=high
above ^jjb++++=above
the ^ati++++=the
hall ^nn++++=hall.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
sent ^vbd+++xvbnx+=sent
up ^rb+phrv+++=up
his ^pp$+pp3+++=his
song ^nn++++=song
towards ^in++++=towards
the ^ati++++=the
star ^nn++++=star-land
- ^zz++++=EXTRAWORD
land ^nn++++=EXTRAWORD
out ^rp+pl+++=out
of ^in++++=of
his ^pp$+pp3+++=his
reach ^nn++++=reach,
, ^zz++++=EXTRAWORD
where ^wrb+who+++=where,
, ^zz++++=EXTRAWORD
circled ^j+++xvbn+=circled
with ^in++++=with
light ^nn++++=light,
, ^zz++++=EXTRAWORD
the ^ati++++=the
planet ^nn++++=planet
who ^whp+rel+subj++=who
ruled ^vbd+vsua+tht0+xvbn+=ruled
his ^pp$+pp3+++=his
destiny ^nn++++=destiny
shone ^vbd+++xvbn+=shone
unknown ^jj++++=unknown
and ^cc++++=and
out ^rp+pl+++=out
of ^in++++=of
ken ^np++++=ken.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
