Once ^rb+tm+++=Once
there ^ex+pex+++=there
was ^vbd+bedz+vrb++=was
a ^at++++=a
nice ^jj+atrb+++=nice
young ^jj+atrb+++=young
hen ^nn++++=hen
that ^tht+rel+obj++=that
we ^pp1a+pp1+++=we
will ^md+prd+++=will
call ^vb++++=call
Mrs ^npt++++=Mrs.
. ^zz++++=EXTRAWORD
Feathertop ^np++++=Feathertop.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
was ^vbd+bedz+vrb++=was
a ^at++++=a
hen ^nn++++=hen
of ^in++++=of
most ^ql+emph+++=most
excellent ^jj+atrb+++=excellent
family ^nn++++=family,
, ^zz++++=EXTRAWORD
being ^vbg+beg++xvbg+=being
a ^at++++=a
direct ^jj+atrb+++=direct
descendant ^nn+nom+++=descendant
of ^in++++=of
the ^ati++++=the
Bolton ^np++++=Bolton
Grays ^np+++??+=Grays,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
as ^ql++++=as
pretty ^rb++++=pretty
a ^at++++=a
young ^jj+atrb+++=young
fowl ^nn+++??+=fowl
as ^ql++++=as
you ^pp2+pp2+++=you
could ^md+pos+++=could
wish ^vb+vprv+++=wish
to ^to+vcmp+++=to
see ^vbi+vprv+++=see
of ^in++++=of
a ^at++++=a
summer ^nn++++=summer's
's ^$++++=EXTRAWORD
day ^nn++++=day.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
was ^vbd+bedz+vrb++=was,
, ^zz++++=EXTRAWORD
moreover ^nn+nom+++=moreover,
, ^zz++++=EXTRAWORD
as ^cs+sub+++=as
fortunately ^rb++++=fortunately
situated ^vbd+++xvbn+=situated
in ^in++++=in
life ^nn++++=life
as ^ql++++=as
it ^pp3+it+++=it
was ^vbd+bedz+vrb++=was
possible ^jj+pred+++=possible
for ^in++++=for
a ^at++++=a
hen ^nn++++=hen
to ^to++++=to
be ^vbi++vrb++=be.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
was ^vbd+bedz+aux++=was
bought ^vpsv++by+xvbnx+=bought
by ^in++++=by
young ^jj+atrb+++=young
Master ^nn++++=Master
Fred ^np++++=Fred
Little ^jj+atrb+++=Little
John ^np++++=John,
, ^zz++++=EXTRAWORD
with ^in++++=with
four ^cd++++=four
or ^cc++++=or
five ^cd++++=five
family ^nn++++=family
connections ^nns+nom+++=connections
of ^in++++=of
hers ^pp$$++++=hers,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
a ^at++++=a
lively ^jj+atrb+++=lively
young ^jj+atrb+++=young
cock ^nn++++=cock,
, ^zz++++=EXTRAWORD
who ^whp+rel+subj++=who
was ^vbd+bedz+aux++=was
held ^vpsv++agls+xvbnx+=held
to ^to++++=to
be ^vbi++vrb++=be
as ^ql++++=as
brisk ^jj++++=brisk
a ^at++++=a
scratcher ^jjr++++=scratcher
and ^cc++++=and
as ^in++++=as
capable ^jj++++=capable
a ^at++++=a
head ^nn++++=head
of ^in++++=of
a ^at++++=a
family ^nn++++=family
as ^in++++=as
any ^dti++++=any
half ^abn++++=half-dozen
- ^zz++++=EXTRAWORD
dozen ^cd++++=EXTRAWORD
sensible ^jj+atrb+++=sensible
hens ^nns++++=hens
could ^md+pos+++=could
desire ^vb++++=desire.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
can ^md+pos+++=can't
n't ^xnot++not++0=EXTRAWORD
say ^vb+vpub+++=say
that ^tht+vcmp+++=that
at ^rb++++=at
first ^rb"++++=first
Mrs ^npt++++=Mrs.
. ^zz++++=EXTRAWORD
Feathertop ^np++++=Feathertop
was ^vbd+bedz+vrb++=was
a ^at++++=a
very ^ql+amp+++=very
sensible ^jj+atrb+++=sensible
hen ^nn++++=hen.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
was ^vbd+bedz+vrb++=was
very ^ql+amp+++=very
pretty ^rb++++=pretty
and ^cc++++=and
lively ^jj++++=lively,
, ^zz++++=EXTRAWORD
to ^to++++=to
be ^vbi++vrb++=be
sure ^jj+pred+++=sure,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
a ^at++++=a
great ^jj++++=great
favourite ^jjb++++=favourite
with ^in++++=with
Master ^nn++++=Master
Bolton ^np++++=Bolton
Gray ^np++++=Gray
