Tom ^np++++=Tom
Collins ^np++++=Collins
read ^vbd+vprv++xvbn+=read
again ^rb+tm+++=again
the ^ati++++=the
inscription ^nn+nom+++=inscription
on ^in++++=on
the ^ati++++=the
directory ^nn++++=directory
at ^in++++=at
the ^ati++++=the
foot ^nn++++=foot
of ^in++++=of
the ^ati++++=the
stairs ^nns++++=stairs:
: ^zz++++=EXTRAWORD
Room ^nn++++=Room
36 ^cd++++=36
City ^nn++++=City
Editor ^nn++++=Editor
and ^cc++++=and
Reporters ^nns+nom+++=Reporters
glanced ^vbd+++xvbn+=glanced
again ^rb+tm+++=again
toward ^in++++=toward
the ^ati++++=the
elevator ^nn++++=elevator,
, ^zz++++=EXTRAWORD
again ^rb+tm+++=again
drew ^vbd+++xvbn+=drew
his ^pp$+pp3+++=his
letter ^nn++++=letter
of ^in++++=of
introduction ^nn+nom+++=introduction
from ^in++++=from
his ^pp$+pp3+++=his
pocket ^nn++++=pocket,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and--again
-- ^--+clp+++=EXTRAWORD
again ^rb+tm+++=EXTRAWORD
retreated ^vbd+++xvbn+=retreated
to ^in++++=to
the ^ati++++=the
doorway ^nn++++=doorway.
. ^zz++++=EXTRAWORD
Once ^rb+tm+++=Once
more ^ql++++=more
his ^pp$+pp3+++=his
heart ^nn++++=heart
had ^vbd+hvd+aux++=had
failed ^vprf+++xvbnx+=failed
him ^pp3o+pp3+++=him.
. ^zz++++=EXTRAWORD
The ^ati++++=The
result ^nn++++=result
of ^in++++=of
the ^ati++++=the
impending ^jj+atrb+++=impending
interview ^nn++++=interview
with ^in++++=with
the ^ati++++=the
city ^nn++++=city
editor ^nn++++=editor
of ^in++++=of
the ^ati++++=the
Washington ^np++++=Washington
Evening ^nn++++=Evening
World ^nn++++=World
meant ^vbd+vprv++xvbn+=meant
so ^ql++++=so
much ^ap++++=much
to ^in++++=to
him ^pp3o+pp3+++=him
that ^cs+sub+++=that
he ^pp3a+pp3+++=he
feared ^vbd+vprv++xvbnx+=feared
to ^to++++=to
meet ^vbi++++=meet
it ^pp3+it+++=it.
. ^zz++++=EXTRAWORD
Another ^dt++++=Another
failure ^nn++++=failure
and ^cc++++=and--what?
-- ^--+clp+++=EXTRAWORD
what ^wdt+who+++=EXTRAWORD
? ^zz++++=EXTRAWORD
Surely ^rb++++=Surely
not ^xnot++not++=not
starvation ^nn+nom+++=starvation.
. ^zz++++=EXTRAWORD
To ^in++++=To
a ^at++++=a
youth ^nn++++=youth
of ^in++++=of
nineteen ^cd++++=nineteen,
, ^zz++++=EXTRAWORD
normally ^rb+down+++=normally
healthy ^jj++++=healthy
and ^cc+phrs+++=and
hopeful ^jj++++=hopeful,
, ^zz++++=EXTRAWORD
the ^ati++++=the
idea ^nn++++=idea
of ^in++++=of
starvation ^nn+nom+++=starvation
in ^in++++=in
a ^at++++=a
great ^jj+atrb+++=great
city ^nn++++=city,
, ^zz++++=EXTRAWORD
surrounded ^xvbn+++xvbn+=surrounded
by ^in++++=by
thousands ^cds++++=thousands
of ^in++++=of
human ^jj+atrb+++=human
beings ^nns++++=beings,
, ^zz++++=EXTRAWORD
seems ^vbz+seem+++=seems
preposterous ^jj++++=preposterous.
. ^zz++++=EXTRAWORD
And ^cc+cls+++=And
yet ^rb++++=yet
when ^wrb+who+++=when
the ^ati++++=the
few ^ap++++=few
coins ^nns++++=coins
yet ^rb++++=yet
remaining ^vbg+++xvbg+=remaining
in ^in++++=in
his ^pp$+pp3+++=his
pocket ^nn++++=pocket
were ^vbd+bed+aux++=were
gone ^vpsv++agls+xvbnx+=gone
he ^pp3a+pp3+++=he
would ^md+prd+++=would
be ^vb+be+vrb++=be
absolutely ^rb+amp+++=absolutely
at ^in++++=at
the ^ati++++=the
end ^nn++++=end
