John ^np++++=John
De ^&fw++++=De
Graffenreid ^np+++??+=Graffenreid
Atwood ^np+++??+=Atwood
ate ^vbd+++xvbn+=ate
of ^in++++=of
the ^ati++++=the
lotus ^nn++++=lotus,
, ^zz++++=EXTRAWORD
root ^nn++++=root,
, ^zz++++=EXTRAWORD
stem ^nn++++=stem,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
flower ^nn++++=flower.
. ^zz++++=EXTRAWORD
The ^ati++++=The
tropics ^nns++++=tropics
gobbled ^vprf+++xvbn+=gobbled
him ^pp3o+pp3+++=him
up ^rp++++=up.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
plunged ^vbd+++xvbnx+=plunged
enthusiastically ^rb++++=enthusiastically
into ^in++++=into
his ^pp$+pp3+++=his
work ^nn++++=work,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
was ^vbd+bedz+aux++=was
to ^to++++=to
try ^vbi++++=try
to ^to+vcmp+++=to
forget ^vbi+vprv+++=forget
Rosine ^np+++??+=Rosine.
. ^zz++++=EXTRAWORD
Now ^rn+dspt+++=Now,
, ^zz++++=EXTRAWORD
they ^pp3a+pp3+++=they
who ^whp+who+++=who
dine ^vb++++=dine
on ^in++++=on
the ^ati++++=the
lotus ^nn++++=lotus
rarely ^rb++++=rarely
consume ^vb++++=consume
it ^pp3+it+++=it
plain ^jj++++=plain.
. ^zz++++=EXTRAWORD
There ^ex+pex+++=There
is ^vbz+bez+vrb++=is
a ^at++++=a
sauce ^nn++++=sauce
au ^&fw++++=au
diable ^jj++++=diable
that ^dt+pdem+++=that
goes ^vbz++++=goes
with ^in++++=with
it ^pp3+it+++=it;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
distillers ^nns+nom+++=distillers
are ^vb+ber+vrb++=are
the ^ati++++=the
chefs ^nns+++??+=chefs
who ^whp+rel+subj++=who
prepare ^vb++++=prepare
it ^pp3+it+++=it.
. ^zz++++=EXTRAWORD
And ^cc+cls+++=And
on ^in++++=on
Johnny ^np++++=Johnny's
's ^$++++=EXTRAWORD
menu ^nn++++=menu
card ^nn++++=card
it ^pp3+it+++=it
read ^vbd+vprv++xvbn+=read
" ^zz++++="brandy."
brandy ^nn++++=EXTRAWORD
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
With ^in++++=With
a ^at++++=a
bottle ^nn++++=bottle
between ^in++++=between
them ^pp3o+pp3+++=them,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
and ^cc++++=and
Billy ^np++++=Billy
Keogh ^np+++??+=Keogh
would ^md+prd+++=would
sit ^vb++++=sit
on ^in++++=on
the ^ati++++=the
porch ^nn++++=porch
of ^in++++=of
the ^ati++++=the
little ^jj+atrb+++=little
consulate ^nn+nom+++=consulate
at ^in++++=at
night ^nn++++=night
and ^cc++++=and
roar ^nn++++=roar
out ^rp+pl+++=out
great ^jj+atrb+++=great,
, ^zz++++=EXTRAWORD
indecorous ^jj+atrb+++=indecorous
songs ^nns++++=songs,
, ^zz++++=EXTRAWORD
until ^in++++=until
the ^ati++++=the
natives ^nns++++=natives,
, ^zz++++=EXTRAWORD
slipping ^vbg+++xvbg+=slipping
hastily ^rb++++=hastily
past ^jjb++++=past,
, ^zz++++=EXTRAWORD
would ^md+prd+++=would
shrug ^vb++++=shrug
a ^at++++=a
shoulder ^nn+nom+++=shoulder
and ^cc++++=and
mutter ^nn++++=mutter
things ^nns++++=things
to ^in++++=to
themselves ^ppls+pp3+++=themselves
about ^in++++=about
the ^ati++++=the
" ^zz++++="
Americanos ^np+++??+=Americanos
diablos ^nns+++??+=diablos
. ^zz++++=."
" ^zz++++=EXTRAWORD
One ^cd1++++=One
day ^nn++++=day
Johnny ^np++++=Johnny's
's ^$++++=EXTRAWORD
mozo ^vb+++??+=mozo
brought ^vbd+++xvbn+=brought
the ^ati++++=the
mail ^nn++++=mail
and ^cc++++=and
dumped ^vbd+++xvbn+=dumped
it ^pp3+it+++=it
on ^in++++=on
the ^ati++++=the
table ^nn++++=table.
. ^zz++++=EXTRAWORD
Johnny ^np++++=Johnny
leaned ^vbd+++xvbn+=leaned
from ^in++++=from
his ^pp$+pp3+++=his
hammock ^nn+++??+=hammock,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
fingered ^vbd+++xvbn+=fingered
the ^ati++++=the
four ^cd++++=four
or ^cc++++=or
five ^cd++++=five
letters ^nns+nom+++=letters
dejectedly ^rb++++=dejectedly.
. ^zz++++=EXTRAWORD
Keogh ^np+++??+=Keogh
was ^vbd+bedz+aux++=was
sitting ^vbg+++xvbgx+=sitting
on ^in++++=on
the ^ati++++=the
edge ^nn++++=edge
of ^in++++=of
the ^ati++++=the
table ^nn++++=table
chopping ^vwbg+++xvbg+=chopping
lazily ^rb++++=lazily
with ^in++++=with
a ^at++++=a
paper ^nn++++=paper
knife ^nn++++=knife
at ^in++++=at
the ^ati++++=the
legs ^nns++++=legs
of ^in++++=of
a ^at++++=a
centipede ^nn+++??+=centipede
that ^tht+rel+subj++=that
was ^vbd+bedz+aux++=was
crawling ^nvbg+++xvbg+=crawling
among ^in++++=among
the ^ati++++=the
stationery ^nn+nom+++=stationery.
. ^zz++++=EXTRAWORD
Johnny ^np++++=Johnny
was ^vbd+bedz+vrb++=was
in ^cs+sub+++=in
that ^cs"++++=that
phase ^nn++++=phase
of ^in++++=of
lotus ^nn++++=lotus-eating
- ^zz++++=EXTRAWORD
eating ^nvbg+++xvbg+=EXTRAWORD
when ^wrb+who+++=when
all ^rb++++=all
the ^ati++++=the
world ^nn++++=world
tastes ^nns++++=tastes
bitter ^jj++++=bitter
in ^in++++=in
one ^cd1++++=one's
's ^vbz+bez+vrb++0=EXTRAWORD
mouth ^nn++++=mouth.
. ^zz++++=EXTRAWORD
" ^zz++++="Same
same ^ap++++=EXTRAWORD
old ^jj+atrb+++=old
thing ^nn++++=thing!"
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
complained ^vbd+vpub++xvbnx+=complained.
. ^zz++++=EXTRAWORD
" ^zz++++="Fool
fool ^jjb+atrb+++=EXTRAWORD
people ^nns++++=people
writing ^vwbg+++xvbg+=writing
for ^in++++=for
information ^nn+nom+++=information
about ^in++++=about
the ^ati++++=the
country ^nn++++=country.
. ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They
want ^vb++++=want
to ^to+vcmp+++=to
know ^vbi+vprv+++=know
all ^abn++++=all
about ^in++++=about
raising ^xvbg+++xvbg+=raising
fruit ^nn++++=fruit,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
how ^wrb+who+++=how
to ^to++++=to
make ^vbi++++=make
a ^at++++=a
fortune ^nn++++=fortune
without ^in++++=without
work ^nn++++=work.
. ^zz++++=EXTRAWORD
Half ^abn++++=Half
of ^in++++=of
them ^pp3o+pp3+++0='em
do ^vb+do+aux++=don't
n't ^xnot++not++0=EXTRAWORD
even ^rb++++=even
send ^vb++++=send
stamps ^nns++++=stamps
for ^in++++=for
a ^at++++=a
reply ^nn++++=reply.
. ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They
think ^vb+vprv+tht0++=think
a ^at++++=a
consul ^np++++=consul
has ^vbz+hvz+vrb++=hasn't
n't ^xnot++not++0=EXTRAWORD
anything ^pn++++=anything
to ^to++++=to
do ^vbi++++=do
but ^cc+phrs+++=but
write ^vb++++=write
letters ^nns+nom+++=letters.
. ^zz++++=EXTRAWORD
Slit ^j+++xvbn+=Slit
those ^dt+dem+++=those
envelopes ^nns++++=envelopes
for ^in++++=for
me ^pp1o+pp1+++=me,
, ^zz++++=EXTRAWORD
old ^jj+atrb+++=old
man ^nn++++=man,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
see ^vb+vprv+++=see
what ^wdt+who+whcl++=what
they ^pp3a+pp3+++=they
want ^vb++++=want.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I'm
'm ^vb+bem+aux++0=EXTRAWORD
feeling ^nvbg+++xvbg+=feeling
too ^ql++++=too
rocky ^jj++++=rocky
to ^to++++=to
move ^vbi++++=move."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Keogh ^np+++??+=Keogh,
, ^zz++++=EXTRAWORD
acclimated ^j+++xvbn+=acclimated
beyond ^in++++=beyond
all ^abn++++=all
possibility ^nn+nom+++=possibility
of ^in++++=of
ill ^jj++++=ill-humor,
- ^zz++++=EXTRAWORD
humor ^nn++++=EXTRAWORD
, ^zz++++=EXTRAWORD
drew ^j+++xvbn+=drew
his ^pp$+pp3+++=his
chair ^nn++++=chair
to ^in++++=to
the ^ati++++=the
table ^nn++++=table
with ^in++++=with
smiling ^xvbg+++xvbg+=smiling
compliance ^nn+nom+++=compliance
on ^in++++=on
his ^pp$+pp3+++=his
rose ^vbd+++xvbn+=rose-pink
- ^zz++++=EXTRAWORD
pink ^jj++++=EXTRAWORD
countenance ^nn+nom+++=countenance,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
began ^vbd+++xvbn+=began
to ^to++++=to
slit ^vbi++++=slit
open ^vb++++=open
the ^ati++++=the
letters ^nns+nom+++=letters.
. ^zz++++=EXTRAWORD
Four ^cd++++=Four
of ^in++++=of
them ^pp3o+pp3+++=them
were ^vbd+bed+vrb++=were
from ^in++++=from
citizens ^nns++++=citizens
in ^in++++=in
various ^jj+atrb+++=various
parts ^nns++++=parts
of ^in++++=of
the ^ati++++=the
United ^np++++=United
States ^nns++++=States
who ^whp+rel+subj++=who
seemed ^vbd+seem++xvbn+=seemed
to ^to+vcmp+++=to
regard ^vbi++++=regard
the ^ati++++=the
consul ^np++++=consul
at ^in++++=at
Coralio ^np+++??+=Coralio
as ^in++++=as
a ^at++++=a
cyclopedia ^nn+++??+=cyclopedia
of ^in++++=of
information ^nn+nom+++=information.
. ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They
asked ^vbd+vsua++xvbnx+=asked
long ^rb++++=long
lists ^nns++++=lists
of ^in++++=of
questions ^nns+nom+++=questions,
, ^zz++++=EXTRAWORD
numerically ^rb++++=numerically
arranged ^vbd+vsua++xvbn+=arranged,
, ^zz++++=EXTRAWORD
about ^in++++=about
the ^ati++++=the
climate ^nn+nom+++=climate,
, ^zz++++=EXTRAWORD
products ^nns++++=products,
, ^zz++++=EXTRAWORD
possibilities ^nns+nom+++=possibilities,
, ^zz++++=EXTRAWORD
laws ^nns++++=laws,
, ^zz++++=EXTRAWORD
business ^nns+nom+++=business
chances ^nns+nom+++=chances,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
statistics ^nn++++=statistics
of ^in++++=of
the ^ati++++=the
country ^nn++++=country
in ^in++++=in
which ^whp+rel+pied++=which
the ^ati++++=the
consul ^np++++=consul
had ^vb+hv+vrb++=had
the ^ati++++=the
honor ^nn++++=honor
of ^in++++=of
representing ^xvbg+++xvbg+=representing
his ^pp$+pp3+++=his
own ^ap++++=own
government ^nn+nom+++=government.
. ^zz++++=EXTRAWORD
" ^zz++++="Write
write ^vb++++=EXTRAWORD
' ^zz++++='em,
em ^nn+++??+=EXTRAWORD
, ^zz++++=EXTRAWORD
please ^uh++++=please,
, ^zz++++=EXTRAWORD
Billy ^np++++=Billy,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vprf+++xvbn+=said
that ^tht+vcmp+++=that
inert ^jj+atrb+++=inert
official ^nn++++=official,
, ^zz++++=EXTRAWORD
" ^zz++++="just
just ^rb+emph+++=EXTRAWORD
a ^at++++=a
line ^nn++++=line,
, ^zz++++=EXTRAWORD
referring ^vbg+++xvbg+=referring
them ^pp3o+pp3+++=them
to ^in++++=to
the ^ati++++=the
latest ^jjt+atrb+++=latest
consular ^nn+++??+=consular
report ^vb++++=report.
. ^zz++++=EXTRAWORD
Tell ^vb++++=Tell
them ^pp3o+pp3+++0='em
the ^ati++++=the
State ^nn++++=State
Department ^nn+nom+++=Department
will ^md+prd+++=will
be ^vb+be+aux++=be
delighted ^jj++agls+xvbnx+=delighted
to ^to+jcmp+++=to
furnish ^vbi++++=furnish
the ^ati++++=the
literary ^jj+atrb+++=literary
gems ^nns+++??+=gems.
. ^zz++++=EXTRAWORD
Sign ^vb++++=Sign
my ^pp$+pp1+++=my
name ^nn++++=name.
. ^zz++++=EXTRAWORD
Do ^vb+do+aux++=Don't
n't ^xnot++not++0=EXTRAWORD
let ^vb+++xvbn+=let
your ^pp$+pp2+++=your
pen ^nn++++=pen
scratch ^nn++++=scratch,
, ^zz++++=EXTRAWORD
Billy ^np++++=Billy;
; ^zz++++=EXTRAWORD
it ^pp3+it+++=it'll
'll ^md+prd+++0=EXTRAWORD
keep ^vb++++=keep
me ^pp1o+pp1+++=me
awake ^jj++++=awake."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Don't
do ^vb+do+aux++=EXTRAWORD
n't ^xnot++not++0=EXTRAWORD
snore ^vb++++=snore,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
said ^vbd+vpub++xvbn+=said
Keogh ^np+++??+=Keogh,
, ^zz++++=EXTRAWORD
amiably ^jj++++=amiably,
, ^zz++++=EXTRAWORD
" ^zz++++="and
and ^cc++++=EXTRAWORD
I ^pp1a+pp1+++=I'll
'll ^md+prd+++0=EXTRAWORD
do ^vb+do+vrb++=do
your ^pp$+pp2+++=your
work ^nn++++=work
for ^in++++=for
you ^pp2+pp2+++=you.
. ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You
need ^vb++++=need
a ^at++++=a
corps ^nn++++=corps
of ^in++++=of
assistants ^nns+nom+++=assistants,
, ^zz++++=EXTRAWORD
anyhow ^rb+dspt+++=anyhow.
. ^zz++++=EXTRAWORD
Do ^vb+do+aux++=Don't
n't ^xnot++not++0=EXTRAWORD
see ^vb+vprv+++=see
how ^wrb+who+whcl++=how
you ^pp2+pp2+++=you
ever ^rb++++=ever
get ^vb++++=get
out ^rb+phrv+++=out
a ^at++++=a
report ^nn++++=report.
. ^zz++++=EXTRAWORD
Wake ^vb++++=Wake
up ^rp++++=up
a ^at++++=a
minute--here ^nn+++??+=minute--here's
's ^$++++=EXTRAWORD
one ^cd1++++=one
more ^rbr++++=more
letter--it ^jj+atrb++??+=letter--it's
's ^vbz+bez+vrb++0=EXTRAWORD
from ^in++++=from
your ^pp$+pp2+++=your
own ^ap++++=own
town ^nn++++=town,
, ^zz++++=EXTRAWORD
too ^ql++++=too-Dalesburg."
- ^zz++++=EXTRAWORD
dalesburg ^nn+++??+=EXTRAWORD
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="That
that ^cs+sub+++=EXTRAWORD
so ^ql++++=so?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
murmured ^vbd+++xvbn+=murmured
Johnny ^np++++=Johnny
showing ^vwbg+++xvbg+=showing
a ^at++++=a
mild ^jj+atrb+++=mild
and ^cc+phrs+++=and
obligatory ^jj+atrb+++=obligatory
interest ^nn++++=interest.
. ^zz++++=EXTRAWORD
" ^zz++++="What's
what ^wdt+who+++=EXTRAWORD
's ^vbz+bez+vrb++0=EXTRAWORD
it ^pp3+it+++=it
about ^in+strn+++=about?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
" ^zz++++="Postmaster
postmaster ^nn+nom+++=EXTRAWORD
writes ^vbz+vprv+++=writes,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
explained ^vbd+vpub++xvbn+=explained
Keogh ^np+++??+=Keogh.
. ^zz++++=EXTRAWORD
" ^zz++++="Says
