( ^zz++++=(After
after ^in++++=EXTRAWORD
Bernardin ^np+++??+=Bernardin
de ^&fw++++=de
Saint ^nn++++=Saint-Pierre)
- ^zz++++=EXTRAWORD
pierre ^&fw++++=EXTRAWORD
) ^zz++++=EXTRAWORD
In ^in++++=In
the ^ati++++=the
town ^nn++++=town
of ^in++++=of
Surat ^np+++??+=Surat,
, ^zz++++=EXTRAWORD
in ^in++++=in
India ^np++++=India,
, ^zz++++=EXTRAWORD
was ^vbd+bedz+vrb++=was
a ^at++++=a
coffee ^nn++++=coffee-house
- ^zz++++=EXTRAWORD
house ^npl++++=EXTRAWORD
where ^wrb+who+++=where
many ^ap++++=many
travellers ^nns+nom+++=travellers
and ^cc++++=and
foreigners ^nns+nom+++=foreigners
from ^in++++=from
all ^abn++++=all
parts ^nns++++=parts
of ^in++++=of
the ^ati++++=the
world ^nn++++=world
met ^vbd+++xvbn+=met
and ^cc+phrs+++=and
conversed ^vbd+++xvbn+=conversed.
. ^zz++++=EXTRAWORD
One ^cd1++++=One
day ^nn++++=day
a ^at++++=a
learned ^jj+atrb++xvbn+=learned
Persian ^jj+atrb+++=Persian
theologian ^nn++++=theologian
visited ^vbd+++xvbn+=visited
this ^dt+dem+++=this
coffee ^nn++++=coffee-house.
- ^zz++++=EXTRAWORD
house ^npl++++=EXTRAWORD
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
was ^vbd+bedz+vrb++=was
a ^at++++=a
man ^nn++++=man
who ^whp+rel+subj++=who
had ^vbd+hvd+aux++=had
spent ^vprf+++xvbnx+=spent
his ^pp$+pp3+++=his
life ^nn++++=life
studying ^vwbg+++xvbg+=studying
the ^ati++++=the
nature ^nn++++=nature
of ^in++++=of
the ^ati++++=the
Deity ^nn++++=Deity,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
reading ^nvbg+++xvbg+=reading
and ^cc++++=and
writing ^nvbg+++xvbg+=writing
books ^nns++++=books
upon ^in++++=upon
the ^ati++++=the
subject ^nn++++=subject.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
had ^vbd+hvd+aux++=had
thought ^vprf+++xvbnx+=thought,
, ^zz++++=EXTRAWORD
read ^j+++xvbn+=read,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
written ^xvbn+++xvbn+=written
so ^pn++++=so
much ^ap++++=much
about ^in++++=about
God ^np++++=God,
, ^zz++++=EXTRAWORD
that ^dt+dem+++=that
eventually ^rb+tm+++=eventually
he ^pp3a+pp3+++=he
lost ^vbd+++xvbnx+=lost
his ^pp$+pp3+++=his
wits ^nns++++=wits,
, ^zz++++=EXTRAWORD
became ^j+++xvbn+=became
quite ^abl++++=quite
confused ^jj+++xvbn+=confused,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
ceased ^vprf+++xvbn+=ceased
even ^rb++++=even
to ^to++++=to
believe ^vbi+vprv+++=believe
in ^in++++=in
the ^ati++++=the
existence ^nn+nom+++=existence
of ^in++++=of
a ^at++++=a
God ^nn++++=God.
. ^zz++++=EXTRAWORD
The ^ati++++=The
Shah ^npt++++=Shah,
, ^zz++++=EXTRAWORD
hearing ^vbg+vprv++xvbg+=hearing
of ^in++++=of
this ^dt+pdem+++=this,
, ^zz++++=EXTRAWORD
had ^vbd+hvd+aux++=had
banished ^vprf+++xvbnx+=banished
him ^pp3o+pp3+++=him
from ^in++++=from
Persia ^np++++=Persia.
. ^zz++++=EXTRAWORD
After ^cs+sub+++=After
having ^nn+nn+aux++=having
argued ^vwbn+vpub++xvbn+=argued
all ^abn++++=all
his ^pp$+pp3+++=his
life ^nn++++=life
about ^in++++=about
the ^ati++++=the
First ^od++++=First
Cause ^vb++++=Cause,
, ^zz++++=EXTRAWORD
this ^dt+dem+++=this
unfortunate ^jj+atrb+++=unfortunate
theologian ^nn++++=theologian
had ^vbd+hvd+aux++=had
ended ^vprf+++xvbnx+=ended
by ^in++++=by
quite ^rb++++=quite
perplexing ^jj++++=perplexing
himself ^ppl+pp3+++=himself,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
instead ^rb+cnj+++=instead
of ^in++++=of
understanding ^vb+++xvbg+=understanding
that ^tht+vcmp+++=that
he ^pp3a+pp3+++=he
had ^vbd+hvd+aux++=had
lost ^vprf+++xvbnx+=lost
his ^pp$+pp3+++=his
own ^ap++++=own
reason ^nn++++=reason,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
began ^vbd+++xvbnx+=began
to ^to++++=to
think ^vbi+vprv+++=think
that ^tht+vcmp+++=that
there ^ex+pex+++=there
was ^vbd+bedz+vrb++=was
no ^at++++=no
higher ^jjr+atrb+++=higher
Reason ^nn++++=Reason
controlling ^vwbg+++xvbg+=controlling
the ^ati++++=the
universe ^nn++++=universe.
. ^zz++++=EXTRAWORD
This ^dt+dem+++=This
man ^nn++++=man
had ^vb+hv+vrb++=had
an ^at++++=an
African ^jj+atrb+++=African
slave ^nn++++=slave
who ^whp+rel+subj++=who
followed ^vbd+vprv++xvbn+=followed
him ^pp3o+pp3+++=him
everywhere ^rb++++=everywhere.
. ^zz++++=EXTRAWORD
When ^wrb+who+++=When
the ^ati++++=the
theologian ^nn++++=theologian
entered ^vbd+++xvbn+=entered
the ^ati++++=the
coffee ^nn++++=coffee-house,
- ^zz++++=EXTRAWORD
house ^npl++++=EXTRAWORD
, ^zz++++=EXTRAWORD
the ^ati++++=the
slave ^nn++++=slave
remained ^vbd+++xvbn+=remained
outside ^jjb++++=outside,
, ^zz++++=EXTRAWORD
near ^in+pl+++=near
the ^ati++++=the
door ^nn++++=door,
, ^zz++++=EXTRAWORD
sitting ^vbg+++xvbg+=sitting
on ^in++++=on
a ^at++++=a
stone ^nn++++=stone
in ^in++++=in
the ^ati++++=the
glare ^nn++++=glare
of ^in++++=of
the ^ati++++=the
sun ^nn++++=sun,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
driving ^nvbg+++xvbg+=driving
away ^rp+pl+++=away
the ^ati++++=the
flies ^nns++++=flies
that ^tht+rel+++=that
buzzed ^jj+++xvbn+=buzzed
around ^rp++++=around
him ^pp3o+pp3+++=him.
. ^zz++++=EXTRAWORD
The ^ati++++=The
Persian ^nn++++=Persian
having ^xvbg+++xvbg+=having
settled ^vbd+++xvbn+=settled
down ^rp++++=down
on ^in++++=on
a ^at++++=a
divan ^nn++++=divan
in ^in++++=in
the ^ati++++=the
coffee ^nn++++=coffee-house,
- ^zz++++=EXTRAWORD
house ^npl++++=EXTRAWORD
, ^zz++++=EXTRAWORD
ordered ^j+++xvbn+=ordered
himself ^ppl+pp3+++=himself
a ^at++++=a
cup ^nn++++=cup
of ^in++++=of
opium ^nn++++=opium.
. ^zz++++=EXTRAWORD
When ^wrb+who+++=When
he ^pp3a+pp3+++=he
had ^vbd+hvd+aux++=had
drunk ^vprf+++xvbnx+=drunk
it ^pp3+it+++=it
and ^cc++++=and
the ^ati++++=the
opium ^nn++++=opium
had ^vbd+hvd+aux++=had
