Once ^rb+tm+++=Once
upon ^in++++=upon
a ^at++++=a
time ^nn++++=time
a ^at++++=a
gentleman ^nn+nom+++=gentleman
went ^vbd+++xvbn+=went
out ^rp+pl+++=out
into ^in++++=into
a ^at++++=a
great ^jj+atrb+++=great
forest ^nn++++=forest,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
cut ^vb+++xvbn+=cut
away ^rp+pl+++=away
the ^ati++++=the
trees ^nns++++=trees,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
built ^vwbn+++xvbn+=built
there ^rn+pl+++=there
a ^at++++=a
very ^ql+amp+++=very
nice ^jj++++=nice
little ^ap++++=little
cottage ^nn+nom+++=cottage.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
was ^vbd+bedz+aux++=was
set ^vpsv++agls+xvbnx+=set
very ^ql+amp+++=very
low ^jj++++=low
on ^in++++=on
the ^ati++++=the
ground ^nn++++=ground,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
had ^vb+hv+vrb++=had
very ^ql+amp+++=very
large ^jj+atrb+++=large
bow ^nn++++=bow-windows,
- ^zz++++=EXTRAWORD
windows ^nns++++=EXTRAWORD
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
so ^ql++++=so
much ^ap++++=much
of ^in++++=of
it ^pp3+it+++=it
was ^vbd+bedz+vrb++=was
glass ^nn++++=glass
that ^tht+rel+++=that
one ^cd1++++=one
could ^md+pos+++=could
look ^vb++++=look
through ^in++++=through
it ^pp3+it+++=it
on ^in++++=on
every ^at++++=every
side ^nn++++=side
and ^cc++++=and
see ^vb+vprv+++=see
what ^wdt+who+++=what
was ^vbd+bedz+aux++=was
going ^vbg+++xvbgx+=going
on ^in++++=on
in ^in++++=in
the ^ati++++=the
forest ^nn++++=forest.
. ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You
could ^md+pos+++=could
see ^vb+vprv+++=see
the ^ati++++=the
shadows ^nps++++=shadows
of ^in++++=of
the ^ati++++=the
fern ^jj+++xvbn+=fern-leaves,
- ^zz++++=EXTRAWORD
leaves ^nns++++=EXTRAWORD
, ^zz++++=EXTRAWORD
as ^ql++++=as
they ^pp3a+pp3+++=they
flickered ^vbd+++xvbnx+=flickered
and ^cc+phrs+++=and
wavered ^vbd+++xvbn+=wavered
over ^in++++=over
the ^ati++++=the
ground ^nn++++=ground,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
scarlet ^jj+atrb+++=scarlet
partridge ^nn+++??+=partridge-berry
- ^zz++++=EXTRAWORD
berry ^nn++++=EXTRAWORD
and ^cc++++=and
winter ^nn++++=winter-green
- ^zz++++=EXTRAWORD
green ^nn++++=EXTRAWORD
plums ^nns++++=plums
that ^tht+rel+++=that
matted ^jj+++xvbn+=matted
round ^in++++=round
the ^ati++++=the
roots ^nns++++=roots
of ^in++++=of
the ^ati++++=the
trees ^nns++++=trees,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
bright ^jj+atrb+++=bright
spots ^nns++++=spots
of ^in++++=of
sunshine ^nn++++=sunshine
that ^tht+rel+subj++=that
fell ^vbd+++xvbn+=fell
through ^in++++=through
their ^pp$+pp3+++=their
branches ^nns++++=branches
and ^cc++++=and
went ^vbd+++xvbn+=went
dancing ^vbg+++xvbg+=dancing
about ^in++++=about
among ^in++++=among
the ^ati++++=the
bushes ^nns++++=bushes
and ^cc++++=and
leaves ^nns++++=leaves
at ^rb++++=at
their ^pp$+pp3+++=their
roots ^nns++++=roots.
. ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You
could ^md+pos+++=could
see ^vb+vprv+++=see
the ^ati++++=the
chirping ^jj+atrb++xvbg+=chirping
sparrows ^nns++++=sparrows
and ^cc++++=and
the ^ati++++=the
thrushes ^nns+++??+=thrushes
and ^cc++++=and
robins ^nns+++??+=robins
and ^cc++++=and
bluebirds ^nns+++??+=bluebirds
building ^vwbg+++xvbg+=building
their ^pp$+pp3+++=their
nests ^nns++++=nests
here ^rn+pl+++=here
and ^cc+phrs+++=and
there ^rn+pl+++=there
among ^in++++=among
the ^ati++++=the
branches ^nns++++=branches,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
watch ^nn++++=watch
them ^pp3o+pp3+++=them
from ^in++++=from
day ^nn++++=day
to ^in++++=to
day ^nn++++=day
as ^ql++++=as
they ^pp3a+pp3+++=they
laid ^vbd+++xvbnx+=laid
their ^pp$+pp3+++=their
eggs ^nns++++=eggs
and ^cc++++=and
hatched ^jj+++xvbn+=hatched
their ^pp$+pp3+++=their
young ^jj++++=young.
. ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You
could ^md+pos+++=could
also ^rb++splt++=also
see ^vb+vprv+++=see
red ^jj+atrb+++=red
squirrels ^nns++++=squirrels,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
gray ^np++++=gray
squirrels ^nns++++=squirrels,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
little ^jj+atrb+++=little
striped ^jj+atrb+++=striped
chip ^nn++++=chip-squirrels,
- ^zz++++=EXTRAWORD
squirrels ^nns++++=EXTRAWORD
, ^zz++++=EXTRAWORD
darting ^vbg+++xvbg+=darting
and ^cc+phrs+++=and
springing ^vbg+++xvbg+=springing
about ^in+strn+++=about,
, ^zz++++=EXTRAWORD
here ^rn+pl+++=here
and ^cc++++=and
there ^rn+pl+++=there
and ^cc++++=and
everywhere ^rb+cnj+++=everywhere,
, ^zz++++=EXTRAWORD
running ^jj+atrb++xvbg+=running
races ^nns++++=races
with ^in++++=with
each ^dt++++=each
other ^ap++++=other
from ^in++++=from
bough ^nn++++=bough
to ^in++++=to
bough ^nn++++=bough,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
chattering ^jj++++=chattering
at ^rb++++=at
each ^dt++++=each
other ^ap++++=other
in ^in++++=in
the ^ati++++=the
gayest ^jjt+atrb+++=gayest
possible ^jj+atrb+++=possible
manner ^nn++++=manner.
. ^zz++++=EXTRAWORD
You ^pp2+pp2+++=You
may ^md+pos+++=may
be ^vb+be+vrb++=be
sure ^jj+pred+++=sure
that ^tht+jcmp+++=that
such ^abl++++=such
a ^at++++=a
strange ^jj+atrb+++=strange
thing ^nn++++=thing
as ^in++++=as
a ^at++++=a
house ^nn++++=house
for ^in++++=for
human ^jj+atrb+++=human
beings ^nns++++=beings
to ^to++++=to
live ^vbi++++=live
in ^in++++=in
did ^vbd+dod+aux++=did
not ^xnot++not++=not
come ^vb++++=come
into ^in+ppvb+++=into
this ^dt+dem+++=this
wild ^jj+atrb+++=wild
wood ^nn++++=wood
without ^in++++=without
making ^xvbg+++xvbg+=making
quite ^rb++++=quite
a ^at++++=a
stir ^nn++++=stir
and ^cc++++=and
excitement ^nn+nom+++=excitement
among ^in++++=among
the ^ati++++=the
inhabitants ^nns+nom+++=inhabitants
