Children ^nns++++=Children,
, ^zz++++=EXTRAWORD
have ^vb+hv+vrb++=have
any ^dti++++=any
of ^in++++=of
you ^pp2+pp2+++=you
ever ^rb++++=ever
thought ^nn+++xvbn+=thought
of ^in++++=of
what ^wdt+who+++=what
little ^ap++++=little
people ^nns++++=people
like ^in++++=like
you ^pp2+pp2+++=you
were ^vbd+bed+aux++=were
doing ^vbg+++xvbgx+=doing
in ^in++++=in
this ^dt+dem+++=this
country ^nn++++=country
more ^rbr++++=more
than ^in++++=than
a ^at++++=a
hundred ^cd++++=hundred
years ^nns++++=years
ago ^rb+cnj+++=ago,
, ^zz++++=EXTRAWORD
when ^wrb+who+++=when
the ^ati++++=the
cruel ^jj+atrb+++=cruel
tide ^nn++++=tide
of ^in++++=of
war ^nn++++=war
swept ^vwbn+++xvbn+=swept
over ^in++++=over
its ^pp$+it+++=its
bosom ^nn++++=bosom?
? ^zz++++=EXTRAWORD
From ^in++++=From
many ^ap++++=many
homes ^nrs++++=homes
the ^ati++++=the
fathers ^nns+nom+++=fathers
were ^vbd+bed+vrb++=were
absent ^jj+pred+++=absent,
, ^zz++++=EXTRAWORD
fighting ^nvbg+++xvbg+=fighting
bravely ^rb++++=bravely
for ^in++++=for
the ^ati++++=the
liberty ^nn++++=liberty
which ^whp+rel+obj++=which
we ^pp1a+pp1+++=we
now ^rn+tm+++=now
enjoy ^vb++++=enjoy,
, ^zz++++=EXTRAWORD
while ^cs+sub+++=while
the ^ati++++=the
mothers ^nns+nom+++=mothers
no ^at++++=no
less ^rbr++++=less
valiantly ^rb++++=valiantly
struggled ^vbd+++xvbn+=struggled
against ^in++++=against
hardships ^nns+nom+++=hardships
and ^cc++++=and
discomforts ^nns+++??+=discomforts
in ^to++++=in
order ^vb++++=order
to ^to+vcmp+++=to
keep ^vb++++=keep
a ^at++++=a
home ^nr++++=home
for ^in++++=for
their ^pp$+pp3+++=their
children ^nns++++=children,
, ^zz++++=EXTRAWORD
whom ^whp+rel+obj++=whom
you ^pp2+pp2+++=you
only ^rb+down+++=only
know ^vb+vprv+++=know
as ^ql++++=as
your ^pp$+pp2+++=your
great ^jj++++=great-grandfathers
- ^zz++++=EXTRAWORD
grandfathers ^nns+nom+++=EXTRAWORD
and ^cc++++=and
great ^jj++++=great-grandmothers,
- ^zz++++=EXTRAWORD
grandmothers ^nns+nom+++=EXTRAWORD
, ^zz++++=EXTRAWORD
dignified ^jj+atrb+++=dignified
gentlemen ^nns++++=gentlemen
and ^cc++++=and
beautiful ^jj+atrb+++=beautiful
ladies ^nns++++=ladies,
, ^zz++++=EXTRAWORD
whose ^whp+rel+subj++=whose
painted ^xvbn+++xvbn+=painted
portraits ^nns++++=portraits
hang ^nn++++=hang
upon ^in++++=upon
the ^ati++++=the
walls ^nns++++=walls
in ^in++++=in
some ^dti++++=some
of ^in++++=of
your ^pp$+pp2+++=your
homes ^nrs++++=homes.
. ^zz++++=EXTRAWORD
Merry ^jj+atrb+++=Merry,
, ^zz++++=EXTRAWORD
romping ^jj+atrb+++=romping
children ^nns++++=children
they ^pp3a+pp3+++=they
were ^vbd+bed+vrb++=were
in ^in++++=in
those ^dt+dem+++=those
far ^rb+pl+++=far-off
- ^zz++++=EXTRAWORD
off ^in+pl+++=EXTRAWORD
times ^nns++++=times,
, ^zz++++=EXTRAWORD
yet ^rb++++=yet
their ^pp$+pp3+++=their
bright ^jj+atrb+++=bright
faces ^nns++++=faces
must ^md+nec+++=must
have ^vb+hv+aux++=have
looked ^vprf+++xvbnx+=looked
grave ^jj++++=grave
sometimes ^rb+cnj+++=sometimes,
, ^zz++++=EXTRAWORD
when ^wrb+who+++=when
they ^pp3a+pp3+++=they
heard ^vbd+vprv++xvbnx+=heard
the ^ati++++=the
grown ^xvbn+++xvbn+=grown
people ^nns++++=people
talk ^nn++++=talk
of ^in++++=of
the ^ati++++=the
great ^jj+atrb+++=great
things ^nns++++=things
that ^tht+rel+subj++=that
were ^vbd+bed+aux++=were
happening ^vbg+++xvbgx+=happening
around ^rp++++=around
them ^pp3o+pp3+++=them.
. ^zz++++=EXTRAWORD
Some ^dti++++=Some
of ^in++++=of
these ^dt+dem+++=these
little ^ap++++=little
people ^nns++++=people
never ^rb++++=never
forgot ^vbd+vprv++xvbn+=forgot
the ^ati++++=the
wonderful ^jj+atrb+++=wonderful
events ^nns++++=events
of ^in++++=of
which ^whp+rel+pied++=which
they ^pp3a+pp3+++=they
heard ^vbd+vprv++xvbnx+=heard,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
afterward ^rb++++=afterward
related ^jj+++xvbn+=related
them ^pp3o+pp3+++=them
to ^in++++=to
their ^pp$+pp3+++=their
children ^nns++++=children
and ^cc++++=and
grandchildren ^nn++++=grandchildren,
, ^zz++++=EXTRAWORD
which ^whp+rel+obj++=which
accounts ^nns++++=accounts
for ^in++++=for
some ^dti++++=some
of ^in++++=of
the ^ati++++=the
interesting ^jj+atrb+++=interesting
stories ^nns++++=stories
which ^whp+rel+obj++=which
you ^pp2+pp2+++=you
may ^md+pos+++=may
still ^rb++splt++=still
hear ^vb+vprv+++=hear,
, ^zz++++=EXTRAWORD
if ^cs+cnd+++=if
you ^pp2+pp2+++=you
are ^vb+ber+vrb++=are
good ^jj+atrb+++=good
children ^nns++++=children.
. ^zz++++=EXTRAWORD
The ^ati++++=The
Christmas ^np++++=Christmas
story ^nn++++=story
that ^tht+rel+obj++=that
I ^pp1a+pp1+++=I
have ^md"++pmd"++=have
to ^md+nec+++=to
tell ^vb++++=tell
you ^pp2+pp2+++=you
is ^vbz+bez+vrb++=is
about ^in++++=about
a ^at++++=a
boy ^nn++++=boy
and ^cc++++=and
girl ^nn++++=girl
who ^whp+rel+subj++=who
lived ^vbd+++xvbn+=lived
in ^in++++=in
Bordentown ^np+++??+=Bordentown,
, ^zz++++=EXTRAWORD
New ^jj+atrb+++=New
Jersey ^np++++=Jersey.
. ^zz++++=EXTRAWORD
The ^ati++++=The
father ^nn++++=father
of ^in++++=of
these ^dt+dem+++=these
children ^nns++++=children
was ^vbd+bedz+vrb++=was
a ^at++++=a
soldier ^nn++++=soldier
in ^in++++=in
General ^jj+atrb+++=General
Washington ^np++++=Washington's
's ^$++++=EXTRAWORD
army ^nn++++=army,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
was ^vbd+bedz+aux++=was
encamped ^vpsv++agls+xvbnx+=encamped
a ^ap++++=a
few ^ap"++++=few
miles ^nns++++=miles
north ^np+pl+++=north
of ^in++++=of
Trenton ^np+++??+=Trenton,
, ^zz++++=EXTRAWORD
on ^in++++=on
the ^ati++++=the
Pennsylvania ^np+++??+=Pennsylvania
side ^nn++++=side
of ^in++++=of
the ^ati++++=the
Delaware ^np+++??+=Delaware
River ^nn++++=River.
. ^zz++++=EXTRAWORD
Bordentown ^np+++??+=Bordentown,
, ^zz++++=EXTRAWORD
as ^ql++++=as
you ^pp2+pp2+++=you
can ^md+pos+++=can
see ^vb+vprv+++=see
by ^in++++=by
looking ^nn++++=looking
on ^in++++=on
your ^pp$+pp2+++=your
map ^nn++++=map,
, ^zz++++=EXTRAWORD
if ^cs+cnd+++=if
you ^pp2+pp2+++=you
have ^vb+hv+vrb++=have
not ^xnot++not++=not
hidden ^jj+++xvbn+=hidden
them ^pp3o+pp3+++=them
all ^rb++++=all
away ^rp+pl+++=away
for ^in++++=for
the ^ati++++=the
holidays ^nns++++=holidays,
, ^zz++++=EXTRAWORD
is ^vbz+bez+vrb++=is
about ^in++++=about
seven ^cd++++=seven
miles ^nns++++=miles
south ^np+pl+++=south
of ^in++++=of
Trenton ^np+++??+=Trenton,
, ^zz++++=EXTRAWORD
where ^wrb+who+++=where
fifteen ^cd++++=fifteen
hundred ^cd++++=hundred
Hessians ^nn++++=Hessians
and ^cc++++=and
a ^at++++=a
troop ^nn++++=troop
of ^in++++=of
British ^jj+atrb+++=British
light ^jj+atrb+++=light
horse ^nn++++=horse
were ^vbd+bed+aux++=were
holding ^vbg+vprv++xvbgx+=holding
the ^ati++++=the
town ^nn++++=town.
. ^zz++++=EXTRAWORD
Thus ^rb+cnj+++=Thus
you ^pp2+pp2+++=you
see ^vb+vprv+++=see
that ^tht+vcmp+++=that
the ^ati++++=the
British ^jj++++=British,
, ^zz++++=EXTRAWORD
in ^in++++=in
force ^nn++++=force,
, ^zz++++=EXTRAWORD
were ^vbd+bed+vrb++=were
between ^in++++=between
Washington ^np++++=Washington's
's ^$++++=EXTRAWORD
army ^nn++++=army
and ^cc++++=and
Bordentown ^np+++??+=Bordentown,
, ^zz++++=EXTRAWORD
besides ^rb+cnj+++=besides
which ^whp+rel+pied++=which
there ^ex+pex+++=there
were ^vbd+bed+vrb++=were
some ^dti++++=some
British ^jj++++=British
and ^cc++++=and
Hessian ^np+++??+=Hessian
troops ^nns++++=troops
in ^in++++=in
the ^ati++++=the
very ^ap+amp+++=very
town ^nn++++=town.
. ^zz++++=EXTRAWORD
All ^abn++++=All
this ^dt+pdem+++=this
seriously ^rb++++=seriously
interfered ^vbd+++xvbn+=interfered
with ^in++++=with
Captain ^nn++++=Captain
Tracy ^np++++=Tracy's
's ^vbz+bez+aux++0=EXTRAWORD
going ^vbg+++xvbg+=going
home ^nr++++=home
to ^to++++=to
eat ^vbi++++=eat
his ^pp$+pp3+++=his
