Nikolai ^np+++??+=Nikolai
Yevgrafovitch ^np+++??+=Yevgrafovitch
Almazof ^np+++??+=Almazof
hardly ^rb+down+++=hardly
waited ^vbd+++xvbn+=waited
for ^in++++=for
his ^pp$+pp3+++=his
wife ^nn++++=wife
to ^to++++=to
open ^vbi++++=open
the ^ati++++=the
door ^nn++++=door
to ^in++++=to
him ^pp3o+pp3+++=him;
; ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
went ^vbd+++xvbnx+=went
straight ^rb++++=straight
to ^in++++=to
his ^pp$+pp3+++=his
study ^nn++++=study
without ^in++++=without
taking ^nn++++=taking
off ^in+pl+++=off
his ^pp$+pp3+++=his
hat ^nn++++=hat
or ^cc++++=or
coat ^nn++++=coat.
. ^zz++++=EXTRAWORD
His ^pp$+pp3+++=His
wife ^nn++++=wife
knew ^vbd+vprv++xvbn+=knew
in ^in++++=in
a ^at++++=a
moment ^nn++++=moment
by ^in++++=by
his ^pp$+pp3+++=his
frowning ^vbg+++xvbg+=frowning
face ^nn++++=face
and ^cc++++=and
nervously ^rb++++=nervously-bitten
- ^zz++++=EXTRAWORD
bitten ^vb+++xvbn+=EXTRAWORD
underlip ^nn+++??+=underlip
that ^tht+rel+obj++=that
a ^at++++=a
great ^jj+atrb+++=great
misfortune ^nn++++=misfortune
had ^vbd+hvd+aux++=had
occurred ^vprf+++xvbnx+=occurred.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
followed ^vbd+vprv++xvbnx+=followed
him ^pp3o+pp3+++=him
in ^in++++=in
silence ^nn+nom+++=silence.
. ^zz++++=EXTRAWORD
Almazof ^np+++??+=Almazof
stood ^vbd+++xvbn+=stood
still ^jj+pred+++=still
for ^in++++=for
a ^at++++=a
moment ^nn++++=moment
when ^wrb+who+++=when
he ^pp3a+pp3+++=he
reached ^vbd+++xvbnx+=reached
the ^ati++++=the
study ^nn++++=study,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
stared ^vbd+++xvbn+=stared
gloomily ^rb++++=gloomily
into ^in++++=into
one ^cd1++++=one
corner ^nn++++=corner,
, ^zz++++=EXTRAWORD
then ^rn+tm+++=then
he ^pp3a+pp3+++=he
dashed ^vbd+++xvbnx+=dashed
his ^pp$+pp3+++=his
portfolio ^nn++++=portfolio
out ^rp+pl+++=out
of ^in++++=of
his ^pp$+pp3+++=his
hand ^nn++++=hand
on ^in+cmpx+++=on
to ^in"++++=to
the ^ati++++=the
floor ^nn++++=floor,
, ^zz++++=EXTRAWORD
where ^wrb+who+++=where
it ^pp3+it+++=it
lay ^vbd+++xvbn+=lay
wide ^jj+atrb+++=wide
open ^nn++++=open,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
threw ^vbd+++xvbn+=threw
himself ^ppl+pp3+++=himself
into ^in++++=into
an ^at++++=an
armchair ^nn++++=armchair,
, ^zz++++=EXTRAWORD
irritably ^rb++++=irritably
snapping ^vbg+++xvbg+=snapping
his ^pp$+pp3+++=his
fingers ^nns+nom+++=fingers
together ^nn+nom+++=together.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
was ^vbd+bedz+vrb++=was
a ^at++++=a
young ^jj+atrb+++=young
and ^cc+phrs+++=and
poor ^jj+atrb+++=poor
army ^nn++++=army
officer ^nn++++=officer
attending ^vwbg+++xvbg+=attending
a ^at++++=a
course ^nn++++=course
of ^in++++=of
lectures ^nns++++=lectures
at ^in++++=at
the ^ati++++=the
staff ^nn++++=staff
office ^nn++++=office
academy ^nn++++=academy,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
had ^vb+hv+aux++=had
just ^rb+emph+splt++=just
returned ^vprf+++xvbnx+=returned
from ^in++++=from
a ^at++++=a
class ^nn++++=class.
. ^zz++++=EXTRAWORD
Today ^nr+tm+++=To-day
he ^pp3a+pp3+++=he
had ^vbd+hvd+aux++=had
taken ^vprf+++xvbnx+=taken
in ^rb+phrv+++=in
to ^in++++=to
the ^ati++++=the
professor ^nn++++=professor
his ^pp$+pp3+++=his
last ^ap++++=last
and ^cc++++=and
most ^ql+emph+++=most
difficult ^jj+atrb+++=difficult
practical ^jj+atrb+++=practical
work ^nn++++=work,
, ^zz++++=EXTRAWORD
a ^at++++=a
survey ^nn++++=survey
of ^in++++=of
the ^ati++++=the
neighbourhood ^nn+nom+++=neighbourhood.
. ^zz++++=EXTRAWORD
So ^ql++++=So
far ^rb+pl+++=far
all ^rb++++=all
his ^pp$+pp3+++=his
examinations ^nns+nom+++=examinations
had ^vbd+hvd+aux++=had
gone ^vprf+++xvbnx+=gone
well ^jj+pred+++=well,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
it ^pp3+it+++=it
was ^vbd+bedz+aux++=was
only ^rb+down+splt++=only
known ^vpsv++agls+xvbnx+=known
to ^to+vcmp+++=to
God ^vb++++=God
and ^cc++++=and
to ^in++++=to
his ^pp$+pp3+++=his
wife ^nn++++=wife
what ^wdt+who+++=what
fearful ^jj+atrb+++=fearful
labour ^nn++++=labour
they ^pp3a+pp3+++=they
had ^vb+hv+vrb++=had
cost ^nn++++=cost
him.. ^nn+++??+=him....
. ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
To ^to++++=To
begin ^vbi++++=begin
with ^in+strn+++=with,
, ^zz++++=EXTRAWORD
his ^pp$+pp3+++=his
very ^ap+amp+++=very
entrance ^nn+nom+++=entrance
into ^in++++=into
the ^ati++++=the
academy ^nn++++=academy
had ^vbd+hvd+aux++=had
seemed ^vprf+++xvbnx+=seemed
impossible ^jj++++=impossible
at ^rb++++=at
first ^rb"++++=first.
. ^zz++++=EXTRAWORD
Two ^cd++++=Two
years ^nns++++=years
in ^in++++=in
succession ^nn++++=succession
he ^pp3a+pp3+++=he
had ^vbd+hvd+aux++=had
failed ^vprf+++xvbnx+=failed
ignominiously ^jj++++=ignominiously,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
only ^rb+down+++=only
in ^in++++=in
the ^ati++++=the
third ^od++++=third
had ^vb+hv+vrb++=had
he ^pp3a+pp3+++=he
by ^in++++=by
determined ^jj+atrb++xvbn+=determined
effort ^nn++++=effort
overcome ^vbd+++xvbn+=overcome
all ^abn++++=all
hindrances ^nns+nom+++=hindrances.
. ^zz++++=EXTRAWORD
If ^cs+cnd+++=If
it ^pp3+it+++=it
had ^vb+hv+aux++=hadn't
n't ^xnot++not++0=EXTRAWORD
been ^vprf+ben+vrb+xvbn+=been
for ^in++++=for
his ^pp$+pp3+++=his
wife ^nn++++=wife
he ^pp3a+pp3+++=he
would ^md+prd+++=would
not ^xnot++not++=not
have ^vb+hv+aux++=have
had ^vb+hv+vrb++=had
sufficient ^jj+atrb+++=sufficient
energy ^nn++++=energy
to ^to++++=to
continue ^vbi++++=continue
the ^ati++++=the
struggle ^nn++++=struggle;
; ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
would ^md+prd+++=would
have ^vb+hv+aux++=have
given ^vprf+++xvbnx+=given
it ^pp3+it+++=it
up ^rp++++=up
entirely ^rb+amp+++=entirely.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
Verotchka ^np+++??+=Verotchka
never ^rb++++=never
allowed ^vbd+++xvbn+=allowed
him ^pp3o+pp3+++=him
to ^to++++=to
lose ^vbi++++=lose
heart ^nn++++=heart,
, ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
was ^vbd+bedz+vrb++=was
always ^rb++++=always
encouraging ^jj+pred+++=encouraging
him ^pp3o+pp3+++=him
. ^zz++++=...
. ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
met ^vbd+++xvbnx+=met
every ^at++++=every
drawback ^nn++++=drawback
with ^in++++=with
a ^at++++=a
bright ^jj++++=bright,
, ^zz++++=EXTRAWORD
almost ^rb+hdg+++=almost
gay ^jj++++=gay,
, ^zz++++=EXTRAWORD
front ^jjb++++=front.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
denied ^vbd+vpub+tht0+xvbnx+=denied
herself ^ppl+pp3+++=herself
everything ^pn++++=everything
so ^ql++++=so
that ^cs+sub+++=that
her ^pp3o+pp3+++=her
husband ^nn++++=husband
might ^md+pos+++=might
have ^vb+hv+vrb++=have
all ^rb++++=all
the ^ati++++=the
little ^jj+atrb+++=little
things ^nns++++=things
so ^rb+emph+++=so
necessary ^jj++++=necessary
for ^in++++=for
a ^at++++=a
man ^nn++++=man
engaged ^vwbn+++xvbn+=engaged
in ^in++++=in
mental ^jj+atrb+++=mental
labour ^nn++++=labour;
; ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
was ^vbd+bedz+vrb++=was
his ^pp$+pp3+++=his
secretary ^nn+nom+++=secretary,
, ^zz++++=EXTRAWORD
draughtsman ^nn+nom+++=draughtsman,
, ^zz++++=EXTRAWORD
reader ^nn++++=reader,
, ^zz++++=EXTRAWORD
lesson ^nn++++=lesson-hearer,
- ^zz++++=EXTRAWORD
hearer ^jjr++++=EXTRAWORD
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
note ^nn++++=note-book
- ^zz++++=EXTRAWORD
book ^nn++++=EXTRAWORD
all ^rb++++=all
in ^in++++=in
one ^pn++++=one.
. ^zz++++=EXTRAWORD
For ^in++++=For
five ^cd++++=five
minutes ^nns++++=minutes
there ^ex+pex+++=there
was ^vbd+bedz+vrb++=was
a ^at++++=a
dead ^jj+atrb+++=dead
silence ^nn+nom+++=silence,
, ^zz++++=EXTRAWORD
broken ^j+++xvbn+=broken
only ^rb+down+++=only
by ^in++++=by
the ^ati++++=the
sorry ^uh++++=sorry
sound ^nn++++=sound
of ^in++++=of
their ^pp$+pp3+++=their
old ^jj+atrb+++=old
alarm ^nn++++=alarm
clock ^nn++++=clock,
, ^zz++++=EXTRAWORD
familiar ^jj++++=familiar
and ^cc+phrs+++=and
tiresome ^jj++++=tiresome
. ^zz++++=...
. ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
one ^pn++++=one,
, ^zz++++=EXTRAWORD
two ^cd++++=two,
, ^zz++++=EXTRAWORD
three ^cd++++=three-three
- ^zz++++=EXTRAWORD
three ^cd++++=EXTRAWORD
two ^cd++++=two
clear ^jj+atrb+++=clear
ticks ^nns+++??+=ticks,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
third ^nn++++=third
with ^in++++=with
a ^at++++=a
hoarse ^jj+atrb+++=hoarse
stammer ^nn++++=stammer.
. ^zz++++=EXTRAWORD
Almazof ^np+++??+=Almazof
still ^rb++++=still
sat ^vbd+++xvbn+=sat
in ^in++++=in
his ^pp$+pp3+++=his
hat ^nn++++=hat
and ^cc++++=and
coat ^nn++++=coat,
, ^zz++++=EXTRAWORD
turning ^vbg+++xvbg+=turning
to ^to++++=to
one ^cd1++++=one
side ^nn++++=side
in ^in++++=in
his ^pp$+pp3+++=his
chair.. ^nn+++??+=chair....
. ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Vera ^np++++=Vera
stood ^vbd+++xvbn+=stood
two ^cd++++=two
paces ^nns++++=paces
from ^in++++=from
him ^pp3o+pp3+++=him,
, ^zz++++=EXTRAWORD
silent ^jj++++=silent
also ^rb+cnj+++=also,
, ^zz++++=EXTRAWORD
her ^pp$+pp3+++=her
beautiful ^jj+atrb+++=beautiful
mobile ^jj+atrb+++=mobile
face ^nn++++=face
full ^jj++++=full
of ^in++++=of
suffering ^xvbg+++xvbg+=suffering.
. ^zz++++=EXTRAWORD
At ^rb++++=At
length ^rb"++++=length
she ^pp3a+pp3+++=she
broke ^vbd+++xvbnx+=broke
the ^ati++++=the
stillness ^nns+nom+++=stillness
with ^in++++=with
the ^ati++++=the
cautiousness ^nns+nom+++=cautiousness
a ^at++++=a
woman ^nn++++=woman
might ^md+pos+++=might
use ^vb++++=use
when ^wrb+who+++=when
speaking ^vbg+++xvbg+=speaking
at ^rb++++=at
the ^ati++++=the
bedside ^nn++++=bedside
of ^in++++=of
a ^at++++=a
very ^ql+amp+++=very
sick ^jj+atrb+++=sick
friend ^nn++++=friend:
: ^zz++++=EXTRAWORD
" ^zz++++="Well,
well ^rb+cnj+++=EXTRAWORD
, ^zz++++=EXTRAWORD
Kolya ^np+++??+=Kolya,
, ^zz++++=EXTRAWORD
what ^wdt+who+++=what
about ^in++++=about
the ^ati++++=the
work ^nn++++=work?
? ^zz++++=EXTRAWORD
Was ^vbd+bedz+vrb++=Was
it ^pp3+it+++=it
bad ^jj++++=bad?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
shrugged ^vbd+++xvbnx+=shrugged
his ^pp$+pp3+++=his
shoulders ^nns+nom+++=shoulders
without ^in++++=without
speaking ^xvbg+++xvbg+=speaking.
. ^zz++++=EXTRAWORD
" ^zz++++="Kolya,
kolya ^nn+++??+=EXTRAWORD
