Chapter ^nn++++=CHAPTER
I ^pp1a+pp1+++=I.
. ^zz++++=EXTRAWORD
Charsky ^np+++??+=Charsky
was ^vbd+bedz+vrb++=was
one ^pn++++=one
of ^in++++=of
the ^ati++++=the
native ^jj++++=native-born
- ^zz++++=EXTRAWORD
born ^xvbn+++xvbn+=EXTRAWORD
inhabitants ^nns+nom+++=inhabitants
of ^in++++=of
St ^npt++++=St.
. ^zz++++=EXTRAWORD
Petersburg ^np++++=Petersburg.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
was ^vbd+bedz+vrb++=was
not ^xnot++not++=not
yet ^rb++++=yet
thirty ^cd++++=thirty
years ^nns++++=years
of ^in++++=of
age ^nn++++=age;
; ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
was ^vbd+bedz+vrb++=was
not ^xnot++not++=not
married ^jj+++xvbn+=married;
; ^zz++++=EXTRAWORD
the ^ati++++=the
service ^nn++++=service
did ^vbd+dod+vrb++=did
not ^xnot++not++=not
oppress ^nns+nom+++=oppress
him ^pp3o+pp3+++=him
too ^rb++++=too
heavily ^rb++++=heavily.
. ^zz++++=EXTRAWORD
His ^pp$+pp3+++=His
late ^jj+atrb+++=late
uncle ^nn++++=uncle,
, ^zz++++=EXTRAWORD
having ^xvbg+++xvbg+=having
been ^vprf+ben+vrb+xvbn+=been
a ^at++++=a
vice ^nn++++=vice-governor
- ^zz++++=EXTRAWORD
governor ^npt++++=EXTRAWORD
in ^in++++=in
the ^ati++++=the
good ^jj+atrb+++=good
old ^jj+atrb+++=old
times ^nns++++=times,
, ^zz++++=EXTRAWORD
had ^vbd+hvd+aux++=had
left ^vprf+++xvbnx+=left
him ^pp3o+pp3+++=him
a ^at++++=a
respectable ^jj+atrb+++=respectable
estate ^nn++++=estate.
. ^zz++++=EXTRAWORD
His ^pp$+pp3+++=His
life ^nn++++=life
was ^vbd+bedz+vrb++=was
a ^at++++=a
very ^ql+amp+++=very
agreeable ^jj+atrb+++=agreeable
one ^pn++++=one,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
he ^pp3a+pp3+++=he
had ^vb+hv+vrb++=had
the ^ati++++=the
misfortune ^nn++++=misfortune
to ^to++++=to
write ^vbi++++=write
and ^cc++++=and
print ^nn++++=print
verses ^nns++++=verses.
. ^zz++++=EXTRAWORD
In ^in++++=In
the ^ati++++=the
journals ^nns+nom+++=journals
he ^pp3a+pp3+++=he
was ^vbd+bedz+aux++=was
called ^vpsv++agls+xvbnx+=called
" ^zz++++="poet,"
poet ^nn++++=EXTRAWORD
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
and ^cc++++=and
in ^in++++=in
the ^ati++++=the
ante ^nn+++??+=ante-rooms
- ^zz++++=EXTRAWORD
rooms ^nns++++=EXTRAWORD
" ^zz++++="author."
author ^nn++++=EXTRAWORD
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
In ^in++++=In
spite ^in"++++=spite
of ^in"++++=of
the ^ati++++=the
great ^jj+atrb+++=great
privileges ^nns++++=privileges
which ^whp+rel+obj++=which
verse ^nn++++=verse-makers
- ^zz++++=EXTRAWORD
makers ^nns++++=EXTRAWORD
enjoy ^vb++++=enjoy
( ^zz++++=(we
we ^pp1a+pp1+++=EXTRAWORD
must ^md+nec+++=must
confess ^nns+nom+++=confess
that ^tht+vcmp+++=that,
, ^zz++++=EXTRAWORD
except ^in++++=except
the ^ati++++=the
right ^nn++++=right
of ^in++++=of
using ^xvbg+++xvbg+=using
the ^ati++++=the
accusative ^jj++++=accusative
instead ^rb+cnj+++=instead
of ^in++++=of
the ^ati++++=the
genitive ^jj++++=genitive,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
other ^ap++++=other
so ^ql++++=so-called
- ^zz++++=EXTRAWORD
called ^xvbn+++xvbn+=EXTRAWORD
poetical ^jj+atrb+++=poetical
licenses ^nns++++=licenses
of ^in++++=of
a ^at++++=a
similar ^jj+atrb+++=similar
kind ^nn++++=kind,
, ^zz++++=EXTRAWORD
we ^pp1a+pp1+++=we
fail ^vb++++=fail
to ^to+vcmp+++=to
see ^vbi+vprv+++=see
what ^wdt+who+++=what
are ^vb+ber+vrb++=are
the ^ati++++=the
particular ^jj+atrb+++=particular
privileges ^nns++++=privileges
of ^in++++=of
Russian ^jj+atrb+++=Russian
poets ^nns++++=poets),
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
in ^in++++=in
spite ^in"++++=spite
of ^in"++++=of
their ^pp$+pp3+++=their
every ^at++++=every
possible ^jj+atrb+++=possible
privilege ^nn++++=privilege,
, ^zz++++=EXTRAWORD
these ^dt+dem+++=these
persons ^nns++++=persons
are ^vb+ber+aux++=are
compelled ^vpsv++agls+xvbnx+=compelled
to ^to+vcmp+++=to
endure ^vbi++++=endure
a ^at++++=a
great ^jj+atrb+++=great
deal ^nn++++=deal
of ^in++++=of
unpleasantness ^nns+nom+++=unpleasantness.
. ^zz++++=EXTRAWORD
The ^ati++++=The
bitterest ^jjt+atrb+++=bitterest
misfortune ^nn++++=misfortune
of ^in++++=of
all ^rb+cnj+++=all,
, ^zz++++=EXTRAWORD
the ^ati++++=the
most ^ql+emph+++=most
intolerable ^jj++++=intolerable
for ^in++++=for
the ^ati++++=the
poet ^nn++++=poet,
, ^zz++++=EXTRAWORD
is ^vbz+bez+vrb++=is
the ^ati++++=the
appellation ^nn+nom+++=appellation
with ^in++++=with
which ^whp+rel+pied++=which
he ^pp3a+pp3+++=he
