You ^pp2+pp2+++=You're
're ^vb+ber+aux++0=EXTRAWORD
always ^rb++splt++=always
saying ^vbg+++xvbgx+=saying
" ^zz++++="accident,
accident ^nn++++=EXTRAWORD
, ^zz++++=EXTRAWORD
accident... ^nn+++??+=accident...."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
That ^dt+pdem+++=That's
's ^vbz+bez+vrb++0=EXTRAWORD
just ^rb+emph+++=just
the ^ati++++=the
point ^nn++++=point.
. ^zz++++=EXTRAWORD
What ^wdt+who+++=What
I ^pp1a+pp1+++=I
want ^vb++++=want
to ^to+vcmp+++=to
say ^vbi+vpub+++=say
is ^vbz+bez+vrb++=is
that ^dt+dem+++=that
on ^rp++++=on
every ^at++++=every
merest ^jjt+atrb+++=merest
accident ^nn++++=accident
it ^pp3+it+++=it
is ^vbz+bez+vrb++=is
possible ^jj+pred+++=possible
to ^to+jcmp+++=to
look ^vbi++++=look
more ^rbr++++=more
deeply ^rb++++=deeply.
. ^zz++++=EXTRAWORD
Permit ^vb++++=Permit
me ^pp1o+pp1+++=me
to ^in++++=to
remark ^nn++++=remark
that ^tht+ncmp+++=that
I ^pp1a+pp1+++=I
am ^vb+bem+vrb++=am
already ^rb++++=already
sixty ^cd++++=sixty
years ^nns++++=years
old ^jj++++=old.
. ^zz++++=EXTRAWORD
And ^cc+cls+++=And
this ^dt+pdem+++=this
is ^vbz+bez+vrb++=is
just ^rb+emph+++=just
the ^ati++++=the
age ^nn++++=age
when ^wrb+who+++=when,
, ^zz++++=EXTRAWORD
after ^in++++=after
all ^abn++++=all
the ^ati++++=the
noisy ^jj+atrb+++=noisy
passions ^nns++++=passions
of ^in++++=of
his ^pp$+pp3+++=his
youth ^nn++++=youth,
, ^zz++++=EXTRAWORD
a ^at++++=a
man ^nn++++=man
must ^md+nec+++=must
choose ^vb++++=choose
one ^pn++++=one
of ^in++++=of
three ^cd++++=three
ways ^nns++++=ways
of ^in++++=of
life ^nn++++=life:
: ^zz++++=EXTRAWORD
money ^nn++++=money-making,
- ^zz++++=EXTRAWORD
making ^vbg+++xvbg+=EXTRAWORD
, ^zz++++=EXTRAWORD
ambition ^nn+nom+++=ambition,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
philosophy ^nn++++=philosophy.
. ^zz++++=EXTRAWORD
For ^in++++=For
my ^pp$+pp1+++=my
part ^nn++++=part
I ^pp1a+pp1+++=I
think ^vb+vprv+tht0++=think
there ^ex+pex+++=there
are ^vb+ber+vrb++=are
only ^rb+down+++=only
two ^cd++++=two
paths ^nns++++=paths.
. ^zz++++=EXTRAWORD
Ambition ^nn+nom+++=Ambition
must ^md+nec+++=must,
, ^zz++++=EXTRAWORD
sooner ^rbr++++=sooner
or ^cc+phrs+++=or
later ^rbr+tm+++=later,
, ^zz++++=EXTRAWORD
take ^vb++++=take
the ^ati++++=the
form ^nn++++=form
of ^in++++=of
getting ^xvbg+++xvbg+=getting
something ^pn++++=something
for ^in++++=for
oneself ^ppl++++=oneself
money ^nn++++=money
or ^cc++++=or
power ^nn++++=power
in ^in++++=in
acquiring ^xvbg+++xvbg+=acquiring
and ^cc++++=and
extending ^xvbg+++xvbg+=extending
either ^dtx++++=either
earthly ^jj+atrb+++=earthly
or ^cc+phrs+++=or
heavenly ^jj+atrb+++=heavenly
possibilities ^nns+nom+++=possibilities.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
do ^vb+do+aux++=don't
n't ^xnot++not++0=EXTRAWORD
dare ^vb++++=dare
to ^to+vcmp+++=to
call ^vbi++++=call
myself ^ppl+pp1+++=myself
a ^at++++=a
philosopher ^nn+nom+++=philosopher,
, ^zz++++=EXTRAWORD
that ^dt+pdem+++=that's
's ^vbz+bez+vrb++0=EXTRAWORD
too ^ql++++=too
high ^jj++++=high-flown
- ^zz++++=EXTRAWORD
flown ^vprf+++xvbn+=EXTRAWORD
a ^at++++=a
title ^nn++++=title
for ^in++++=for
me ^pp1o+pp1+++=me
. ^zz++++=...
. ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
it ^pp3+it+++=it
does ^vbz+doz+aux++=doesn't
n't ^xnot++not++0=EXTRAWORD
go ^vb++++=go
with ^in++++=with
my ^pp$+pp1+++=my
character ^nn+nom+++=character.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I'm
'm ^vb+bem+vrb++0=EXTRAWORD
the ^ati++++=the
sort ^nn++++=sort
of ^in++++=of
person ^nn++++=person
who ^whp+rel+subj++=who
might ^md+pos+++=might
anytime ^vb+++??+=anytime
be ^vb+be+aux++=be
called ^vpsv++agls+xvbnx+=called
upon ^in++++=upon
to ^to++++=to
show ^vbi+vprv+tht0++=show
his ^pp$+pp3+++=his
credentials ^nns+nom+++=credentials.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
all ^rb++++=all
the ^ati++++=the
same ^ap++++=same,
, ^zz++++=EXTRAWORD
my ^pp$+pp1+++=my
life ^nn++++=life
has ^vbz+hvz+aux++=has
been ^vprf+ben+vrb+xvbnx+=been
extremely ^rb+amp+++=extremely
broad ^jj++++=broad
and ^cc++++=and
very ^ql+amp+++=very
varied ^jj+++xvbn+=varied.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
have ^vb+hv+aux++=have
seen ^vprf+++xvbnx+=seen
riches ^nns++++=riches
and ^cc++++=and
poverty ^nn++++=poverty
and ^cc++++=and
sickness ^nns+nom+++=sickness,
, ^zz++++=EXTRAWORD
war ^nn++++=war
and ^cc++++=and
the ^ati++++=the
loss ^nn++++=loss
of ^in++++=of
friends ^nns++++=friends,
, ^zz++++=EXTRAWORD
prison ^nn++++=prison,
, ^zz++++=EXTRAWORD
love ^nn++++=love,
, ^zz++++=EXTRAWORD
ruin ^nn++++=ruin,
, ^zz++++=EXTRAWORD
faith ^nn++++=faith,
, ^zz++++=EXTRAWORD
unbelief ^nn+++??+=unbelief.
. ^zz++++=EXTRAWORD
And ^cc+cls+++=And
I ^pp1a+pp1+++=I've
've ^vb+hv+aux++0=EXTRAWORD
even ^rb++splt++=even
believe ^vb+vprv+tht0++=believe
it ^pp3+it+++=it
or ^cc++++=or
not ^xnot++not++=not,
, ^zz++++=EXTRAWORD
as ^ql++++=as
you ^pp2+pp2+++=you
please ^uh++++=please
I ^pp1a+pp1+++=I've
've ^vb+hv+aux++0=EXTRAWORD
even ^cs+sub+++=even
seen ^vprf+++xvbn+=seen
people ^nns++++=people.
