1440 ^cd++++=1440
Of ^in++++=Of
all ^abn++++=all
the ^ati++++=the
possessions ^nns++++=possessions
of ^in++++=of
the ^ati++++=the
old ^jj+atrb+++=old
kingdom ^nn+nom+++=kingdom
of ^in++++=of
Hungary ^np+nom+++=Hungary,
, ^zz++++=EXTRAWORD
none ^pn++++=none
was ^vbd+bedz+vrb++=was
more ^ql++++=more
valued ^jj+++xvbn+=valued
than ^in++++=than
what ^wdt+who+++=what
was ^vbd+bedz+aux++=was
called ^vpsv++agls+xvbnx+=called
the ^ati++++=the
Crown ^nn++++=Crown
of ^in++++=of
St ^npt++++=St.
. ^zz++++=EXTRAWORD
Stephen ^np++++=Stephen,
, ^zz++++=EXTRAWORD
so ^ql+emph+++=so
called ^jj+++xvbn+=called
from ^in++++=from
one ^pn++++=one,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
had ^vb+hv+vrb++=had,
, ^zz++++=EXTRAWORD
in ^in++++=in
the ^ati++++=the
year ^nn++++=year
1000 ^cd++++=1000,
, ^zz++++=EXTRAWORD
been ^j+j+aux+xvbn+=been
presented ^vpsv++by+xvbnx+=presented
by ^in++++=by
Pope ^np++++=Pope
Sylvester ^np+nom++??+=Sylvester
Ii ^np+++??+=II.
. ^zz++++=EXTRAWORD
to ^in++++=to
Stephen ^np++++=Stephen,
, ^zz++++=EXTRAWORD
the ^ati++++=the
second ^od++++=second
Christian ^jj+atrb+++=Christian
Duke ^nn++++=Duke,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
first ^rb++++=first
King ^npt++++=King
of ^in++++=of
Hungary ^np+nom+++=Hungary.
. ^zz++++=EXTRAWORD
A ^at++++=A
crown ^nn++++=crown
and ^cc++++=and
a ^at++++=a
cross ^nn++++=cross
were ^vbd+bed+aux++=were
given ^vpsv++agls+xvbnx+=given
to ^in++++=to
him ^pp3o+pp3+++=him
for ^in++++=for
his ^pp$+pp3+++=his
coronation ^nn+nom+++=coronation,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
took ^vbd+++xvbn+=took
place ^nn++++=place
in ^in++++=in
the ^ati++++=the
Church ^nn++++=Church
of ^in++++=of
the ^ati++++=the
