This ^dt+dem+++=This
thing ^nn++++=thing
is ^vbz+bez+vrb++=is
so ^ql+emph+++=so
rare ^jj++++=rare
in ^in++++=in
all ^abn++++=all
its ^pp$+it+++=its
circumstances ^nns+nom+++=circumstances,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
on ^in++++=on
so ^ql+emph+++=so
good ^jj+atrb+++=good
authority ^nn+nom+++=authority,
, ^zz++++=EXTRAWORD
that ^tht+vcmp+++=that
my ^pp$+pp1+++=my
reading ^nvbg+++xvbg+=reading
and ^cc++++=and
conversation ^nn+nom+++=conversation
have ^vb+hv+aux++=have
not ^xnot++not++=not
given ^vbd+++xvbn+=given
me ^pp1o+pp1+++=me
anything ^pn++++=anything
like ^in++++=like
it ^pp3+it+++=it.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
is ^vbz+bez+vrb++=is
fit ^jj++++=fit
to ^to+jcmp+++=to
gratify ^vbi++++=gratify
the ^ati++++=the
most ^ql+emph+++=most
ingenious ^jj+atrb+++=ingenious
and ^cc+phrs+++=and
serious ^jj+atrb+++=serious
inquirer ^nn+nom+++=inquirer.
. ^zz++++=EXTRAWORD
Mrs ^npt++++=Mrs.
. ^zz++++=EXTRAWORD
Bargrave ^np++++=Bargrave
is ^vbz+bez+vrb++=is
the ^ati++++=the
person ^nn++++=person
to ^to++++=to
whom ^whp+wpor+++=whom
Mrs ^npt++++=Mrs.
. ^zz++++=EXTRAWORD
Veal ^np++++=Veal
appeared ^vbd+seem++xvbn+=appeared
after ^in++++=after
her ^pp$+pp3+++=her
death ^nn++++=death;
; ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
is ^vbz+bez+vrb++=is
my ^pp$+pp1+++=my
intimate ^jj+atrb+++=intimate
friend ^nn++++=friend,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
I ^pp1a+pp1+++=I
can ^md+pos+++=can
avouch ^vb+++??+=avouch
for ^in++++=for
her ^pp$+pp3+++=her
reputation ^nn+nom+++=reputation
for ^in++++=for
these ^dt+dem+++=these
fifteen ^cd++++=fifteen
or ^cc++++=or
sixteen ^cd++++=sixteen
years ^nns++++=years,
, ^zz++++=EXTRAWORD
on ^in++++=on
my ^pp$+pp1+++=my
own ^ap++++=own
knowledge ^nn++++=knowledge;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
I ^pp1a+pp1+++=I
can ^md+pos+++=can
confirm ^vb+vpub+++=confirm
the ^ati++++=the
good ^jj+atrb+++=good
character ^nn+nom+++=character
she ^pp3a+pp3+++=she
had ^vb+hv+vrb++=had
from ^in++++=from
her ^pp$+pp3+++=her
youth ^nn++++=youth
to ^in++++=to
the ^ati++++=the
time ^nn++++=time
of ^in++++=of
my ^pp$+pp1+++=my
acquaintance ^nn+nom+++=acquaintance.
. ^zz++++=EXTRAWORD
Though ^rb+cnj+++=Though,
, ^zz++++=EXTRAWORD
since ^in++++=since
this ^dt+dem+++=this
relation ^nn+nom+++=relation,
, ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
is ^vbz+bez+aux++=is
calumniated ^vpsv++by+xvbnx+=calumniated
by ^in++++=by
some ^dti++++=some
people ^nns++++=people
that ^tht+rel+subj++=that
are ^vb+ber+vrb++=are
friends ^nns++++=friends
to ^in++++=to
the ^ati++++=the
brother ^nn++++=brother
of ^in++++=of
Mrs ^npt++++=Mrs.
. ^zz++++=EXTRAWORD
Veal ^np++++=Veal
who ^whp+rel+subj++=who
appeared ^vbd+seem++xvbn+=appeared,
, ^zz++++=EXTRAWORD
who ^whp+rel+subj++=who
think ^vb+vprv+++=think
the ^ati++++=the
relation ^nn+nom+++=relation
of ^in++++=of
this ^dt+dem+++=this
appearance ^nn+nom+++=appearance
to ^to+vcmp+++=to
be ^vbi++vrb++=be
a ^at++++=a
reflection ^nn+nom+++=reflection,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
endeavor ^nn++++=endeavor
what ^wdt+who+++=what
they ^pp3a+pp3+++=they
can ^md+pos+++=can
to ^in++++=to
blast ^nn++++=blast
Mrs ^npt++++=Mrs.
. ^zz++++=EXTRAWORD
Bargrave ^np++++=Bargrave's
's ^$++++=EXTRAWORD
reputation ^nn+nom+++=reputation
and ^cc++++=and
to ^to++++=to
laugh ^vbi++++=laugh
the ^ati++++=the
story ^nn++++=story
out ^rp+pl+++=out
of ^in++++=of
countenance ^nn+nom+++=countenance.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
by ^in++++=by
the ^ati++++=the
circumstances ^nns+nom+++=circumstances
thereof ^rb+cnj+++=thereof,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
cheerful ^jj+atrb+++=cheerful
disposition ^nn+nom+++=disposition
of ^in++++=of
Mrs ^npt++++=Mrs.
. ^zz++++=EXTRAWORD
Bargrave ^np++++=Bargrave,
, ^zz++++=EXTRAWORD
notwithstanding ^rb+cnj+++=notwithstanding
the ^ati++++=the
ill ^jj+atrb+++=ill
usage ^nn++++=usage
of ^in++++=of
a ^at++++=a
very ^ql+amp+++=very
wicked ^jj+atrb+++=wicked
husband ^nn++++=husband,
, ^zz++++=EXTRAWORD
there ^ex+pex+++=there
is ^vbz+bez+vrb++=is
not ^xnot++not++=not
yet ^rb++++=yet
the ^ati++++=the
least ^rbt++++=least
sign ^nn++++=sign
of ^in++++=of
dejection ^nn+nom+++=dejection
in ^in++++=in
her ^pp$+pp3+++=her
face ^nn++++=face;
; ^zz++++=EXTRAWORD
nor ^cc+cls+neg++=nor
did ^vbd+dod+aux++=did
I ^pp1a+pp1+++=I
ever ^rb++++=ever
hear ^vb+vprv+tht0++=hear
her ^pp$+pp3+++=her
let ^vbd+++xvbn+=let
fall ^nn++++=fall
a ^at++++=a
desponding ^jj+atrb++xvbg+=desponding
or ^cc+phrs+++=or
murmuring ^jj+atrb++xvbg+=murmuring
expression ^nn++++=expression;
; ^zz++++=EXTRAWORD
nay ^uh++++=nay,
, ^zz++++=EXTRAWORD
not ^xnot++not++=not
when ^wrb+who+++=when
actually ^rb+amp+++=actually
under ^in++++=under
her ^pp$+pp3+++=her
husband ^nn++++=husband's
's ^$++++=EXTRAWORD
barbarity ^nn+nom+++=barbarity,
, ^zz++++=EXTRAWORD
which ^whp+rel+obj++=which
I ^pp1a+pp1+++=I
have ^vb+hv+aux++=have
been ^vprf+ben+vrb+xvbnx+=been
a ^at++++=a
witness ^nn++++=witness
to ^in+strn+++=to,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
several ^ap++++=several
other ^ap++++=other
persons ^nns++++=persons
of ^in++++=of
undoubted ^jj+atrb+++=undoubted
reputation ^nn+nom+++=reputation.
. ^zz++++=EXTRAWORD
Now ^rn+dspt+++=Now
you ^pp2+pp2+++=you
must ^md+nec+++=must
know ^vb+vprv+++=know
