As ^ql++++=AS
it ^pp3+it+++=it
is ^vbz+bez+aux++=is
well ^rb++splt++=well
known ^vpsv++agls+xvbnx+=known
that ^tht+vcmp+++=that
the ^ati++++=the
' ^zz++++='wise
wise ^jj+atrb+++=EXTRAWORD
men ^nns++++=men'
' ^zz++++=EXTRAWORD
came ^vbd+++xvbn+=came
' ^zz++++='from
from ^in++++=EXTRAWORD
the ^ati++++=the
East ^np+pl+++=East,'
, ^zz++++=EXTRAWORD
' ^zz++++=EXTRAWORD
and ^cc++++=and
as ^ql++++=as
Mr ^npt++++=Mr.
. ^zz++++=EXTRAWORD
Touch ^np++++=Touch-and-go
- ^zz++++=EXTRAWORD
and ^cc++++=EXTRAWORD
- ^zz++++=EXTRAWORD
go ^vb++++=EXTRAWORD
Bullet ^nn++++=Bullet-head
- ^zz++++=EXTRAWORD
head ^nn++++=EXTRAWORD
came ^vbd+++xvbn+=came
from ^in+ppvb+++=from
the ^ati++++=the
East ^np+pl+++=East,
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it
follows ^vbz+vprv+++=follows
that ^cs+sub+++=that
Mr ^npt++++=Mr.
. ^zz++++=EXTRAWORD
Bullet ^np++++=Bullet-head
- ^zz++++=EXTRAWORD
head ^nn++++=EXTRAWORD
was ^vbd+bedz+vrb++=was
a ^at++++=a
wise ^jj+atrb+++=wise
man ^nn++++=man;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
if ^cs+cnd+++=if
collateral ^jj+atrb+++=collateral
proof ^nn++++=proof
of ^in++++=of
the ^ati++++=the
matter ^nn++++=matter
be ^vb+be+aux++=be
needed ^vpsv++agls+xvbnx+=needed,
, ^zz++++=EXTRAWORD
here ^rn+pl+++=here
we ^pp1a+pp1+++=we
have ^vb+hv+vrb++=have
it ^pp3+it+++=it
- ^zz++++=-Mr.
mr ^npt++++=EXTRAWORD
. ^zz++++=EXTRAWORD
B ^zz++++=B.
. ^zz++++=EXTRAWORD
was ^vbd+bedz+vrb++=was
an ^at++++=an
editor ^nn++++=editor.
. ^zz++++=EXTRAWORD
Irascibility ^np+nom++??+=Irascibility
was ^vbd+bedz+vrb++=was
his ^pp$+pp3+++=his
sole ^jjb+atrb+++=sole
foible ^nn++++=foible,
, ^zz++++=EXTRAWORD
for ^in++++=for
in ^in++++=in
fact ^nn++++=fact
the ^ati++++=the
obstinacy ^nn+nom+++=obstinacy
of ^in++++=of
which ^whp+rel+pied++=which
men ^nns++++=men
accused ^vbd+++xvbn+=accused
him ^pp3o+pp3+++=him
was ^vbd+bedz+vrb++=was
anything ^rb++++=anything
but ^rb"++++=but
his ^pp$+pp3+++=his
foible ^nn++++=foible,
, ^zz++++=EXTRAWORD
since ^cs+sub+++=since
he ^pp3a+pp3+++=he
justly ^rb++++=justly
considered ^vbd+vprv+tht0+xvbn+=considered
it ^pp3+it+++=it
his ^pp$+pp3+++=his
forte ^nn++++=forte.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
was ^vbd+bedz+vrb++=was
his ^pp$+pp3+++=his
strong ^jj+atrb+++=strong
point ^nn++++=point
- ^zz++++=-his
his ^pp$+pp3+++=EXTRAWORD
