Behind ^in+pl+++=BEHIND
him ^pp3o+pp3+++=him
the ^ati++++=the
Koh ^np+++??+=Koh
Haji ^np+++??+=Haji-Lal,
- ^zz++++=EXTRAWORD
lal ^jj++++=EXTRAWORD
, ^zz++++=EXTRAWORD
the ^ati++++=the
" ^zz++++="Mountains
mountains ^npl++++=EXTRAWORD
of ^in++++=of
the ^ati++++=the
Red ^jj+atrb+++=Red
Pilgrim ^nn++++=Pilgrim,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
closed ^jj+++xvbn+=closed
like ^in++++=like
a ^at++++=a
ragged ^jj+atrb+++=ragged
tide ^nn++++=tide.
. ^zz++++=EXTRAWORD
In ^in++++=In
front ^in"++++=front
of ^in"++++=of
him ^pp3o+pp3+++=him
the ^ati++++=the
snowy ^jj+atrb+++=snowy
peaks ^nns++++=peaks
of ^in++++=of
the ^ati++++=the
Gul ^np+++??+=Gul
Koh ^np+++??+=Koh
pointed ^vbd+++xvbn+=pointed
to ^in++++=to
the ^ati++++=the
skies ^nns++++=skies
in ^in++++=in
an ^at++++=an
abandon ^nn++++=abandon
of ^in++++=of
frozen ^jj+atrb++xvbn+=frozen,
, ^zz++++=EXTRAWORD
lacy ^jj+atrb+++=lacy
spires ^nns++++=spires,
, ^zz++++=EXTRAWORD
while ^cs+sub+++=while
ten ^cd++++=ten
miles ^nns++++=miles
the ^ati++++=the
other ^ap++++=other
side ^nn++++=side
Ghuzni ^np+++??+=Ghuzni
dipped ^vbd+++xvbn+=dipped
to ^in++++=to
the ^ati++++=the
green ^nn++++=green
of ^in++++=of
the ^ati++++=the
valley ^nn++++=valley
with ^in++++=with
an ^at++++=an
avalanche ^nn++++=avalanche
of ^in++++=of
flat ^nn++++=flat,
, ^zz++++=EXTRAWORD
white ^jj+atrb+++=white
roof ^nn++++=roof-tops,
- ^zz++++=EXTRAWORD
tops ^nns++++=EXTRAWORD
, ^zz++++=EXTRAWORD
huddled ^j+++xvbn+=huddled
close ^rb++++=close
together ^nn+nom+++=together
beneath ^in+pl+++=beneath
the ^ati++++=the
chill ^nn++++=chill
of ^in++++=of
the ^ati++++=the
Himalayas ^np+++??+=Himalayas.
. ^zz++++=EXTRAWORD
The ^ati++++=The
English ^jj+atrb+++=English
doctor ^nn++++=doctor
lived ^vbd+++xvbn+=lived
there ^rn+pl+++=there,
, ^zz++++=EXTRAWORD
mixing ^vbg+++xvbg+=mixing
his ^pp$+pp3+++=his
drugs ^nns++++=drugs
and ^cc++++=and
scolding ^nvbg+++xvbg+=scolding
his ^pp$+pp3+++=his
patients ^nns++++=patients
in ^in++++=in
the ^ati++++=the
little ^ap++++=little
house ^npl++++=house
at ^rb++++=at
the ^ati++++=the
end ^nn++++=end
of ^in++++=of
the ^ati++++=the
perfume ^nn++++=perfume-sellers'
- ^zz++++=EXTRAWORD
sellers ^nns+nom+++=EXTRAWORD
' ^zz++++=EXTRAWORD
bazar ^nn++++=bazar,
, ^zz++++=EXTRAWORD
in ^in++++=in
the ^ati++++=the
shadow ^nn++++=shadow
of ^in++++=of
the ^ati++++=the
great ^jj+atrb+++=great
bronze ^jj+atrb+++=bronze
Mogul ^np+++??+=Mogul
gun ^nn++++=gun
which ^whp+rel+obj++=which
both ^abx++++=both
Afghans ^nns+nom++??+=Afghans
and ^cc++++=and
Lohani ^np+++??+=Lohani
Sikhs ^nps++++=Sikhs
called ^vbd+++xvbn+=called
the ^ati++++=the
Zubba ^np+++??+=Zubba-zung.
- ^zz++++=EXTRAWORD
zung ^nn+++??+=EXTRAWORD
. ^zz++++=EXTRAWORD
Mortazu ^np+++??+=Mortazu
Khan ^npt++++=Khan
thought ^vbd+++xvbn+=thought
of ^in++++=of
him ^pp3o+pp3+++=him
as ^ql++++=as
he ^pp3a+pp3+++=he
came ^vbd+++xvbnx+=came
down ^in++++=down
the ^ati++++=the
mountain ^nn++++=mountain-side,
- ^zz++++=EXTRAWORD
side ^nn++++=EXTRAWORD
, ^zz++++=EXTRAWORD
