Hark ^np+++??+=Hark,
, ^zz++++=EXTRAWORD
hark ^nn+++??+=hark,
, ^zz++++=EXTRAWORD
the ^ati++++=the
dogs ^nns++++=dogs
do ^vb+do+vrb++=do
bark ^nn++++=bark,
, ^zz++++=EXTRAWORD
The ^ati++++=The
beggars ^nns++++=beggars
are ^vb+ber+aux++=are
coming ^vbg+++xvbgx+=coming
to ^in++++=to
town ^nn++++=town:
: ^zz++++=EXTRAWORD
Some ^dti++++=Some
in ^in++++=in
rags ^nns++++=rags,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
some ^dti++++=some
in ^in++++=in
tags ^nns++++=tags,
, ^zz++++=EXTRAWORD
And ^cc+cls+++=And
some ^dti++++=some
in ^in++++=in
velvet ^nn++++=velvet
gown ^nn++++=gown.
. ^zz++++=EXTRAWORD
Very ^ql+amp+++=Very
fair ^jj++++=fair
and ^cc++++=and
sweet ^nn++++=sweet
was ^vbd+bedz+vrb++=was
little ^ap++++=little
Prince ^npt++++=Prince
Lilimond ^np+++??+=Lilimond,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
few ^ap++++=few
could ^md+pos+++=could
resist ^vb++++=resist
his ^pp$+pp3+++=his
soft ^jj++++=soft,
, ^zz++++=EXTRAWORD
pleading ^vbg+++xvbg+=pleading
voice ^nn++++=voice
and ^cc++++=and
gentle ^jj+atrb+++=gentle
blue ^nn++++=blue
eyes ^nns++++=eyes.
. ^zz++++=EXTRAWORD
And ^cc+cls+++=And
as ^ql++++=as
he ^pp3a+pp3+++=he
stood ^vbd+++xvbnx+=stood
in ^in++++=in
the ^ati++++=the
presence ^nn+nom+++=presence
of ^in++++=of
the ^ati++++=the
King ^nn++++=King,
, ^zz++++=EXTRAWORD
his ^pp$+pp3+++=his
father ^nn++++=father,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
bent ^vbd+++xvbn+=bent
his ^pp$+pp3+++=his
knee ^nn++++=knee
gracefully ^rb++++=gracefully
before ^in++++=before
His ^pp$+pp3+++=His
Majesty ^nn++++=Majesty,
, ^zz++++=EXTRAWORD
the ^ati++++=the
act ^nn++++=act
was ^vbd+bedz+vrb++=was
so ^ql+emph+++=so
courteous ^jj++++=courteous
and ^cc+phrs+++=and
dignified ^jj++++=dignified
it ^pp3+it+++=it
would ^md+prd+++=would
have ^vb+hv+aux++=have
honored ^vprf+++xvbnx+=honored
the ^ati++++=the
oldest ^jjt+atrb+++=oldest
noble ^jj+atrb+++=noble
man ^nn++++=man
of ^in++++=of
the ^ati++++=the
court ^nn++++=court.
. ^zz++++=EXTRAWORD
The ^ati++++=The
King ^nn++++=King
was ^vbd+bedz+aux++=was
delighted ^vpsv++agls+xvbnx+=delighted,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
for ^in++++=for
a ^at++++=a
time ^nn++++=time
sat ^vbd+++xvbn+=sat
silently ^rb++++=silently
regarding ^in++++=regarding
his ^pp$+pp3+++=his
son ^nn++++=son
and ^cc++++=and
noting ^vbg+vprv++xvbg+=noting
every ^at++++=every
detail ^nn++++=detail
of ^in++++=of
his ^pp$+pp3+++=his
appearance ^nn+nom+++=appearance,
, ^zz++++=EXTRAWORD
from ^in++++=from
the ^ati++++=the
dark ^jj+atrb+++=dark
velvet ^nn++++=velvet
suit ^nn++++=suit
with ^in++++=with
its ^pp$+it+++=its
dainty ^jj+atrb+++=dainty
ruffles ^nns+++??+=ruffles
and ^cc++++=and
collar ^nn++++=collar
to ^in++++=to
