Parable ^nn++++=PARABLE
The ^ati++++=THE
First ^rb++++=FIRST
A ^at++++=A
Weed ^nn++++=WEED
had ^vbd+hvd+aux++=had
spread ^vprf+++xvbnx+=spread
over ^in++++=over
a ^at++++=a
beautiful ^jj+atrb+++=beautiful
meadow ^nn++++=meadow.
. ^zz++++=EXTRAWORD
And ^cc+cls+++=And
in ^to++++=in
order ^vb++++=order
to ^to+vcmp+++=to
get ^vb++++=get
rid ^xvbn+++xvbn+=rid
of ^in++++=of
it ^pp3+it+++=it
the ^ati++++=the
tenants ^nns+nom+++=tenants
of ^in++++=of
the ^ati++++=the
meadow ^nn++++=meadow
mowed ^vbd+++xvbn+=mowed
it ^pp3+it+++=it,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
the ^ati++++=the
weed ^nn++++=weed
only ^ap+down+++=only
increased ^jj+++xvbn+=increased
in ^rb++++=in
consequence ^nn+nom+++=consequence.
. ^zz++++=EXTRAWORD
And ^cc+cls+++=And
now ^rn+tm+++=now
the ^ati++++=the
kind ^nn++++=kind,
, ^zz++++=EXTRAWORD
wise ^jj+atrb+++=wise
master ^nn++++=master
came ^vbd+++xvbn+=came
to ^to++++=to
visit ^vbi++++=visit
the ^ati++++=the
tenants ^nns+nom+++=tenants
of ^in++++=of
the ^ati++++=the
meadow ^nn++++=meadow,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
among ^in++++=among
the ^ati++++=the
other ^ap++++=other
good ^jj+atrb+++=good
counsels ^nns++++=counsels
which ^whp+rel+obj++=which
he ^pp3a+pp3+++=he
gave ^vbd+++xvbnx+=gave
them ^pp3o+pp3+++=them,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
told ^vbd+vpub++xvbnx+=told
them ^pp3o+pp3+++=them
they ^pp3a+pp3+++=they
ought ^md+nec+++=ought
not ^xnot++not++=not
to ^in++++=to
mow ^nn+++??+=mow
the ^ati++++=the
weed ^nn++++=weed,
, ^zz++++=EXTRAWORD
since ^cs+sub+++=since
that ^dt+dem+++=that
only ^ap+down+++=only
made ^vprf+++xvbn+=made
it ^pp3+it+++=it
grow ^vb++++=grow
the ^ati++++=the
more ^rbr++++=more
luxuriantly ^rb+cnj+++=luxuriantly,
, ^zz++++=EXTRAWORD
but ^cs+sub+++=but
that ^cs"++++=that
they ^pp3a+pp3+++=they
must ^md+nec+++=must
pull ^vb++++=pull
it ^pp3+it+++=it
up ^rp++++=up
by ^in++++=by
the ^ati++++=the
roots ^nns++++=roots.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
either ^dtx++++=either
because ^cs+cos+++=because
the ^ati++++=the
tenants ^nns+nom+++=tenants
of ^in++++=of
the ^ati++++=the
meadow ^nn++++=meadow
did ^vbd+dod+vrb++=did
not ^xnot++not++=not,
, ^zz++++=EXTRAWORD
amongst ^in++++=amongst
the ^ati++++=the
other ^ap++++=other
prescriptions ^nns+nom+++=prescriptions
of ^in++++=of
the ^ati++++=the
good ^jj+atrb+++=good
master ^nn++++=master,
, ^zz++++=EXTRAWORD
take ^vb++++=take
heed ^nn++++=heed
of ^in++++=of
his ^pp$+pp3+++=his
advice ^nn++++=advice
not ^xnot++not++=not
to ^in++++=to
mow ^nn+++??+=mow
down ^rp++++=down
the ^ati++++=the
weed ^nn++++=weed,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
to ^to++++=to
pull ^vbi++++=pull
it ^pp3+it+++=it
up ^rp++++=up,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
because ^cs+cos+++=because
they ^pp3a+pp3+++=they
did ^vbd+dod+aux++=did
not ^xnot++not++=not
understand ^vb+vprv+++=understand
him ^pp3o+pp3+++=him,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
because ^cs+cos+++=because,
, ^zz++++=EXTRAWORD
according ^in+cmpx+++=according
to ^in"++++=to
their ^pp$+pp3+++=their
calculations ^nns+nom+++=calculations,
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it
seemed ^vbd+seem++xvbn+=seemed
