As ^ql++++=As
she ^pp3a+pp3+++=she
lay ^vbd+++xvbnx+=lay
in ^in++++=in
her ^pp$+pp3+++=her
berth ^nn+++??+=berth,
, ^zz++++=EXTRAWORD
staring ^vbg+++xvbg+=staring
at ^rb++++=at
the ^ati++++=the
shadows ^nns++++=shadows
overhead ^jjb++++=overhead,
, ^zz++++=EXTRAWORD
the ^ati++++=the
rush ^nn++++=rush
of ^in++++=of
the ^ati++++=the
wheels ^nns++++=wheels
was ^vbd+bedz+vrb++=was
in ^in++++=in
her ^pp$+pp3+++=her
brain ^nn++++=brain,
, ^zz++++=EXTRAWORD
driving ^nvbg+++xvbg+=driving
her ^pp3o+pp3+++=her
deeper ^jjr++++=deeper
and ^cc+phrs+++=and
deeper ^jjr++++=deeper
into ^in++++=into
circles ^nns++++=circles
of ^in++++=of
wakeful ^jj+atrb+++=wakeful
lucidity ^nn+nom+++=lucidity.
. ^zz++++=EXTRAWORD
The ^ati++++=The
sleeping ^jj+++xvbg+=sleeping-car
- ^zz++++=EXTRAWORD
car ^nn++++=EXTRAWORD
had ^vbd+hvd+aux++=had
sunk ^vprf+++xvbnx+=sunk
into ^in++++=into
its ^pp$+it+++=its
night ^nn++++=night-silence.
- ^zz++++=EXTRAWORD
silence ^nn+nom+++=EXTRAWORD
. ^zz++++=EXTRAWORD
Through ^in++++=Through
the ^ati++++=the
wet ^jj+atrb+++=wet
window ^nn++++=window-pane
- ^zz++++=EXTRAWORD
pane ^nn+++??+=EXTRAWORD
she ^pp3a+pp3+++=she
watched ^vbd+++xvbnx+=watched
the ^ati++++=the
sudden ^jj+atrb+++=sudden
lights ^nns++++=lights,
, ^zz++++=EXTRAWORD
the ^ati++++=the
long ^nn++++=long
stretches ^vbz++++=stretches
of ^in++++=of
hurrying ^xvbg+++xvbg+=hurrying
blackness ^nns+nom+++=blackness.
. ^zz++++=EXTRAWORD
Now ^rn+dspt+++=Now
and ^cc+phrs+++=and
then ^rn+tm+++=then
she ^pp3a+pp3+++=she
turned ^vbd+++xvbnx+=turned
her ^pp$+pp3+++=her
head ^jjb++++=head
and ^cc+phrs+++=and
looked ^jj+++xvbn+=looked
through ^in++++=through
the ^ati++++=the
opening ^jj+++xvbg+=opening
in ^in++++=in
the ^ati++++=the
hangings ^nns++++=hangings
at ^rb++++=at
her ^pp3o+pp3+++=her
husband ^nn++++=husband's
's ^$++++=EXTRAWORD
curtains ^nns++++=curtains
across ^in+pl+++=across
the ^ati++++=the
aisle.. ^nn+++??+=aisle....
. ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
wondered ^vbd+vprv++xvbnx+=wondered
restlessly ^rb++++=restlessly
if ^cs+cnd+++=if
he ^pp3a+pp3+++=he
wanted ^vbd+++xvbnx+=wanted
anything ^pn++++=anything
and ^cc+cls+++=and
if ^cs+cnd+++=if
she ^pp3a+pp3+++=she
could ^md+pos+++=could
hear ^vb+vprv+++=hear
him ^pp3o+pp3+++=him
if ^cs+cnd+++=if
he ^pp3a+pp3+++=he
called ^vbd+++xvbnx+=called.
. ^zz++++=EXTRAWORD
His ^pp$+pp3+++=His
voice ^nn++++=voice
had ^vbd+hvd+aux++=had
grown ^vprf+++xvbnx+=grown
very ^ql+amp+++=very
weak ^jj++++=weak
within ^in++++=within
the ^ati++++=the
last ^jj+atrb+++=last
months ^nns++++=months
and ^cc++++=and
it ^pp3+it+++=it
irritated ^vbd+++xvbn+=irritated
him ^pp3o+pp3+++=him
when ^wrb+who+++=when
she ^pp3a+pp3+++=she
did ^vbd+dod+aux++=did
not ^xnot++not++=not
hear ^vb+vprv+++=hear.
. ^zz++++=EXTRAWORD
This ^dt+dem+++=This
irritability ^nn+nom+++=irritability,
, ^zz++++=EXTRAWORD
this ^dt+dem+++=this
increasing ^jj+atrb++xvbg+=increasing
childish ^jj+atrb+++=childish
petulance ^nn+nom+++=petulance
seemed ^vbd+seem++xvbn+=seemed
to ^to+vcmp+++=to
give ^vbi++++=give
expression ^nn++++=expression
to ^in++++=to
their ^pp$+pp3+++=their
imperceptible ^jj+atrb+++=imperceptible
estrangement ^nn+nom+++=estrangement.
. ^zz++++=EXTRAWORD
Like ^in++++=Like
two ^cd++++=two
faces ^nns++++=faces
looking ^vwbg+++xvbg+=looking
at ^rb++++=at
one ^cd1++++=one
another ^dt++++=another
through ^in++++=through
a ^at++++=a
sheet ^nn++++=sheet
of ^in++++=of
glass ^nn++++=glass
they ^pp3a+pp3+++=they
were ^vbd+bed+vrb++=were
close ^jj+pred+++=close
