Mr ^npt++++=Mr.
. ^zz++++=EXTRAWORD
Clarke ^np++++=Clarke
Randolph ^np++++=Randolph
was ^vbd+bedz+aux++=was
stupefied ^vpsv++by+xvbnx+=stupefied
by ^in++++=by
a ^at++++=a
discovery ^nn+nom+++=discovery
which ^whp+rel+obj++=which
he ^pp3a+pp3+++=he
had ^vb+hv+aux++=had
just ^rb+emph+splt++=just
made ^vprf+++xvbnx+=made--his
-- ^--+clp+++=EXTRAWORD
his ^pp$+pp3+++=EXTRAWORD
wife ^nn++++=wife
had ^vbd+hvd+aux++=had
proved ^vprf+++xvbnx+=proved
unfaithful ^jj++++=unfaithful,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
betrayer ^jjr++++=betrayer
was ^vbd+bedz+vrb++=was
his ^pp$+pp3+++=his
nearest ^jjt+atrb+++=nearest
friend ^nn++++=friend,
, ^zz++++=EXTRAWORD
Henry ^np++++=Henry
Stockton ^np+++??+=Stockton.
. ^zz++++=EXTRAWORD
If ^cs+cnd+++=If
there ^ex+pex+++=there
had ^vbd+hvd+aux++=had
been ^vprf+ben+vrb+xvbnx+=been
the ^ati++++=the
least ^rbt++++=least
chance ^nn++++=chance
for ^in++++=for
a ^at++++=a
doubt ^nn++++=doubt,
, ^zz++++=EXTRAWORD
the ^ati++++=the
unhappy ^jj+atrb+++=unhappy
husband ^nn++++=husband
would ^md+prd+++=would
have ^vb+hv+aux++=have
seized ^vprf+++xvbnx+=seized
upon ^in++++=upon
it ^pp3+it+++=it,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
there ^ex+pex+++=there
was ^vbd+bedz+vrb++=was
none ^pn++++=none
whatever ^nn+nom+++=whatever.
. ^zz++++=EXTRAWORD
Let ^j+++xvbn+=Let
us ^pp1o+pp1+++=us
try ^vb++++=try
to ^to+vcmp+++=to
understand ^vbi+vprv+++=understand
what ^wdt+who+whcl++=what
this ^dt+pdem+++=this
meant ^vbd+vprv++xvbn+=meant
to ^to+vcmp+++=to
such ^abl++++=such
a ^at++++=a
man ^nn++++=man
as ^ql++++=as
Randolph ^np++++=Randolph.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
was ^vbd+bedz+vrb++=was
a ^at++++=a
high ^jj++++=high-bred,
- ^zz++++=EXTRAWORD
bred ^vwbn+++xvbn+=EXTRAWORD
, ^zz++++=EXTRAWORD
high ^jj++++=high-spirited
- ^zz++++=EXTRAWORD
spirited ^jj+atrb+++=EXTRAWORD
man ^nn++++=man
of ^in++++=of
thirty ^cd++++=thirty,
, ^zz++++=EXTRAWORD
descended ^j+++xvbn+=descended
from ^in++++=from
a ^at++++=a
long ^jj+atrb+++=long
line ^nn++++=line
of ^in++++=of
proud ^jj+atrb+++=proud
and ^cc+phrs+++=and
chivalrous ^jj+atrb+++=chivalrous
men ^nns++++=men;
; ^zz++++=EXTRAWORD
educated ^j+++xvbn+=educated,
, ^zz++++=EXTRAWORD
refined ^j+++xvbn+=refined,
, ^zz++++=EXTRAWORD
sensitive ^jj++++=sensitive,
, ^zz++++=EXTRAWORD
generous ^jj++++=generous,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
brave ^jj++++=brave.
. ^zz++++=EXTRAWORD
His ^pp$+pp3+++=His
fine ^jj+atrb+++=fine
talents ^nns++++=talents,
, ^zz++++=EXTRAWORD
his ^pp$+pp3+++=his
dash ^nn++++=dash,
, ^zz++++=EXTRAWORD
his ^pp$+pp3+++=his
polished ^jj+atrb+++=polished
manner ^nn++++=manner,
, ^zz++++=EXTRAWORD
his ^pp$+pp3+++=his
industry ^nn++++=industry,
, ^zz++++=EXTRAWORD
his ^pp$+pp3+++=his
integrity ^nn+nom+++=integrity,
, ^zz++++=EXTRAWORD
his ^pp$+pp3+++=his
loftiness ^nns+nom+++=loftiness
of ^in++++=of
character ^nn+nom+++=character,
, ^zz++++=EXTRAWORD
had ^vbd+hvd+aux++=had
lifted ^vprf+++xvbnx+=lifted
him ^pp3o+pp3+++=him
upon ^in++++=upon
the ^ati++++=the
shoulders ^nns+nom+++=shoulders
of ^in++++=of
popularity ^nn+nom+++=popularity
and ^cc++++=and
prosperity ^nn+nom+++=prosperity;
; ^zz++++=EXTRAWORD
so ^ql++++=so
that ^dt+pdem+++=that,
, ^zz++++=EXTRAWORD
in ^in++++=in
the ^ati++++=the
city ^nn++++=city
of ^in++++=of
his ^pp$+pp3+++=his
home ^nr++++=home,
, ^zz++++=EXTRAWORD
there ^ex+pex+++=there
was ^vbd+bedz+vrb++=was
not ^xnot++not++=not
another ^dt++++=another
man ^nn++++=man
of ^in++++=of
his ^pp$+pp3+++=his
age ^nn++++=age,
, ^zz++++=EXTRAWORD
a ^at++++=a
member ^nn++++=member
of ^in++++=of
his ^pp$+pp3+++=his
profession ^nn++++=profession,
, ^zz++++=EXTRAWORD
the ^ati++++=the
law ^nn++++=law,
, ^zz++++=EXTRAWORD
who ^whp+rel+subj++=who
was ^vbd+bedz+vrb++=was
so ^ql++++=so
well ^rb++++=well
known ^vbd+vprv++xvbn+=known,
, ^zz++++=EXTRAWORD
so ^ql++++=so
well ^rb++++=well
liked ^vbd+++xvbn+=liked,
, ^zz++++=EXTRAWORD
