A ^at++++=A
Time ^nn++++=TIME
ago ^rb+cnj+++=ago,
, ^zz++++=EXTRAWORD
no ^at++++=no
matter ^nn++++=matter
how ^wrb+who+++=how
long ^rb++++=long
precisely ^rb+cnj+++=precisely,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I,
, ^zz++++=EXTRAWORD
an ^at++++=an
old ^jj+atrb+++=old
man ^nn++++=man,
, ^zz++++=EXTRAWORD
removed ^xvbn+++xvbn+=removed
from ^in++++=from
the ^ati++++=the
country ^nn++++=country
to ^in++++=to
the ^ati++++=the
city ^nn++++=city,
, ^zz++++=EXTRAWORD
having ^xvbg+++xvbg+=having
become ^vprf+++xvbn+=become
unexpected ^jj+atrb+++=unexpected
heir ^nn++++=heir
to ^in++++=to
a ^at++++=a
great ^jj+atrb+++=great
old ^jj+atrb+++=old
house ^nn++++=house
in ^in++++=in
a ^at++++=a
narrow ^jj+atrb+++=narrow
street ^nn++++=street
of ^in++++=of
one ^pn++++=one
of ^in++++=of
the ^ati++++=the
lower ^jjr+atrb+++=lower
wards ^nns++++=wards,
, ^zz++++=EXTRAWORD
once ^rb+tm+++=once
the ^ati++++=the
haunt ^nn++++=haunt
of ^in++++=of
style ^nn++++=style
and ^cc++++=and
fashion ^nn++++=fashion,
, ^zz++++=EXTRAWORD
full ^jj++++=full
of ^in++++=of
gay ^jj+atrb+++=gay
parlors ^nns++++=parlors
and ^cc++++=and
bridal ^jj+atrb+++=bridal
chambers ^nns+nom+++=chambers,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
now ^rn+tm+++=now,
, ^zz++++=EXTRAWORD
for ^in++++=for
the ^ati++++=the
most ^ap+emph+++=most
part ^nn++++=part,
, ^zz++++=EXTRAWORD
transformed ^xvbn+++xvbn+=transformed
into ^in++++=into
counting ^xvbg+++xvbg+=counting-rooms
- ^zz++++=EXTRAWORD
rooms ^nns++++=EXTRAWORD
and ^cc++++=and
warehouses ^nns++++=warehouses.
. ^zz++++=EXTRAWORD
There ^rn+pl+++=There
bales ^nns++++=bales
and ^cc++++=and
boxes ^nns++++=boxes
usurp ^nn+++??+=usurp
the ^ati++++=the
place ^nn++++=place
of ^in++++=of
sofas ^nns+++??+=sofas
; ^zz++++=;
daybooks ^nns+++??+=daybooks
and ^cc++++=and
ledgers ^nns+nom+++=ledgers
are ^vb+ber+aux++=are
spread ^vpsv++agls+xvbnx+=spread
where ^wrb+who+++=where
once ^rb+tm+++=once
the ^ati++++=the
delicious ^jj+atrb+++=delicious
breakfast ^nn++++=breakfast
toast ^nn++++=toast
was ^vbd+bedz+vrb++=was
buttered ^jj+pred+++=buttered.
. ^zz++++=EXTRAWORD
In ^in++++=In
those ^dt+dem+++=those
old ^jj+atrb+++=old
wards ^nns++++=wards
the ^ati++++=the
glorious ^jj++++=glorious
old ^jj++++=old
soft ^jj++++=soft-warfle
- ^zz++++=EXTRAWORD
warfle ^nn+++??+=EXTRAWORD
days ^nns++++=days
are ^vb+ber+vrb++=are
over ^in+strn+++=over.
. ^zz++++=EXTRAWORD
Nevertheless ^rb+cnj+++=Nevertheless,
, ^zz++++=EXTRAWORD
in ^in++++=in
this ^dt+dem+++=this
old ^jj+atrb+++=old
house ^nn++++=house
of ^in++++=of
mine ^nn++++=mine,
, ^zz++++=EXTRAWORD
so ^ql++++=so
strangely ^rb++++=strangely
