I ^pp1a+pp1+++=I.
. ^zz++++=EXTRAWORD
The ^ati++++=THE
Bear ^nn++++=BEAR
Wheat ^nn++++=WHEAT
At ^in++++=AT
Sixty ^cd++++=SIXTY-TWO
- ^zz++++=EXTRAWORD
two ^cd++++=EXTRAWORD
As ^in++++=As
Sam ^nn++++=Sam
Lewiston ^np+++??+=Lewiston
backed ^vbd+++xvbn+=backed
the ^ati++++=the
horse ^nn++++=horse
into ^in++++=into
the ^ati++++=the
shafts ^nns++++=shafts
of ^in++++=of
his ^pp$+pp3+++=his
backboard ^nn+++??+=backboard
and ^cc++++=and
began ^vbd+++xvbn+=began
hitching ^nn++++=hitching
the ^ati++++=the
tugs ^nns+++??+=tugs
to ^in++++=to
the ^ati++++=the
whiffletree ^nn+nom+++=whiffletree,
, ^zz++++=EXTRAWORD
his ^pp$+pp3+++=his
wife ^nn++++=wife
came ^vbd+++xvbn+=came
out ^rp+pl+++=out
from ^in++++=from
the ^ati++++=the
kitchen ^nn++++=kitchen
door ^nn++++=door
of ^in++++=of
the ^ati++++=the
house ^nn++++=house
and ^cc++++=and
drew ^vpsv++agls+xvbn+=drew
near ^in+strn+++=near,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
stood ^vpsv++agls+xvbn+=stood
for ^in+ppvb+++=for
some ^dti++++=some
time ^nn++++=time
at ^in++++=at
the ^ati++++=the
horse ^nn++++=horse's
's ^$++++=EXTRAWORD
head ^nn++++=head,
, ^zz++++=EXTRAWORD
her ^pp$+pp3+++=her
arms ^nns++++=arms
folded ^vbd+++xvbn+=folded
and ^cc++++=and
her ^pp$+pp3+++=her
apron ^nn++++=apron
rolled ^vbd+++xvbn+=rolled
around ^rp++++=around
them ^pp3o+pp3+++=them.
. ^zz++++=EXTRAWORD
For ^in++++=For
a ^at++++=a
long ^jj+atrb+++=long
moment ^nn++++=moment
neither ^rb++neg++=neither
spoke ^vbd+++xvbn+=spoke.
. ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They
had ^vbd+hvd+aux++=had
talked ^vprf+++xvbnx+=talked
over ^rb+phrv+++=over
the ^ati++++=the
situation ^nn+nom+++=situation
so ^ql++++=so
long ^rb++++=long
and ^cc++++=and
so ^ql+emph+++=so
comprehensively ^jj++++=comprehensively
the ^ati++++=the
night ^nn++++=night
before ^cs+sub+++=before
that ^dt+dem+++=that
there ^ex+pex+++=there
seemed ^vprf+++xvbn+=seemed
to ^to+vcmp+++=to
be ^vbi++vrb++=be
nothing ^pn++++=nothing
more ^ql++++=more
to ^to++++=to
say ^vbi+vpub+++=say.
. ^zz++++=EXTRAWORD
The ^ati++++=The
time ^nn++++=time
was ^vbd+bedz+vrb++=was
late ^jj+pred+++=late
in ^in++++=in
the ^ati++++=the
summer ^nn++++=summer,
, ^zz++++=EXTRAWORD
the ^ati++++=the
place ^nn++++=place
a ^at++++=a
ranch ^nn++++=ranch
in ^in++++=in
southwestern ^jj+++xvbn+=southwestern
Kansas ^np++++=Kansas,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
Lewiston ^np+++??+=Lewiston
and ^cc++++=and
his ^pp$+pp3+++=his
wife ^nn++++=wife
were ^vbd+bed+vrb++=were
two ^cd++++=two
of ^in++++=of
a ^at++++=a
vast ^jj+atrb+++=vast
population ^nn+nom+++=population
of ^in++++=of
farmers ^nns+nom+++=farmers,
, ^zz++++=EXTRAWORD
wheat ^nn++++=wheat
growers ^nns+nom+++=growers,
, ^zz++++=EXTRAWORD
who ^whp+rel+obj++=who
