Hit ^vbd+++xvbn+=Hit
a ^at++++=a
man ^nn++++=man
and ^cc++++0=an'
help ^vb++++=help
a ^at++++=a
woman ^nn++++=woman,
, ^zz++++=EXTRAWORD
and ^cc+cls+++0=an'
ye ^pp2+pp2+++=ye
can ^md+pos+++=can't
n't ^xnot++not++0=EXTRAWORD
be ^vb+be+vrb++=be
far ^rb+pl+++=far
wrong ^jj+atrb+++=wrong
anyways. ^nn+++??+=anyways.--_Maxims
-- ^--+clp+++=EXTRAWORD
_maxims ^nns+++??+=EXTRAWORD
of ^in++++=of
Private ^jj+atrb+++=Private
Mulvaney._ ^np+++??+=Mulvaney._
The ^ati++++=The
Inexpressibles ^np+++??+=Inexpressibles
gave ^vbd+++xvbn+=gave
a ^at++++=a
ball ^nn++++=ball.
. ^zz++++=EXTRAWORD
They ^pp3a+pp3+++=They
borrowed ^vbd+++xvbnx+=borrowed
a ^at++++=a
seven ^cd++++=seven-pounder
- ^zz++++=EXTRAWORD
pounder ^jjr++++=EXTRAWORD
from ^in++++=from
the ^ati++++=the
Gunners ^nns+nom+++=Gunners,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
wreathed ^xvbn+++xvbn+=wreathed
it ^pp3+it+++=it
with ^in++++=with
laurels ^nns++++=laurels,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
made ^vbd+++xvbn+=made
the ^ati++++=the
dancing ^jj+++xvbg+=dancing-floor
- ^zz++++=EXTRAWORD
floor ^nn++++=EXTRAWORD
plate ^nn++++=plate-glass
- ^zz++++=EXTRAWORD
glass ^nn++++=EXTRAWORD
and ^cc++++=and
provided ^xvbn+++xvbn+=provided
a ^at++++=a
supper ^nn++++=supper,
, ^zz++++=EXTRAWORD
the ^ati++++=the
like ^in++++=like
of ^in++++=of
which ^whp+rel+pied++=which
had ^vb+hv+aux++=had
never ^rb++splt++=never
been ^vprf+ben+aux+xvbnx+=been
eaten ^vpsv++agls+xvbnx+=eaten
before ^in+strn+++=before,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
set ^nn+++xvbn+=set
two ^cd++++=two
sentries ^nns++++=sentries
at ^in++++=at
the ^ati++++=the
door ^nn++++=door
of ^in++++=of
the ^ati++++=the
room ^nn++++=room
to ^to++++=to
hold ^vbi+vprv+++=hold
the ^ati++++=the
trays ^nns++++=trays
of ^in++++=of
programme ^nn++++=programme-cards.
- ^zz++++=EXTRAWORD
cards ^nns++++=EXTRAWORD
. ^zz++++=EXTRAWORD
My ^pp$+pp1+++=My
friend ^nn++++=friend,
, ^zz++++=EXTRAWORD
