( ^zz++++=(1854)SKETCH
1854)sketch ^cd++++=EXTRAWORD
First.the ^np+++??+=FIRST.THE
Isles ^npls++++=ISLES
At ^rb++++=AT
Large ^rb"++++=LARGE.
. ^zz++++=EXTRAWORD
-- ^--+clp+++=--"That
" ^zz++++=EXTRAWORD
that ^dt+dem+++=EXTRAWORD
may ^md+pos+++=may
not ^xnot++not++=not
be ^vb+be+vrb++=be,
, ^zz++++=EXTRAWORD
said ^j+++xvbn+=said
then ^rn+tm+++=then
the ^ati++++=the
ferryman ^nn+nom+++=ferryman,
, ^zz++++=EXTRAWORD
Least ^ql++++=Least
we ^pp1a+pp1+++=we
unweeting ^jj+atrb++xvbg+=unweeting
hap ^nn+++??+=hap
to ^to++++=to
be ^vbi++vrb++=be
fordonne ^nn+++??+=fordonne;
; ^zz++++=EXTRAWORD
For ^in++++=For
those ^dt+dem+++=those
same ^ap++++=same
islands ^nns++++=islands
seeming ^vwbg+seem++xvbg+=seeming
now ^rn+tm+++=now
and ^cc++++=and
than ^in+strn+++=than,
, ^zz++++=EXTRAWORD
Are ^vb+ber+vrb++=Are
not ^xnot++not++=not
firme ^jj+atrb++??+=firme
land ^nn++++=land,
, ^zz++++=EXTRAWORD
nor ^cc+cls+neg++=nor
any ^dti++++=any
certein ^nn+++??+=certein
wonne ^nn+++??+=wonne,
, ^zz++++=EXTRAWORD
But ^cc+cls+++=But
stragling ^nn+nom+++=stragling
plots ^nns++++=plots
which ^whp+rel+obj++=which
to ^to++++=to
and ^cc++++=and
fro ^rb++++=fro
do ^vb+do+vrb++=do
ronne ^nn+++??+=ronne
In ^in++++=In
the ^ati++++=the
wide ^jj+atrb+++=wide
waters ^nns++++=waters;
; ^zz++++=EXTRAWORD
therefore ^rb+cnj+++=therefore
are ^vb+ber+aux++=are
they ^pp3a+pp3+++=they
hight ^vb+++??+=hight
The ^ati++++=The
Wandering ^jj+++xvbg+=Wandering
Islands ^npl++++=Islands;
; ^zz++++=EXTRAWORD
therefore ^rb+cnj+++=therefore
do ^vb+do+vrb++=do
them ^pp3o+pp3+++=them
shonne ^nn+++??+=shonne;
; ^zz++++=EXTRAWORD
For ^in++++=For
they ^pp3a+pp3+++=they
have ^vb+hv+vrb++=have
oft ^rb++++=oft
drawne ^jj+++??+=drawne
many ^ap++++=many
a ^at++++=a
wandring ^jj+++xvbg+=wandring
wight ^np++++=wight
Into ^in++++=Into
most ^ql+emph+++=most
deadly ^rb++++=deadly
daunger ^jjr+atrb+++=daunger
and ^cc+phrs+++=and
distressed ^jj+atrb++xvbn+=distressed
plight ^nn++++=plight;
; ^zz++++=EXTRAWORD
For ^in++++=For
whosoever ^nn+nom+++=whosoever
once ^rb+tm+++=once
hath ^vbz+hvz+aux++=hath
fastened ^vprf+++xvbnx+=fastened
His ^pp$+pp3+++=His
foot ^nn++++=foot
thereon ^rb++++=thereon
may ^md+pos+++=may
never ^rb++++=never
it ^pp3+it+++=it
secure ^jj++++=secure
But ^cc++++=But
wandreth ^vbz++++=wandreth
evermore ^nn+++??+=evermore
uncertein ^nn+++??+=uncertein
and ^cc++++=and
unsure ^jj++++=unsure."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
* ^zz++++=*
* ^zz++++=*
* ^zz++++=*
* ^zz++++=*
* ^zz++++=*
" ^zz++++="Darke,
darke ^nn+++??+=EXTRAWORD
, ^zz++++=EXTRAWORD
dolefull ^nn+++??+=dolefull,
, ^zz++++=EXTRAWORD
dreary ^jj++++=dreary,
, ^zz++++=EXTRAWORD
like ^in++++=like
a ^at++++=a
greedy ^jj+atrb+++=greedy
grave ^nn++++=grave,
, ^zz++++=EXTRAWORD
That ^dt+dem+++=That
still ^rb++++=still
for ^in++++=for
carrion ^nn+++??+=carrion
carcasses ^nns++++=carcasses
doth ^vbz+doz+aux++=doth
crave ^vb++++=crave;
; ^zz++++=EXTRAWORD
On ^in++++=On
top ^jjb++++=top
whereof ^wrb+who+++=whereof
ay ^uh++++=ay
dwelt ^vbd+++xvbn+=dwelt
the ^ati++++=the
ghastly ^jj+atrb+++=ghastly
owl ^nn++++=owl,
, ^zz++++=EXTRAWORD
Shrieking ^vbg+++xvbg+=Shrieking
his ^pp$+pp3+++=his
balefull ^nn+++??+=balefull
note ^nn++++=note,
, ^zz++++=EXTRAWORD
which ^whp+rel+obj++=which
ever ^rb++++=ever
drave ^nn+++??+=drave
Far ^rb+pl+++=Far
from ^rb"++++=from
that ^cs+sub+++=that
haunt ^nn++++=haunt
