On ^in++++=On
the ^ati++++=the
four ^cd++++=four
lira ^nn+++??+=lira
he ^pp3a+pp3+++=he
had ^vbd+hvd+aux++=had
earned ^vprf+++xvbnx+=earned
by ^in++++=by
spading ^xvbg+++xvbg+=spading
the ^ati++++=the
hotel ^npl++++=hotel
garden ^nn++++=garden
he ^pp3a+pp3+++=he
got ^vbd+++xvbnx+=got
quite ^rb++++=quite
drunk ^vprf+++xvbn+=drunk.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
saw ^vbd+vprv++xvbnx+=saw
the ^ati++++=the
young ^jj+atrb+++=young
gentleman ^nn+nom+++=gentleman
coming ^vwbg+++xvbg+=coming
down ^rp++++=down
the ^ati++++=the
path ^nn++++=path
and ^cc++++=and
spoke ^vpsv++agls+xvbn+=spoke
to ^in++++=to
him ^pp3o+pp3+++=him
mysteriously ^rb++++=mysteriously.
. ^zz++++=EXTRAWORD
The ^ati++++=The
young ^jj+atrb+++=young
gentleman ^nn+nom+++=gentleman
said ^vbd+vpub+tht0+xvbn+=said
he ^pp3a+pp3+++=he
had ^vb+hv+aux++=had
not ^xnot++not++=not
eaten ^vbd+++xvbn+=eaten
but ^cc++++=but
would ^md+prd+++=would
be ^vb+be+vrb++=be
ready ^jj+pred+++=ready
to ^to+jcmp+++=to
go ^vbi++++=go
as ^ql++++=as
soon ^rb+tm+++=soon
as ^ql++++=as
lunch ^vb++++=lunch
was ^vbd+bedz+aux++=was
finished ^vpsv++agls+xvbnx+=finished.
. ^zz++++=EXTRAWORD
Forty ^cd++++=Forty
minutes ^nns++++=minutes
or ^cc++++=or
an ^at++++=an
hour ^nn++++=hour.
. ^zz++++=EXTRAWORD
At ^rb++++=At
the ^ati++++=the
cantina ^nn+++??+=cantina
near ^in+pl+++=near
the ^ati++++=the
bridge ^nn++++=bridge
they ^pp3a+pp3+++=they
trusted ^vbd+++xvbnx+=trusted
him ^pp3o+pp3+++=him
for ^in++++=for
three ^cd++++=three
more ^ql++++=more
grappas ^nns+++??+=grappas
because ^cs+cos+++=because
he ^pp3a+pp3+++=he
was ^vbd+bedz+vrb++=was
so ^ql+emph+++=so
confident ^jj++++=confident
and ^cc+phrs+++=and
mysterious ^jj++++=mysterious
about ^in++++=about
