One ^pn++++=One
of ^in++++=of
our ^pp$+pp1+++=our
most ^ap+emph+++=most
favorite ^jj+atrb+++=favorite
legendary ^jj+atrb+++=legendary
resorts ^nns++++=resorts
was ^vbd+bedz+vrb++=was
the ^ati++++=the
old ^jj+atrb+++=old
barn ^nn++++=barn.
. ^zz++++=EXTRAWORD
Sam ^nn++++=Sam
Lawson ^np++++=Lawson
preferred ^vbd+++xvbn+=preferred
it ^pp3+it+++=it
on ^in++++=on
many ^ap++++=many
accounts ^nns++++=accounts.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
was ^vbd+bedz+vrb++=was
quiet ^nn++++=quiet
and ^cc++++=and
retired ^jj+++xvbn+=retired,
, ^zz++++=EXTRAWORD
that ^dt+pdem+++=that
is ^vbz+bez+aux++=is
to ^to++++=to
say ^vbi+vpub+++=say,
, ^zz++++=EXTRAWORD
at ^rb++++=at
such ^abl++++=such
distance ^nn+nom+++=distance
from ^in++++=from
his ^pp$+pp3+++=his
own ^ap++++=own
house ^nn++++=house,
, ^zz++++=EXTRAWORD
that ^tht+vcmp+++=that
he ^pp3a+pp3+++=he
could ^md+pos+++=could
not ^xnot++not++=not
hear ^vb+vprv+++=hear
if ^cs+cnd+++=if
Hepsy ^np+++??+=Hepsy
called ^vbd+++xvbn+=called
ever ^rb++++=ever
so ^rb++++=so
loudly ^rb+cnj+++=loudly,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
farther ^rbr++++=farther
off ^in+pl+++=off
than ^in++++=than
it ^pp3+it+++=it
would ^md+prd+++=would
be ^vb+be+vrb++=be
convenient ^jj+pred+++=convenient
for ^in++++=for
that ^dt+dem+++=that
industrious ^jj+atrb+++=industrious
and ^cc+phrs+++=and
painstaking ^jj+atrb+++=painstaking
woman ^nn++++=woman
to ^to++++=to
follow ^vbi+vprv+++=follow
him ^pp3o+pp3+++=him.
. ^zz++++=EXTRAWORD
Then ^rn+tm+++=Then
there ^ex+pex+++=there
was ^vbd+bedz+vrb++=was
the ^ati++++=the
soft ^jj+atrb+++=soft
fragrant ^jj+atrb+++=fragrant
cushion ^nn++++=cushion
of ^in++++=of
hay ^nn++++=hay,
, ^zz++++=EXTRAWORD
on ^in++++=on
which ^whp+rel+pied++=which
his ^pp$+pp3+++=his
length ^nn++++=length
of ^in++++=of
limb ^nn++++=limb
could ^md+pos+++=could
be ^vb+be+aux++=be
easily ^rb++splt++=easily
bestowed ^vpsv++agls+xvbnx+=bestowed.
. ^zz++++=EXTRAWORD
Our ^pp$+pp1+++=Our
barn ^nn++++=barn
had ^vb+hv+vrb++=had
an ^at++++=an
upper ^jjb+atrb+++=upper
loft ^nn++++=loft
with ^in++++=with
a ^at++++=a
swinging ^jj+atrb++xvbg+=swinging
outer ^jjb+atrb+++=outer
door ^nn++++=door
that ^tht+rel+subj++=that
commanded ^vprf+++xvbn+=commanded
a ^at++++=a
view ^nn++++=view
of ^in++++=of
the ^ati++++=the
old ^jj+atrb+++=old
mill ^nn++++=mill,
, ^zz++++=EXTRAWORD
the ^ati++++=the
waterfall ^nn++++=waterfall,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
distant ^jj+atrb+++=distant
windings ^nns+++??+=windings
of ^in++++=of
the ^ati++++=the
river ^nn++++=river,
, ^zz++++=EXTRAWORD
with ^in++++=with
its ^pp$+it+++=its
grassy ^jj+atrb+++=grassy
green ^nn++++=green
banks ^nns++++=banks,
, ^zz++++=EXTRAWORD
its ^pp$+it+++=its
graceful ^jj+atrb+++=graceful
elm ^nn++++=elm
draperies ^nns+nom+++=draperies,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
its ^pp$+it+++=its
white ^jj+atrb+++=white
flocks ^nns++++=flocks
of ^in++++=of
water ^nn++++=water-lilies;
- ^zz++++=EXTRAWORD
lilies ^nns++++=EXTRAWORD
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
then ^rn+tm+++=then
on ^in++++=on
this ^dt+dem+++=this
Saturday ^nr++++=Saturday
afternoon ^nn++++=afternoon
we ^pp1a+pp1+++=we
had ^vb+hv+vrb++=had
Sam ^nn++++=Sam
all ^abn++++=all
to ^in++++=to
ourselves ^ppls+pp1+++=ourselves.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
was ^vbd+bedz+vrb++=was
a ^at++++=a
drowsy ^jj+atrb+++=drowsy,
, ^zz++++=EXTRAWORD
dreamy ^jj+atrb+++=dreamy
October ^nr++++=October
day ^nn++++=day,
, ^zz++++=EXTRAWORD
when ^wrb+who+++=when
the ^ati++++=the
hens ^nns++++=hens
were ^vbd+bed+vrb++=were
lazily ^rb++++=lazily
" ^zz++++="craw,
craw ^nn+++??+=EXTRAWORD
, ^zz++++=EXTRAWORD
crawing ^jj+++xvbg+=crawing,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
in ^in++++=in
a ^at++++=a
soft ^jj+atrb+++=soft,
, ^zz++++=EXTRAWORD
conversational ^jj+atrb+++=conversational
undertone ^np++++=undertone
with ^in++++=with
each ^dt++++=each
other ^ap++++=other,
, ^zz++++=EXTRAWORD
as ^ql++++=as
they ^pp3a+pp3+++=they
scratched ^vbd+++xvbnx+=scratched
and ^cc+phrs+++=and
picked ^vbd+++xvbn+=picked
the ^ati++++=the
hay ^nn++++=hay-seed
- ^zz++++=EXTRAWORD
seed ^nn++++=EXTRAWORD
under ^in++++=under
the ^ati++++=the
barn ^nn++++=barn
windows ^nns++++=windows.
. ^zz++++=EXTRAWORD
Below ^rb++++=Below
in ^in++++=in
the ^ati++++=the
barn ^nn++++=barn
black ^jj+atrb+++=black
Caesar ^np++++=Caesar
sat ^vbd+++xvbn+=sat
quietly ^rb++++=quietly
hatchelling ^nn+nom+++=hatchelling
flax ^nn+++??+=flax,
, ^zz++++=EXTRAWORD
sometimes ^rb++++=sometimes
gurgling ^nn+nom+++=gurgling
and ^cc++++=and
giggling ^nvbg+++xvbg+=giggling
to ^in++++=to
himself ^ppl+pp3+++=himself
with ^in++++=with
an ^at++++=an
overflow ^nn++++=overflow
of ^in++++=of
that ^dt+dem+++=that
interior ^jj+atrb+++=interior
jollity ^nn+nom+++=jollity
with ^in++++=with
which ^whp+rel+pied++=which
he ^pp3a+pp3+++=he
seemed ^vbd+seem++xvbnx+=seemed
to ^to+vcmp+++=to
be ^vbi++vrb++=be
always ^rb++++=always
full ^jj+pred+++=full.
. ^zz++++=EXTRAWORD
The ^ati++++=The
African ^nn++++=African
in ^in++++=in
New ^jj+atrb+++=New
England ^np++++=England
was ^vbd+bedz+vrb++=was
a ^at++++=a
curious ^jj+atrb+++=curious
contrast ^nn++++=contrast
to ^in++++=to
everybody ^pn++++=everybody
around ^rp++++=around
him ^pp3o+pp3+++=him
in ^in++++=in
the ^ati++++=the
joy ^nn++++=joy
and ^cc++++=and
satisfaction ^nn+nom+++=satisfaction
that ^tht+rel+obj++=that
he ^pp3a+pp3+++=he
seemed ^vbd+seem++xvbnx+=seemed
to ^to+vcmp+++=to
feel ^vbi+vprv+++=feel
in ^in++++=in
the ^ati++++=the
mere ^jjb+atrb+++=mere
fact ^nn++++=fact
of ^in++++=of
being ^xvbg+++xvbg+=being
alive ^jj++++=alive.
. ^zz++++=EXTRAWORD
Every ^at++++=Every
white ^jj+atrb+++=white
person ^nn++++=person
was ^vbd+bedz+vrb++=was
glad ^jj+pred+++=glad
