Slowly ^rb+cnj+++=Slowly,
, ^zz++++=EXTRAWORD
one ^pn++++=one
by ^in++++=by
one ^pn++++=one,
, ^zz++++=EXTRAWORD
the ^ati++++=the
lights ^nns++++=lights
in ^in++++=in
the ^ati++++=the
French ^jj+atrb+++=French
Opera ^nn++++=Opera
go ^vb++++=go
out ^rp+pl+++=out,
, ^zz++++=EXTRAWORD
until ^cs+sub+++=until
there ^ex+pex+++=there
is ^vbz+bez+vrb++=is
but ^cc++++=but
a ^at++++=a
single ^jj+atrb+++=single
glimmer ^nn++++=glimmer
of ^in++++=of
pale ^nn++++=pale
yellow ^jj++++=yellow
flickering ^jj++++=flickering
in ^in++++=in
the ^ati++++=the
great ^jj+atrb+++=great
dark ^jj+atrb+++=dark
space ^nn++++=space,
, ^zz++++=EXTRAWORD
a ^ap++++=a
few ^ap"++++=few
moments ^nns+nom+++=moments
ago ^rb++++=ago
all ^rb++++=all
a ^at++++=a-glitter
- ^zz++++=EXTRAWORD
glitter ^nn++++=EXTRAWORD
with ^in++++=with
jewels ^nns++++=jewels
and ^cc++++=and
the ^ati++++=the
radiance ^nn+nom+++=radiance
of ^in++++=of
womanhood ^nn+nom+++=womanhood
and ^cc++++=and
a ^at++++=a-clash
- ^zz++++=EXTRAWORD
clash ^nn++++=EXTRAWORD
with ^in++++=with
music ^nn++++=music.
. ^zz++++=EXTRAWORD
Darkness ^nns+nom+++=Darkness
now ^rn+tm+++=now,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
silence ^nn+nom+++=silence,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
a ^at++++=a
great ^nn++++=great
haunted ^vbd+++xvbn+=haunted
hush ^vb++++=hush
over ^in++++=over
all ^abn++++=all,
, ^zz++++=EXTRAWORD
save ^vb++++=save
for ^in++++=for
the ^ati++++=the
distant ^jj+atrb+++=distant
cheery ^jj+atrb+++=cheery
voice ^nn++++=voice
of ^in++++=of
a ^at++++=a
stage ^nn++++=stage
hand ^nn++++=hand
humming ^vwbg+++xvbg+=humming
a ^at++++=a
bar ^nn++++=bar
of ^in++++=of
the ^ati++++=the
opera ^nn++++=opera.
. ^zz++++=EXTRAWORD
The ^ati++++=The
glimmer ^nn++++=glimmer
of ^in++++=of
gas ^nn++++=gas
makes ^vbz++++=makes
a ^at++++=a
halo ^nn++++=halo
about ^in++++=about
the ^ati++++=the
bowed ^jj+++xvbn+=bowed
white ^jj++++=white
head ^jjb++++=head
of ^in++++=of
a ^rb++++=a
little ^rb"++++=little
old ^jj+atrb+++=old
man ^nn++++=man
putting ^vwbg+++xvbg+=putting
his ^pp$+pp3+++=his
violin ^nn++++=violin
carefully ^rb++++=carefully
away ^rp+pl+++=away
in ^in++++=in
its ^pp$+it+++=its
case ^nn++++=case
with ^in++++=with
aged ^jj++++=aged,
, ^zz++++=EXTRAWORD
trembling ^jj+atrb++xvbg+=trembling,
, ^zz++++=EXTRAWORD
nervous ^jj+atrb+++=nervous
fingers ^nns+nom+++=fingers.
. ^zz++++=EXTRAWORD
Old ^jj++++=Old
My ^pp$+pp1+++0=M'sieu
sieu ^nn+++??+=EXTRAWORD
Fortier ^np+++??+=Fortier
was ^vbd+bedz+vrb++=was
the ^ati++++=the
last ^ap++++=last
one ^cd1++++=one
out ^rp+pl+++=out
every ^at++++=every
night ^nn++++=night.
. ^zz++++=EXTRAWORD
Outside ^jjb++++=Outside
the ^ati++++=the
air ^nn++++=air
was ^vbd+bedz+vrb++=was
murky ^jj+pred+++=murky,
, ^zz++++=EXTRAWORD
foggy ^nn+++??+=foggy.
. ^zz++++=EXTRAWORD
Gas ^nn++++=Gas
and ^cc++++=and
electricity ^nn+nom+++=electricity
were ^vbd+bed+vrb++=were
but ^cc++++=but
faint ^jj+atrb+++=faint
splotches ^nns+++??+=splotches
of ^in++++=of
light ^nn++++=light
on ^in++++=on
the ^ati++++=the
thick ^jj+atrb+++=thick
curtain ^nn++++=curtain
of ^in++++=of
fog ^nn++++=fog
and ^cc++++=and
mist ^nn++++=mist.
. ^zz++++=EXTRAWORD
Around ^rp++++=Around
the ^ati++++=the
opera ^nn++++=opera
was ^vbd+bedz+vrb++=was
a ^at++++=a
mighty ^jj+atrb+++=mighty
bustle ^nn++++=bustle
of ^in++++=of
carriages ^nns+nom+++=carriages
and ^cc++++=and
drivers ^nns+nom+++=drivers
and ^cc++++=and
footmen ^jj+++xvbn+=footmen,
, ^zz++++=EXTRAWORD
with ^in++++=with
a ^at++++=a
car ^nn++++=car
gaining ^vwbg+++xvbg+=gaining
headway ^nn++++=headway
in ^in++++=in
the ^ati++++=the
street ^nn++++=street
now ^rn+tm+++=now
and ^cc+phrs+++=and
then ^rn+tm+++=then,
, ^zz++++=EXTRAWORD
a ^at++++=a
howling ^jj+++xvbg+=howling
of ^in++++=of
names ^nns++++=names
and ^cc++++=and
numbers ^nns+nom+++=numbers,
, ^zz++++=EXTRAWORD
the ^ati++++=the
laughter ^nn+nom+++=laughter
and ^cc++++=and
small ^jj+atrb+++=small
talk ^nn++++=talk
of ^in++++=of
cloaked ^jj+atrb++xvbn+=cloaked
society ^nn++++=society
stepping ^vwbg+++xvbg+=stepping
slowly ^rb++++=slowly
to ^in++++=to
its ^pp$+it+++=its
carriages ^nns+nom+++=carriages,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
more ^rbr++++=more
