Repeated ^jj+atrb++xvbn+=REPEATED
Word ^nn++++=WORD
For ^in++++=FOR
Word ^nn++++=WORD
As ^ql++++=AS
I ^pp1a+pp1+++=I
Heard ^vbd+vprv+tht0+xvbnx+=HEARD
It ^pp3+it+++=IT--[Written
-- ^--+clp+++=EXTRAWORD
[ ^zz++++=EXTRAWORD
written ^xvbn+++xvbn+=EXTRAWORD
about ^in++++=about
1876 ^cd+date+++=1876]
] ^zz++++=EXTRAWORD
It ^pp3+it+++=It
was ^vbd+bedz+vrb++=was
summer ^nn++++=summer-time,
- ^zz++++=EXTRAWORD
time ^nn++++=EXTRAWORD
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
twilight ^nn++++=twilight.
. ^zz++++=EXTRAWORD
We ^pp1a+pp1+++=We
were ^vbd+bed+aux++=were
sitting ^vbg+++xvbgx+=sitting
on ^in++++=on
the ^ati++++=the
porch ^nn++++=porch
of ^in++++=of
the ^ati++++=the
farmhouse ^nn++++=farmhouse,
, ^zz++++=EXTRAWORD
on ^in++++=on
the ^ati++++=the
summit ^nn++++=summit
of ^in++++=of
the ^ati++++=the
hill ^nn++++=hill,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
" ^zz++++="Aunt
aunt ^nn++++=EXTRAWORD
Rachel ^np++++=Rachel"
" ^zz++++=EXTRAWORD
was ^vbd+bedz+aux++=was
sitting ^vbg+++xvbgx+=sitting
respectfully ^rb++++=respectfully
below ^rb++++=below
our ^pp$+pp1+++=our
level ^nn++++=level,
, ^zz++++=EXTRAWORD
on ^in++++=on
the ^ati++++=the
steps ^nns++++=steps-for
- ^zz++++=EXTRAWORD
for ^in++++=EXTRAWORD
she ^pp3a+pp3+++=she
was ^vbd+bedz+vrb++=was
our ^pp$+pp1+++=our
Servant ^nn+nom+++=Servant,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
colored ^jj+++xvbn+=colored.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
was ^vbd+bedz+vrb++=was
of ^in++++=of
mighty ^ql++++=mighty
frame ^np++++=frame
and ^cc++++=and
stature ^nn++++=stature;
; ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
was ^vbd+bedz+vrb++=was
sixty ^cd++++=sixty
years ^nns++++=years
old ^jj++++=old,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
her ^pp$+pp3+++=her
eye ^nn++++=eye
was ^vbd+bedz+aux++=was
undimmed ^vpsv++agls+xvbnx+=undimmed
and ^cc++++=and
her ^pp$+pp3+++=her
strength ^nn++++=strength
unabated ^vbd+++xvbn+=unabated.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
was ^vbd+bedz+vrb++=was
a ^at++++=a
cheerful ^jj+atrb+++=cheerful,
, ^zz++++=EXTRAWORD
hearty ^jj+atrb+++=hearty
soul ^nn++++=soul,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
it ^pp3+it+++=it
was ^vbd+bedz+vrb++=was
no ^at++++=no
more ^rbr++++=more
trouble ^nn++++=trouble
for ^in++++=for
her ^pp$+pp3+++=her
to ^to++++=to
laugh ^vbi++++=laugh
than ^in++++=than
it ^pp3+it+++=it
is ^vbz+bez+vrb++=is
for ^in++++=for
a ^at++++=a
bird ^nn++++=bird
to ^to++++=to
sing ^vbi++++=sing.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
was ^vbd+bedz+vrb++=was
under ^in++++=under
fire ^nn++++=fire
now ^rn+tm+++=now,
, ^zz++++=EXTRAWORD
as ^ql++++=as
usual ^jj++++=usual
when ^wrb+who+++=when
the ^ati++++=the
day ^nn++++=day
was ^vbd+bedz+aux++=was
done ^vpsv++agls+xvbnx+=done.
. ^zz++++=EXTRAWORD
That ^dt+pdem+++=That
is ^vbz+bez+aux++=is
to ^to++++=to
say ^vbi+vpub+++=say,
, ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
was ^vbd+bedz+aux++=was
being ^vbg+beg+aux+xvbg+=being
chaffed ^vbd+++xvbn+=chaffed
without ^in++++=without
mercy ^nn++++=mercy,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
was ^vbd+bedz+aux++=was
enjoying ^vbg+++xvbgx+=enjoying
it ^pp3+it+++=it.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
would ^md+prd+++=would
let ^vb+++xvbn+=let
off ^rb+phrv+++=off
peal ^nn++++=peal
after ^in++++=after
of ^in++++=of
laughter ^nn+nom+++=laughter,
