My ^pp$+pp1+++=My
five ^cd++++=five
years ^nns++++=years'
' ^zz++++=EXTRAWORD
old ^jj+atrb+++=old
daughter ^nn+nom+++=daughter
Mini ^np+++??+=Mini
cannot ^md+pos+not++=cannot
live ^vb++++=live
without ^in++++=without
chattering ^nn++++=chattering.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
really ^rb+emph+++=really
believe ^vb+vprv+++=believe
that ^tht+vcmp+++=that
in ^in++++=in
all ^abn++++=all
her ^pp3o+pp3+++=her
life ^nn++++=life
she ^pp3a+pp3+++=she
has ^vbz+hvz+aux++=has
not ^xnot++not++=not
wasted ^vbd+++xvbn+=wasted
a ^at++++=a
minute ^nn++++=minute
in ^in++++=in
silence ^nn+nom+++=silence.
. ^zz++++=EXTRAWORD
Her ^pp3o+pp3+++=Her
mother ^npt++++=mother
is ^vbz+bez+aux++=is
often ^rb++splt++=often
vexed ^vpsv++agls+xvbnx+=vexed
at ^rb++++=at
this ^dt+pdem+++=this,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
would ^md+prd+++=would
stop ^vb++++=stop
her ^pp3o+pp3+++=her
prattle ^nn+++??+=prattle,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
I ^pp1a+pp1+++=I
would ^md+prd+++=would
not ^xnot++not++=not.
. ^zz++++=EXTRAWORD
To ^to++++=To
see ^vbi+vprv+++=see
Mini ^np+++??+=Mini
quiet ^nn++++=quiet
is ^vbz+bez+vrb++=is
unnatural ^jj+pred+++=unnatural,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
I ^pp1a+pp1+++=I
cannot ^md+pos+not++=cannot
bear ^vb+vprv+tht0++=bear
it ^pp3+it+++=it
long ^jj++++=long.
. ^zz++++=EXTRAWORD
And ^cc+cls+++=And
so ^ql++++=so
my ^pp$+pp1+++=my
own ^ap++++=own
talk ^nn++++=talk
with ^in++++=with
her ^pp$+pp3+++=her
is ^vbz+bez+vrb++=is
always ^rb++++=always
lively ^jj+pred+++=lively.
. ^zz++++=EXTRAWORD
One ^cd1++++=One
morning ^nn++++=morning,
, ^zz++++=EXTRAWORD
for ^in++++=for
instance ^nn+nom+++=instance,
, ^zz++++=EXTRAWORD
when ^wrb+who+++=when
I ^pp1a+pp1+++=I
was ^vbd+bedz+vrb++=was
in ^in++++=in
the ^ati++++=the
midst ^nn++++=midst
of ^in++++=of
the ^ati++++=the
seventeenth ^od++++=seventeenth
chapter ^nn++++=chapter
of ^in++++=of
my ^pp$+pp1+++=my
new ^jj+atrb+++=new
novel ^nn++++=novel,
, ^zz++++=EXTRAWORD
my ^pp$+pp1+++=my
little ^jj+atrb+++=little
Mini ^np+++??+=Mini
stole ^vbd+++xvbn+=stole
into ^in++++=into
the ^ati++++=the
room ^nn++++=room,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
putting ^jj+++xvbg+=putting
her ^pp3o+pp3+++=her
hand ^nn++++=hand
into ^in++++=into
mine ^nn++++=mine,
, ^zz++++=EXTRAWORD
said ^j+++xvbn+=said:
: ^zz++++=EXTRAWORD
" ^zz++++="Father!
father ^nn++++=EXTRAWORD
! ^zz++++=EXTRAWORD
Ramdayal ^np+nom++??+=Ramdayal
the ^ati++++=the
door ^nn++++=door-keeper
- ^zz++++=EXTRAWORD
keeper ^nn++++=EXTRAWORD
calls ^vbz++++=calls
a ^at++++=a
crow ^nn++++=crow
a ^at++++=a
krow ^nn+++??+=krow!
! ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
does ^vbz+doz+aux++=doesn't
n't ^xnot++not++0=EXTRAWORD
know ^vb+vprv+++=know
anything ^pn++++=anything,
, ^zz++++=EXTRAWORD
does ^vbz+doz+vrb++=does
he ^pp3a+pp3+++=he?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Before ^cs+sub+++=Before
I ^pp1a+pp1+++=I
could ^md+pos+++=could
explain ^vb+vpub+++=explain
to ^in++++=to
her ^pp3o+pp3+++=her
the ^ati++++=the
differences ^nns+nom+++=differences
of ^in++++=of
language ^nn+nom+++=language
in ^in++++=in
this ^dt+dem+++=this
world ^nn++++=world,
, ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
was ^vbd+bedz+aux++=was
embarked ^vpsv++agls+xvbnx+=embarked
on ^in+ppvb+++=on
the ^ati++++=the
full ^jj+atrb+++=full
tide ^nn++++=tide
of ^in++++=of
another ^dt++++=another
subject ^nn++++=subject.
. ^zz++++=EXTRAWORD
" ^zz++++="What
what ^wdt+who+whq++=EXTRAWORD
do ^vb+do+aux++=do
you ^pp2+pp2+++=you
think ^vb+vprv+++=think,
, ^zz++++=EXTRAWORD
Father ^nn++++=Father?
? ^zz++++=EXTRAWORD
Bhola ^np+++??+=Bhola
says ^vbz+vpub+tht0++=says
there ^ex+pex+++=there
is ^vbz+bez+vrb++=is
an ^at++++=an
elephant ^nn+nom+++=elephant
in ^in++++=in
the ^ati++++=the
clouds ^nns++++=clouds,
, ^zz++++=EXTRAWORD
blowing ^vbg+++xvbg+=blowing
water ^nn++++=water
out ^rp+pl+++=out
of ^in++++=of
his ^pp$+pp3+++=his
trunk ^nn++++=trunk,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
that ^dt+pdem+++=that
is ^vbz+bez+vrb++=is
why ^wrb+who+++=why
it ^pp3+it+++=it
rains ^nns++++=rains!"
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
And ^cc++++=And
then ^rn+tm+++=then,
, ^zz++++=EXTRAWORD
darting ^vbg+++xvbg+=darting
off ^in+pl+++=off
anew ^nn+++??+=anew,
, ^zz++++=EXTRAWORD
while ^cs+sub+++=while
I ^pp1a+pp1+++=I
sat ^vbd+++xvbnx+=sat
still ^jj+pred+++=still
making ^jj+++xvbg+=making
ready ^jj++++=ready
some ^dti++++=some
reply ^nn++++=reply
to ^in++++=to
this ^dt+dem+++=this
last ^rb++++=last
saying ^vbg+++xvbg+=saying:
: ^zz++++=EXTRAWORD
" ^zz++++="Father!
father ^nn++++=EXTRAWORD
! ^zz++++=EXTRAWORD
what ^wdt+who+++=what
relation ^nn+nom+++=relation
is ^vbz+bez+vrb++=is
Mother ^nn++++=Mother
to ^in++++=to
you ^pp2+pp2+++=you?"
? ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
With ^in++++=With
a ^at++++=a
grave ^jj+atrb+++=grave
face ^nn++++=face
I ^pp1a+pp1+++=I
contrived ^vbd+++xvbnx+=contrived
to ^to++++=to
say ^vbi+vpub+++=say:
: ^zz++++=EXTRAWORD
" ^zz++++="Go
go ^vb++++=EXTRAWORD
and ^cc++++=and
play ^nn++++=play
with ^in++++=with
Bhola ^np+++??+=Bhola,
, ^zz++++=EXTRAWORD
Mini ^np+++??+=Mini!
! ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
am ^vb+bem+vrb++=am
busy ^jj+pred+++=busy!"
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
The ^ati++++=The
window ^nn++++=window
of ^in++++=of
my ^pp$+pp1+++=my
room ^nn++++=room
overlooks ^vbz++++=overlooks
the ^ati++++=the
road ^nn++++=road.
. ^zz++++=EXTRAWORD
The ^ati++++=The
child ^nn++++=child
had ^vbd+hvd+aux++=had
seated ^vprf+++xvbnx+=seated
herself ^ppl+pp3+++=herself
at ^in++++=at
my ^pp$+pp1+++=my
feet ^nns++++=feet
near ^in+pl+++=near
my ^pp$+pp1+++=my
table ^nn++++=table,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
was ^vbd+bedz+aux++=was
playing ^vbg+++xvbgx+=playing
softly ^rb+cnj+++=softly,
, ^zz++++=EXTRAWORD
drumming ^vbg+++xvbg+=drumming
on ^rp++++=on
her ^pp3o+pp3+++=her
knees ^nns++++=knees.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
was ^vbd+bedz+vrb++=was
hard ^jj++++=hard
at ^rb++++=at
work ^nn++++=work
on ^in++++=on
my ^pp$+pp1+++=my
seventeenth ^od++++=seventeenth
chapter ^nn++++=chapter,
, ^zz++++=EXTRAWORD
where ^wrb+who+++=where
Pratap ^np+++??+=Pratap
Singh ^np++++=Singh,
, ^zz++++=EXTRAWORD
the ^ati++++=the
hero ^nn++++=hero,
, ^zz++++=EXTRAWORD
had ^vb+hv+aux++=had
just ^rb+emph+splt++=just
caught ^vprf+++xvbnx+=caught
Kanchanlata ^np+++??+=Kanchanlata,
, ^zz++++=EXTRAWORD
the ^ati++++=the
heroine ^nn++++=heroine,
, ^zz++++=EXTRAWORD
in ^in++++=in
his ^pp$+pp3+++=his
arms ^nns++++=arms,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
was ^vbd+bedz+vrb++=was
about ^md"++pmd"++=about
to ^md+prd+++=to
escape ^vb++++=escape
with ^in++++=with
her ^pp$+pp3+++=her
by ^in++++=by
the ^ati++++=the
third ^od++++=third-story
- ^zz++++=EXTRAWORD
story ^nn++++=EXTRAWORD
window ^nn++++=window
of ^in++++=of
the ^ati++++=the
castle ^nn++++=castle,
, ^zz++++=EXTRAWORD
when ^wrb+who+++=when
all ^rb++++=all
of ^in++++=of
a ^at++++=a
sudden ^jj+atrb+++=sudden
Mini ^np+++??+=Mini
left ^vbd+++xvbn+=left
her ^pp3o+pp3+++=her
play ^nn++++=play,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
ran ^vpsv++agls+xvbn+=ran
to ^in+ppvb+++=to
the ^ati++++=the
window ^nn++++=window,
, ^zz++++=EXTRAWORD
crying ^nvbg+++xvbg+=crying:
: ^zz++++=EXTRAWORD
" ^zz++++="A
a ^at++++=EXTRAWORD
Cabuliwallah ^np+++??+=Cabuliwallah!
! ^zz++++=EXTRAWORD
a ^at++++=a
Cabuliwallah ^np+++??+=Cabuliwallah!"
! ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Sure ^jj++++=Sure
enough ^dt++++=enough
in ^in++++=in
the ^ati++++=the
street ^nn++++=street
below ^rb++++=below
was ^vbd+bedz+vrb++=was
a ^at++++=a
Cabuliwallah ^np+++??+=Cabuliwallah,
, ^zz++++=EXTRAWORD
passing ^vbg+++xvbg+=passing
slowly ^rb++++=slowly
along ^in+strn+++=along.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
wore ^vbd+++xvbnx+=wore
the ^ati++++=the
loose ^jj+atrb+++=loose,
, ^zz++++=EXTRAWORD
soiled ^jj+atrb+++=soiled
clothing ^nn++++=clothing
of ^in++++=of
his ^pp$+pp3+++=his
people ^nns++++=people,
, ^zz++++=EXTRAWORD
with ^in++++=with
a ^at++++=a
tall ^jj+atrb+++=tall
turban ^nn++++=turban;
; ^zz++++=EXTRAWORD
there ^ex+pex+++=there
was ^vbd+bedz+vrb++=was
a ^at++++=a
bag ^nn++++=bag
on ^in++++=on
his ^pp$+pp3+++=his
back ^jjb++++=back,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
he ^pp3a+pp3+++=he
carried ^vbd+++xvbnx+=carried
boxes ^nns++++=boxes
of ^in++++=of
grapes ^nns++++=grapes
in ^in++++=in
his ^pp$+pp3+++=his
hand ^nn++++=hand.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
cannot ^md+pos+not++=cannot
tell ^vb++++=tell
what ^wdt+who+++=what
were ^vbd+bed+vrb++=were
my ^pp$+pp1+++=my
daughter ^nn+nom+++=daughter's
's ^$++++=EXTRAWORD
feelings ^nns+nom+++=feelings
at ^in++++=at
