Sometimes ^rb+cnj+++=Sometimes,
, ^zz++++=EXTRAWORD
in ^in++++=in
a ^at++++=a
moment ^nn++++=moment
of ^in++++=of
sharp ^jj+atrb+++=sharp
experience ^nn+nom+++=experience,
, ^zz++++=EXTRAWORD
comes ^vbz++++=comes
that ^cs+sub+++=that
vivid ^jj+atrb+++=vivid
flash ^nn++++=flash
of ^in++++=of
insight ^nn++++=insight
that ^tht+rel+subj++=that
makes ^vbz++++=makes
a ^at++++=a
platitude ^nn++++=platitude
suddenly ^rb++++=suddenly
seem ^vb+seem+++=seem
a ^at++++=a
revelation ^nn+nom+++=revelation
its ^pp$+it+++=its
full ^jj+atrb+++=full
content ^nn++++=content
is ^vbz+bez+aux++=is
abruptly ^rb++splt++=abruptly
realized ^vpsv++agls+xvbnx+=realized.
. ^zz++++=EXTRAWORD
" ^zz++++="Ten
ten ^cd++++=EXTRAWORD
years ^nns++++=years
is ^vbz+bez+vrb++=is
a ^at++++=a
long ^jj+atrb+++=long
time ^nn++++=time,
, ^zz++++=EXTRAWORD
yes ^uh++++=yes,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
thought ^vbd+++xvbnx+=thought,
, ^zz++++=EXTRAWORD
as ^ql++++=as
he ^pp3a+pp3+++=he
walked ^vbd+++xvbnx+=walked
up ^rp++++=up
the ^ati++++=the
drive ^vb++++=drive
to ^to+vcmp+++=to
the ^ati++++=the
great ^jj+atrb+++=great
Kensington ^np++++=Kensington
house ^nn++++=house
where ^wrb+who+++=where
she ^pp3a+pp3+++=she
still ^rb++++=still
lived ^vbd+++xvbn+=lived.
. ^zz++++=EXTRAWORD
Ten ^cd++++=Ten
years ^nns++++=years
long ^rb++++=long
enough ^qlp++++=enough,
, ^zz++++=EXTRAWORD
at ^rb++++=at
any ^dti++++=any
rate ^nn++++=rate,
, ^zz++++=EXTRAWORD
for ^in++++=for
her ^pp$+pp3+++=her
to ^to++++=to
have ^vbi+vbi+aux++=have
married ^vprf+++xvbnx+=married
and ^cc++++=and
for ^in++++=for
her ^pp$+pp3+++=her
husband ^nn++++=husband
to ^in++++=to
have ^vbi+vbi+aux++=have
died ^vprf+++xvbnx+=died.
. ^zz++++=EXTRAWORD
More ^ql++++=More
than ^cs+sub+++=than
that ^dt+dem+++=that
he ^pp3a+pp3+++=he
had ^vb+hv+aux++=had
not ^xnot++not++=not
heard ^vbd+vprv++xvbn+=heard,
, ^zz++++=EXTRAWORD
in ^in++++=in
the ^ati++++=the
outlandish ^jj+atrb+++=outlandish
places ^nns++++=places
where ^wrb+who+++=where
life ^nn++++=life
had ^vbd+hvd+aux++=had
cast ^vprf+++xvbnx+=cast
him ^pp3o+pp3+++=him
in ^in++++=in
the ^ati++++=the
interval ^nn+nom+++=interval.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
wondered ^vbd+vprv++xvbnx+=wondered
whether ^cs+who+++=whether
there ^ex+pex+++=there
had ^vbd+hvd+aux++=had
been ^vprf+ben+vrb+xvbnx+=been
any ^dti++++=any
children ^nns++++=children.
. ^zz++++=EXTRAWORD
All ^abn++++=All
manner ^nn++++=manner
of ^in++++=of
thoughts ^nns++++=thoughts
and ^cc++++=and
questions ^nns+nom+++=questions,
, ^zz++++=EXTRAWORD
confused ^j+++xvbn+=confused
a ^rb++++=a
little ^rb"++++=little,
, ^zz++++=EXTRAWORD
passed ^j+++xvbn+=passed
across ^in+pl+++=across
his ^pp$+pp3+++=his
mind ^nn++++=mind.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
was ^vbd+bedz+vrb++=was
well ^rb++++=well-to-do
- ^zz++++=EXTRAWORD
to ^to++++=EXTRAWORD
- ^zz++++=EXTRAWORD
do ^vb+do+vrb++=EXTRAWORD
now ^rn+tm+++=now,
, ^zz++++=EXTRAWORD
though ^cs+sub+++=though
probably ^rb++++=probably
his ^pp$+pp3+++=his
entire ^jjb+atrb+++=entire
capital ^nn++++=capital
did ^vbd+dod+vrb++=did
not ^xnot++not++=not
amount ^nn++++=amount
to ^in++++=to
her ^pp$+pp3+++=her
income ^nn++++=income
for ^in++++=for
a ^at++++=a
single ^jj+atrb+++=single
year ^nn++++=year.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
glanced ^vbd+++xvbnx+=glanced
at ^in++++=at
the ^ati++++=the
huge ^jj++++=huge,
, ^zz++++=EXTRAWORD
forbidding ^vbg+++xvbg+=forbidding
mansion ^nn++++=mansion.
. ^zz++++=EXTRAWORD
Yet ^rb++++=Yet
that ^dt+dem+++=that
pride ^nn++++=pride
was ^vbd+bedz+vrb++=was
false ^jj+pred+++=false
which ^whp+who+++=which
had ^vbd+hvd+aux++=had
made ^vprf+++xvbnx+=made
of ^in++++=of
poverty ^nn++++=poverty
an ^at++++=an
insuperable ^jj+atrb+++=insuperable
obstacle ^nn++++=obstacle.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
saw ^vbd+vprv+tht0+xvbnx+=saw
it ^pp3+it+++=it
now ^rn+tm+++=now.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
had ^vbd+hvd+aux++=had
learned ^vprf+++xvbnx+=learned
values ^nns++++=values
in ^in++++=in
his ^pp$+pp3+++=his
long ^jj+atrb+++=long
exile ^nn++++=exile.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
he ^pp3a+pp3+++=he
was ^vbd+bedz+vrb++=was
still ^rb++++=still
ridiculously ^rb++++=ridiculously
timid ^jj++++=timid.
. ^zz++++=EXTRAWORD
This ^dt+dem+++=This
confusion ^nn++++=confusion
of ^in++++=of
thought ^nn+++xvbn+=thought,
, ^zz++++=EXTRAWORD
of ^in++++=of
mental ^jj+atrb+++=mental
images ^nns++++=images
rather ^rb+cnj+++=rather,
, ^zz++++=EXTRAWORD
was ^vbd+bedz+vrb++=was
due ^jj+cmpx+++=due
to ^to+jcmp+++=to
a ^at++++=a
kind ^rb++++=kind
of ^rb"++++=of
fear ^nn++++=fear,
, ^zz++++=EXTRAWORD
since ^cs+sub+++=since
worship ^nn+nom+++=worship
ever ^rb++++=ever
is ^vbz+bez+vrb++=is
akin ^jj+pred+++=akin
to ^in++++=to
awe ^nn++++=awe.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
was ^vbd+bedz+vrb++=was
as ^ql++++=as
nervous ^jj++++=nervous
as ^in++++=as
a ^at++++=a
boy ^nn++++=boy
going ^vwbg+++xvbg+=going
up ^rp++++=up
for ^in++++=for
a ^at++++=a
viva ^nn+++??+=viva
voce ^&fw++++=voce;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
with ^in++++=with
the ^ati++++=the
excitement ^nn+nom+++=excitement
was ^vbd+bedz+vrb++=was
also ^rb++++=also
that ^cs+sub+++=that
unconquerable ^jj++++=unconquerable
sinking ^jj+++xvbg+=sinking
that ^dt+dem+++=that
horrid ^jj+atrb+++=horrid
shrinking ^jj+atrb++xvbg+=shrinking
sensation ^nn+nom+++=sensation
that ^tht+rel+++=that
excessive ^jj+atrb+++=excessive
shyness ^nns+nom+++=shyness
brings ^vbz++++=brings.
. ^zz++++=EXTRAWORD
Why ^wrb+who+++=Why
in ^in++++=in
the ^ati++++=the
world ^nn++++=world
had ^vb+hv+aux++=had
he ^pp3a+pp3+++=he
come ^vb++++=come?
? ^zz++++=EXTRAWORD
Why ^wrb+who+whq++=Why
had ^vb+hv+vrb++=had
he ^pp3a+pp3+++=he
telegraphed ^vbd+++xvbnx+=telegraphed
the ^ati++++=the
very ^ql+amp+++=very
day ^np++++=day
after ^in++++=after
his ^pp$+pp3+++=his
arrival ^nn++++=arrival
in ^in++++=in
England ^np++++=England?
? ^zz++++=EXTRAWORD
Why ^wrb+who+whq++=Why
