Being ^vbg+beg++xvbg+=Being
a ^at++++=a
Ninth ^od++++=Ninth
Extract ^nn++++=Extract
from ^in++++=from
the ^ati++++=the
Legacy ^nn++++=Legacy
of ^in++++=of
the ^ati++++=the
late ^jj+atrb+++=late
Francis ^np++++=Francis
Purcell ^np+++??+=Purcell,
, ^zz++++=EXTRAWORD
P.p ^np+++??+=P.P.
. ^zz++++=EXTRAWORD
of ^in++++=of
Drumcoolagh ^np+++??+=Drumcoolagh.
. ^zz++++=EXTRAWORD
Jim ^np++++=Jim
Sulivan ^np+++??+=Sulivan
was ^vbd+bedz+vrb++=was
a ^at++++=a
dacent ^jj+atrb+++=dacent,
, ^zz++++=EXTRAWORD
honest ^jj+atrb+++=honest
boy ^nn++++=boy
as ^ql++++=as
you ^pp2+pp2+++=you'd
'd ^md+prd+aux++0=EXTRAWORD
find ^vb+vprv+++=find
in ^in++++=in
the ^ati++++=the
seven ^cd++++=seven
parishes ^nns++++=parishes,
, ^zz++++=EXTRAWORD
and ^cc+cls+++0=an'
he ^pp3a+pp3+++=he
was ^vbd+bedz+vrb++=was
a ^at++++=a
beautiful ^jj+atrb+++=beautiful
singer ^nn++++=singer,
, ^zz++++=EXTRAWORD
and ^cc+cls+++0=an'
an ^at++++=an
illegant ^jj+atrb+++=illegant
dancer ^nn++++=dancer
intirely ^rb+cnj+++=intirely,
, ^zz++++=EXTRAWORD
and ^cc+cls+++0=an'
a ^at++++=a
mighty ^jj+atrb+++=mighty
plisant ^nn+nom+++=plisant
boy ^nn++++=boy
in ^in++++=in
himself ^ppl+pp3+++=himself;
; ^zz++++=EXTRAWORD
but ^cc+cls+++=but
he ^pp3a+pp3+++=he
had ^vb+hv+vrb++=had
the ^ati++++=the
divil ^nn+++??+=divil's
's ^vbz+bez+vrb++0=EXTRAWORD
bad ^jj+atrb+++=bad
luck ^nn++++=luck,
, ^zz++++=EXTRAWORD
for ^in++++=for
he ^pp3a+pp3+++=he
married ^vbd+++xvbnx+=married
for ^in++++=for
love ^nn++++=love,
, ^zz++++=EXTRAWORD
an ^at++++=an
' ^zz++++='av
av ^nn++++=EXTRAWORD
coorse ^nn+++??+=coorse
he ^pp3a+pp3+++=he
niver ^jjr++++=niver
had ^vb+hv+vrb++=had
an ^at++++=an
asy ^nn+++??+=asy
minute ^nn++++=minute
afther ^jjr++++=afther.
. ^zz++++=EXTRAWORD
Nell ^np++++=Nell
Gorman ^np+++??+=Gorman
was ^vbd+bedz+vrb++=was
the ^ati++++=the
girl ^nn++++=girl
he ^pp3a+pp3+++=he
fancied ^vbd+++xvbnx+=fancied,
, ^zz++++=EXTRAWORD
and ^cc+cls+++0=an'
a ^at++++=a
beautiful ^jj+atrb+++=beautiful
slip ^nn++++=slip
of ^in++++=of
a ^at++++=a
girl ^nn++++=girl
she ^pp3a+pp3+++=she
was ^vbd+bedz+vrb++=was,
, ^zz++++=EXTRAWORD
jist ^nn++++=jist
twinty ^nn+++??+=twinty
to ^in++++=to
the ^ati++++=the
minute ^nn++++=minute
when ^wrb+who+++=when
he ^pp3a+pp3+++=he
married ^vbd+++xvbnx+=married
her ^pp$+pp3+++=her.
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
was ^vbd+bedz+vrb++=was
as ^ql++++=as
round ^in++++=round
and ^cc++++0=an'
as ^ql++++=as
complate ^nn+nom+++=complate
in ^in++++=in
all ^abn++++=all
her ^pp3o+pp3+++=her
shapes ^nns++++=shapes
as ^in++++=as
a ^at++++=a
firkin ^nn+++??+=firkin,
, ^zz++++=EXTRAWORD
you ^pp2+pp2+++=you'd
'd ^md+prd+aux++0=EXTRAWORD
think ^vb+vprv+++=think,
, ^zz++++=EXTRAWORD
and ^cc+cls+++0=an'
her ^pp$+pp3+++=her
two ^cd++++=two
cheeks ^nns++++=cheeks
was ^vbd+bedz+vrb++=was
as ^ql++++=as
fat ^nn++++=fat
and ^cc++++0=an'
as ^ql++++=as
red ^jj++++=red,
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it
id ^nn+++??+=id
open ^jj++++=open
your ^pp$+pp2+++=your
heart ^nn++++=heart
to ^to++++=to
look ^vbi++++=look
at ^in++++=at
them ^pp3o+pp3+++=them.
. ^zz++++=EXTRAWORD
But ^cc+cls+++=But
beauty ^nn++++=beauty
is ^vbz+bez+vrb++=is
not ^xnot++not++=not
the ^ati++++=the
thing ^nn++++=thing
all ^abn++++=all
through ^in+strn+++=through,
, ^zz++++=EXTRAWORD
and ^cc+cls+++0=an'
as ^in++++=as
beautiful ^jj++++=beautiful
as ^ql++++=as
she ^pp3a+pp3+++=she
was ^vbd+bedz+aux++=was
she ^pp3a+pp3+++=she
had ^vb+hv+vrb++=had
the ^ati++++=the
divil ^nn+++??+=divil's
's ^$++++=EXTRAWORD
tongue ^nn++++=tongue,
, ^zz++++=EXTRAWORD
and ^cc+cls+++0=an'
the ^ati++++=the
divil ^nn+++??+=divil's
's ^vbz+bez+vrb++0=EXTRAWORD
timper ^jjr++++=timper,
, ^zz++++=EXTRAWORD
and ^cc+cls+++0=an'
the ^ati++++=the
divil ^nn+++??+=divil's
's ^$++++=EXTRAWORD
behaviour ^nn++++=behaviour
all ^rb++++=all
out ^rp+pl+++=out;
; ^zz++++=EXTRAWORD
and ^cc+cls+++0=an'
it ^pp3+it+++=it
was ^vbd+bedz+vrb++=was
impossible ^jj+pred+++=impossible
for ^in++++=for
him ^pp3o+pp3+++=him
to ^to++++=to
be ^vbi++vrb++=be
in ^in++++=in
the ^ati++++=the
house ^nn++++=house
with ^in++++=with
her ^pp$+pp3+++=her
for ^in++++=for
while ^cs+sub+++=while
you ^pp2+pp2+++=you'd
'd ^md+prd+vrb++0=EXTRAWORD
count ^npt++++=count
tin ^nn++++=tin
without ^in++++=without
havin ^nn+++??+=havin'
' ^zz++++=EXTRAWORD
an ^at++++=an
argymint ^jj+++xvbn+=argymint,
, ^zz++++=EXTRAWORD
and ^cc+cls+++0=an'
as ^in++++=as
sure ^jj++++=sure
as ^ql++++=as
she ^pp3a+pp3+++=she
riz ^nn+++??+=riz
an ^at++++=an
argymint ^nn++++=argymint
with ^in++++=with
him ^pp3o+pp3+++=him
she ^pp3a+pp3+++0=she'd
'd ^vbd+hvd+aux++=EXTRAWORD
hit ^vprf+++xvbnx+=hit
him ^pp3o+pp3+++=him
a ^at++++=a
wipe ^vb++++=wipe
iv ^nn+++??+=iv
a ^at++++=a
skillet ^nn+nom+++=skillet
or ^cc++++=or
whatever ^nn+nom+++=whatever
lay ^jjb+++xvbn+=lay
next ^in+cmpx+++=next
to ^in"++++=to
her ^pp$+pp3+++=her
hand ^nn++++=hand.
. ^zz++++=EXTRAWORD
Well ^rb+cnj+++=Well,
, ^zz++++=EXTRAWORD
this ^dt+pdem+++=this
was ^vbd+bedz+vrb++=wasn't
n't ^xnot++not++0=EXTRAWORD
at ^rb++++=at
all ^abn++++=all
plasin ^nn+++??+=plasin'
' ^zz++++=EXTRAWORD
to ^in++++=to
Jim ^np++++=Jim
Sulivan ^np+++??+=Sulivan
you ^pp2+pp2+++=you
may ^md+pos+++=may
be ^vb+be+vrb++=be
sure ^jj+pred+++=sure,
, ^zz++++=EXTRAWORD
and ^cc+cls+++0=an'
there ^ex+pex+++=there
was ^vbd+bedz+vrb++=was
scarce ^jj+pred+++=scarce
a ^at++++=a
week ^nn++++=week
that ^tht+rel+obj++=that
his ^pp$+pp3+++=his
head ^nn++++=head
was ^vbd+bedz+aux++=wasn't
n't ^xnot++not++0=EXTRAWORD
plasthered ^vbd+++xvbn+=plasthered
up ^rp++++=up,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
his ^pp$+pp3+++=his
back ^rp++++=back
bint ^vprf+++xvbn+=bint
double ^jj++++=double,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
his ^pp$+pp3+++=his
nose ^nn++++=nose
swelled ^vbd+++xvbn+=swelled
as ^ql++++=as
big ^jj++++=big
as ^in++++=as
a ^at++++=a
pittaty ^nn+++??+=pittaty,
, ^zz++++=EXTRAWORD
with ^in++++=with
the ^ati++++=the
vilence ^nn+nom+++=vilence
iv ^nn+++??+=iv
her ^pp3o+pp3+++=her
timper ^jjr++++=timper,
, ^zz++++=EXTRAWORD
and ^cc+cls+++0=an'
his ^pp$+pp3+++=his
heart ^nn++++=heart
was ^vbd+bedz+aux++=was
scalded ^vpsv++agls+xvbnx+=scalded
everlastin ^nn+++??+=everlastin'ly
'ly ^jj++++0=EXTRAWORD
with ^in++++=with
her ^pp$+pp3+++=her
tongue ^nn++++=tongue;
; ^zz++++=EXTRAWORD
so ^ql++++=so
he ^pp3a+pp3+++=he
had ^vb+hv+vrb++=had
no ^at++++=no
pace ^nn++++=pace
or ^cc++++=or
quietness ^nns+nom+++=quietness
in ^in++++=in
body ^nn++++=body
or ^cc++++=or
soul ^nn++++=soul
at ^rb++++=at
