A ^at++++=A
Story ^nn++++=STORY
Of ^in++++=OF
The ^ati++++=THE
River ^nn++++=RIVER
Hudson ^np++++=HUDSON
The ^ati++++=The
appointment ^nn+nom+++=appointment
was ^vbd+bedz+vrb++=was
that ^tht+vcmp+++=that
I ^pp1a+pp1+++=I
should ^md+nec+++=should
meet ^vb++++=meet
my ^pp$+pp1+++=my
elderly ^jj+atrb+++=elderly
uncle ^nn++++=uncle
at ^rb++++=at
the ^ati++++=the
riverside ^nn+++??+=riverside,
, ^zz++++=EXTRAWORD
precisely ^rb++++=precisely
at ^in++++=at
nine ^cd++++=nine
in ^in++++=in
the ^ati++++=the
morning ^nn++++=morning.
. ^zz++++=EXTRAWORD
The ^ati++++=The
skiff ^nn+++??+=skiff
was ^vbd+bedz+aux++=was
to ^to++++=to
be ^vbi++vrb++=be
ready ^jj+pred+++=ready,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
apparatus ^nn++++=apparatus
to ^to++++=to
be ^vbi+vbi+aux++=be
brought ^vpsv++agls+xvbnx+=brought
down ^rb+phrv+++=down
by ^in++++=by
his ^pp$+pp3+++=his
grizzled ^jj+atrb+++=grizzled
old ^jj+atrb+++=old
black ^jj+atrb+++=black
man ^nn++++=man.
. ^zz++++=EXTRAWORD
As ^ql++++=As
yet ^rb+cnj+++=yet,
, ^zz++++=EXTRAWORD
the ^ati++++=the
nature ^nn++++=nature
of ^in++++=of
the ^ati++++=the
wonderful ^jj+atrb+++=wonderful
experiment ^nn+nom+++=experiment
remained ^vbd+++xvbn+=remained
a ^at++++=a
mystery ^nn+nom+++=mystery
to ^in++++=to
all ^abn++++=all
but ^cc++++=but
the ^ati++++=the
projector ^nn++++=projector.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
was ^vbd+bedz+vrb++=was
first ^od++++=first
on ^rp++++=on
the ^ati++++=the
spot ^nn++++=spot.
. ^zz++++=EXTRAWORD
The ^ati++++=The
village ^nn+nom+++=village
was ^vbd+bedz+vrb++=was
high ^jj+pred+++=high
up ^rp++++=up
the ^ati++++=the
river ^nn++++=river,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
inland ^jjb+atrb+++=inland
summer ^nn++++=summer
sun ^nn++++=sun
was ^vbd+bedz+vrb++=was
already ^rb++++=already
oppressively ^jj++++=oppressively
warm ^jj++++=warm.
. ^zz++++=EXTRAWORD
Presently ^rb+tm+++=Presently
I ^pp1a+pp1+++=I
saw ^vbd+vprv+tht0+xvbnx+=saw
my ^pp$+pp1+++=my
uncle ^nn++++=uncle
advancing ^vwbg+++xvbg+=advancing
beneath ^in+pl+++=beneath
the ^ati++++=the
trees ^nns++++=trees,
, ^zz++++=EXTRAWORD
hat ^nn++++=hat
off ^in+strn+++=off,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
wiping ^vbg+++xvbg+=wiping
his ^pp$+pp3+++=his
brow ^nn++++=brow;
; ^zz++++=EXTRAWORD
while ^cs+sub+++=while
far ^rb+pl+++=far
behind ^in+pl+++=behind
struggled ^vbd+++xvbn+=struggled
poor ^jj+atrb+++=poor
old ^jj+atrb+++=old
Yorpy ^np+++??+=Yorpy,
, ^zz++++=EXTRAWORD
