Early ^jj++++=Early
in ^in++++=in
the ^ati++++=the
summer ^nn++++=summer
of ^in++++=of
' ^zz++++='78
78 ^cd++++=EXTRAWORD
we ^pp1a+pp1+++=we
were ^vbd+bed+aux++=were
rocking ^vbg+++xvbgx+=rocking
along ^in++++=along
with ^in"++++=with
a ^at++++=a
herd ^nn++++=herd
of ^in++++=of
Laurel ^np+++??+=Laurel
Leaf ^nn++++=Leaf
cattle ^nns++++=cattle,
, ^zz++++=EXTRAWORD
going ^vbg+++xvbg+=going
up ^rp++++=up
the ^ati++++=the
old ^jj+atrb+++=old
Chisholm ^np+++??+=Chisholm
trail ^nn++++=trail
in ^in++++=in
the ^ati++++=the
Indian ^jj+atrb+++=Indian
Territory ^nn++++=Territory.
. ^zz++++=EXTRAWORD
The ^ati++++=The
cattle ^nns++++=cattle
were ^vbd+bed+vrb++=were
in ^in++++=in
charge ^in"++++=charge
of ^in"++++=of
Ike ^np+++??+=Ike
Inks ^np+++??+=Inks
as ^ql++++=as
foreman ^np++++=foreman,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
had ^vbd+hvd+aux++=had
been ^vprf+ben+aux+xvbnx+=been
sold ^vpsv++agls+xvbnx+=sold
for ^in++++=for
delivery ^nn+nom+++=delivery
somewhere ^rb++++=somewhere
in ^in++++=in
the ^ati++++=the
Strip ^nn++++=Strip.
. ^zz++++=EXTRAWORD
There ^ex+pex+++=There
were ^vbd+bed+vrb++=were
thirty ^cd++++=thirty-one
- ^zz++++=EXTRAWORD
one ^cd1++++=EXTRAWORD
hundred ^cd++++=hundred
head ^jjb++++=head,
, ^zz++++=EXTRAWORD
straight ^rb++++=straight
" ^zz++++="twos,"
twos ^cds++++=EXTRAWORD
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
and ^cc++++=and
in ^in++++=in
the ^ati++++=the
single ^jj+atrb+++=single
ranch ^nn++++=ranch
brand ^nn++++=brand.
. ^zz++++=EXTRAWORD
We ^pp1a+pp1+++=We
had ^vbd+hvd+aux++=had
been ^vprf+ben+vrb+xvbnx+=been
out ^rp+pl+++=out
about ^in++++=about
four ^cd++++=four
months ^nns++++=months
on ^in++++=on
the ^ati++++=the
trail ^nn++++=trail,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
all ^abn++++=all
felt ^vbd+vprv++xvbn+=felt
that ^tht+vcmp+++=that
a ^ap++++=a
few ^ap"++++=few
weeks ^nns++++=weeks
at ^in++++=at
the ^ati++++=the
farthest ^nn++++=farthest
would ^md+prd+++=would
let ^vb+++xvbn+=let
us ^pp1o+pp1+++=us
out ^rp+pl+++=out,
, ^zz++++=EXTRAWORD
for ^in++++=for
the ^ati++++=the
day ^nn++++=day
before ^cs+sub+++=before
we ^pp1a+pp1+++=we
had ^vbd+hvd+aux++=had
crossed ^vprf+++xvbnx+=crossed
the ^ati++++=the
Cimarron ^np+++??+=Cimarron
River ^nn++++=River,
, ^zz++++=EXTRAWORD
ninety ^cd++++=ninety
miles ^nns++++=miles
south ^np+pl+++=south
of ^in++++=of
the ^ati++++=the
state ^nn++++=state
line ^nn++++=line
of ^in++++=of
Kansas ^np++++=Kansas.
. ^zz++++=EXTRAWORD
The ^ati++++=The
foreman ^nn++++=foreman
was ^vbd+bedz+aux++=was
simply ^rb++splt++=simply
killing ^nvbg+++xvbg+=killing
time ^nn++++=time,
, ^zz++++=EXTRAWORD
waiting ^vbg+++xvbg+=waiting
for ^in++++=for
orders ^nns++++=orders
concerning ^in++++=concerning
the ^ati++++=the
delivery ^nn+nom+++=delivery
of ^in++++=of
the ^ati++++=the
cattle ^nns++++=cattle.
. ^zz++++=EXTRAWORD
All ^abn++++=All
kinds ^nns++++=kinds
of ^in++++=of
jokes ^nns++++=jokes
were ^vbd+bed+vrb++=were
in ^in++++=in
order ^nn++++=order,
, ^zz++++=EXTRAWORD
for ^in++++=for
we ^pp1a+pp1+++=we
all ^abn++++=all
felt ^vbd+vprv++xvbn+=felt
that ^tht+vcmp+++=that
we ^pp1a+pp1+++=we
would ^md+prd+++=would
soon ^rb+tm+++=soon
be ^vb+be+aux++=be
set ^vpsv++agls+xvbnx+=set
free ^jj++++=free.
. ^zz++++=EXTRAWORD
One ^pn++++=One
of ^in++++=of
our ^pp$+pp1+++=our
men ^nns++++=men
had ^vbd+hvd+aux++=had
been ^vprf+ben+aux+xvbnx+=been
taken ^vpsv++agls+xvbnx+=taken
sick ^jj++++=sick,
, ^zz++++=EXTRAWORD
as ^ql++++=as
we ^pp1a+pp1+++=we
crossed ^vbd+++xvbn+=crossed
Red ^jj+atrb+++=Red
River ^nn++++=River
into ^in++++=into
the ^ati++++=the
Nations ^nns+nom+++=Nations,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
not ^xnot++not++=not
wanting ^vb+++xvbg+=wanting
to ^to+vcmp+++=to
cross ^vbi++++=cross
this ^dt+dem+++=this
Indian ^jj+atrb+++=Indian
country ^nn++++=country
short ^jj++++=short-handed,
- ^zz++++=EXTRAWORD
handed ^vwbn+++xvbn+=EXTRAWORD
, ^zz++++=EXTRAWORD
Inks ^np+++??+=Inks
had ^vbd+hvd+aux++=had
picked ^vprf+++xvbnx+=picked
up ^rp++++=up
a ^at++++=a
young ^jj++++=young
fellow ^jjb++++=fellow
who ^whp+who+++=who
evidently ^rb++++=evidently
had ^vb+hv+aux++=had
never ^rb++splt++=never
been ^vprf+ben+vrb+xvbnx+=been
over ^in++++=over
the ^ati++++=the
trail ^nn++++=trail
before ^in+strn+++=before.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
gave ^vbd+++xvbnx+=gave
the ^ati++++=the
outfit ^nn++++=outfit
his ^pp$+pp3+++=his
correct ^jj+atrb+++=correct
name ^nn++++=name,
, ^zz++++=EXTRAWORD
on ^in++++=on
joining ^xvbg+++xvbg+=joining
us ^pp1o+pp1+++=us,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
it ^pp3+it+++=it
proved ^vbd+vprv++xvbn+=proved
unpronounceable ^jj++++=unpronounceable,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
for ^in++++=for
convenience ^nn+nom+++=convenience
some ^dti++++=some
one ^cd1++++=one
rechristened ^jj+++xvbn+=rechristened
him ^pp3o+pp3+++=him
Lucy ^np++++=Lucy,
, ^zz++++=EXTRAWORD
as ^ql++++=as
he ^pp3a+pp3+++=he
had ^vb+hv+vrb++=had
quite ^rb++++=quite
a ^at++++=a
feminine ^jj+atrb+++=feminine
appearance ^nn+nom+++=appearance.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
was ^vbd+bedz+vrb++=was
anxious ^jj+pred+++=anxious
to ^to+jcmp+++=to
learn ^vbi+vprv+++=learn,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
was ^vbd+bedz+vrb++=was
in ^in++++=in
evidence ^nn+nom+++=evidence
in ^in++++=in
everything ^pn++++=everything
that ^dt+pdem+++=that
went ^vbd+++xvbn+=went
on ^in+strn+++=on.
. ^zz++++=EXTRAWORD
The ^ati++++=The
trail ^nn++++=trail
from ^in++++=from
the ^ati++++=the
Cimarron ^np+++??+=Cimarron
to ^to++++=to
Little ^ap++++=Little
Turkey ^np++++=Turkey
Creek ^npl++++=Creek,
, ^zz++++=EXTRAWORD
where ^wrb+who+++=where
we ^pp1a+pp1+++=we
were ^vbd+bed+aux++=were
now ^rn+tm+splt++=now
camped ^vpsv++agls+xvbnx+=camped,
, ^zz++++=EXTRAWORD
had ^vb+hv+aux++=had
originally ^rb+tm+splt++=originally
been ^vprf+ben+vrb+xvbnx+=been
to ^in++++=to
the ^ati++++=the
east ^np+pl+++=east
of ^in++++=of
the ^ati++++=the
present ^jj+atrb+++=present
one ^pn++++=one,
, ^zz++++=EXTRAWORD
skirting ^jj+++xvbg+=skirting
a ^at++++=a
black ^jj++++=black-jack
- ^zz++++=EXTRAWORD
jack ^np++++=EXTRAWORD
country ^nn++++=country.
. ^zz++++=EXTRAWORD
After ^cs+sub+++=After
being ^nn+nn+aux++=being
used ^vwbn+++xvbn+=used
several ^ap++++=several
years ^nns++++=years
it ^pp3+it+++=it
had ^vbd+hvd+aux++=had
been ^vprf+ben+aux+xvbnx+=been
abandoned ^vpsv++agls+xvbnx+=abandoned,
, ^zz++++=EXTRAWORD
being ^vbg+beg++xvbg+=being
sandy ^np++++=sandy,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
new ^jj+atrb+++=new
route ^nn++++=route
followed ^vbd+vprv++xvbn+=followed
up ^rp++++=up
the ^ati++++=the
bottoms ^nns++++=bottoms
of ^in++++=of
Big ^jj+atrb+++=Big
Turkey ^nn++++=Turkey,
, ^zz++++=EXTRAWORD
since ^cs+sub+++=since
it ^pp3+it+++=it
was ^vbd+bedz+vrb++=was
firmer ^jjr+atrb+++=firmer
soil ^nn++++=soil,
, ^zz++++=EXTRAWORD
affording ^jj+atrb++xvbg+=affording
better ^jjr+atrb+++=better
footing ^nn++++=footing
to ^in++++=to
cattle ^nns++++=cattle.
. ^zz++++=EXTRAWORD
These ^dt+dem+++=These
two ^cd++++=two
trails ^nns++++=trails
came ^vbd+++xvbn+=came
together ^nn+nom+++=together
again ^rb+tm+++=again
at ^rb++++=at
Little ^ap++++=Little
Turkey ^np++++=Turkey.
. ^zz++++=EXTRAWORD
At ^rb++++=At
no ^at++++=no
place ^nn++++=place
were ^vbd+bed+vrb++=were
they ^pp3a+pp3+++=they
over ^rb++++=over
two ^cd++++=two
or ^cc++++=or
three ^cd++++=three
miles ^nns++++=miles
apart ^in+strn+++=apart,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
from ^in++++=from
where ^wrb+who+++=where
they ^pp3a+pp3+++=they
separated ^vbd+++xvbnx+=separated
to ^to++++=to
where ^wrb+who+++=where
they ^pp3a+pp3+++=they
came ^vbd+++xvbnx+=came
together ^nn+nom+++=together
again ^rb+tm+++=again
was ^vbd+bedz+vrb++=was
about ^in++++=about
seven ^cd++++=seven
miles ^nns++++=miles.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
troubled ^vbd+++xvbn+=troubled
Lucy ^np++++=Lucy
not ^xnot++not++=not
to ^to++++=to
know ^vbi+vprv+++=know
why ^wrb+who+whcl++=why
this ^dt+pdem+++=this
was ^vbd+bedz+vrb++=was
thus ^rb+cnj+++=thus.
. ^zz++++=EXTRAWORD
Why ^wrb+who+whq++=Why
did ^vbd+dod+aux++=did
these ^dt+dem+++=these
routes ^nns++++=routes
separate ^jj++++=separate
and ^cc++++=and
come ^vb++++=come
together ^nn+nom+++=together
again ^rb+tm+++=again?
? ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
was ^vbd+bedz+vrb++=was
fruitful ^jj+pred+++=fruitful
with ^in++++=with
inquiries ^nns++++=inquiries
as ^in++++=as
to ^in"++++=to
where ^wrb+who+++=where
this ^dt+dem+++=this
trail ^nn++++=trail
or ^cc++++=or
that ^tht+vcmp+++=that
road ^npl++++=road
led ^vbd+++xvbn+=led.
. ^zz++++=EXTRAWORD
The ^ati++++=The
boss ^nn++++=boss-man
- ^zz++++=EXTRAWORD
man ^nn++++=EXTRAWORD
had ^vb+hv+vrb++=had
a ^at++++=a
vein ^nn++++=vein
of ^in++++=of
humor ^nn++++=humor
in ^in++++=in
his ^pp$+pp3+++=his
make ^vb++++=make-up,
- ^zz++++=EXTRAWORD
up ^rp++++=EXTRAWORD
, ^zz++++=EXTRAWORD
though ^cs+sub+++=though
it ^pp3+it+++=it
was ^vbd+bedz+vrb++=was
not ^xnot++not++=not
visible ^jj++++=visible;
; ^zz++++=EXTRAWORD
so ^ql++++=so
he ^pp3a+pp3+++=he
told ^vbd+vpub++xvbnx+=told
the ^ati++++=the
young ^jj+atrb+++=young
man ^nn++++=man
that ^tht+rel+obj++=that
he ^pp3a+pp3+++=he
did ^vbd+dod+aux++=did
not ^xnot++not++=not
know ^vb+vprv+++=know,
, ^zz++++=EXTRAWORD
as ^ql++++=as
he ^pp3a+pp3+++=he
had ^vbd+hvd+aux++=had
been ^vprf+ben+vrb+xvbnx+=been
over ^in++++=over
this ^dt+dem+++=this
route ^nn++++=route
but ^cc++++=but
once ^rb+tm+++=once
before ^in+strn+++=before,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
he ^pp3a+pp3+++=he
thought ^vbd+++xvbnx+=thought
that ^tht+vcmp+++=that
Stubb ^np+++??+=Stubb,
, ^zz++++=EXTRAWORD
who ^whp+rel+subj++=who
was ^vbd+bedz+vrb++=was
then ^rn+tm+++=then
on ^in++++=on
herd ^nn++++=herd,
, ^zz++++=EXTRAWORD
could ^md+pos+++=could
tell ^vb++++=tell
him ^pp3o+pp3+++=him
how ^wrb+who+++=how
it ^pp3+it+++=it
was ^vbd+bedz+vrb++=was;
; ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
had ^vbd+hvd+aux++=had
been ^vprf+ben+vrb+xvbnx+=been
over ^in++++=over
the ^ati++++=the
trail ^nn++++=trail
every ^at++++=every
year ^nn++++=year
since ^cs+sub+++=since
it ^pp3+it+++=it
was ^vbd+bedz+aux++=was
laid ^vpsv++agls+xvbnx+=laid
out ^rb+phrv+++=out.
. ^zz++++=EXTRAWORD
This ^dt+pdem+++=This
was ^vbd+bedz+vrb++=was
sufficient ^jj+pred+++=sufficient
to ^to+jcmp+++=to
secure ^vbi++++=secure
Stubb ^np+++??+=Stubb
an ^at++++=an
interview ^nn++++=interview,
, ^zz++++=EXTRAWORD
as ^ql++++=as
soon ^rb+tm+++=soon
as ^ql++++=as
he ^pp3a+pp3+++=he
was ^vbd+bedz+aux++=was
relieved ^vpsv++agls+xvbnx+=relieved
from ^in++++=from
duty ^nn++++=duty
and ^cc++++=and
had ^vbd+hvd+aux++=had
returned ^vprf+++xvbnx+=returned
to ^in++++=to
the ^ati++++=the
wagon ^nn++++=wagon.
. ^zz++++=EXTRAWORD
So ^ql++++=So
Ike ^np+++??+=Ike
posted ^vbd+++xvbn+=posted
one ^pn++++=one
of ^in++++=of
the ^ati++++=the
men ^nns++++=men
who ^whp+rel+subj++=who
was ^vbd+bedz+vrb++=was
next ^ap++++=next
on ^in++++=on
guard ^vb++++=guard
to ^to++++=to
tell ^vbi++++=tell
Stubb ^np+++??+=Stubb
what ^wdt+who+++=what
to ^to++++=to
expect ^vbi+vprv+++=expect,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
to ^to++++=to
be ^vbi++vrb++=be
sure ^jj+pred+++=sure
to ^to+jcmp+++=to
tell ^vbi++++=tell
it ^pp3+it+++=it
to ^in++++=to
him ^pp3o+pp3+++=him
scary ^nn++++=scary.
. ^zz++++=EXTRAWORD
A ^at++++=A
brief ^jj+atrb+++=brief
description ^nn+nom+++=description
of ^in++++=of
Stubb ^np+++??+=Stubb
necessarily ^rb++++=necessarily
intrudes ^nns+++??+=intrudes,
, ^zz++++=EXTRAWORD
though ^cs+sub+++=though
this ^dt+dem+++=this
nickname ^nn++++=nickname
describes ^vbz++++=describes
the ^ati++++=the
man ^nn++++=man.
. ^zz++++=EXTRAWORD
Extremely ^rb+amp+++=Extremely
short ^jj++++=short
in ^in++++=in
stature ^nn++++=stature,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
was ^vbd+bedz+aux++=was
inclined ^jj++agls+xvbnx+=inclined
to ^to+jcmp+++=to
be ^vbi++vrb++=be
fleshy ^jj+pred+++=fleshy.
. ^zz++++=EXTRAWORD
In ^in++++=In
fact ^nn++++=fact,
, ^zz++++=EXTRAWORD
a ^at++++=a
rear ^jjb+atrb+++=rear
view ^nn++++=view
of ^in++++=of
