Yas ^np+++??+=Yas,
, ^zz++++=EXTRAWORD
sir ^npt++++=sir,
, ^zz++++=EXTRAWORD
wife ^nn++++=wife
and ^cc++++0=an'
me ^pp1o+pp1+++=me,
, ^zz++++=EXTRAWORD
we ^pp1a+pp1+++=we've
've ^vb+hv+aux++0=EXTRAWORD
turned ^vprf+++xvbnx+=turned
' ^zz++++='Piscopals
piscopals ^nns+nom+++=EXTRAWORD
all ^abn++++=all
on ^in++++=on
account ^nn++++=account
of ^in++++0=o'
Sonny ^nn++++=Sonny.
. ^zz++++=EXTRAWORD
He ^pp3a+pp3+++=He
seemed ^vbd+seem++xvbnx+=seemed
to ^to+vcmp+++=to
prefer ^vbi+vprv+++=prefer
that ^tht+vcmp+++=that
religion ^nn++++=religion,
, ^zz++++=EXTRAWORD
and ^cc+cls+++0=an'
of ^in++++=of
co ^nn++++=co'se
'se ^nn+++??+=EXTRAWORD
we ^pp1a+pp1+++=we
would ^md+prd+++=wouldn't
n't ^xnot++not++0=EXTRAWORD
have ^vb+hv+vrb++=have
the ^ati++++=the
family ^nn++++=family
divided ^vwbn+++xvbn+=divided,
, ^zz++++=EXTRAWORD
so ^ql++++=so
we ^pp1a+pp1+++=we're
're ^vb+ber+vrb++0=EXTRAWORD
a ^at++++=a-goin'
- ^zz++++=EXTRAWORD
goin ^nn+++??+=EXTRAWORD
' ^zz++++=EXTRAWORD
to ^to++++=to
be ^vbi++vrb++=be
ez ^nn+++??+=ez
good ^jj++++=good
' ^zz++++='Piscopals
piscopals ^nns+nom+++=EXTRAWORD
ez ^nn+++??+=ez
we ^pp1a+pp1+++=we
can ^md+pos+++=can.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
reckon ^vb+vprv+tht0++=reckon
it ^pp3+it+++=it'll
'll ^md+prd+++0=EXTRAWORD
come ^vb++++=come
a ^rb++++=a
little ^rb"++++=little
bit ^nn++++=bit
awkward ^jj++++=awkward
at ^rb++++=at
first ^rb"++++=first.
. ^zz++++=EXTRAWORD
Seem ^vb+seem+++=Seem
like ^in++++=like
I ^pp1a+pp1+++=I
never ^rb++++=never
will ^md+prd+++=will
git ^vb++++=git
so ^ql++++=so
thet ^vb+++??+=thet
I ^pp1a+pp1+++=I
can ^md+pos+++=can
sass ^vb+++??+=sass
back ^jjb++++=back
in ^in++++=in
church ^nn++++=church
' ^zz++++='thout
thout ^nn+++??+=EXTRAWORD
feelin ^nn+++??+=feelin'
' ^zz++++=EXTRAWORD
sort ^rb+hdg+++=sort
of ^+hdg"+++0=o'
impident ^jj++++=impident
but ^cc++++=but
I ^pp1a+pp1+++=I
reckon ^vb+vprv+tht0++=reckon
I ^pp1a+pp1+++=I'll
'll ^md+prd+++0=EXTRAWORD
