By ^in++++=BY
The ^ati++++=THE
Author ^nn++++=AUTHOR
Of ^in++++=OF
The ^ati++++=THE
Sketch ^nn++++=SKETCH-BOOK.
- ^zz++++=EXTRAWORD
book ^nn++++=EXTRAWORD
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
is ^vbz+bez+vrb++=is
the ^ati++++=the
common ^jj+atrb+++=common
lamentation ^nn+nom+++=lamentation
of ^in++++=of
Spanish ^jj+atrb+++=Spanish
historiographers ^nns+nom+++=historiographers,
, ^zz++++=EXTRAWORD
that ^dt+pdem+++=that,
, ^zz++++=EXTRAWORD
for ^in++++=for
an ^at++++=an
obscure ^jj+atrb+++=obscure
and ^cc+phrs+++=and
melancholy ^jj+atrb+++=melancholy
space ^nn++++=space
of ^in++++=of
time ^nn++++=time
immediately ^rb+tm+++=immediately
succeeding ^jj+++xvbg+=succeeding
the ^ati++++=the
conquest ^nn++++=conquest
of ^in++++=of
their ^pp$+pp3+++=their
country ^nn++++=country
by ^in++++=by
the ^ati++++=the
Moslems ^nn++++=Moslems,
, ^zz++++=EXTRAWORD
its ^pp$+it+++=its
history ^nn++++=history
is ^vbz+bez+vrb++=is
a ^at++++=a
mere ^jjb+atrb+++=mere
wilderness ^nns+nom+++=wilderness
of ^in++++=of
dubious ^jj+atrb+++=dubious
facts ^nns++++=facts,
, ^zz++++=EXTRAWORD
groundless ^jj+atrb+++=groundless
fables ^nns++++=fables,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
rash ^jj+atrb+++=rash
exaggerations ^nns+nom+++=exaggerations.
. ^zz++++=EXTRAWORD
Learned ^jj+atrb++xvbn+=Learned
men ^nns++++=men,
, ^zz++++=EXTRAWORD
in ^in++++=in
cells ^nns++++=cells
and ^cc++++=and
cloisters ^nns+nom+++=cloisters,
, ^zz++++=EXTRAWORD
have ^vb+hv+aux++=have
worn ^vprf+++xvbnx+=worn
out ^rp+pl+++=out
their ^pp$+pp3+++=their
lives ^nns++++=lives
in ^in++++=in
vainly ^rb++++=vainly
endeavoring ^vb+++xvbg+=endeavoring
to ^to+vcmp+++=to
connect ^vbi++++=connect
incongruous ^jj+atrb+++=incongruous
events ^nns++++=events,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
to ^in++++=to
account ^nn++++=account
for ^in++++=for
startling ^jj+atrb+++=startling
improbabilities ^nns+nom+++=improbabilities,
, ^zz++++=EXTRAWORD
recorded ^j+++xvbn+=recorded
of ^in++++=of
this ^dt+dem+++=this
period ^nn++++=period.
. ^zz++++=EXTRAWORD
The ^ati++++=The
worthy ^jj+atrb+++=worthy
Jesuit ^nn++++=Jesuit,
, ^zz++++=EXTRAWORD
Padre ^np+++??+=Padre
Abarca ^np+++??+=Abarca,
, ^zz++++=EXTRAWORD
declares ^vbz+vpub+tht0++=declares
that ^tht+vcmp+++=that,
, ^zz++++=EXTRAWORD
for ^in++++=for
more ^rbr++++=more
than ^in++++=than
forty ^cd++++=forty
years ^nns++++=years
during ^in++++=during
which ^whp+rel+pied++=which
he ^pp3a+pp3+++=he
had ^vbd+hvd+aux++=had
been ^vprf+ben+aux+xvbnx+=been
employed ^vpsv++agls+xvbnx+=employed
in ^in++++=in
theological ^jj+atrb+++=theological
controversies ^nns++++=controversies,
, ^zz++++=EXTRAWORD
he ^pp3a+pp3+++=he
had ^vb+hv+aux++=had
never ^rb++splt++=never
found ^vprf+++xvbnx+=found
any ^dti++++=any
so ^ql++++=so
obscure ^vb++++=obscure
and ^cc++++=and
inexplicable ^jj++++=inexplicable
as ^ql++++=as
those ^dt+pdem+++=those
which ^whp+rel+subj++=which
rise ^vb++++=rise
out ^rp+pl+++=out
of ^in++++=of
this ^dt+dem+++=this
portion ^nn+nom+++=portion
of ^in++++=of
Spanish ^jj+atrb+++=Spanish
history ^nn++++=history,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
that ^tht+vcmp+++=that
the ^ati++++=the
only ^ap+down+++=only
fruit ^nn++++=fruit
of ^in++++=of
an ^at++++=an
indefatigable ^jj++++=indefatigable,
, ^zz++++=EXTRAWORD
prolix ^nn+++??+=prolix,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
even ^rb++++=even
prodigious ^jj+atrb+++=prodigious
study ^nn++++=study
of ^in++++=of
the ^ati++++=the
subject ^nn++++=subject,
, ^zz++++=EXTRAWORD
was ^vbd+bedz+vrb++=was
a ^at++++=a
melancholy ^nn++++=melancholy
and ^cc++++=and
mortifying ^jj+atrb++xvbg+=mortifying
state ^nn++++=state
of ^in++++=of
indecision ^nn++++=indecision.
. ^zz++++=EXTRAWORD
[ ^zz++++=[Footnote:
footnote ^nn++++=EXTRAWORD
: ^zz++++=EXTRAWORD
Padre ^np+++??+=PADRE
Pedro ^np++++=PEDRO
Abarca ^np+++??+=ABARCA.
. ^zz++++=EXTRAWORD
Anales ^np+++??+=Anales
de ^&fw++++=de
Aragon ^np++++=Aragon,
, ^zz++++=EXTRAWORD
Anti ^np+++??+=Anti
Regno ^np+++??+=Regno,
, ^zz++++=EXTRAWORD
F ^zz++++=F
2 ^zz++++=2.]
. ^zz++++=EXTRAWORD
] ^zz++++=EXTRAWORD
During ^in++++=During
