There ^ex+pex+++=There
was ^vbd+bedz+vrb++=was
an ^at++++=an
old ^jj+atrb+++=old
woman ^nn++++=woman
Who ^whp+rel+subj++=Who
lived ^vbd+++xvbn+=lived
in ^in++++=in
a ^at++++=a
shoe ^nn++++=shoe,
, ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
had ^vb+hv+vrb++=had
so ^ql++++=so
many ^ap++++=many
children ^nns++++=children
She ^pp3a+pp3+++=She
did ^vbd+dod+aux++=didn't
n't ^xnot++not++0=EXTRAWORD
know ^vb+vprv+++=know
what ^wdt+who+whcl++=what
to ^to++++=to
do ^vbi++++=do;
; ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
gave ^vbd+++xvbnx+=gave
them ^pp3o+pp3+++=them
some ^dti++++=some
broth ^nn++++=broth
Without ^in++++=Without
any ^dti++++=any
bread ^nn++++=bread,
, ^zz++++=EXTRAWORD
And ^cc+cls+++=And
whipped ^vbd+++xvbn+=whipped
them ^pp3o+pp3+++=them
all ^rb++++=all
soundly ^rb++++=soundly
And ^cc++++=And
sent ^vwbn+++xvbn+=sent
them ^pp3o+pp3+++=them
to ^in++++=to
bed ^nn++++=bed.
. ^zz++++=EXTRAWORD
A ^at++++=A
long ^jj+atrb+++=long
time ^nn++++=time
ago ^rb++++=ago
there ^ex+pex+++=there
lived ^vprf+++xvbn+=lived
a ^at++++=a
woman ^nn++++=woman
who ^whp+rel+subj++=who
had ^vb+hv+vrb++=had
four ^cd++++=four
daughters ^nns+nom+++=daughters,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
these ^dt+dem+++=these
in ^in++++=in
time ^nn++++=time
grew ^vbd+++xvbn+=grew
up ^rp++++=up
and ^cc++++=and
married ^jj+++xvbn+=married
and ^cc+phrs+++=and
went ^jj+++xvbn+=went
to ^to++++=to
live ^vbi++++=live
in ^in++++=in
different ^jj+atrb+++=different
parts ^nns++++=parts
of ^in++++=of
the ^ati++++=the
country ^nn++++=country.
. ^zz++++=EXTRAWORD
And ^cc+cls+++=And
the ^ati++++=the
woman ^nn++++=woman,
, ^zz++++=EXTRAWORD
after ^in++++=after
that ^dt+pdem+++=that,
, ^zz++++=EXTRAWORD
lived ^j+++xvbn+=lived
all ^abn++++=all
alone ^rb+cnj+++=alone,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
said ^vpsv++agls+xvbn+=said
to ^to+vcmp+++=to
herself ^ppl+pp3+++=herself,
, ^zz++++=EXTRAWORD
" ^zz++++="I
i ^pp1a+pp1+++=EXTRAWORD
have ^vb+hv+aux++=have
done ^vprf+++xvbnx+=done
my ^pp$+pp1+++=my
duty ^nn++++=duty
to ^to+ncmp+++=to
the ^ati++++=the
world ^nn++++=world,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
now ^rn+tm+++=now
shall ^md+prd+++=shall
rest ^vb++++=rest
quietly ^rb++++=quietly
for ^in++++=for
the ^ati++++=the
balance ^nn+nom+++=balance
of ^in++++=of
my ^pp$+pp1+++=my
life ^nn++++=life.
. ^zz++++=EXTRAWORD
When ^wrb+who+++=When
one ^cd1++++=one
has ^vbz+hvz+aux++=has
raised ^vprf+++xvbnx+=raised
a ^at++++=a
family ^nn++++=family
of ^in++++=of
four ^cd++++=four
children ^nns++++=children
and ^cc++++=and
has ^vbz+hvz+aux++=has
married ^vprf+++xvbnx+=married
them ^pp3o+pp3+++=them
all ^rb++++=all
happily ^rb+cnj+++=happily,
, ^zz++++=EXTRAWORD
she ^pp3a+pp3+++=she
is ^vbz+bez+aux++=is
surely ^rb++splt++=surely
entitled ^vpsv++agls+xvbnx+=entitled
to ^to++++=to
pass ^vbi++++=pass
her ^pp$+pp3+++=her
remaining ^vbg+++xvbg+=remaining
days ^nns++++=days
in ^in++++=in
peace ^nn++++=peace
and ^cc++++=and
comfort ^nn++++=comfort."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
lived ^vbd+++xvbnx+=lived
in ^in++++=in
a ^at++++=a
peculiar ^jj++++=peculiar
little ^ap++++=little
house ^npl++++=house,
, ^zz++++=EXTRAWORD
that ^cs+sub+++=that
looked ^xvbn+++xvbn+=looked
something ^pn++++=something
like ^in++++=like
this ^dt+dem+++=this
picture ^nn++++=picture.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
was ^vbd+bedz+vrb++=was
not ^xnot++not++=not
like ^in++++=like
most ^ql+emph+++=most
of ^in++++=of
the ^ati++++=the
houses ^nns++++=houses
you ^pp2+pp2+++=you
see ^vb+vprv+++=see,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
the ^ati++++=the
old ^jj+atrb+++=old
woman ^nn++++=woman
had ^vb+hv+aux++=had
it ^pp3+it+++=it
built ^vbd+++xvbn+=built
herself ^ppl+pp3+++=herself,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
liked ^vbd+++xvbn+=liked
it ^pp3+it+++=it,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
so ^ql++++=so
it ^pp3+it+++=it
did ^vbd+dod+vrb++=did
not ^xnot++not++=not
matter ^nn++++=matter
to ^in++++=to
her ^pp$+pp3+++=her
how ^wrb+who+++=how
odd ^jj++++=odd
it ^pp3+it+++=it
was ^vbd+bedz+vrb++=was.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
stood ^vbd+++xvbn+=stood
upon ^in++++=upon
the ^ati++++=the
top ^nn++++=top
of ^in++++=of
a ^rb++++=a
little ^rb"++++=little
hill ^nn++++=hill,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
there ^ex+pex+++=there
was ^vbd+bedz+vrb++=was
a ^at++++=a
garden ^nn++++=garden
at ^rb++++=at
the ^ati++++=the
back ^jjb++++=back
and ^cc++++=and
a ^at++++=a
pretty ^rb++++=pretty
green ^nn++++=green
lawn ^nn++++=lawn
in ^in++++=in
front ^jjb++++=front,
, ^zz++++=EXTRAWORD
with ^in++++=with
white ^jj+atrb+++=white
gravel ^nn++++=gravel
paths ^nns++++=paths
and ^cc++++=and
many ^ap++++=many
beds ^nns++++=beds
of ^in++++=of
bright ^jj+atrb+++=bright
colored ^jj+atrb++xvbn+=colored
flowers ^nns+nom+++=flowers.
. ^zz++++=EXTRAWORD
The ^ati++++=The
old ^jj+atrb+++=old
woman ^nn++++=woman
was ^vbd+bedz+vrb++=was
very ^ql+amp+++=very
happy ^jj++++=happy
and ^cc+phrs+++=and
contented ^jj++++=contented
there ^rn+pl+++=there
until ^cs+sub+++=until
one ^cd1++++=one
day ^nn++++=day
she ^pp3a+pp3+++=she
received ^vbd+++xvbnx+=received
a ^at++++=a
letter ^nn++++=letter
saying ^vb+++xvbg+=saying
that ^tht+vcmp+++=that
her ^pp3o+pp3+++=her
daughter ^nn+nom+++=daughter
Hannah ^np++++=Hannah
was ^vbd+bedz+vrb++=was
dead ^jj+pred+++=dead
and ^cc++++=and
had ^vbd+hvd+aux++=had
sent ^vprf+++xvbnx+=sent
her ^pp$+pp3+++=her
family ^nn++++=family
of ^in++++=of
five ^cd++++=five
children ^nns++++=children
to ^in++++=to
their ^pp$+pp3+++=their
grandmother ^nn+nom+++=grandmother
to ^to++++=to
be ^vbi+vbi+aux++=be
taken ^vpsv++agls+xvbnx+=taken
care ^nn++++=care
of ^in+strn+++=of.
. ^zz++++=EXTRAWORD
This ^dt+dem+++=This
misfortune ^nn++++=misfortune
ruined ^vbd+++xvbn+=ruined
all ^abn++++=all
the ^ati++++=the
old ^jj+atrb+++=old
woman ^nn++++=woman's
's ^$++++=EXTRAWORD
dreams ^nps++++=dreams
of ^in++++=of
quiet ^jj++++=quiet;
; ^zz++++=EXTRAWORD
but ^cc+cls+++=but
the ^ati++++=the
next ^ap++++=next
day ^nn++++=day
the ^ati++++=the
children ^nns++++=children
arrived ^vbd+++xvbn+=arrived--three
-- ^--+clp+++=EXTRAWORD
three ^cd++++=EXTRAWORD
boys ^nns++++=boys
and ^cc++++=and
two ^cd++++=two
girls ^nns++++=girls--and
-- ^--+clp+++=EXTRAWORD
and ^cc+cls+++=EXTRAWORD
she ^pp3a+pp3+++=she
made ^vbd+++xvbnx+=made
the ^ati++++=the
best ^nn++++=best
of ^in++++=of
it ^pp3+it+++=it
and ^cc++++=and
gave ^vbd+++xvbn+=gave
them ^pp3o+pp3+++=them
the ^ati++++=the
beds ^nns++++=beds
her ^pp3o+pp3+++=her
own ^ap++++=own
daughters ^nns+nom+++=daughters
had ^vb+hv+aux++=had
once ^rb+tm+splt++=once
occupied ^vprf+++xvbnx+=occupied,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
her ^pp$+pp3+++=her
own ^ap++++=own
cot ^nn++++=cot
as ^rb++++=as
well ^rb++++=well;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
she ^pp3a+pp3+++=she
made ^vbd+++xvbnx+=made
a ^at++++=a
bed ^nn++++=bed
for ^in++++=for
herself ^ppl+pp3+++=herself
on ^in++++=on
the ^ati++++=the
parlor ^nn++++=parlor
sofa ^nn++++=sofa.
. ^zz++++=EXTRAWORD
The ^ati++++=The
youngsters ^nns+nom+++=youngsters
were ^vbd+bed+vrb++=were
like ^in++++=like
all ^abn++++=all
other ^ap++++=other
children ^nns++++=children,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
got ^vpsv++agls+xvbn+=got
into ^in+ppvb+++=into
mischief ^nn++++=mischief
once ^rb+tm+++=once
in ^in++++=in
awhile ^rb++++=awhile;
; ^zz++++=EXTRAWORD
but ^cc+cls+++=but
the ^ati++++=the
old ^jj+atrb+++=old
woman ^nn++++=woman
had ^vb+hv+vrb++=had
much ^ap++++=much
experience ^nn+nom+++=experience
with ^in++++=with
children ^nns++++=children
and ^cc++++=and
managed ^vbd+++xvbn+=managed
to ^to+vcmp+++=to
keep ^vbi++++=keep
them ^pp3o+pp3+++=them
in ^in++++=in
order ^to++++=order
very ^ql+amp+++=very
well ^rb+cnj+++=well,
, ^zz++++=EXTRAWORD
while ^cs+sub+++=while
they ^pp3a+pp3+++=they
quickly ^rb++++=quickly
learned ^vb+++xvbn+=learned
to ^to+vcmp+++=to
obey ^vbi++++=obey
her ^pp$+pp3+++=her,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
