One ^cd1++++=One
night ^nn++++=night,
, ^zz++++=EXTRAWORD
when ^wrb+who+++=when
the ^ati++++=the
storm ^nn++++=storm
had ^vbd+hvd+aux++=had
come ^vprf+++xvbn+=come
up ^rp++++=up
from ^in++++=from
the ^ati++++=the
south ^np+pl+++=south,
, ^zz++++=EXTRAWORD
apparently ^rb++++=apparently
for ^in++++=for
the ^ati++++=the
sole ^jjb+atrb+++=sole
purpose ^nn++++=purpose
of ^in++++=of
renewing ^xvbg+++xvbg+=renewing
war ^nn++++=war
with ^in++++=with
its ^pp$+it+++=its
old ^jj+atrb+++=old
enemy ^nn++++=enemy,
, ^zz++++=EXTRAWORD
the ^ati++++=the
Peninsula ^nn++++=Peninsula
of ^in++++=of
Monterey ^np+++??+=Monterey,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
left ^vbd+++xvbnx+=left
the ^ati++++=the
ancient ^jj+atrb+++=ancient
town ^nn++++=town,
, ^zz++++=EXTRAWORD
crossed ^j+++xvbn+=crossed
the ^ati++++=the
neck ^nn++++=neck
of ^in++++=of
the ^ati++++=the
peninsula ^nn++++=peninsula,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
descended ^vpsv++agls+xvbn+=descended
on ^in++++=on
the ^ati++++=the
other ^ap++++=other
side ^nn++++=side
of ^in++++=of
the ^ati++++=the
Santa ^&fw++++=Santa
Lucia ^np++++=Lucia
slope ^nn++++=slope
to ^to++++=to
see ^vbi+vprv+++=see
the ^ati++++=the
mighty ^jj+atrb+++=mighty
battle ^nn++++=battle
on ^in++++=on
Carmel ^np++++=Carmel
Bay ^nn++++=Bay.
. ^zz++++=EXTRAWORD
The ^ati++++=The
tearing ^jj+atrb++xvbg+=tearing
wind ^nn++++=wind,
, ^zz++++=EXTRAWORD
which ^whp+rel+obj++=which,
, ^zz++++=EXTRAWORD
charged ^j+++xvbn+=charged
with ^in++++=with
needles ^nps++++=needles
of ^in++++=of
rain ^nn++++=rain,
, ^zz++++=EXTRAWORD
assailed ^j+++xvbn+=assailed
me ^pp1o+pp1+++=me
sharply ^rb+cnj+++=sharply,
, ^zz++++=EXTRAWORD
did ^vbd+dod+vrb++=did
nobler ^jjr+atrb+++=nobler
work ^nn++++=work
with ^in++++=with
the ^ati++++=the
ocean ^nn++++=ocean
and ^cc++++=and
the ^ati++++=the
cypresses ^nns+nom++??+=cypresses,
, ^zz++++=EXTRAWORD
sending ^vbg+++xvbg+=sending
the ^ati++++=the
one ^pn++++=one
upon ^in++++=upon
a ^at++++=a
riotous ^jj+atrb+++=riotous
course ^nn++++=course
and ^cc++++=and
rending ^nvbg+++xvbg+=rending
the ^ati++++=the
other ^ap++++=other
with ^in++++=with
groans ^nn++++=groans.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
arrived ^vbd+++xvbnx+=arrived
upon ^in++++=upon
a ^at++++=a
cliff ^nn++++=cliff
just ^rb+emph+++=just
beyond ^in++++=beyond
a ^at++++=a
pebbly ^jj+atrb+++=pebbly
beach ^nn++++=beach,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
with ^in++++=with
bared ^vbd+++xvbn+=bared
head ^jjb++++=head
and ^cc++++=and
my ^pp$+pp1+++=my
waistcoat ^nn++++=waistcoat
open ^nn++++=open,
, ^zz++++=EXTRAWORD
stood ^j+++xvbn+=stood
facing ^jj+++xvbg+=facing
the ^ati++++=the
ocean ^nn++++=ocean
and ^cc++++=and
the ^ati++++=the
storm ^nn++++=storm.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
was ^vbd+bedz+vrb++=was
not ^xnot++not++=not
a ^at++++=a
cold ^jj+atrb+++=cold
night ^nn++++=night,
, ^zz++++=EXTRAWORD
though ^cs+sub+++=though
a ^at++++=a
winter ^nn++++=winter
storm ^nn++++=storm
was ^vbd+bedz+vrb++=was
at ^rb++++=at
large ^rb"++++=large;
; ^zz++++=EXTRAWORD
but ^cc+cls+++=but
it ^pp3+it+++=it
was ^vbd+bedz+vrb++=was
a ^at++++=a
night ^nn++++=night
of ^in++++=of
blind ^jj+atrb+++=blind
agonies ^nns++++=agonies
and ^cc++++=and
struggles ^nns++++=struggles,
, ^zz++++=EXTRAWORD
in ^in++++=in
which ^whp+rel+pied++=which
a ^at++++=a
mad ^jj+atrb+++=mad
wind ^nn++++=wind
lashed ^vbd+++xvbn+=lashed
the ^ati++++=the
sea ^nn++++=sea
and ^cc++++=and
a ^at++++=a
maddened ^jj+++xvbn+=maddened
sea ^npl++++=sea
assailed ^vbd+++xvbn+=assailed
the ^ati++++=the
shore ^nn++++=shore,
, ^zz++++=EXTRAWORD
while ^cs+sub+++=while
a ^at++++=a
flying ^jj+atrb++xvbg+=flying
rain ^nn++++=rain
and ^cc++++=and
a ^at++++=a
drenching ^jj+atrb+++=drenching
spray ^nn++++=spray
dimmed ^vbd+++xvbn+=dimmed
the ^ati++++=the
sombre ^jj+atrb+++=sombre
colors ^nns++++=colors
of ^in++++=of
the ^ati++++=the
scene ^nn++++=scene.
. ^zz++++=EXTRAWORD
It ^pp3+it+++=It
was ^vbd+bedz+vrb++=was
a ^at++++=a
night ^nn++++=night
for ^in++++=for
the ^ati++++=the
sea ^nn++++=sea
to ^to++++=to
talk ^vbi++++=talk
in ^in++++=in
its ^pp$+it+++=its
travail ^nn+++??+=travail
and ^cc++++=and
yield ^vb++++=yield
up ^rp++++=up
some ^dti++++=some
of ^in++++=of
its ^pp$+it+++=its
mysteries ^nns+nom+++=mysteries.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
left ^vbd+++xvbnx+=left
the ^ati++++=the
cliff ^nn++++=cliff
and ^cc++++=and
went ^vbd+++xvbn+=went
a ^rb++++=a
little ^rb"++++=little
distance ^nn+nom+++=distance
to ^in++++=to
the ^ati++++=the
neighborhood ^nn+nom+++=neighborhood
of ^in++++=of
a ^at++++=a
Chinese ^jj++++=Chinese
fishing ^jj+++xvbg+=fishing-station,
- ^zz++++=EXTRAWORD
station ^nn+nom+++=EXTRAWORD
, ^zz++++=EXTRAWORD
where ^wrb+who+++=where
there ^ex+pex+++=there
was ^vbd+bedz+vrb++=was
a ^at++++=a
sand ^nn++++=sand-beach;
- ^zz++++=EXTRAWORD
beach ^nn++++=EXTRAWORD
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
here ^rn+pl+++=here,
, ^zz++++=EXTRAWORD
after ^in++++=after
throwing ^nn++++=throwing
off ^in+pl+++=off
my ^pp$+pp1+++=my
coat ^nn++++=coat
and ^cc++++=and
waistcoat ^nn++++=waistcoat,
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
went ^vbd+++xvbnx+=went
down ^rp++++=down
to ^in++++=to
have ^vbi++vrb++=have
a ^at++++=a
closer ^rbr++++=closer
touch ^nn++++=touch
with ^in++++=with
my ^pp$+pp1+++=my
treacherous ^jj+atrb+++=treacherous
friend ^nn++++=friend.
. ^zz++++=EXTRAWORD
The ^ati++++=The
surf ^nn++++=surf
sprang ^vbd+++xvbn+=sprang
at ^in++++=at
me ^pp1o+pp1+++=me,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
waves ^nns++++=waves,
, ^zz++++=EXTRAWORD
retreating ^jj++++=retreating
gently ^rb+cnj+++=gently,
, ^zz++++=EXTRAWORD
beckoned ^j+++xvbn+=beckoned
me ^pp1o+pp1+++=me
to ^in++++=to
further ^jjb+atrb+++=further
ventures ^nns++++=ventures,
, ^zz++++=EXTRAWORD
which ^whp+rel+obj++=which
I ^pp1a+pp1+++=I
made ^vbd+++xvbnx+=made
with ^in++++=with
a ^at++++=a
knowledge ^nn++++=knowledge
of ^in++++=of
my ^pp$+pp1+++=my
ground ^nn++++=ground,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
with ^in++++=with
a ^at++++=a
love ^nn++++=love
of ^in++++=of
this ^dt+dem+++=this
sweet ^jj+atrb+++=sweet
danger ^nn++++=danger
also ^rb++++=also.
. ^zz++++=EXTRAWORD
A ^at++++=A
strong ^jj++++=strong
breaker ^jjr++++=breaker
lifted ^jj+++xvbn+=lifted
me ^pp1o+pp1+++=me
from ^in++++=from
my ^pp$+pp1+++=my
footing ^nn++++=footing,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
I ^pp1a+pp1+++=I
outwitted ^vbd+++xvbnx+=outwitted
it ^pp3+it+++=it
and ^cc++++=and
pursued ^vbd+++xvbn+=pursued
it ^pp3+it+++=it
in ^in++++=in
retreat ^nn++++=retreat;
; ^zz++++=EXTRAWORD
there ^ex+pex+++=there
came ^vbd+++xvbn+=came
another ^dt++++=another
afterwards ^rb+cnj+++=afterwards,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
it ^pp3+it+++=it
was ^vbd+bedz+aux++=was
armed ^vpsv++agls+xvbnx+=armed,
, ^zz++++=EXTRAWORD
for ^in+strn+++=for,
, ^zz++++=EXTRAWORD
towering ^jj+++xvbg+=towering
above ^rb++++=above
me ^pp1o+pp1+++=me,
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it
came ^vbd+++xvbn+=came
down ^rp++++=down
upon ^in++++=upon
me ^pp1o+pp1+++=me
with ^in++++=with
a ^at++++=a
bludgeon ^nn+++??+=bludgeon,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
fell ^vbd+++xvbn+=fell
heavily ^rb++++=heavily
upon ^in++++=upon
me ^pp1o+pp1+++=me.
. ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
seized ^vbd+++xvbnx+=seized
it ^pp3+it+++=it,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
there ^rn+pl+++=there
my ^pp$+pp1+++=my
command ^nn++++=command
upon ^in++++=upon
my ^pp$+pp1+++=my
powers ^nns++++=powers
ceased ^vbd+++xvbn+=ceased;
; ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
wave ^nn++++=wave,
, ^zz++++=EXTRAWORD
